[0003.38-0007.62] 同學們好,歡迎大家來到我的計算機組成原理微課堂
[0924.30-0926.86] 也就是浮號位取零表示正數
[0926.86-0928.46] 數值位取1 1
[0928.46-0931.10] 所表示的實境值數為正3
[0931.10-0933.18] 偽數取正數最大值
[0933.26-0935.74] 也就是浮號位取零表示正數
[0935.74-0937.34] 數值位取1 1
[0937.34-0940.86] 所表示的實境值數為正的0.75
[0940.86-0945.98] 此時由GMA和偽數構成的浮電數為正數最大值
[0945.98-0948.19] 計算結果為正6
[0948.19-0949.63] 需要說明的是
[0949.63-0953.07] 由於同學們對實境值數比較熟悉
[0953.07-0956.61] 因此這裡我們採用的是實境值數
[0956.61-0959.89] 但是可能有的同學由於概念混淆
[0959.89-0961.97] 會出現這樣的錯誤
[0962.05-0964.77] 那就是在計算這個正數最大值時
[0964.77-0966.77] 根據GMA為正3
[0966.77-0971.33] 因此將偽數0.75的小數點向右移動三位
[0971.33-0974.29] 得到正數最大值為750
[0974.29-0980.05] 想想看這些同學錯在哪裡了
[0980.05-0982.45] 相信有的同學已經看出來了
[0982.45-0986.69] 如果偽數0.75乘上基數10的正三次方
[0986.69-0991.17] 則我們可以將偽數0.75的小數點向右移動三位
[0991.17-0996.05] 但這裡偽數0.75乘上的是基數二的正三次方
[0996.05-1001.89] 因此我們需要將偽數0.75轉換成2.0.11
[1001.89-1004.77] 然後再將小數點向右移動三位
[1004.77-1009.22] 得到2.0.0計10.6
[1009.22-1012.74] 再來看浮電數為正數最小值的情況
[1012.74-1014.66] 當GMA取最小值
[1014.66-1017.14] 也就是符號位取1表示負數
[1017.14-1021.22] 數值位取11所表示的實境值數為負3
[1021.30-1023.22] 偽數取正數最小值
[1023.22-1025.62] 也就是符號位取0表示正數
[1025.62-1027.14] 數值位取1
[1027.14-1030.42] 所表示的實境值數為正的0.25
[1030.42-1035.54] 此時由GMA和偽數構成的浮電數為正數最小值
[1035.54-1039.09] 計算結果為正的0.03125
[1039.09-1040.77] 當GMA取最大值
[1040.77-1043.33] 也就是符號位取0表示正數
[1043.33-1047.74] 數值位取11所表示的實境值數為正3
[1047.74-1049.66] 偽數取負數最小值
[1049.74-1052.30] 也就是符號位取1表示負數
[1052.30-1057.26] 數值位取11所表示的實境值數為負的0.75
[1057.26-1062.14] 此時由GMA和偽數構成的浮電數為負數最小值
[1062.14-1064.38] 計算結果為負6
[1064.38-1066.06] 當GMA取最小值
[1066.06-1068.78] 也就是符號位取1表示負數
[1068.78-1072.78] 數值位取11所表示的實境值數為負3
[1072.78-1074.70] 偽數取負數最大值
[1074.70-1077.18] 也就是符號位取1表示負數
[1077.18-1078.62] 數值位取0 1
[1078.70-1081.74] 所表示的實境值數為負的0.25
[1081.74-1087.18] 此時由GMA和偽數構成的浮電數為負數最大值
[1087.18-1090.85] 計算結果為負的0.03125
[1090.85-1092.21] 需要說明的是
[1092.21-1096.30] 在本例中我們默認基數R等於R
[1096.30-1101.06] 接下來請同學們參照本幣完成以下練習
[1101.06-1103.62] 請同學們暫停播放視頻
[1103.62-1105.62] 務必動手練習一下
[1105.62-1111.89] 之後我們來一起分析
[1111.97-1114.93] 好的我們來一起分析一下
[1114.93-1116.37] 浮電數的最大值
[1116.37-1118.45] 也就是GMA取最大值
[1118.45-1121.17] 偽數取正數最大值
[1121.17-1122.29] 將練習一中
[1122.29-1123.97] 給定的相關已知量
[1123.97-1126.29] 帶入並寫出表達式
[1126.29-1129.71] 計算結果為正的480
[1129.71-1132.19] 如果有的同學不理解表達式中
[1132.19-1133.23] 基數8
[1133.23-1134.35] GMA正3
[1134.35-1137.87] 以及偽數0.9375是怎麼來的
[1137.87-1140.94] 請回到之前舉例進行思考
[1140.94-1142.38] 浮電數的最小值
[1142.46-1144.46] 也就是GMA取最大值
[1144.46-1146.78] 偽數取負數最小值
[1146.78-1147.98] 將練習一中
[1147.98-1149.58] 給定的相關已知量
[1149.58-1151.82] 帶入並寫出表達式
[1151.82-1155.06] 計算結果為負的480
[1155.06-1156.66] 8位定點數圓碼
[1156.66-1158.50] 所表示的最大值
[1158.50-1160.10] 就是浮號位取0
[1160.10-1161.30] 表示正數
[1161.30-1163.78] 剩餘7個數值位都取1
[1163.78-1166.50] 取之為2.74方-1
[1166.50-1169.62] 因此最大值為正127
[1169.62-1172.74] 8位定點數圓碼所表示的最小值
[1172.82-1174.50] 就是浮號位取1
[1174.50-1175.78] 表示負數
[1175.78-1178.10] 剩餘7個數值位都取1
[1178.10-1180.50] 取之為2.74方-1
[1180.50-1183.55] 因此最小值為負的127
[1183.55-1186.35] 通過比較練習1和練習2
[1186.35-1188.11] 可以得到的結論是
[1188.11-1191.47] 浮電數有效擴大了數據表示範圍
[1191.47-1193.07] 請同學們注意
[1193.07-1196.75] 儘管浮電數有效擴大了數據表示範圍
[1196.75-1198.91] 但受機器自償限制
[1198.91-1201.98] 浮電數仍然存在一出現象
[1202.06-1203.90] 我們將浮電數的表示範圍
[1203.90-1205.50] 標註在數軸上
[1205.50-1208.48] 以便說明浮電數一出的情況
[1208.48-1211.44] 這裡我們假設浮電數的接碼的數值部分
[1211.44-1212.56] 有k位
[1212.56-1215.12] 尾數的數值部分有n位
[1215.12-1218.00] 接碼和尾數都用圓碼表示
[1218.00-1220.26] 而機數約定為2
[1220.26-1222.66] 這是浮電數的最大正數
[1222.66-1225.14] 可能有些同學看到這個表達式
[1225.14-1227.30] 又產生了為難情緒
[1227.30-1228.82] 其實並不難
[1228.82-1230.18] 仔細想想看
[1230.18-1233.79] 乘號的左右兩側分別是什麼
[1233.79-1237.39] 左側為機數2的2的k字方-1
[1237.39-1239.55] 而這個2的k字方-1
[1239.55-1242.21] 就是接碼的最大值
[1242.21-1245.81] 右側為定點小數圓碼表示的最大值
[1245.81-1247.17] 而這個最大值
[1247.17-1248.93] 我們在本節課的一開始
[1248.93-1250.69] 就進行過總結
[1250.69-1251.89] 忘記的同學
[1251.89-1254.29] 請快速回退到這部分內容
[1254.29-1256.70] 再鞏固一下該知識點
[1256.70-1259.62] 這是浮電數的最小正數
[1259.70-1262.46] 這是浮電數的最大負數
[1262.46-1265.47] 這是浮電數的最小負數
[1265.47-1267.47] 它們各自表達式的含義
[1267.47-1269.07] 請參照我們之前
[1269.07-1271.15] 對最大正數的表達式的解釋
[1271.15-1272.27] 進行理解
[1272.27-1274.14] 就不再追數了
[1274.14-1276.62] 最小正數和最大正數之間
[1276.62-1278.53] 是正數區域
[1278.53-1280.85] 最小負數和最大負數之間
[1280.85-1282.59] 是負數區域
[1282.59-1283.47] 包括0
[1283.47-1286.30] 它們是可表示的數據區域
[1286.30-1287.58] 當浮電數的接碼
[1287.58-1289.34] 大於最大接碼值
[1289.34-1290.86] 稱為上億
[1290.86-1293.18] 此時機器停止運算
[1293.18-1296.38] 浮電運算器件會顯示一出標誌
[1296.38-1297.74] 如圖所示
[1297.74-1298.86] 上億區域
[1298.86-1301.66] 在數軸上就是大於最大正數
[1301.66-1304.62] 和小於最小負數的區域
[1304.62-1306.14] 當浮電數的接碼
[1306.14-1307.90] 小於最小接碼時
[1307.90-1309.42] 稱為下億
[1309.42-1312.46] 雖然此時數據不能被精確表示
[1312.46-1314.46] 但由於發生下億時
[1314.46-1316.78] 數據的絕對值很小
[1316.78-1319.26] 通常將美數各位強制為0
[1319.26-1320.94] 按機器0處理
[1320.94-1324.51] 此時機器可以繼續運行
[1324.51-1325.79] 如圖所示
[1325.79-1326.83] 下億區域
[1326.83-1329.95] 在數軸上就是最大負數與0之間
[1329.95-1333.22] 以及最小正數與0之間的區域
[1333.22-1335.70] 請同學們暫停播放視頻
[1335.70-1337.38] 再好好理解一下
[1337.38-1338.66] 什麼是上億
[1338.66-1343.78] 什麼是下億
[1343.78-1344.50] 另外
[1344.50-1346.10] 請同學們注意
[1346.10-1347.30] 當一個浮電數
[1347.30-1349.06] 在正負數區域中
[1349.06-1351.86] 但並不在數軸的某個課度上時
[1351.94-1354.42] 也會出現精度溢出的問題
[1354.42-1357.30] 此時只能用近似數表示
[1357.30-1358.98] 這並不難理解
[1358.98-1360.18] 在我們之前的
[1360.18-1362.50] 近位技術制及其數據之間的
[1362.50-1364.42] 相互轉換的那些課中
[1364.42-1365.94] 我們曾介紹過
[1365.94-1369.14] 實境值小數轉換成二境值小數時
[1369.14-1371.70] 可能出現無線循環小數
[1371.70-1374.10] 也就是精度缺失的情況
[1374.10-1376.45] 不知同學們是否還記得
[1376.45-1378.05] 由於浮電數的尾數
[1378.05-1380.69] 採用的是二境值定連小數
[1380.69-1381.97] 這必然會造成
[1381.97-1385.17] 某些定連小數無法精確表示
[1385.17-1389.49] 因而使得浮電數出現精度溢出的問題
[1389.49-1390.69] 通常所說
[1390.69-1393.01] 一旦浮電數的位數確定後
[1393.01-1396.37] 合理分配接馬億和尾數M的位數
[1396.37-1400.70] 將直接影響浮電數的表示範圍和精度
[1400.70-1402.22] 對於短實數
[1402.22-1404.22] 即32位浮電數
[1404.22-1406.14] 接馬億取8位
[1406.14-1407.82] 含1位接浮
[1407.82-1409.98] 尾數M取24位
[1410.06-1412.10] 含1位數浮
[1412.10-1413.54] 對於長實數
[1413.54-1415.62] 即64位浮電數
[1415.62-1417.54] 接馬億取11位
[1417.54-1419.22] 含1位接浮
[1419.22-1421.38] 尾數M取53位
[1421.38-1423.47] 含1位數浮
[1423.47-1425.07] 對於零時實數
[1425.07-1426.83] 即80位浮電數
[1426.83-1428.75] 接馬億取15位
[1428.75-1430.51] 含1位接浮
[1430.51-1432.51] 尾數M取65位
[1432.51-1434.59] 含1位數浮
[1434.59-1438.03] 這些是由I-TRIPLE E754標準規定的
[1438.03-1439.63] 我們將在下節課
[1439.63-1442.35] 介紹完浮電數的規格化的概念後
[1442.35-1443.87] 在後續大節課
[1443.87-1447.87] 詳細介紹I-TRIPLE E754標準的相關內容
[1447.87-1450.72] 本節課就不再深入介紹了
[1450.72-1451.60] 接下來
[1451.60-1454.64] 請同學們做幾個練習題
[1454.64-1456.64] 首先來做習題1
[1456.64-1459.20] 請同學們暫停播放視頻
[1459.20-1460.88] 動手練習一下
[1460.88-1467.28] 然後給出你的答案
[1467.28-1469.68] 本題的答案是選項A
[1469.68-1471.44] 大家都選對了嗎
[1471.44-1473.78] 我們來一起分析一下
[1473.78-1475.30] 我們之前介紹了
[1475.30-1477.70] 二進製浮電數的表示方法
[1477.70-1478.42] 其中
[1478.42-1482.18] 機數R在機器中是隱含約定的
[1482.18-1484.82] 一旦約定就不再變化
[1484.82-1485.94] 換句話說
[1485.94-1489.38] 不需要專門表示和存儲機數R
[1489.38-1493.58] 機數R的取值可以是2,4,8,16等
[1493.58-1494.30] 這樣
[1494.30-1497.74] 二進製浮電數在機器中的表示形式
[1497.74-1501.66] 就可由接馬億和尾數M兩部分構成
[1501.74-1504.62] 而機數R不在機器碼中出現
[1504.62-1506.50] 是隱含的
[1506.50-1507.62] 綜上所述
[1507.62-1510.35] 本題的答案是選項A
[1510.35-1512.11] 再來做習題2
[1512.11-1514.59] 請同學們暫停播放視頻
[1514.59-1516.11] 動手練習一下
[1516.11-1522.61] 然後給出你的答案
[1522.61-1524.93] 本題的答案是選項C
[1524.93-1526.61] 大家都選對了嗎
[1526.61-1528.94] 我們來一起分析一下
[1528.94-1530.54] 我們之前介紹了
[1530.54-1533.98] 浮電數可由接馬億和尾數M構成
[1533.98-1536.38] 而機數R是隱含約定的
[1536.46-1538.93] 一旦約定就不再變化
[1538.93-1542.13] 接馬的尾數決定了數據表示的範圍
