[0003.12-0007.44] 同学们好,欢迎大家来到我的计算机组成原理维克堂
[0573.84-0575.20] 关联度为2
[0575.20-0578.16] 表明这是二路组相连硬设
[0578.16-0579.84] 也就是将开始内
[0579.84-0581.44] 每两个开始行
[0581.44-0583.92] 划分为一个开始组
[0583.92-0586.16] 这是组相连硬设方式下
[0586.16-0588.11] 主存地址的构成
[0588.11-0590.03] 主存地址为32位
[0590.03-0591.87] 这是题目给定的
[0591.87-0592.91] 主存地址中
[0592.91-0595.39] 块内偏一部分所占的位数为4
[0595.39-0597.87] 这是之前已经分析过的
[0597.87-0599.71] 我们首先可以计算出
[0599.71-0602.98] 开始中所包含开始组的数量
[0602.98-0606.10] 用开始数据区大小64k字节
[0606.10-0610.02] 除以一个主存数据块大小16字节
[0610.02-0614.10] 可以得到开始中所包含开始行的数量
[0614.10-0616.50] 由于是二路组相连硬设
[0616.50-0619.46] 也就是将开始内每两个开始行
[0619.46-0621.70] 划分为一个开始组
[0621.70-0624.66] 因此在除以二即可得到
[0624.66-0627.94] 开始中所包含开始组的数量
[0627.94-0630.34] 结果为二到十一次方
[0630.34-0631.54] 因此可知
[0631.54-0632.74] 主存地址中
[0632.74-0636.64] 开始的组锁硬部分所占的位数为11
[0636.64-0637.84] 不难看出
[0637.84-0638.96] 主存地址中
[0638.96-0641.68] 主存分析二部分所占位数为
[0641.68-0644.08] 主存地址总位数32
[0644.08-0646.00] 简确主存地址中
[0646.00-0649.12] 开始组锁硬部分所占的位数11
[0649.12-0651.12] 再简确主存地址中
[0651.12-0653.76] 块内偏一部分所占的位数4
[0653.76-0655.44] 结果为17
[0655.44-0658.88] 我们将其标记在上组中
[0658.88-0660.08] 因此可知
[0660.08-0664.10] 主存中包含有二到十七次方的分区
[0664.10-0665.86] 由于主存地址中
[0665.86-0669.22] 开始组锁硬部分所占的位数为11
[0669.22-0670.58] 因此可知
[0670.58-0673.22] 开始中包含有二到十一次方
[0673.22-0675.46] 等于2048个组
[0675.46-0678.66] 编号从0到二到十一次方简一
[0678.66-0680.42] 也就是2047
[0680.42-0684.13] 如同所示
[0684.13-0685.09] 我们知道
[0685.09-0687.17] 在组相连硬设方式下
[0687.17-0690.37] 每个主存分区中包含的数据块的数量
[0690.37-0694.06] 与开始内开始组的数量是相同的
[0694.06-0697.02] 每个主存分区中包含的数据块
[0697.02-0699.82] 各自对应某个固定的开始组
[0699.82-0700.70] 例如
[0700.70-0702.70] 分区0中的数据块0
[0702.70-0704.54] 对应开始组0
[0704.54-0706.62] 分区0中的最后一个数据块
[0706.62-0708.46] 对应最后一个开始组
[0708.46-0710.69] 以此类推
[0710.69-0711.73] 又例如
[0711.73-0713.65] 分区1中的数据块0
[0713.65-0715.41] 对应开始组0
[0715.41-0717.57] 分区1中的最后一个数据块
[0717.65-0719.81] 对应最后一个开始组
[0719.81-0722.51] 以此类推
[0722.51-0723.55] 又例如
[0723.55-0725.87] 最后一个分区中的数据块0
[0725.87-0727.71] 对应开始组0
[0727.71-0730.19] 最后一个分区中的最后一个数据块
[0730.19-0732.43] 对应最后一个开始组
[0732.43-0735.04] 以此类推
[0735.04-0736.32] 我们还知道
[0736.32-0738.48] 在组相连硬设方式下
[0738.48-0741.44] 主存数据块在所对应的组内
[0741.44-0743.52] 才用全相连硬设
[0743.52-0746.86] 和对应到组内任何一个开场
[0746.86-0747.82] 例如
[0747.90-0750.22] 各主存分区中的数据块0
[0750.22-0753.34] 可对应开始组0内的任何一行
[0753.34-0754.46] 又例如
[0754.46-0757.26] 各主存分区中的最后一个数据块
[0757.26-0761.22] 可对应最后一个开始组内的任何一行
[0761.22-0762.18] 接下来
[0762.18-0763.78] 请同学们参照
[0763.78-0765.78] 关联度为2的分析
[0765.78-0768.96] 自行完成关联度为4的分析
[0768.96-0771.60] 请同学们暂停播放视频
[0771.60-0779.26] 务必动手练习一下
[0779.26-0782.14] 相信同学们都能正确完成
[0782.14-0786.08] 我们就不再坠述了
[0786.08-0786.96] 接下来
[0786.96-0789.04] 请同学们趁热打铁
[0789.04-0791.92] 挑战着到408难度的席题
[0791.92-0795.68] 该席题改变自2021年的提16
[0795.68-0797.76] 所有已知量都不变
[0797.76-0799.52] 仅将直接硬设方式
[0799.52-0803.06] 更改为了二路组相连硬设方式
[0803.06-0803.86] 实际上
[0803.86-0805.22] 我们在之前的
[0805.22-0808.26] 有关全相连硬设方式的那些课中
[0808.26-0811.06] 也练习过该真体的改变版
[0811.06-0812.82] 也就是将真体中的
[0812.90-0814.18] 直接硬设方式
[0814.18-0817.44] 更改为了全相连硬设方式
[0817.44-0818.32] 好的
[0818.32-0820.96] 请同学们暂停播放视频
[0820.96-0822.56] 动手练习一下
[0822.56-0830.85] 然后给出你的答案
[0830.85-0833.17] 本题的答案是选项C
[0833.17-0834.97] 大家都选对了吗
[0834.97-0837.49] 我们来一起分析一下
[0837.49-0840.37] 这部分是我们在讲解立题时
[0840.37-0841.85] 反复分析过的
[0841.85-0843.90] 就不再坠述了
[0843.90-0845.38] 由于题目给定
[0845.38-0847.26] 才用写回课略
[0847.26-0848.06] 因此
[0848.06-0849.34] 每个开始行中
[0849.34-0850.38] 包含有一位
[0850.38-0852.46] 脏数据标志位
[0852.46-0854.50] 加上一位有效位
[0854.50-0856.38] 18位标记太子
[0856.38-0858.62] 32字节数据块副本
[0858.62-0859.66] 因此
[0859.66-0863.45] 可得出一个开始行的位数为276
[0863.45-0864.61] 综上所说
[0864.61-0868.06] 本题的答案是选项C
[0868.06-0871.62] 再来挑战2009年的题14
[0871.62-0874.34] 请同学们暂停播放视频
[0874.34-0875.98] 动手练习一下
[0875.98-0878.10] 然后给出你的答案
[0878.14-0885.68] 题的答案是选项C
[0885.68-0887.48] 大家都选对了吗
[0887.48-0889.98] 我们来一起分析一下
[0889.98-0892.58] 这是根据题画出的开始
[0892.58-0895.50] 其内部包含有八个开始组
[0895.50-0897.50] 编号从0到7
[0897.50-0901.29] 每个开始组包含有两个开始行
[0901.29-0903.13] 这是根据题画出的
[0903.13-0905.30] 主存分区情况
[0905.30-0908.14] 由于采用的是组硬设方式
[0908.14-0909.06] 因此
[0909.06-0911.70] 分区林中的八个主存数据块
[0911.70-0914.89] 分别对应开始中的八个组
[0914.89-0917.21] 分区一中的八个主存数据块
[0917.21-0920.41] 也分别对应开始中的八个组
[0920.41-0922.65] 分区二中的八个主存数据块
[0922.65-0925.77] 也分别对应开始中的八个组
[0925.77-0927.70] 以此类推
[0927.70-0929.14] 题目要求给出
[0929.14-0932.78] 主存129号单元所在主存数据块
[0932.78-0935.88] 因装入开始组号是什么
[0935.88-0936.76] 因此
[0936.76-0937.88] 我们只要知道
[0937.96-0940.96] 主存129号单元所在分区号
[0940.96-0943.18] 和数据块号即可
[0943.18-0944.26] 题目给定
[0944.26-0946.34] 主存按字节编指
[0946.34-0949.78] 每个主存数据块大小为32字节
[0949.78-0950.66] 因此
[0950.66-0953.14] 用129处理32
[0953.14-0954.82] 结果相下取证
[0954.82-0955.98] 即可知道
[0955.98-0957.86] 主存129号单元
[0957.86-0961.02] 在分区林中的数据块4中
[0961.02-0964.95] 而该主存数据块对应4号开始组
[0964.95-0965.79] 接下来
[0965.79-0967.83] 我们再从主存地址的角度
[0967.83-0969.57] 来分析一下
[0969.57-0970.61] 题目给定
[0970.61-0972.53] 主存按字节编指
[0972.53-0976.22] 每个主存数据块大小为32字节
[0976.22-0979.40] 和写成2的五次方个字节
[0979.40-0980.64] 因此可知
[0980.64-0984.70] 主存地址中块内偏一部分占五位
[0984.70-0988.07] 而开始包含有八个开始组
[0988.07-0991.03] 和写成2的三次方个
[0991.03-0992.23] 因此可知
[0992.23-0996.10] 主存地址中开始组锁印占三位
[0996.10-0997.42] 而主存地址中
[0997.46-0999.94] 主存分区号部分所占的位数
[0999.94-1000.90] 对于本题
[1000.90-1003.18] 我们不用关心
[1003.18-1004.58] 由于题目给定
[1004.58-1006.78] 主存按字节编指
[1006.78-1009.98] 因此主存129号单元的地址
[1009.98-1011.97] 就是129
[1011.97-1014.53] 将其写成二进制形式
[1014.53-1015.25] 其中
[1015.25-1017.85] 第五位是块内偏一
[1017.85-1020.73] 高三位是开始组锁印
[1020.73-1022.65] 也就是开始组号
[1022.65-1026.09] 将其写成实定制数为4
[1026.09-1027.29] 综上所说
[1027.29-1030.41] 本题的答案是选项C
[1030.41-1033.72] 再来挑战2002年的题16
[1033.72-1034.88] 提示一下
[1034.88-1038.08] 同学们可参照二路组相连印设方式
[1038.08-1040.03] 来完成本题
[1040.03-1041.47] 首先理解一下
[1041.47-1044.75] 开始中比较器的个数是指什么
[1044.75-1046.27] 需要说明的是
[1046.27-1048.27] 在我们的理论教学中
[1048.27-1049.99] 为了方便描述
[1049.99-1052.87] 我们常说N路并发比较
[1052.87-1055.59] 采用N路并发比较器
[1055.59-1059.03] 这相当于采用了N个独立的比较器
[1059.03-1061.33] 同时进行比较
[1061.33-1063.25] 而比较器的位数是指
[1063.25-1066.04] 在比较数据的位宽
[1066.04-1066.88] 好的
[1066.88-1069.52] 请同学们暂停播放视频
[1069.52-1071.20] 动手练习一下
[1071.20-1073.32] 然后给出你的答案
[1073.32-1080.63] 本题的答案是选项A
[1080.63-1082.73] 大家都选对了吗
[1082.73-1083.93] 这部分分析
[1083.93-1086.57] 相信同学们都能正确完成
[1086.57-1089.62] 我们就不再赘述了
[1089.62-1091.50] 开始中比较器的个数
[1091.50-1093.74] 就是组相连应设方式中
[1093.74-1097.70] 每个开始组所包含的开场的数量
[1097.70-1099.42] 而比较器的位数
[1099.42-1101.70] 实际上就是主存地址中
[1101.70-1103.94] 主存分析号的位数
[1103.94-1107.53] 也是开场中标记态度的位数
[1107.53-1108.73] 综上所说
[1108.73-1112.17] 本题的答案是选项A
[1112.17-1112.97] 好的
[1112.97-1115.45] 本节课到这里就结束了
[1115.45-1116.29] 同学们
[1116.29-1117.53] 我们下节课见
