[0004.62-0009.02] 同學們好,歡迎大家來到我的計算機組成原理維克堂
[0261.58-0263.50] 相容性微操作是指
[0263.50-0265.82] 可以同時執行的微操作
[0265.82-0268.22] 或可以在同一個機器週期內
[0268.30-0270.38] 並行執行的微操作
[0270.38-0276.54] 例如PC-IN、MAR-IN、IR-IN等微命令相應的微操作
[0276.54-0280.74] 如同所示
[0280.74-0282.18] 需要說明的是
[0282.18-0283.70] 這裡的機器週期
[0283.70-0287.86] 在我們之前介紹有關傳統三級時序的那些客庄
[0287.86-0290.96] 我們將其稱為狀態週期
[0290.96-0293.28] 護士性微操作是指
[0293.28-0295.52] 不可以在同一個機器週期內
[0295.52-0297.82] 並行執行的微操作
[0297.82-0298.70] 例如
[0298.70-0303.42] 主存足協控制的這兩個微命令相應的微操作
[0303.42-0307.02] 所有向CPU內部單總線進行輸出控制的
[0307.02-0309.82] 微命令相應的微操作
[0309.82-0314.78] 用於運算器控制的這些微命令相應的微操作
[0314.78-0316.30] 請同學們注意
[0316.30-0317.90] 只有相容的微命令
[0317.90-0321.09] 才能出現在同一條微指令中
[0321.09-0321.97] 另外
[0321.97-0325.01] 現在時序取消了機器週期的概念
[0325.01-0327.65] 所有微操作的護士相容時間
[0327.73-0331.50] 以一個時庄週期為單位
[0331.50-0335.82] 儘管我們在之前介紹微程序控制的核心思想時
[0335.82-0337.90] 同學們已經初步了解了
[0337.90-0339.34] 什麼是微指令
[0339.34-0341.41] 什麼是微程序
[0341.41-0342.93] 但在同學們了解了
[0342.93-0345.81] 微命令和微操作的相關概念後
[0345.81-0347.89] 我們再進一步來理解一下
[0347.89-0350.83] 微指令和微程序
[0350.83-0352.67] 在一個機器週期中
[0352.67-0355.23] 一組實現某一特定操作功能的
[0355.23-0356.83] 相容性微命令
[0356.83-0359.39] 就構成了一條微指令
[0359.47-0363.87] 這些微命令各自產生相應的微操作控制信號
[0363.87-0366.67] 控制執行相應的一組微操作
[0366.67-0369.76] 實現一條指令的部分功能
[0369.76-0371.68] 同學們可借助該圖
[0371.68-0379.44] 再好好理解一下上述概念
[0379.44-0380.32] 接下來
[0380.32-0385.04] 我們以之前經常使用的這幅單種線結構計算機的框圖為例
[0385.04-0387.60] 介紹微指令的基本格式
[0387.60-0388.88] 如同所示
[0388.88-0390.64] 微指令的基本格式
[0390.64-0394.96] 有操作控制字段和順序控制字段
[0394.96-0397.14] 這兩大部分組成
[0397.14-0401.95] 其中操作控制字段包含有若干個微命令位
[0401.95-0405.07] 若微指令中包含某個微命令
[0405.07-0407.95] 則相應微命令位的狀態唯一
[0407.95-0409.50] 否則為0
[0409.50-0411.74] 順序控制字段又分為
[0411.74-0415.47] 判別測試字段和下指字段兩部分
[0415.47-0418.51] 其中判別測試字段用以指出
[0418.67-0422.35] 微指令執行過程中需要測試的外部條件
[0422.35-0427.66] 包括是否依據指令一碼結果進行微程序分支
[0427.66-0429.18] 近位是否為0
[0429.18-0431.52] 運算結果是否為0
[0431.52-0436.11] 是否是當前微程序的最後一條微指令
[0436.11-0440.14] 下指字段用於存放下一條微指令的地址
[0440.14-0444.18] 下指字段的長度取決於微程序的規模
[0444.18-0449.30] 是否按下指字段給出的下一條微指令的地址執行微程序
[0449.30-0453.54] 取決於判別測試字段給出的判別測試結果
[0453.54-0457.70] 若需要進行判別測試且測試條件成立
[0457.70-0461.14] 則會對下指字段給出的地址進行修改
[0461.14-0463.95] 來實現微程序分支跳轉
[0463.95-0468.24] 否則按該字段給出的地址去下一條微指令
[0468.24-0469.52] 一般情況下
[0469.52-0474.08] 取指週期的操作會被編制成一段公共的微程序
[0474.08-0476.00] 也就是取指指令
[0476.00-0478.50] 稱為取指微程序
[0478.50-0483.74] 取指微程序從控制存儲器的0號地址單元開始存儲
[0483.74-0489.12] 系統上電時會自動從取指微程序開始執行
[0489.12-0493.84] 取出指令後在依據指令一碼情況進行分支跳轉
[0493.84-0497.66] 跳轉到相應指令的微程序入口地址
[0497.66-0500.62] 微程序中微指令的一碼分支跳轉
[0500.62-0504.96] 取決於微指令的一碼測試位P0
[0504.96-0508.96] 取指指令的微程序中的最後一條微指令的P0位
[0509.04-0510.56] 應設置唯一
[0510.56-0514.08] 表示並不需要檢查其他狀態條件
[0514.08-0517.71] 直接依據一碼情況進行分支跳轉
[0517.71-0521.31] 總常所說指令的相應微程序的執行
[0521.31-0525.07] 會控制該指令執行所需要的控制信號
[0525.07-0526.75] 按照相應順序
[0526.75-0531.63] 也就是微程序中微指令的執行順序依次有效
[0531.63-0535.57] 這實際上是一種軟件時序控制
[0535.65-0538.85] 這次可能有些同學對上述概念
[0538.85-0541.57] 一時無法釐清和理解
[0541.57-0543.89] 便產生了未難情緒
[0543.89-0547.57] 甚至對這部分內容有放棄的想法
[0547.57-0552.45] 還有的同學會打出師傅別念了這樣的調侃彈幕
[0552.45-0553.89] 不用糾結
[0553.89-0556.53] 這些概念我們在微程序控制期的
[0556.53-0559.01] 後續幾節課中都會用到
[0559.01-0562.67] 那時同學們可以進一步加深理解
[0562.67-0566.32] 最後我們再來看微指令週期這個概念
[0566.32-0568.00] 通過本節課的介紹
[0568.00-0569.20] 同學們知道
[0569.20-0573.52] 微指令是存儲在CPU內的控制存儲器中的
[0573.52-0578.38] 只有將其從控制存儲器中讀出後才能執行
[0578.38-0583.02] 從控制存儲器取出並執行一條微指令所需的時間
[0583.02-0584.78] 稱為微指令週期
[0584.78-0587.09] 簡稱微週期
[0587.09-0589.57] 在微指令的串形執行方式下
[0589.57-0591.49] 將一個微指令週期
[0591.49-0594.05] 設計為與一個積極週期相同
[0594.05-0598.18] 則可以在一個積極週期內處理一條微指令
[0598.18-0601.22] 上述有關微指令週期的相關概念
[0601.22-0603.86] 可借助該圖進行理解
[0608.24-0609.84] 需要說明的是
[0609.84-0613.52] 由於現在時序取消了積極週期的概念
[0613.52-0618.18] 因此微指令週期為一個CPU時鐘週期
[0618.18-0622.10] 一條指令的微程序包含多少條微指令
[0622.26-0626.10] 就會指令安排相應數量的CPU時鐘週期
[0626.10-0630.78] 請注意不要將指令週期與微指令週期搞混淆
[0630.78-0637.17] 接下來請同學們挑戰一道與本節課內容相關的408考驗整體
[0637.17-0639.81] 請同學們暫停播放視頻
[0639.81-0641.01] 思考一下
[0641.01-0647.73] 然後給出你的答案
[0647.73-0650.05] 本題的答案是選項第
[0650.05-0651.73] 大家都選對了嗎
[0651.73-0654.03] 我們來一起分析一下
[0654.03-0657.12] 首先從指令執行速度進行對比
[0657.28-0660.56] 應不限控制器通過固定的硬件電路
[0660.56-0663.68] 例如組合邏輯和狀態機
[0663.68-0665.76] 直接生成控制信號
[0665.76-0668.48] 不存在訪問微程序存儲器
[0668.48-0673.34] 也就是本節課所介紹的控制存儲器的實驗
[0673.34-0676.42] 因此指令執行速度更快
[0676.42-0681.14] 而微程序控制器需要從控制存儲器裝取出微指令
[0681.14-0684.21] 增加了額外的訪問時間
[0684.29-0688.51] 再從指令功能的修改和擴展進行對比
[0688.51-0692.19] 應不限控制器的控制邏輯是硬件實現的
[0692.19-0693.87] 任何修改或擴展
[0693.87-0696.03] 例如添加新指令
[0696.03-0698.59] 都需要重新設計硬件電路
[0698.59-0700.75] 重新佈局和測試
[0700.75-0703.58] 過程複雜且成本高
[0703.58-0706.70] 而微程序控制器通過軟件方式
[0706.70-0708.30] 修改微程序代碼
[0708.30-0711.10] 即可實現功能的修改和擴展
[0711.10-0712.83] 靈活性高
[0712.91-0714.03] 綜上所說
[0714.03-0716.91] 本題的答案是選項第
[0716.91-0717.71] 好的
[0717.71-0720.35] 本節課到這裡就結束了
[0720.35-0764.10] 請同學們快速回憶一下本節課的主要內容
[0764.10-0764.98] 同學們
[0764.98-0766.58] 我們下節課見
