[0003.79-0007.79] 同学们好,欢迎大家来到我的计算机组成员里维克堂
[0345.55-0348.75] 其功能单一只支持顺序访问
[0348.75-0351.87] 因此不需要命令计准器DCR
[0351.87-0354.27] 而对于复杂的输入输出设备
[0354.27-0356.99] 则需要支持数据的双向交互
[0356.99-0360.43] 甚至需要以数据块为单位进行传输
[0360.43-0362.59] 其控制流程价位复杂
[0362.67-0363.79] 那么接下来呢
[0363.79-0365.23] 我们就给同学们介绍
[0365.23-0368.26] 复杂输入输出设备的查询流程
[0368.26-0371.94] CPU与复杂输入输出设备进行数据交互时
[0371.94-0375.54] 首先要读取设备状态计存器DSR的内容
[0375.54-0378.74] 以便根据其中的就序标志位Ready的值
[0378.74-0381.06] 判断设备是否已就序
[0381.06-0383.30] 若Ready标志位的值不为一
[0383.30-0385.38] 则继续进行查询
[0385.38-0387.62] 若Ready标志位的值为一
[0387.62-0390.42] 则可以通过总线向设备的IO接口
[0390.50-0393.54] 发送命令和参数来启动设备
[0393.54-0396.82] 这样设备就开始执行相应的操作
[0396.82-0398.98] 这可能需要较长的时间
[0398.98-0400.98] 而CPU在启动设备后
[0400.98-0403.86] 就开始不断的查询设备状态
[0403.86-0405.30] 当设备就序时
[0405.30-0408.64] 就可以进行实际的数据传输
[0408.64-0410.08] 需要说明的是
[0410.08-0411.60] 在上述流程中
[0411.60-0415.04] 需要两次循环查询设备状态的过程
[0415.04-0417.92] 如果在第一次循环查询设备状态的过程中
[0417.92-0419.60] 发现设备不正常
[0419.60-0422.80] 也可直接向设备发送复位命令
[0422.80-0423.52] 另外
[0423.52-0425.52] 当设备收到正常的命令
[0425.52-0427.76] 也就是非复位命令
[0427.76-0430.00] 就立刻进行准备或处理
[0430.00-0432.88] 也就是进入设备准备阶段
[0432.88-0435.65] 该阶段可能需要较长的时间
[0435.65-0436.93] 设备准备好后
[0436.93-0441.94] 会将设备状态计论器DSR中的就续标志位Ready之一
[0441.94-0442.82] 相应的
[0442.82-0444.42] CPU在启动设备后
[0444.42-0447.14] 就开始持续查询设备状态
[0447.14-0449.30] 也称为轮寻
[0449.38-0451.54] 主要有两种轮寻策略
[0451.54-0453.06] 一种是忙等待
[0453.06-0455.22] 也称为独占式查询
[0455.22-0457.38] 另一种是定时轮寻
[0457.38-0460.10] 我们画出这两种轮寻策略的示意图
[0460.10-0462.02] 以方便同学们理解
[0462.02-0464.82] 首先来画独占式查询的示意图
[0464.82-0465.86] 如同所示
[0465.86-0468.02] 水平方向为时间
[0468.02-0472.10] CPU执行包含有访问IOS设备功能的用户程序
[0472.10-0475.10] 用户程序发送设备命令和参数
[0475.10-0476.54] IOS设备收到后
[0476.54-0478.22] 进入准备阶段
[0478.30-0480.94] 而CPU在发送设备命令和参数后
[0480.94-0483.74] 就开始反复查询设备的状态
[0483.74-0485.74] 也称为轮寻等待
[0485.74-0487.74] 这样一旦设备就续
[0487.74-0490.46] CPU就能立即发现设备已就续
[0490.46-0493.57] 竟然可以进入实际的数据传输阶段
[0493.57-0495.97] 之后执行用户程序的其他部分
[0495.97-0497.86] 就不再追数了
[0497.86-0501.04] 我们再来画出定时轮寻的示意图
[0501.04-0504.80] CPU执行包含有访问IOS设备功能的用户程序
[0504.80-0507.07] 就为用户进程PE
[0507.07-0509.66] CPU发送设备命令和参数
[0509.66-0512.78] IOS设备收到后进入准备阶段
[0512.78-0514.54] 相较于独占式查询
[0514.54-0515.98] 对于定时轮寻
[0515.98-0518.54] CPU在发送设备命令和参数后
[0518.54-0520.94] 不需要反复查询设备的状态
[0520.94-0523.10] 而是启动一个定时器
[0523.10-0525.66] 然后挂起当前用户进程PE
[0525.66-0528.06] 并将其放入IOS等待队列
[0528.06-0530.54] 也就是进行进程调度
[0530.54-0532.86] 调度其他用户进程运行
[0532.86-0536.11] 这里我们将其他用户进程即为P2
[0536.19-0539.07] 假设在该时刻还有设备就续
[0539.07-0540.35] 而在该时刻
[0540.35-0543.87] 之前启动的定时器产生了定时中断
[0543.87-0547.23] CPU会执行相应的定时中断服务程序
[0547.23-0550.83] 该程序的主要任务就是查询设备状态
[0550.83-0552.43] 如果设备已就续
[0552.43-0554.59] 则唤醒用户进程PE
[0554.59-0557.34] 否则将继续进行定时轮寻
[0557.34-0560.54] 这样当用户进程P2执行结束后
[0560.54-0561.90] 通过进程调度
[0561.90-0565.34] 就可以继续执行之前唤醒的用户进程PE
[0565.42-0567.82] 进行实际的数据成数
[0567.82-0571.02] 通过对比上述这两种轮寻策略的示意图
[0571.02-0572.30] 不能发现
[0572.30-0573.98] 对于独占式查询
[0573.98-0577.18] 轮寻等待浪费了大量的CPU时间
[0577.18-0579.10] 一般在单人物操作系统中
[0579.10-0581.02] 可采用独占式查询
[0581.02-0583.18] 因为CPU在轮寻等待过程中
[0583.18-0585.57] 不需要执行其他任务
[0585.57-0587.09] 对于超高速设备
[0587.09-0588.69] 由于设备响应快
[0588.69-0590.69] 相应的轮寻等待时间短
[0590.69-0593.55] 独占式查询也可以接受
[0593.55-0595.07] 对于定时轮寻
[0595.15-0596.99] 设备准备数据的过程中
[0596.99-0599.15] CPU可执行其他任务
[0599.15-0601.23] 这样就有效避免了
[0601.23-0604.43] 轮寻等待对CPU时间的大量浪费
[0604.43-0605.95] 不过中断服务
[0605.95-0608.59] 还是需要占有一定的CPU时间
[0608.59-0609.71] 从上所说
[0609.71-0612.19] 定时轮寻适用于外部设备自身
[0612.19-0615.55] 没有中断请求功能的多任务操作系统
[0615.55-0617.63] 可能有些同学已经发现了
[0617.63-0619.15] 对于定时轮寻
[0619.15-0622.59] 定时时间间隔的选择是一个关键问题
[0622.59-0624.67] 若定时时间间隔太短
[0624.75-0626.11] 则中断频繁
[0626.11-0628.19] 竟然频繁进行中断服务
[0628.19-0629.90] 开销浪费大
[0629.90-0632.06] 若定时时间间隔太长
[0632.06-0634.14] 则IOS设备准备好数据号
[0634.14-0636.26] 可能得不到及时处理
[0636.26-0638.74] 因此为了提高CPU利用率
[0638.74-0643.06] 并且确保IOS设备的数据得到及时处理而不丢失
[0643.06-0646.13] 需要合理设置定时时间间隔
[0646.13-0647.25] 例如
[0647.25-0651.41] 键盘设备和鼠标设备的输入速度比CPU慢得多
[0651.41-0652.21] 因此
[0652.21-0654.77] 只要以比人的反应速度快的频率
[0654.77-0656.21] 进行定时轮寻
[0656.21-0659.01] 就可以确保设备数据不丢失
[0659.01-0660.13] 综上所说
[0660.13-0663.89] 慢速设备比较适合定时轮寻这种轮型设备
[0663.89-0666.77] 而快速设备的定时轮寻开销大
[0666.77-0667.49] 另外
[0667.49-0670.37] 程序查询方式的IO接口设计简单
[0670.37-0671.49] 容易实现
[0671.49-0674.80] 常见于早期单人物操作系统中
[0674.80-0676.40] 现代多人物操作系统
[0676.40-0678.64] 在多人物引导成功之前
[0678.64-0680.56] 必须使用程序查询方式
[0680.56-0682.56] 与IO设备进行交互
[0682.56-0683.84] 例如键盘
[0683.84-0684.48] 磁盘
[0684.48-0685.36] 显示器等
[0685.36-0688.54] 都必须支持程序查询方式
[0688.54-0689.26] 好的
[0689.26-0690.06] 接下来
[0690.06-0691.66] 请同学们挑战这道
[0691.66-0695.50] 与本节课内容相关的408考研例年真题
[0695.50-0697.74] 请同学们暂停播放视频
[0697.74-0699.18] 动手练习一下
[0699.18-0706.74] 然后给出你的答案
[0706.74-0708.66] 本题的答案是选项C
[0708.66-0710.18] 大家都选对了吗
[0710.18-0712.10] 我们来一起分析一下
[0712.10-0713.14] 题目给定
[0713.14-0715.38] 每秒至少查询200次
[0715.46-0718.50] 查询程序运行一次所用的十中周期数
[0718.50-0719.94] 至少为500
[0719.94-0722.66] 因此每秒用于查询的时间至少为
[0722.66-0723.78] 500乘以200
[0723.78-0726.18] 等于10万个十中周期
[0726.18-0727.06] 题目给定
[0727.06-0729.62] Project主评为50兆赫兹
[0729.62-0731.62] 因此CPU时间为
[0731.62-0734.58] 50乘以10的六四方个十中周期
[0734.58-0736.34] 综合一式和二式
[0736.34-0739.54] 即可得到CPU用于设备A到IO的时间
[0739.54-0741.94] 占整个CPU时间的百分比
[0741.94-0742.98] 综上所述
[0742.98-0745.52] 本题的答案是选项C
[0745.68-0746.40] 好的
[0746.40-0748.56] 本节课到这里就结束了
[0748.56-0750.56] 请同学们快速回忆一下
[0750.56-0786.03] 本节课的主要内容
[0786.03-0786.75] 同学们
[0786.75-0788.11] 我们下节课见
