[0004.69-0008.79] 同學們好,歡迎大家來到我的計算機組成原理威克堂
[0244.71-0249.51] 其中每個指令週期包含有取指週期、計算週期
[0249.51-0253.04] 以及執行週期這三個狀態週期
[0253.04-0254.74] 我們在圖中看到的
[0254.74-0257.94] 是他們各自的信號、高電平有效
[0257.94-0259.94] 例如這段時間
[0259.94-0262.34] 取指週期信號處於高電平
[0262.34-0266.79] 用於指示當前處於取指令的操作階段
[0266.79-0268.49] 之後的這段時間
[0268.59-0271.29] 計算週期信號處於高電平
[0271.29-0276.75] 用於指示當前處於計算操作數有效地址的操作階段
[0276.75-0278.55] 之後的這段時間
[0278.55-0281.15] 執行週期信號處於高電平
[0281.15-0285.80] 用於指示當前處於指令執行的操作階段
[0285.80-0287.30] 之後的這段時間
[0287.30-0290.20] 取指週期信號再次處於高電平
[0290.20-0294.96] 用於指示當前處於取下一條指令的操作階段
[0294.96-0296.16] 以此類推
[0296.16-0298.76] 計算週期信號和執行週期信號
[0298.76-0301.06] 也是週期性的出現高電平
[0301.06-0303.16] 並維持一段時間
[0303.16-0308.15] 用於指示處於當前指令週期中的具體操作階段
[0308.15-0310.15] 從圖中還可以看出
[0310.15-0313.95] 每個狀態週期包含四個節拍電位信號
[0313.95-0316.08] 也是高電平有效
[0316.08-0316.98] 例如
[0316.98-0319.48] 取指週期信號有效的這段時間
[0319.48-0322.78] 又被劃分成了節拍電位一的信號有效
[0322.78-0324.68] 節拍電位二的信號有效
[0324.68-0326.48] 節拍電位三的信號有效
[0326.48-0328.28] 節拍電位四的信號有效
[0328.28-0331.21] 這四個更小的時間單元
[0331.21-0336.14] 分別用於指示當前處於取指週期的哪個步驟
[0336.14-0337.34] 又例如
[0337.34-0340.04] 計算週期信號有效的這段時間
[0340.04-0343.14] 又被劃分成了節拍電位一的信號有效
[0343.14-0344.94] 節拍電位二的信號有效
[0344.94-0346.74] 節拍電位三的信號有效
[0346.74-0348.64] 節拍電位四的信號有效
[0348.64-0351.14] 這四個更小的時間單元
[0351.14-0355.89] 分別用於指示當前處於計算週期的哪個步驟
[0355.89-0356.99] 再例如
[0356.99-0359.59] 執行週期信號有效的這段時間
[0359.59-0362.59] 又被劃分成了節拍電位一的信號有效
[0362.59-0364.39] 節拍電位二的信號有效
[0364.39-0366.29] 節拍電位三的信號有效
[0366.29-0368.19] 節拍電位四的信號有效
[0368.19-0370.92] 這四個更小的時間單元
[0370.92-0375.55] 分別用於指示當前處於執行週期的哪個步驟
[0375.55-0376.35] 之後
[0376.35-0378.25] 又要進入取指週期
[0378.25-0380.74] 我們就不再追數了
[0380.74-0382.74] 從圖中還可以探出
[0382.74-0386.32] 每個節拍電位包含一個節拍賣充
[0386.42-0387.92] 需要說明的是
[0387.92-0391.32] 節拍賣充可能直接來自於CPU的時鐘
[0391.32-0393.98] 也可能是其分頻信號
[0393.98-0396.58] 我們給該圖添加一些風格線
[0396.58-0398.18] 以方便同學們看出
[0398.18-0399.28] 狀態週期
[0399.28-0400.28] 節拍電位
[0400.28-0404.14] 節拍賣充這三級時序的對應關係
[0404.14-0405.34] 對於本例
[0405.34-0410.24] 取指週期這個狀態週期包含四個節拍電位
[0410.24-0414.80] 每個節拍電位包含一個節拍賣充
[0414.80-0417.00] 計算週期這個狀態週期
[0417.00-0420.13] 包含四個節拍電位
[0420.13-0424.84] 每個節拍電位包含一個節拍賣充
[0424.84-0429.64] 執行週期這個狀態週期包含四個節拍電位
[0429.64-0433.71] 每個節拍電位包含一個節拍賣充
[0433.71-0437.99] 之後又進入下一條指令的取指週期
[0437.99-0439.49] 請同學們注意
[0439.49-0442.49] 我們剛剛舉例的這個三級時序系統
[0442.49-0445.79] 是定場指令週期的三級時序系統
[0445.79-0446.79] 也就是說
[0446.79-0448.49] 所有指令的指令週期
[0448.49-0452.84] 包含相同數量的狀態週期和節拍電位
[0452.84-0456.44] 如果有的同學還是沒有理解三級時序
[0456.44-0459.44] 我們對三級時序進行這樣的比喻
[0459.44-0462.09] 以幫助同學們理解
[0462.09-0465.89] 可將狀態週期比喻為交響月的一個月章
[0465.89-0470.36] 而節拍電位就是構成該月章的各個小節
[0470.36-0474.66] 而節拍賣充就是最基本的節拍
[0474.66-0476.46] 還可以這樣比喻
[0476.46-0480.06] 可將狀態週期比喻為要幹一件事情
[0480.06-0484.92] 而節拍電位就是幹這件事要分成幾個步驟
[0484.92-0490.26] 而節拍賣充就是每個步驟具體開幹的時刻
[0490.26-0491.06] 好了
[0491.06-0494.46] 我們用了陽春白雪和下禮八人兩種方式
[0494.46-0496.96] 對三級時序進行的比喻
[0496.96-0501.75] 希望同學們現在都對三級時序有了進一步的理解
[0501.75-0503.35] 請同學們注意
[0503.35-0507.75] 對於指令集裝包含有大量功能簡單的指令而言
[0507.75-0512.84] 採用定長指令週期的三級時序會造成時間浪費
[0512.84-0515.04] 這是因為一般來說
[0515.04-0519.44] 功能簡單的指令比功能複雜的指令的指令週期短
[0519.44-0522.44] 然而如果採用定長指令週期
[0522.44-0527.34] 則對於那些功能簡單的指令而言就會造成時間浪費
[0527.34-0531.14] 尤其是指令集裝包含大量功能簡單的指令
[0531.24-0535.15] 而僅有少數功能複雜的指令的情況
[0535.15-0535.95] 接下來
[0535.95-0537.95] 請同學們思考一下
[0537.95-0539.55] 我們之前在有關
[0539.55-0543.55] 基於CPU內部單總線結構的數據通路的那些課中
[0543.55-0545.35] 給同學們介紹過的
[0545.35-0551.89] mix32中的這五條指令的指令週期是定長的嗎
[0551.89-0554.29] 同學們可以根據我們剛剛介紹的
[0554.29-0561.60] 定長指令週期的概念進行思考
[0561.60-0564.80] 答案是指令週期不是定長的
[0564.80-0566.10] 原因如下
[0566.10-0570.80] 一方面各指令包含的狀態週期數量不完全相同
[0570.80-0577.90] 例如LW、SW、BQ這三條指令都包含三個狀態週期
[0577.90-0583.78] 而ADDI和ADD這兩條指令都包含兩個狀態週期
[0583.78-0588.38] 另一方面各狀態週期包含的節派電位數量不同
[0588.38-0592.18] 例如曲止週期包含四個節派電位
[0592.18-0595.18] 計算週期包含兩個節派電位
[0595.18-0598.86] 直徑週期包含三個節派電位
[0598.86-0601.56] 那麼在回答了該問題後
[0601.56-0607.74] 同學們能否畫出該指令級的變長指令週期的三級時序圖呢
[0607.74-0609.74] 給同學們一些提示
[0609.74-0612.94] 採用變長指令週期的三級時序系統
[0612.94-0615.24] 各指令需要多少狀態週期
[0615.24-0617.84] 就分配多少狀態週期
[0617.84-0620.74] 各狀態週期需要多少節派電位
[0620.74-0626.67] 就分配多少節派電位
[0626.67-0629.17] 相信同學們都能正確畫出
[0629.17-0634.60] 我們就不再墜速了
[0634.60-0637.50] 另外還要提醒同學們注意的是
[0637.50-0641.00] 不要將變長指令週期和變長指令週期
[0641.00-0643.90] 與我們在之前第五章中介紹的
[0643.90-0648.13] 變長指令系統和變長指令系統搞混淆了
[0648.13-0650.93] 變長指令系統和變長指令系統
[0650.93-0653.63] 是針對指令長度而言的
[0653.63-0656.63] 而變長指令週期和變長指令週期
[0656.63-0660.15] 是針對指令相關時間而言的
[0660.15-0663.35] 那麼剛剛給同學們介紹過的這兩種
[0663.35-0667.95] 對控制器產生控制信號進行時間控制的方式
[0667.95-0670.70] 都屬於同步控制方式
[0670.70-0674.50] 同步控制方式將各部件中最長操作時間
[0674.50-0676.80] 作為標準時間間隔
[0676.80-0681.62] 各部件都在該時間間隔內啟動並完成操作
[0681.62-0684.72] 同步控制方式的時序關係比較簡單
[0684.72-0687.96] 因此控制器的設計比較方便
[0687.96-0690.56] 然而如果存在慢速部件
[0690.56-0692.88] 則CPU效率較低
[0692.88-0694.38] 根據同步力度
[0694.38-0697.48] 也就是狀態週期數量是否可變
[0697.48-0700.58] 節拍電位數量是否可變的不同
[0700.58-0703.78] 同步控制方式還可進一步分類
[0703.78-0708.08] 例如以上介紹的定長指令週期和變長指令週期
[0708.08-0710.66] 各自的三級時序
[0710.66-0712.46] 傳統多級時期控制
[0712.46-0714.66] 例如三級時期控制
[0714.66-0716.56] 除了同步控制方式外
[0716.56-0719.51] 還包括一步控制方式
[0719.51-0721.86] 聯合控制方式
[0721.96-0723.26] 一步控制方式
[0723.26-0725.86] 沒有統一的CPU時鐘信號
[0725.86-0729.72] 也沒有固定的狀態週期和節拍電位
[0729.72-0734.64] 執行各條指令需要多長時間就分配多長時間
[0734.64-0739.21] 控制器對各功能部件的控制採用應達機制
[0739.21-0740.31] 也就是說
[0740.31-0744.11] 控制器給功能部件發送操作控制信號後
[0744.11-0747.11] 必須等到功能部件發揮應達信號
[0747.11-0750.33] 才能開始下一步的操作控制
[0750.43-0751.13] 例如
[0751.13-0753.23] CPU訪問內存時
[0753.23-0756.93] 可以採用內存的Ready營角發送的應達信號
[0756.93-0760.70] 作為讀寫週期的結束信號
[0760.70-0762.30] 一步控制的色點是
[0762.30-0765.50] 各部件和按各自所需的時間工作
[0765.50-0769.40] 不存在快速部件等待慢速部件的情況
[0769.40-0772.23] 因此提高了系統速度
[0772.23-0772.93] 然而
[0772.93-0776.80] 一步控制方式的實現結構比較複雜
[0776.80-0778.20] 聯合控制方式
[0778.20-0782.47] 是將同步控制方式與一步控制方式相結合
[0782.47-0785.87] 對於佔大多數的時間固定的操作
[0785.87-0787.47] 採用狀態週期
[0787.47-0790.40] 節拍電位進行同步控制
[0790.40-0793.50] 對於少量的時間難以確定的操作
[0793.50-0796.17] 採用一步控制方式
[0796.17-0798.37] 請同學們將本節課的重點
[0798.37-0802.07] 放在三級時序的同步控制方式上
[0802.07-0804.67] 因為我們下節課要介紹的內容
[0804.67-0807.47] 就是三級時序的產生方法
[0807.47-0811.28] 一起來說就是時序發生器的設計
[0811.28-0812.08] 好的
[0812.08-0814.58] 本節課到這裡就結束了
[0814.58-0831.32] 請同學們快速回憶一下本節課的主要內容
[0831.32-0832.02] 同學們
[0832.02-0833.22] 我們下節課見
