[0003.31-0007.41] 同学们好,欢迎大家来到我的计算机组成员里维克唐。
[0336.76-0341.76] 这种转换只是有符号类型和无符号类型之间的相互转换,
[0341.76-0344.76] 只需要保持机器码不变即可。
[0344.76-0349.89] 我们以chart型和uncined chart型之间的转换为例进行介绍。
[0349.89-0353.89] uncined chart型数据的取值范围是0-255。
[0353.89-0358.92] chart型数据的取值范围是-128-127。
[0358.92-0366.20] 我们在数轴上画出上述取值范围,这是chart型数据的取值范围,
[0366.20-0376.03] 这是uncined chart型数据的取值范围,该区域是它们的交集,而这两个是交集以外的区域。
[0376.03-0382.03] 我们来举例说明这三个区域中的数在进行数据类型转换时的情况。
[0382.03-0390.13] 首先来看交集中的数,由于该区域中的数既可以是chart型,也可以是uncined chart型,
[0390.13-0395.13] 因此不但想象,转换后的数据与原值是相同的。
[0395.13-0401.13] 例如,我们定义了一个chart型变量C,并且它复制为126。
[0401.13-0407.13] 由于chart型表示有符号整数,因此在机器内部用补码来表示。
[0407.13-0410.13] 这是符号位,起值为0表示正数。
[0410.13-0417.22] 之后,我们定义了一个uncined chart型变量Uc,它是一个无符号整形变量。
[0417.22-0427.22] 然后我们将chart型变量C进行强制类型转换,转换为uncined chart型,并将其复制给uncined chart型变量Uc。
[0427.22-0435.26] 针对这种转换,编译器会保持原来的机器码不变,但把原来的符号位当做是数值位。
[0435.26-0445.26] 换句话说,转换后,原来的机器码是8位补码,现在被编译器解析为8位二净值无符号数,
[0445.26-0455.58] 其相应的实境值数为126,本例是相同自长,chart型转换为uncined chart型,并且数值属于它们交集的例子。
[0455.58-0460.70] 可以发现,转换后的数据与原值是相同的。
[0460.70-0470.70] 我们再来看一个反过来转换的例子,也就是相同自长uncined chart型转换为chart型,并且数值属于它们交集的例子。
[0470.70-0487.74] 我们仍然在交集中选一个数,例如,我们定义了一个uncined chart型变量Uc,并给它复制为16,由于uncined chart型表示无符号数,因此在机器内部就是用该无符号数的8位二净值数表示。
[0487.74-0499.74] 之后,我们定义了一个chart型变量C,它是一个有符号整形变量,然后我们将uncined chart型变量Uc进行强制力型转换,转换为chart型。
[0500.77-0512.77] 并将其复制给chart型变量C,针对这种转换,编译器会保持原来的机器码不变,但是由于变量C为chart型,也就是有符号整数。
[0512.77-0526.77] 因此,原来的机器码是8位无符号二净值数,现在被编译器解析为8位补码,则最高位作为符号位,取之零表示正数,而剩余位作为数值位。
[0526.77-0543.96] 由于正数的补码,与其反码和原码都相同,因此可将该补码看作原码,然后写出原码所表示的真值,也就是符号位上的零表示正数,数值位安全展开相加,即可得到实境之数为16。
[0543.96-0549.96] 当然了,也可通过补码的定义是来求出其所表示的真值。
[0549.96-0561.96] 通过以上两个例子,可以看出,相同自长无符号数和有符号整数之间的转换,属于他们交集中的数,其转换后的数据与原值是相同的。
[0561.96-0572.96] 再来看,将属于刹刑区域,但不属于昂赛的刹刑区域的数值,转换成昂赛的刹刑的例子,看看会出现什么情况。
[0572.96-0588.99] 例如,我们定义了一个刹刑辨量C,并给它副值为副127,由于刹刑表示有符号整数,因此在机器内部用补码来表示,这是符号位取之为一表示副数。
[0588.99-0605.02] 之后,我们定义了一个昂赛的刹刑辨量Uc,它是一个无符号整形辨量,然后我们将刹刑辨量C进行强制力型转换,转换为昂赛的刹刑,并将其副值给昂赛的刹刑辨量Uc。
[0605.02-0613.02] 针对这种转换,编译器会保持原来的机器码不变,但把原来的符号位当作是数值位。
[0613.02-0625.02] 换句话说,转换后,原来的机器码是八位补码,现在被编译器解析为八位二净制无符号数,其相应的十净制数为129。
[0625.02-0635.28] 本力是相同自长,刹刑转换为昂赛的刹刑,并且数值属于刹刑区域,但不属于昂赛的刹刑区域的例子。
[0635.28-0642.28] 可以发现,转换后的数据与原值不同,相当于给原值加上了256。
[0642.28-0654.20] 再来看,将属于昂赛的刹刑区域,但不属于刹刑区域的数值,转换成刹刑的例子,看看会出现什么情况。
[0654.20-0669.20] 例如,我们定义了一个昂赛的刹刑辨量Uc,并给它复制为255,由于昂赛的刹刑表示无符号数,因此在机器内部就是用该无符号数的八位二净制数来表示。
[0669.20-0683.20] 之后,我们定义了一个刹刑辨量C,它是一个有符号整形辨量,然后我们将昂赛的刹刑辨量Uc进行强制类型转换,转换为刹刑,并将其复制给刹刑辨量C,
[0683.20-0693.23] 针对这种转换,编译器会保持原来的机器码不变,但是由于辨量C为刹刑,也就是有符号整数,
[0693.23-0703.23] 因此,原来的机器码是八位无符号二净制数,现在被编译器解极为八位补码,则最高位作为符号位,
[0704.23-0718.30] 取之一表示复数,而剩余位作为数值位,由于复数的补码,与其反码和原码都不相投,因此,可将该补码先转换为原码,可以采用反码法或扫描法,
[0718.30-0728.30] 然后写出原码所表示的针值,也就是符号位上的一表示复数,数值位安全展开相加,即可得到实际之数为复一。
[0728.30-0734.36] 当然了,也可通过补码的定义式,来求出其所表示的针值。
[0734.36-0744.55] 本律是相同自长,昂散的刹刑,转换为刹刑,并且数值属于昂散的刹刑区域,但不属于刹刑区域的例子。
[0744.55-0751.65] 可以发现,转换后的数据与原值不同,相当于给原值减去了256。
[0753.03-0762.03] 接下来,请同学们趁热打铁,挑战两个相关的408历年整体,首先来做2016年的提示三。
[0762.03-0768.26] 请同学们暂停播放视频,动手练习一下,然后给出你的答案。
[0768.26-0781.76] 本题的答案是选项第,大家都选对了吗?我们来一起分析一下,这是题目给定的第一条C语句,
[0782.76-0793.76] 其定义了一个哨子形变量Si,并给它复制为-32767,由于哨子形表示有符号整说,因此在机器内部用补码来表示。
[0793.76-0803.76] 这里用16位补码是因为哨子形的数据宽度是16位的,将针值写成补码表示,可以采用补码的定义式,
[0803.76-0813.76] 也可以将针值先写成圆码表示,然后通过繁码法或扫描法将圆码转换成补码,我们就不再坠述了。
[0813.76-0826.76] 这是题目给定的第二条C语句,其定义了一个Ansan的哨子形变量Usi,然后将之前定义并复制好的哨子形变量Si的值复制给Usi,
[0826.76-0835.76] 这相当于进行了隐视数据类型转换,只不过与我们之前介绍的强制类型转换在语句的写法上稍有不同。
[0835.76-0845.76] 针对这种相同次长整形数据之间的转换,编译器会保持原来的机器码不变,但把原来的符号位当做是数值位。
[0845.76-0854.76] 换句话说,转换后,原来的机器码是16位补码,现在被编译器解析为16位二定制5符号数,
[0854.76-0865.76] 也就是将符号位也看作是数值位,然后将16位二定制5符号数按权展开相加,就可得到相应的实定制数为32769。
[0865.76-0879.11] 综上所说,本题的答案是选项D,再来做2019年的题13,请同学们暂停播放视频,动手练习一下,然后给出你的答案。
[0883.89-0889.89] 本题的答案是选项A,大家都选对了吗?我们来一起分析一下。
[0889.89-0901.92] 这是题目给定的第一条C译句,其定义了一个昂赛的数字型辨量USI,并给它复制为65535,由于昂赛的数字型表示5符号数,
[0902.92-0924.21] 因此,在机器内部,就是用该5符号数的二定制数表示,这里用16位,是因为昂赛的数字型的数据宽度是16位的,将实定制数写成二定制数,可以采用除击取语法或凑制法,这是我们应该具备的基本功,就不再坠述了。
[0924.21-0936.21] 本题给定的实定制数65535比较特殊,我们应该一眼就看出,其二定制形式为16个比特一,而不用浪费时间去除击取语或凑制。
[0936.21-0949.40] 这是题目给定的第二条C译句,其定义了一个昂赛型辨量SI,然后将之前定义并复制好的昂赛的昂赛型辨量USI的值复制给SI。
[0949.40-0958.40] 这相当于进行了隐释数据类型转换,只不过与我们之前介绍的强制类型转换在语句的写法上稍有不同。
[0958.40-0971.53] 针对这种相同自长整形数据之间的转换,编译器会保持原来的机器码不变,但是由于辨量SI为SHOT型,也就是有符号整数。
[0971.53-0978.53] 因此,原来的机器码是16位5符号二定制数,现在被编译器解析为16位符码。
[0978.53-0985.53] 则最高位作为符号位,取之一表示复数,而剩余位作为数值位。
[0985.53-0990.59] 写出符码所表示的真值即可,具体方法我们就不再赘数了。
[0990.59-0994.72] 综上所说,本题的答案是选项A。
[0994.72-1002.01] 接下来,我们来看整形数据小自长转大自长的情况,分为两种情况。
[1002.01-1007.01] 一种是原数据为5符号类型,编译器会进行零扩展。
[1007.01-1013.01] 另一种是原数据为有符号类型,编译器会进行符号扩展。
[1013.01-1021.01] 对于零扩展,我们所举的例子是8位昂散的SHOT型,转换成16位SHOT型和昂散的SHOT型。
[1021.01-1029.04] 对于符号扩展,我们所举的例子是8位SHOT型,转换成16位SHOT型和昂散的SHOT型。
[1029.04-1033.17] 上述例子都是小自长,转大自长。
[1033.17-1038.23] 首先来看8位昂散的SHOT型,转换成16位SHOT型的例子。
[1038.23-1045.23] 例如,我们定义了一个昂散的SHOT型变量Uc,并且它复制为254。
[1045.23-1053.23] 由于昂散的SHOT型表示5符号数,因此在机器内部就是用该5符号数的8位二净之数表示。
[1053.23-1058.23] 之后,我们定义了一个SHOT型变量S,它是一个有符号整形变量。
[1058.23-1070.23] 数据宽度为16位,然后我们将昂散的SHOT型变量Uc进行强制类型转换,转换为SHOT型,并将其复制给SHOT型变量S。
[1070.23-1083.23] 针对这种原数据为5符号型的转换,编一切会对原机器码进行零扩展,也就是在原来的8位机器码前面添加8个0,使之成为16位机器码。
[1084.23-1099.39] 这是因为SHOT型的数据宽度为16位,另外由于SHOT型变量是有符号整形变量,因此编一切将16位机器码解析为补码,写出补码所表示的真值为254。
[1099.39-1104.55] 可以看到,转换后的数据与原数值是相同的。
[1104.55-1108.55] 再来看8位SHOT型转换成16位SHOT型的例子。
[1108.55-1120.55] 例如,我们定义了一个SHOT型变量C,并给它复制为复128,由于SHOT型表示有符号整数,因此在机器内部用补码来表示。
[1120.55-1129.55] 这里用8位补码是因为SHOT型的数据宽度是8位的,补码的最高位是符号位,取之为1表示复数。
[1130.55-1146.55] 之后,我们定义了一个SHOT型变量S,它是一个有符号整形变量,数据宽度为16位,然后我们将SHOT型变量C进行强制类型转换,转换为SHOT型,并将其复制给SHOT型变量S。
[1146.55-1166.68] 正对这种原数据为有符号型的转换,编一切会对原机器码进行符号扩展,也就是在原来的8位机器码前面添加8个位变成16位机器码,这是因为SHOT型的数据宽度为16位,而每个位的取值都是原机器码的符号位的取值。
[1167.68-1190.68] 对于本例,原机器码符号位的取值为1,因此在原机器码前面添加的就是8个1。另外,由于SHOT型变量是有符号整形变量,因此编一切将16位机器码解析为补码,写书补码所表示的真值为-28,可以看到,转换后的数据与原数值是相同的。
[1191.71-1211.81] 再来看8位昂散的SHOT型转换成16位昂散的SHOT型的例子。例如,我们定义了一个昂散的SHOT型变量Uc,并给它复制为126,由于昂散的SHOT型表示无符号数,因此在机器内部就是用该无符号数的8位2帧值数表示。
[1212.81-1230.81] 之后,我们定义了一个昂散的SHOT型变量Us,它是一个无符号整形变量,数据宽度为16位,然后我们将昂散的SHOT型变量Uc进行强制类型转换,转换为昂散的SHOT型,并将其复制给昂散的SHOT型变量Us。
[1231.90-1248.90] 针对这种原数据为无符号型的转换,编译器会对原机器码进行0扩展,也就是在原来的8位机器码前面添加8个0,使之成为16位机器码,这是因为昂散的SHOT型的数据宽度为16位。
[1248.90-1259.94] 另外,由于昂散的SHOT型变量是无符号整形变量,因此,编译器将16位机器码解析为16位2帧值无符号数,
[1259.94-1268.16] 其相应的实境值数为126,可以看到,转换后的数据与原数值是相同的。
[1268.16-1278.16] 再来看8位SHOT型转换成16位昂散的SHOT型的例子,例如,我们定义了一个SHOT型变量C,并且它复制为127,
[1278.16-1289.16] 由于SHOT型表示有符号整数,因此在机器内部用补码来表示,这里用8位补码是因为SHOT型的数据宽度是8位的,
[1289.16-1301.19] 最高位是符号位,取之为0表示正数。之后,我们定义了一个昂散的SHOT型变量US,它是一个无符号整形变量,数据宽度为16位。
[1301.19-1311.19] 然后,我们将SHOT型变量C进行强制类型转换,转换为昂散的SHOT型,并将其复制给昂散的SHOT型变量US。
[1312.26-1325.26] 针对这种原数据为有符号型的转换,编译器会对原机器码进行符号扩展,也就是在原来的8位机器码前面,添加8个位,变成16位机器码。
[1325.26-1333.26] 这是因为昂散的SHOT型的数据宽度为16位,而每个位的取值都是原机器码的符号位的取值。
[1333.26-1340.26] 对于本例,原机器码符号位的取值为0,因此在原机器码前面添加的就是8个0。
[1340.26-1354.26] 另外,由于昂散的SHOT型变量是5符号整形变量,因此,编译器将16位机器码解析为16位二进制5符号数,其相近的实境制数为127。
[1354.26-1359.45] 可以看到,转换后的数据与原数值是相同的。
[1359.45-1365.45] 接下来,请同学们完成该练习,给出变量US的实境制值。
[1365.45-1370.45] 请同学们暂停播放视频,务必动手练习一下。
[1370.45-1380.82] 相信同学们都能争取完成,我们就不再坠述了。
[1380.82-1384.82] 可以看到,转换后的数据与原数值不同。
[1384.82-1399.05] 从以上几个例子可以看出,小字长整形数据,转换成大字长整形数据时,若原数据为5符号类型,则转换后的数据与原值是相同的。
[1399.05-1406.21] 若原数据为5符号类型时,则转换后的数据有可能与原值不同。
[1406.21-1411.21] 具体为,原数据是负数,转换成5符号数的情况。
[1411.21-1418.88] 接下来,请同学们趁热打铁,挑战这到2012年的408考研真题。
[1418.88-1425.91] 请同学们暂停播放视频,动手练习一下,然后给出你的答案。
[1425.91-1434.23] 本题的答案是选项B,大家都选对了吗?
[1434.23-1436.23] 我们来一起分析一下。
[1436.23-1445.23] 这是题目给定的第一条C语句,其定义了一个昂散的上的形变量X,并给它复制为65530。
[1445.23-1454.23] 由于昂散的上的形表示5符号数,因此在机器内部,就是用该5符号数的16位二定值数来表示。
[1454.23-1462.33] 由于题目给定的实际制数65530,与我们比较熟悉的实际制数65535相差不大。
[1462.33-1467.33] 而我们知道65535的二定值形式为16个比特一。
[1467.33-1478.33] 因此,我们通过65535的二定值形式来写出65530的二定值形式是比较快写的,而不采用除极取与法或凑值法。
[1478.33-1485.46] 我们知道,二定值整数最低四位的位权值从高位到低位,依次为8421。
[1485.46-1496.46] 因此,我们只要将位权值为4和1的数位上的比特清零,即可将65535的二定值形式更改为65530的二定值形式。
[1496.46-1505.71] 这是题目给定的第二条C语句,其定义了一个昂散的印子形变量Y,昂散的印子形的数据宽度为32位,
[1505.71-1512.71] 然后将之前定义并复制好的16位昂散的上的形变量X的值复制给Y。
[1512.71-1521.71] 这相当于进行了隐释数据类型转换,这是小字长整形数据转换成大字长整形数据的情况。
[1521.71-1534.71] 由于原数据X为无符号数,因此,编译器会对原机器码进行零扩展,也就是在原来的16位机器码前面添加16个零,使之成为32位机器码。
[1534.71-1544.74] 这是因为昂散的印子形的数据宽度为32位,另外,由于昂散的印子形变量是无符号整形变量,
[1544.74-1556.97] 因此,编译器将32位机器码解析为32位二定值无符号数,最后将其转换成16金字形式即可得到本题的答案。
[1556.97-1562.58] 接下来,我们来看整形数据大字长转小字长的情况。
[1562.58-1571.67] 对于这种转换,一般情况下,编译器会将机器码截短处理,这会使得表示范围缩小,很可能出错。
[1571.67-1580.67] 我们来举例说明,假设由以下C议员乘序段,前两行声明了昂子形变量S,昂散的昂子形变量Us,
[1581.67-1596.74] 第三行声明了昂子形变量I,并给其复职为复的40832,由于昂子形表示有符号整数,因此在机器内部用补码来表示。
[1596.74-1601.74] 这里用32位补码是因为昂子形的数据宽度是32位的。
[1601.74-1606.83] 我们把变量I的值写在后面,以方便后续对比。
[1606.83-1615.93] 该语句是将32位因子形变量I强制类型转换成16位哨琴,然后复制给16位哨子形变量S,
[1615.93-1624.93] 编译器会将原来的32位机器码截短为16位机器码,并解析为补码,相应帧值为24704。
[1624.93-1635.12] 该语句是将32位因子形变量I强制类型转换成16位哨琴的哨琴,然后复制给16位哨子形变量S,
[1635.12-1646.22] 编译器会将原来的32位机器码截短为16位机器码,并解析为16位二进制无符号数,相应帧值为24704。
[1646.22-1655.25] 该语句是将32位因子形变量I强制类型转换成8位哨琴,然后复制给8位哨形变量S,
[1655.25-1664.25] 编译器会将原来的32位机器码截短为8位机器码,并解析为补码,相应帧值为128。
[1664.25-1674.41] 该语句是将32位因子形变量I强制类型转换成8位昂散的哨琴,然后复制给8位昂散哨形变量U,
[1674.41-1684.41] 编译器会将原来的32位机器码截短为8位机器码,并解析为8位二进制无符号数,相应帧值为128。
[1684.41-1695.50] 从本例不难看出,整形数据大次长转小次长时会损失表示范围,大概力导致转换后的数据与原值不同。
[1695.50-1717.05] 接下来,我们总结一下C议员整形数据之间的转换情况,相同自长之间的转换分为两种,一种是两种整形数据交集部分相互转换,这种转换是无差错的,另一种是两种整形数据交集以外相互转换,这种转换是有差错的。
[1717.05-1731.11] 小次长转大次长也分为两种,一种是原数据为无符号数,编译器会进行零扩展,另一种是原数据为有符号数,编译器会进行符号扩展。
[1732.11-1740.24] 若原数据为无符号类型,则转换后的数据与原值是相同的,也就是无差错。
[1740.24-1748.24] 若原数据为有符号类型时,则转换后的数据有可能与原值不同,也就是可能出错。
[1748.24-1762.50] 具体为原数据是复数,转换成无符号数的情况,对于大次长转小次长,编译器会进行截短处理,表示范围会缩小,很可能出错。
[1762.50-1776.94] 接下来,我们介绍int float double型之间的转换。int float double型之间是可以进行强制类型转换的,然而这三种类型数据的机器码并不相同。
[1776.94-1791.94] int型数据是32位有符号整数,用补码表示。 float和double型数据分别是32位和64位伏点数,他们的接码用一码表示,尾数用原码表示。
[1791.94-1802.94] 另外,这三种类型数据的表示范围和精度也不相同。因此,在转换过程中,编译器只能保证数值尽量相等。
[1802.94-1805.94] 大多数情况下,只是进次值。
[1805.94-1823.34] 下面,我们讨论一下几种转换情况。 float转double,double转float,float或double转int,int转float,int转double。
[1823.34-1836.39] 首先来看float转double。这是我们上节课介绍过的I-754单经度32位伏点数和双经度64位伏点数的格式和编码规则。
[1836.39-1842.39] 他们分别对应于C原中的32位float型和64位double型。
[1842.39-1853.39] 在上节课中,我们还给出了I-754单经度伏点数和双经度伏点数和表示的各种数,并且推导出了他们各自的表示范围。
[1853.39-1863.39] 从代表不能看出,由于double型数据的接码和尾数的位数都比float型大,因此其表示范围更大,精度更高。
[1863.39-1868.39] 转换后的double型数据与原float型数据的值完全相等。
[1868.39-1878.71] 再来看double转float。这种转换对于大数转换可能会发生一出,对于高精度数转换可能会发生舍弱。
[1878.71-1886.71] 同学们可以上机验证一下我们给出的例子,还可以自己再多尝试几个例子,我们就不再赘述了。
[1887.71-1898.97] 再来看float或double转int。这是我们本节课一开始就给出的非议员整形变量的取之范围中,32位int型变量的取之范围。
[1898.97-1908.97] 对于float或double转int,编译器会将小数部分向零方向截断,而大数转换可能会发生一出。
[1910.58-1924.02] 再来看int转float。两种类型都是32位,各自的数据组合,也成为状态的数量相同,但二者在数轴上表示的数据并不完全重叠。
[1924.02-1944.18] 由于float型浮炼数的尾数,包括隐藏位在内共有24位。因此,当硬子型数据的高8位,也就是24到31位,数据为非零时,无法精确转换成24位浮炼数的尾数,此时发生精度一出。
[1944.18-1955.44] 再来看int转double。由于double型数据的尾数,包含隐藏位在内有53位。因此,可以精确表示所有32位int型数据。
[1955.44-1965.47] 接下来,我们来总结一下intfloatdouble型之间的转换。对于float转double,转换后的数据与原值相同。
[1965.47-1977.47] 对于double转float,大数可能一出,高精度会发生舍弱。对于float和double转int,小数部分向零阶段,大数可能一出。
[1977.47-1986.47] 对于int转float,比较大的数无法精确表示。对于int转double,转换后的数据与原值相同。
[1986.47-1995.57] 最后,我们一起来看看这个转换实例。假设变量ifd的类型分别是intfloat和double。
[1995.57-2005.70] 请判断下列C远关系表达是否衡为真。该一句不衡为真。这是因为int转float,比较大的数无法精确表示。
[2005.70-2015.70] 因此,int型变量i转换为float形时,就可能出现精度缺失。就没有必要考虑再转回int型了。
[2015.70-2035.24] 该一句不衡为真。这是因为float转int,小数部分向零阶段,大数可能一出。因此,float形变量if转换为int型时,就可能出现小数部分向零阶段,就没必要考虑再转回float形了。
[2035.24-2046.24] 该一句衡为真。这是因为int转double,转换后的数据与原值相同。因此,int型变量i转换为double型号,数值不变。
[2046.24-2062.40] 再转回int型号,数值也不会变。该一句衡为真。这是因为float转double,转换后的数据与原值相同。因此,float形变量if转换为double型号,数值不变。
[2062.40-2081.91] 再转换回float型号,数值也不变。该一句不衡为真。这是因为double转float,大数可能一出,高精度会发生舍弱。因此,double型变量d转换为float形时,可能出现大数一出和高精度舍弱。
[2081.91-2102.23] 该一句衡为真。这是因为浮电树取付紧将其束缚,也就是最高位取返即可。本实力实际上来自于408考研真题2010年的题14,只不过目前我们还没有学习过计算机的运算方法和运算器。
[2102.23-2113.52] 因此,我去掉了该题目中的一个知识点。好的,本节课到这里就结束了。请同学们快速回忆一下本节课的主要内容。
[2113.52-2126.50] 同学们,我们下节课见!
