[0003.50-0007.84] 同学们好,欢迎大家来到我的计算机组成原理维克唐
[0535.82-0537.58] 需要说明的是
[0537.58-0539.42] r i的补码乘以2
[0539.42-0541.66] 就是将其左移移位
[0541.66-0544.14] 而加上y的相反数的补码
[0544.14-0546.54] 实际上是将减去y的补码的
[0546.62-0547.74] 减法运算
[0547.74-0551.26] 转换成了补码加法运算
[0551.26-0553.10] 若于数r i的补码
[0553.10-0554.38] 与除数y的补码
[0554.38-0557.10] 1号则上商0
[0557.10-0558.70] 然后将r i的补码
[0558.70-0559.98] 左移移位后
[0559.98-0561.90] 加上y的补码
[0561.90-0566.14] 即可得到新于数r i加1的补码
[0566.14-0567.82] 请同学们注意
[0567.82-0569.74] 根据于数r i的补码
[0569.74-0572.78] 与除数y的补码的符号关系
[0572.78-0575.26] 也就是同号和1号
[0575.26-0577.74] 来确定上商位的值
[0577.74-0580.60] 这是我们之前就总结过的
[0580.60-0581.40] 只不过
[0581.40-0585.00] 我们将这两种情况合并到了一起
[0585.00-0588.82] 而将这两种情况合并到了一起
[0588.82-0589.54] 另外
[0589.54-0591.06] 在我们的描述中
[0591.06-0593.06] 使用了初始于数
[0593.06-0594.02] 于数
[0594.02-0596.17] 新于数等词汇
[0596.17-0597.13] 实际上
[0597.13-0598.33] 他们都是补码
[0598.33-0599.69] 主法运算过程中
[0599.69-0601.69] 一次得到的于数
[0601.69-0604.57] 可统称为中间于数
[0604.57-0605.45] 至此
[0605.45-0607.53] 我们就给同学们介绍了
[0607.53-0609.29] 实现补码主法运算
[0609.29-0612.09] 需要解决到三个主要问题
[0612.09-0613.05] 也就是
[0613.05-0614.97] 如何确定商值
[0614.97-0616.89] 如何形成商服
[0616.89-0620.20] 以及如何得到新于数
[0620.20-0622.20] 我们将相关运算规则
[0622.20-0625.18] 总结到如下的表格中
[0625.18-0625.98] 其中
[0625.98-0627.18] 这两条规则
[0627.18-0629.61] 可以合并为一条
[0629.61-0631.05] 而这两条规则
[0631.05-0633.56] 可以合并为一条
[0633.56-0634.60] 另外
[0634.60-0637.96] 如果对商的精度没有刻出要求
[0637.96-0641.32] 一般可采用莫位衡之一的方法
[0641.32-0643.32] 这种方法操作简单
[0643.32-0644.68] 亦于实现
[0644.68-0646.20] 而且最大误差
[0646.20-0648.36] 仅为二的负恩此方
[0648.36-0649.88] 也就是小数点后
[0649.88-0652.18] 第N位的位权值
[0652.18-0654.98] 请同学们将该表格拍照
[0654.98-0658.18] 以便我们在后续进行相关练习时
[0658.18-0663.94] 进行参考
[0663.94-0664.74] 接下来
[0664.74-0666.50] 我们就要通过一个例子
[0666.50-0668.98] 帮助同学们理解和记忆
[0668.98-0669.86] 补码除法
[0669.86-0671.94] 不恢复于数法的运算规则
[0671.94-0673.14] 和过程
[0673.14-0675.50] 我们来一起分析
[0675.50-0676.22] 首先
[0676.22-0678.94] 应写出被除数x的补码
[0678.94-0680.46] 除数y的补码
[0680.46-0682.89] 除数y的相反数的补码
[0682.89-0685.29] 这是同学们学习完第二张炮
[0685.29-0687.61] 就应该熟练掌握的基本功
[0687.61-0689.98] 我们就不再追数了
[0689.98-0691.90] 将于数计为r
[0691.90-0693.34] 商计为q
[0693.34-0695.74] 采用补码表示
[0695.74-0697.74] 除式于数r0的补码
[0697.74-0700.55] 就是被除数x的补码
[0700.55-0701.83] 而商的补码
[0701.83-0705.42] 被除式化为0.0000
[0705.42-0707.42] 由于被除数x的补码
[0707.42-0709.90] 与除数y的补码1号
[0709.90-0710.78] 因此
[0710.78-0713.34] 用x的补码加y的补码
[0713.34-0716.90] 来求得中间于数r1的补码
[0716.90-0718.34] 由于r1的补码
[0718.34-0720.62] 与y的补码统号
[0720.62-0721.50] 因此
[0721.50-0723.75] 首先上商一
[0723.75-0724.55] 然后
[0724.55-0726.23] 将当前于数的补码
[0726.23-0727.43] 和商的补码
[0727.43-0729.77] 一起左移移位
[0729.77-0732.31] 这是移位后的结果
[0732.31-0733.11] 之后
[0733.19-0735.35] 加上y的相反数的补码
[0735.35-0738.66] 得到中间于数r2的补码
[0738.66-0740.18] 由于r2的补码
[0740.18-0742.34] 与y的补码1号
[0742.34-0743.30] 因此
[0743.30-0745.38] 首先上商0
[0745.38-0746.18] 然后
[0746.18-0747.70] 将当前于数的补码
[0747.70-0748.90] 和商的补码
[0748.90-0750.90] 一起左移移位
[0750.90-0753.83] 这是移位后的结果
[0753.83-0754.55] 之后
[0754.55-0756.15] 加上y的补码
[0756.15-0759.51] 得到中间于数r3的补码
[0759.51-0760.95] 由于r3的补码
[0760.95-0763.42] 与y的补码统号
[0763.42-0764.38] 因此
[0764.38-0766.87] 首先上商1
[0766.87-0767.75] 然后
[0767.75-0769.43] 将当前于数的补码
[0769.43-0770.63] 和商的补码
[0770.63-0773.00] 一起左移移位
[0773.00-0775.91] 这是移位后的结果
[0775.91-0776.79] 之后
[0776.79-0779.03] 加上y的相反数的补码
[0779.03-0782.38] 得到中间于数r4的补码
[0782.38-0783.82] 由于r4的补码
[0783.82-0785.88] 与y的补码1号
[0785.88-0786.76] 因此
[0786.76-0789.03] 首先上商0
[0789.03-0789.83] 然后
[0789.83-0791.51] 将当前于数的补码
[0791.51-0792.71] 和商的补码
[0792.71-0795.13] 一起左移移位
[0795.13-0795.93] 此时
[0795.93-0797.05] 商的符号位
[0797.05-0799.69] 已经移动到了小数点之前
[0799.69-0802.12] 也就是齐正确的位置
[0802.12-0803.00] 因此
[0803.00-0805.40] 将商的末位横置1号
[0805.40-0807.69] 即可完成运算
[0807.69-0808.65] 通过本例
[0808.65-0810.09] 还可以看出
[0810.09-0811.93] 对于n位定点小数
[0811.93-0813.21] 不骂出发
[0813.21-0815.53] 上商供n加1次
[0815.53-0816.97] 而首次上商
[0816.97-0819.80] 还可用来判断是否溢出
[0819.80-0821.48] 1位供n次
[0821.48-0822.92] 可用1位次数
[0822.92-0825.72] 来判断出发是否结束
[0825.72-0826.44] 本例中
[0826.44-0827.64] n等于4
[0828.36-0829.32] 接下来
[0829.32-0831.40] 请同学们参照本例
[0831.40-0838.01] 完成该练习
[0838.01-0840.73] 相信同学们都能正确完成
[0840.73-0844.46] 我们就不再赘述了
[0844.46-0845.34] 好的
[0845.34-0847.90] 本节课到这里就结束了
[0847.90-0853.85] 我们将本节课的内容小节如下
[0853.85-0855.45] 需要说明的是
[0855.45-0857.29] 从上述补码处法
[0857.29-0859.53] 不恢复余述法的运算规则
[0859.53-0861.21] 就可以看出
[0861.21-0863.53] 其相应的硬价逻辑实现
[0863.53-0865.53] 与我们上节课介绍的
[0865.53-0866.57] 原码处法
[0866.57-0869.29] 不恢复余述法的硬价逻辑实现
[0869.29-0871.05] 应该是相似的
[0871.05-0873.53] 我们就不再赘述了
[0873.53-0874.33] 另外
[0874.33-0876.49] 与阵列成法器类似
[0876.49-0878.89] 为了加快处法优算的速度
[0878.89-0881.85] 也可以设计阵列处法器
[0881.85-0882.97] 这方面的内容
[0882.97-0886.09] 已经超过本课程的教学大纲
[0886.09-0887.45] 有兴趣的同学
[0887.45-0890.70] 可自行查阅相关资料
[0890.70-0891.58] 同学们
[0891.58-0893.18] 我们下节课见
