[0002.99-0007.15] 同学们好,欢迎大家来到我的计算机组成员里威克唐。
[0491.83-0499.40] 此时,存主器数据聚存器MDR中的内容就是从主存中取出的爱的指令,
[0499.40-0504.44] 而程序记录器PC的值只向下一条指令的主存地址。
[0504.44-0508.68] 之后,进入爱的指令取指周期的第三个解判,
[0508.68-0513.88] 这是实现该解判的功能所需的控制信号,1表示有效。
[0514.07-0517.67] 由于控制信号MDR OUT为有效信号,
[0517.67-0520.55] 因此即所控制的三代门打开,
[0520.55-0524.15] 这样存主器数据记存器MDR的内容
[0524.15-0528.71] 就会通过该三代门传送到CPU内部单总线上。
[0528.71-0530.71] 经过单总线的传送,
[0530.71-0536.39] MDR的内容会传送到CPU内部与单总线相连的所有记存器,
[0536.39-0540.95] 以及算数逻辑单元ALU的其中一个操作数出入端。
[0541.11-0542.63] 为了简单起见,
[0542.63-0548.23] 我们只演示出了传送到与实现该解判功能相关的记存器的情况,
[0548.23-0551.75] 由于控制信号ALU为有效信号,
[0551.75-0557.83] 因此,CPU内部单总线上传送来的内容会被写入指令记存器ALU,
[0557.83-0563.99] 此时,ALU中的内容就是之前从主存取出的那条爱的指令,
[0563.99-0569.67] 这次就完成了题目所给爱的指令取指周期的第三个解判。
[0570.10-0574.02] 之后,进入爱的指令取指周期的第四个解判。
[0574.02-0575.66] 在该解判中,
[0575.66-0580.78] 指令记存器ALU中的爱的指令会被送到指令一码固件进行一码,
[0580.78-0583.34] 题目给定无需控制信号。
[0583.34-0588.47] 这次,题目所给爱的指令的取指和一码阶段结束,
[0588.47-0592.06] 这是从主存中取到的爱的指令。
[0592.06-0595.26] 这是题目给定的爱的指令的功能,
[0595.45-0602.65] 也就是将记存器ALU中的数据与记存器ALU的内容所指主存单元的数据相加,
[0602.65-0607.45] 并将结果送入ALU的内容所指主存单元中保存。
[0607.45-0608.57] 接下来,
[0608.57-0613.53] 我们一起来分析出题目要求我们给出的爱的指令的执行阶段,
[0613.53-0616.57] 每个结判的功能和有效控制信号。
[0616.57-0618.97] 首先,进入结判5。
[0618.97-0620.49] 在该结判中,
[0620.65-0626.41] 需要将记存器RE的内容送入存主器地址记存器MAR中。
[0626.41-0629.21] 这是所需要的有效控制信号。
[0629.21-0633.16] 我们将它们标记在左侧的印件框图中,
[0633.16-0636.84] 由于控制信号REOUT为有效信号,
[0636.84-0639.88] 因此其所控制的三台门打开。
[0639.88-0647.08] 这样,记存器RE的内容就会通过该三台门传送到CPU内部单总线上。
[0647.08-0649.00] 经过单总线的传送,
[0649.08-0654.76] RE的内容会传送到CPU内部与单总线相连的所有记存器,
[0654.76-0659.24] 以及算数逻辑单元LU的其中一个操作书输入端。
[0659.24-0660.68] 为了简单起见,
[0660.68-0666.63] 我们只演示出了传送到与实现该结败功能相关的记存器的情况。
[0666.63-0670.39] 由于控制信号MAR硬为有效信号,
[0670.39-0677.94] 因此CPU内部单总线上传送来的内容会被写入存主器地址记存器MAR。
[0677.94-0682.52] 此时,MAR中的内容就是记存器RE的内容。
[0682.52-0687.72] MAR的内容还会通过CPU外部的地址总线AB,
[0687.72-0690.52] 传送到主存的地址输入端。
[0690.52-0693.53] 之后,进入结拍6。
[0693.53-0702.33] 在该结拍中,需要将记存器RE的内容所指主存单元的数据送入存主器数据记存器MBR中。
[0702.33-0705.21] 这是所需要的有效控制信号。
[0705.29-0708.97] 我们将它们标记在左侧的硬价框土中。
[0708.97-0712.68] 由于,通过CPU外部的控制总线CB,
[0712.68-0717.16] 传送到主存族控制端口的控制信号为有效信号,
[0717.16-0721.88] 因此,根据之前主存地址输入端所送入的地址,
[0721.88-0724.60] 也就是记存器RE的内容。
[0724.60-0726.52] 相应存主单元的内容,
[0726.52-0731.72] 从主存的数据输出端输出到CPU外部的数据总线DB,
[0732.33-0738.57] 并从数据总线传送到CPU内部的存主器数据记存器MBR。
[0738.57-0742.41] 由于控制信号MBR硬价为有效信号,
[0742.41-0749.13] 因此,CPU外部的数据总线DB上传送来的内容会被写入MBR。
[0749.13-0755.61] 此时,MBR中的内容就是从主存中取出的其中一个操作数,
[0755.61-0759.77] 在该结拍中,还可以同时进行另一个操作。
[0759.93-0762.73] 那就是,将记存器RE的内容,
[0762.73-0767.27] 通过CPU内部的端总线送入暂存记存器A,
[0767.27-0770.33] 这是所需要的有效控制信号,
[0770.33-0774.28] 我们将它们标记在左侧的硬价框图中,
[0774.28-0777.88] 由于控制信号RE为有效信号,
[0777.88-0781.16] 因此,其所控制的三探门打开,
[0781.16-0784.06] 这样,记存器RE的内容,
[0784.06-0789.06] 就会通过该三探门传送到CPU内部端总线上,
[0789.22-0790.98] 经过端总线的传送,
[0790.98-0796.74] RE的内容会传送到CPU内部与端总线相连的所有记存器,
[0796.74-0801.22] 以及算数逻辑单元LU的其中一个操作数输入端。
[0801.22-0802.82] 为了简单起见,
[0802.82-0808.52] 我们只演示出了传送到与实现该结拍功能相关的记存器的情况,
[0808.52-0811.88] 由于控制信号A硬为有效信号,
[0811.88-0818.52] 因此,CPU内部端总线上传送来的内容会被写入暂存记存器A,
[0818.76-0824.44] 此时,A中的内容就是记存器R0中存放的另一个操作数,
[0824.44-0830.12] 它被直接送入算数逻辑单元LU的其中一个操作数输入端,
[0830.12-0832.52] 只好进入结拍期,
[0832.52-0837.16] 在该结拍中,需要将两个操作数进行加法运算,
[0837.16-0840.28] 结果送入暂存记存器AC中,
[0840.28-0843.08] 这是所需要的有效控制信号,
[0843.08-0846.78] 我们将它们标记在左侧的硬件框图中,
[0846.94-0850.30] 由于控制信号MDR OUT为有效信号,
[0850.30-0853.50] 因此,其所控制的三台门打开,
[0853.50-0857.26] 这样,存储器数据记存器MDR的内容,
[0857.26-0862.01] 就会通过该三台门传送到CPU内部端总线上,
[0862.01-0864.36] 经过端总线的传送,
[0864.36-0870.84] MDR的内容会传送到CPU内部与端总线相连的所有记存器,
[0870.84-0875.00] 以及算数逻辑单元LU的其中一个操作数输入端,
[0875.30-0876.82] 为了简单起见,
[0876.82-0880.58] 我们只演示出了传送到与实现该携败功能
[0880.58-0884.66] 相关的LU的其中一个操作数输入端的情况,
[0884.66-0888.02] 由于控制信号AND为有效信号,
[0888.02-0891.22] 因此,LU执行加法操作,
[0891.22-0895.46] 运算结果会传送到暂存记存器AC,
[0895.46-0899.26] 由于控制信号ACIN为有效信号,
[0899.26-0904.54] 因此,运算结果会被写入暂存记存器AC,
[0904.70-0906.98] 之后,进入节拍8,
[0906.98-0908.50] 在该节拍中,
[0908.50-0913.38] 运算结果会被送入存存器数据记存器MDR中,
[0913.38-0916.18] 这是所需要的有效控制信号,
[0916.18-0920.12] 我们将它们标记在左侧的硬价框图中,
[0920.12-0923.80] 由于控制信号ACOUT为有效信号,
[0923.80-0927.35] 因此,其所控制的三碳门打开,
[0927.35-0930.63] 这样,暂存记存器AC的内容,
[0930.98-0935.77] 就会通过该三碳门传送到CPU内部单总线上,
[0935.77-0937.77] 经过单总线的传送,
[0937.77-0943.85] AC的内容会传送到CPU内部与单总线相连的所有记存器,
[0943.85-0948.38] 以及算数逻辑单元LU的其中一个操作数输入端,
[0948.38-0949.98] 为了简单起见,
[0949.98-0955.85] 我们只演示出了传送到与实现该节拍功能相关的记存器的情况,
[0955.85-0959.69] 由于控制信号MDR应为有效信号,
[0959.85-0968.14] 因此,CPU内部单总线上传送来的内容会被写入存储器数据记存器MDR,
[0968.14-0972.06] 此时,MDR中的内容就是运算结果,
[0972.06-0974.42] 之后进入节拍9,
[0974.42-0981.38] 在该节拍中,运算结果会被送入记存器R1的内容所指向的主存单元,
[0981.38-0985.78] 也就是将存储器数据记存器MDR中的运算结果,
[0985.86-0991.54] 送入存储器地址记存器MDR的内容所指向的主存单元,
[0991.54-0998.78] 而MDR的内容是在节拍5中就已经送入MDR中的记存器R1的内容,
[0998.78-1002.54] 这是节拍9所需要的有效控制信号,
[1002.54-1006.39] 我们将它们标记在左侧的硬价框图中,
[1006.39-1010.46] 由于控制信号MDR OUT1为有效信号,
[1010.46-1013.99] 因此,其所控制的三层门打开,
[1014.15-1019.94] 这样,存储器数据记存器MDR的内容就会通过该三代门,
[1019.94-1023.30] 传送到CPU外部的数据总线DB上,
[1023.30-1027.62] 并通过数据总线传送到主存的数据端口,
[1027.62-1031.19] 由于通过CPU外部的控制总线CB,
[1031.19-1036.07] 传送到主存写控制端口的控制信号为有效信号,
[1036.07-1041.11] 因此,根据之前主存地址输入端所送入的地址,
[1041.11-1043.75] 也就是记存器R1的内容,
[1043.83-1046.23] 从主存数据端口输入的内容,
[1046.23-1048.15] 也就是运算结果,
[1048.15-1051.11] 会被写入相应的主存单元。
[1051.11-1054.76] 这次,AID指令的指令周期结束,
[1054.76-1058.55] 实现该指令功能的全部操作已完成。
[1058.55-1062.98] 需要说明的是,本题的答案并不唯一,
[1062.98-1066.98] 只要不造成CPU内部单总线访问冲突即可。
[1066.98-1070.62] 好的,本节课到这里就结束了。
[1070.62-1073.18] 同学们,我们下节课见。
