[0003.22-0007.74] 同学们好,欢迎大家来到我的计算机组成员里维克堂
[0416.96-0419.68] 所指定的那个数据块中的具体位置
[0420.78-0423.58] 加设主存数据块的地址为s位
[0424.18-0426.66] 其中区内块号占计位
[0427.22-0428.78] 剩余的s减计位
[0428.98-0430.46] 作为主存分区号
[0431.45-0433.25] 块的偏移占w位
[0434.19-0435.95] 这样我们就可以得出
[0436.27-0439.71] 主存分区的数量为2的s减计次三个
[0440.58-0444.54] 每个主存分区内的数据块数量为2的计次三个
[0445.29-0446.57] 这也是开始中
[0446.69-0448.49] 所包含开始组的数量
[0449.59-0453.63] 每个主存数据块的大小为2的w四方个字节
[0454.60-0455.24] 因此
[0455.68-0456.76] 主存容量为
[0457.20-0460.24] 主存分区的数量2的s减计次三
[0460.68-0465.04] 乘以一个主存分区内的数据块数量2的计次三
[0465.60-0467.80] 乘以一个主存数据块的大小
[0468.12-0469.84] 2的w四方个字节
[0470.40-0473.88] 等于2的s加w四方个字节
[0475.14-0476.98] 在组相连硬实方式下
[0477.50-0479.42] 每个开始行中的标记态
[0479.82-0481.62] 用于存放主存分区号
[0482.18-0486.82] 一遍可以在开始中快速查找在访问的主存信息
[0487.59-0489.07] 对此不理解的同学
[0489.27-0490.07] 不用纠结
[0490.31-0492.07] 我们稍后会举例说明
[0492.97-0497.33] 我们知道每个开始行中的有效位valid占一位
[0497.85-0500.57] 标记态用于存放主存分区号
[0500.93-0502.29] 占s减计位
[0502.89-0506.05] 数据块数本用于存放主存数据块
[0506.65-0508.57] 占2的w四方个字节
[0509.25-0509.81] 这样
[0510.01-0512.25] 我们还可以计算出开始的容量
[0512.88-0518.08] 其中一个有效位加主存分区号所占的s减计位
[0518.60-0520.32] 加一个数据块的容量
[0520.60-0522.76] 2的w四方乘以8位
[0523.46-0525.30] 这是一个开始行的容量
[0526.09-0530.09] 本利中一个开始组包含两个开始行
[0530.53-0533.37] 乘以2就是一个开始组的容量
[0534.14-0536.62] 本利中包含有n个开始组
[0536.86-0542.30] 再乘以n就是由n个这样的开始组组成的开始的总容量
[0543.06-0544.22] 需要说明的是
[0544.66-0546.66] 上述计算开始总容量时
[0547.02-0549.86] 我们忽略了写入策略的当数据标志位
[0550.34-0553.22] 用于替换策略的淘汰技术等信息
[0554.60-0558.40] 现在我们已经得出了组相连硬射方式下
[0558.64-0561.24] 代访问信息的主存地址的构成
[0561.97-0564.49] 通过代访问信息的主存地址
[0565.05-0568.41] 可以在主存中精确定位该信息的位置
[0569.22-0570.78] 请同学们思考一下
[0571.30-0573.38] 如何根据信息的主存地址
[0573.78-0576.46] 在开始中进行快速查找呢
[0580.38-0582.38] 我们以主存分区号为m
[0582.86-0587.02] 框号为n-1的主存数据块中的这个信息为例
[0587.30-0588.06] 进行介绍
[0589.02-0592.42] 通过该信息的主存地址中的区内框号
[0592.94-0596.46] 也就是开始组号的取值n-1
[0597.10-0598.70] 可以立即定位出
[0599.02-0600.42] 或者说所引导
[0600.82-0604.30] 该信息所在主存数据块对应的开始组
[0605.22-0609.82] 由于该主存数据块可硬射到该开始组中的任何一个
[0609.82-0610.46] 开始行
[0611.38-0614.18] 这是组相连硬射的规则三所规定的
[0615.13-0618.41] 也就是主存数据块在所对应的组内
[0618.73-0620.17] 才用全相连硬射
[0620.65-0622.57] 可对应到组内任何一个
[0623.29-0628.09] 由于本例中每个开始组包含两个开始行
[0628.49-0630.01] 也就是二路组相连
[0630.57-0633.69] 因此我们可采用二路并发比较
[0634.09-0637.45] 来判断带访问信息所在主存数据块
[0637.69-0639.85] 是否在开始中的相应组内
[0640.70-0642.70] 也就是将带访问信息的
[0642.94-0646.06] 主存地址中的主存数据分区号部分的值
[0646.62-0649.18] 同时与所选定开始组内的
[0649.26-0653.26] 各开始行中的标记太阁的值进行比较
[0654.06-0656.86] 并且将各开始行中的有效位的值
[0657.10-0658.94] 同时与一进行比较
[0659.91-0662.23] 如果上述两个比较都匹配
[0662.79-0663.75] 则数据命中
[0664.65-0667.69] 之后根据该信息的主存地址中的
[0667.69-0668.97] 块内偏一部分的值
[0669.77-0672.57] 在所命中的开始行中的数据块复本中
[0672.81-0674.09] 读取该信息
[0675.14-0677.30] 我们将上述过程总结如下
[0677.86-0681.14] 以方便同学们使用PPT进行复习
[0681.54-0682.66] 就不再坠述了
[0683.74-0685.82] 不知同学们是否已经发现了
[0686.38-0687.98] 与全相联应设相比
[0688.54-0691.58] 组相联应设将全相联并发比较
[0691.82-0693.82] 限制在了当个开始组内
[0694.30-0695.82] 而不是整个开始
[0696.57-0697.13] 因此
[0697.53-0700.89] 组相联应设进行全相联并发比较时
[0701.13-0702.81] 所需的比较器录数
[0703.29-0706.01] 是当个开始组内开始行的数量
[0706.49-0707.77] 本利装为2
[0708.33-0711.13] 而不是整个开始组开始行的数量
[0711.77-0713.21] 本利装为2N
[0713.93-0715.77] 极大降低了硬价开销
[0716.74-0718.66] 那么请同学们思考一下
[0719.30-0722.26] 如果将整个开始划分为一个组
[0722.50-0723.22] 会怎样呢
[0726.23-0728.55] 我想很多同学都能正确回答
[0729.19-0733.51] 那就是组相联应设会转变成全相联应设
[0734.86-0738.38] 那如果每个开始组只包含一个开始行
[0738.70-0739.42] 会怎样呢
[0743.40-0743.88] 没错
[0744.44-0745.16] 这样的话
[0745.48-0748.36] 组相联应设会转变成直接应设
[0749.51-0750.23] 接下来
[0750.39-0754.07] 我们举例说明组相联应设的硬价逻辑实现
[0754.87-0755.59] 如都所示
[0756.82-0759.46] 相信同学们对该图并不陌生
[0760.34-0762.58] 因为这是对我们之前学习过的
[0763.06-0764.98] 直接应设的硬价逻辑实现
[0765.46-0768.42] 与全相联应设的硬价逻辑实现的结合
[0769.30-0769.86] 因此
[0770.10-0772.66] 我们就不再坠述各部分的功能了
[0773.30-0775.22] 而是通过以下访问序列
[0775.78-0776.90] 让同学们了解
[0777.22-0780.74] 通过该硬价逻辑实现进行快速查找的过程
[0781.72-0783.48] 不知同学们是否发现了
[0784.04-0785.00] 该访问序列
[0785.24-0788.60] 与我们之前学习直接应设的硬价逻辑实现
[0789.16-0791.56] 全相联应设的硬价逻辑实现时
[0791.96-0794.52] 所使用的访问序列是相同的
[0795.38-0796.18] 这样做的目的
[0796.50-0798.50] 就是为了让同学们方便对比
[0798.90-0801.46] 这三种地质硬设方式的优缺点
[0802.44-0802.92] 好的
[0803.24-0807.56] 首先来看对该主存地址在开始中的快速查找过程
[0808.54-0809.58] 假设本地中
[0809.98-0813.02] 主存地址中的主存分区号部分占5位
[0813.82-0814.38] 因此
[0814.70-0817.02] 主存包含有2.5次方共分区
[0817.74-0819.66] 本图中并未画出主存
[0820.22-0821.82] 这并不影响我们分析
[0822.90-0824.02] 区内框号部分
[0824.74-0826.90] 也就是开始组所应index
[0827.46-0828.74] 或称开始组号
[0829.22-0829.94] 占1位
[0830.65-0831.21] 因此
[0831.61-0833.77] 开始包含有2.1次方的组
[0835.00-0836.84] 框内偏一部分占2位
[0837.72-0838.28] 因此
[0838.60-0841.08] 各开始行的数字块副本缓重区中
[0841.32-0843.96] 包含有2.2次方的存处字
[0845.03-0847.83] 将该主存地址写成二定制形式
[0848.81-0850.81] 假设开始的处置状态为空
[0851.64-0852.20] 因此
[0852.52-0855.56] 各开始行的有效为Valid取直为0
[0856.28-0858.44] 表示各开始行中的信息无效
[0859.08-0859.88] 如读所示
[0861.77-0864.73] 主存地址中的开始组所应index的值
[0865.45-0868.25] 经过组所应一码器进行一码输出
[0868.97-0870.25] 0表示低电瓶
[0870.65-0871.61] 为无效信号
[0872.17-0874.73] 1表示高电瓶为有效信号
[0875.62-0879.14] 一码输出信号还会传送到各开始组
[0879.14-0881.06] 相关的三探门的控制端
[0881.78-0884.26] 以及行一码信号逻辑的输入端
[0885.27-0888.23] 由于一码输出信号G1为高电瓶
[0889.38-0889.94] 因此
[0890.26-0892.26] 编号为1的开始组被选中
[0893.24-0893.96] 同时
[0893.96-0896.68] 该开始组的三探门被控制打开
[0897.83-0898.55] 这样
[0898.55-0903.43] 该开始组内的所有开始行中的有效为Valid和标志Type
[0903.99-0907.91] 会通过该三探门传送到二路并发比较器
[0908.87-0910.63] 这些有效为的值与1
[0911.35-0915.11] 标记Type的值与主存地址中主存分区号的值
[0915.75-0917.27] 通过并发比较器
[0917.27-0918.55] 从时进行比较
[0919.27-0920.55] 结果为未命中
[0921.42-0922.46] 这是因为
[0922.46-0923.18] 此时
[0923.18-0925.50] 各探场中的有效为的值为0
[0926.47-0927.67] 并发比较器
[0927.67-0929.19] 输出两路比较结果
[0929.83-0931.19] 0表示不匹配
[0932.01-0932.97] 并发比较器
[0932.97-0934.41] 还会输出命中结果
[0935.05-0936.41] 0表示未命中
[0937.35-0940.63] 这是将二路比较结果进行逻辑货得出的
[0941.90-0944.22] 该命中结果的相应信号
[0944.22-0947.58] 还会传送到自选择器的输出使能O1端
[0948.47-0949.91] 由于未命中
[0949.91-0951.19] 信号为低电瓶
[0951.91-0952.71] 因此
[0952.71-0954.71] 自选择器被禁止输出
[0956.04-0957.56] 二路并发比较结果
[0957.56-0958.60] K0和K1
[0959.82-0963.58] 与主所应1码器输出的两个主1码信号
[0963.58-0964.70] G0和G1
[0965.99-0967.67] 通过航1码信号逻辑
[0968.23-0969.59] 分别进行逻辑
[0970.31-0972.07] 得到2成2个开始航
[0972.07-0974.47] 选从信号L0到L3
[0975.30-0978.50] 借L0等于K0与G0
[0979.14-0981.30] L1等于K1与G0
[0982.02-0984.18] L2等于K0与G1
[0984.74-0987.14] L3等于K1与G1
[0988.30-0990.30] 对于本次访问的主存地质
[0990.86-0992.46] 航1码信号逻辑
[0992.46-0995.58] 输出如下四个无效的开始航选同信号
[0996.30-0997.50] 这四个信号
[0997.50-1000.86] 还会传送到各开始航的三太门的控制端
[1001.50-1002.94] 由于是无效信号
[1003.50-1004.22] 因此
[1004.22-1006.22] 各三太门被控制关闭
[1007.21-1007.93] 总商所说
[1008.49-1011.29] 对该主存地质中的信息进行法认时
[1011.93-1012.81] 开始未命中
[1013.29-1015.13] 也就是出现数据缺失
[1016.09-1018.17] 需要再入该主存地质
[1018.17-1020.01] 所在的主存数据块
[1020.01-1022.17] 到之前选中的开始组内
[1023.13-1025.69] 由于组内采用全相连硬设方式
[1026.41-1027.21] 因此
[1027.21-1028.73] 可将主存数据块
[1028.73-1031.53] 载入到该开始组内的任何一个空航
[1032.50-1034.34] 假设该主存数据块
[1034.34-1037.06] 载入到了之前所选中开始组
[1037.14-1039.62] 内部的这个开始航中的数据块
[1039.62-1040.74] 数本缓中区中
[1041.50-1043.02] 则该开始航中
[1043.02-1044.46] 标记太个的值
[1044.46-1045.58] 需要更新为
[1045.58-1046.78] 主存地质中
[1046.78-1048.22] 主存分区号部分的值
[1049.91-1050.71] 另外
[1050.71-1053.35] 还要将该开始航中的有效位置一
[1054.07-1056.55] 表示该开始航中的信息有效
[1057.80-1058.76] 接下来
[1058.76-1061.24] 请同学们参照上述分析过程
[1061.80-1063.00] 自行分析
[1063.00-1065.88] 依次对这两个主存地质进行
[1065.88-1067.48] 开始查找的过程
[1067.56-1068.60] 并给出结果
[1069.32-1070.76] 请同学们注意
[1070.76-1072.12] 为了使答案统一
[1072.68-1074.44] 再载入主存数据块时
[1075.00-1076.28] 按开始航号
[1076.28-1077.56] 从小到大的顺序
[1078.58-1081.06] 请同学们暂停播放视频
[1081.06-1082.26] 认真分析一下
[1088.86-1091.50] 相信同学们都能正确完成
[1091.50-1092.86] 我们就不再赘述了
[1093.67-1094.55] 接下来
[1094.55-1095.83] 我们一起来分析
[1095.83-1098.31] 对该主存地质在开始中的
[1098.31-1099.59] 快速查找过程
[1100.65-1103.29] 将该主存地质写成二定值形式
[1104.41-1105.69] 该主存地质中的
[1105.69-1107.53] 开始主锁印index的值
[1108.49-1111.69] 经过组锁印一码器进行一码输出
[1113.22-1114.50] 一码输出信号
[1114.50-1116.58] 还会传送到各开始组
[1116.58-1118.50] 相关的三叹门的控制端
[1119.22-1121.70] 以及航一码信号逻辑的输入端
[1122.95-1125.83] 由于一码输出信号记忆为高电平
[1127.02-1127.82] 因此
[1127.82-1129.82] 编号为一的开始组被选中
[1130.70-1131.42] 同时
[1131.42-1134.22] 该开始组的三叹门被控制打开
[1135.59-1136.39] 这样
[1136.39-1138.79] 该开始组内的所有开始航中的
[1138.79-1141.27] 有效位valid和标记Type
[1141.75-1143.59] 会通过该三叹门
[1143.59-1145.59] 传送到二录并发比较器
[1146.58-1147.94] 这些有效位的值
[1147.94-1150.18] 与一标记Type的值
[1150.18-1151.70] 与主存地质中
[1151.70-1152.82] 主存分区号的值
[1153.38-1155.06] 通过并发比较器
[1155.06-1156.26] 同时进行比较
[1157.16-1158.76] 发现匹配的开始航
[1159.70-1162.18] 并发比较器输出二录比较结果
[1162.98-1164.26] 0表示不匹配
[1164.90-1166.10] 1表示匹配
[1166.97-1168.09] 并发比较器
[1168.09-1169.61] 还会输出命中结果
[1170.17-1171.13] 1表示命中
[1171.98-1173.90] 这是将二录比较结果
[1173.90-1175.50] 进行逻辑货得出的
[1176.89-1178.89] 该命中结果的相应信号
[1178.89-1180.97] 还会传送到自选择器的
[1180.97-1182.33] 输出使能O异端
[1183.16-1184.04] 由于命中
[1184.60-1185.72] 信号为高电平
[1186.44-1187.08] 因此
[1187.08-1189.16] 自选择器被使能输出
[1190.28-1191.80] 二录并发比较结果
[1192.36-1194.36] 与组所引一码器输出的
[1194.36-1195.64] 两个组一码信号
[1196.20-1197.96] 通过航一码信号逻辑
[1198.52-1200.04] 分别进行逻辑语
[1200.60-1202.60] 得到各开始航选从信号
[1203.50-1204.54] 0表示无项
[1204.94-1205.90] 1表示有项
[1206.70-1208.46] 各开始航选从信号
[1208.46-1209.82] 还会传送到
[1209.82-1212.30] 各开始航的三态门的控制端
[1213.58-1215.82] 由于该开始航的选从信号
[1215.82-1216.86] 为有效信号
[1217.74-1218.54] 因此
[1218.54-1219.98] 该开始航被选从
[1221.00-1223.48] 该开始航的三态门被控制打开
[1224.34-1225.06] 这样
[1225.06-1226.26] 该开始航中
[1226.26-1228.02] 数据官复本缓冲区中的
[1228.02-1228.58] 四个字
[1229.14-1230.82] 会通过三态门
[1230.82-1232.42] 传送到自选择器
[1232.42-1233.86] 相应的数据输入端
[1235.18-1236.30] 主存地址中
[1236.30-1237.66] 换了一篇一部分的纸
[1238.22-1239.66] 作为自选择器的
[1239.66-1241.98] 选择输出控制端的控制信号
[1242.84-1246.44] 1要是选择该数据输入端的信号
[1246.44-1247.16] 进行输出
[1248.02-1249.70] 这相当于输出
[1249.70-1251.54] 数据官复本缓冲区中的
[1251.54-1252.82] 存储字W3
[1253.94-1255.14] 综上所述
[1255.14-1256.26] 本次访问
[1256.26-1258.66] 数据命状进行数据输出
[1259.91-1261.51] 这是访问序列中
[1261.51-1263.59] 针对最后一个主存地址
[1263.59-1265.27] 在开始中的查找结果
[1265.91-1268.23] 我们就不再赘述查找过程了
[1269.14-1272.02] 可以发现出现了数据官替换
[1272.02-1274.02] 也就是出现了冲突的情况
[1275.05-1277.61] 尽管此时还有空的开场
[1279.02-1280.94] 可能有的同学已经发现了
[1281.58-1282.86] 同样的例子
[1282.86-1284.06] 组相联应设
[1284.06-1286.14] 与直接应设的结果是一样的
[1286.70-1289.02] 并没有像全相联应设那样
[1289.02-1291.10] 提高开始利用率和命中率
[1291.90-1292.78] 这样的话
[1292.78-1294.94] 组相联应设的意义又何在呢
[1296.73-1297.69] 实际上
[1297.69-1300.89] 开始组所包含开场的数量GR
[1301.53-1303.93] 决定了数据化冲突的概率
[1303.93-1306.25] 和全相联并发比较的复杂性
[1307.00-1307.72] GR越大
[1308.28-1310.60] 则发生数据化冲突的概率越低
[1311.32-1314.04] 但全相联并发比较电路越复杂
[1314.97-1315.29] 因此
[1315.93-1317.29] 选取适当的GR
[1317.85-1320.49] 可使组相联应设的硬件开销
[1320.49-1323.37] 比全相联应设的硬件开销低很多
[1324.09-1325.21] 而性能上
[1325.21-1327.61] 仍可接近全相联应设方式
[1329.05-1330.49] 早期开始容量不大
[1331.13-1333.05] 通常GR等于2或4
[1333.85-1336.25] 借两路或四路组相联
[1337.37-1338.57] 随着技术的发展
[1339.13-1340.57] 开始容量不断增大
[1341.21-1343.13] GR的值也随之增大
[1343.96-1345.96] 目前很多处理器的开始
[1346.04-1348.76] 采用8路或16路组相联
[1350.86-1351.42] 好的
[1351.74-1353.66] 本节课到这里就结束了
[1354.30-1356.46] 请同学们快速回忆一下
[1356.70-1358.38] 本节课的主要内容
[1364.60-1365.24] 同学们
[1365.40-1366.68] 我们下节课见
