[0003.09-0007.39] 同学们好,欢迎大家来到我的计算级组成原理微课堂。
[0196.48-0201.78] 都需要建立进程中各个虚拟业与所存放的主存物理业,
[0201.78-0204.68] 或词般上存主位置之间的关系,
[0204.68-0208.58] 通常采用业表来记录这种对应关系。
[0208.58-0212.74] 例如,这是本地中相关进程的业表。
[0212.74-0218.24] 请同学们注意,当某个程序被夹载到主存中运行时,
[0218.24-0220.24] 我们就称之为进程。
[0220.24-0228.60] 换句话说,进程是程序的执行实力,是操作系统进行资源分配和调度的基本单位。
[0228.60-0235.54] 在采用虚拟存土器技术的系统中,操作系统会为每一个进程创建一个业表,
[0235.54-0242.34] 以便将虚拟地址空间,映射到物理地址空间,也就是主存地址空间。
[0242.63-0255.19] 业表中的每一行,也就是每一个业表项,包含有效位、赃位、计划控制位、访问全线位、进职缓存位的自断。
[0255.19-0263.03] 用于记录一个虚拟业的相关信息,业表采用虚拟业号作为所应进行访问。
[0263.03-0272.69] 当某个业表项的有效位的取职为一职,表明该业表项所对应的虚拟业已从辅存调入主存,
[0272.85-0281.65] 例如本地中,这些业表项的有效位的取职为一,表明它们各自对应的虚拟业已从辅存调入主存。
[0281.65-0288.55] 相应的,这些业表项各自的存放位置自断中存放的是物理业号,
[0288.55-0294.63] 用于表明其所对应的虚拟业调入了主存中的哪个物理业。
[0294.85-0303.33] 当某个业表项的有效位的取职为零时,表明该业表项所对应的虚拟业没有被调入主存,
[0303.33-0311.33] 若该业表项的存放位置自断的职为那,则表明其所对应的虚拟业为没有内容的空业,
[0311.33-0315.65] 这通常意味着该业还没有被分配物理内存,
[0315.65-0324.29] 例如本地中的虚拟业VB0和VB4,若该业表项的存放位置自断的职不为那,
[0324.45-0333.25] 则存放位置自断的职给出了该业表项所对应虚拟业在辅存,例如磁盘上的骑士位置,
[0333.25-0337.33] 例如本地中的虚拟业VPE和VB6,
[0337.33-0346.92] 业表项中的脏位自断用来指明业表项所对应的虚拟业是否被修改过,
[0346.92-0350.28] 由于虚拟存主器才用写回法,
[0350.44-0360.45] 因此,在需要进行业面替换时和根据章位来判断是否需要将主存中被替换的业面写回复存,
[0360.45-0367.41] 这样我们就引出了右图中之前站位解释过的复存中的交换分区,
[0367.41-0372.77] 它用于存放主存中替换出的动态修改数据的业面,
[0372.77-0378.12] 而复存中的数据分区用于存放用户程序和数据,
[0378.28-0384.84] 业表项中的替换控制位用来指明业表项所对应的虚拟业的使用情况,
[0384.84-0388.12] 需要配合具体的替换策略来设置,
[0388.12-0390.68] 当使用fifo替换算法时,
[0390.68-0392.68] 该位成为fifo位,
[0392.68-0397.48] 当使用LRU替换算法时,该位成为LRU位,
[0397.48-0404.56] 业表项中的访问前线位用来指明业表项所对应的虚拟业的访问前线,
[0404.72-0408.64] 用于存储保护,例如可读可写,
[0408.64-0412.13] 止读,止可止行,
[0412.13-0417.49] 需要说明的是存储保护是操作系统中的一项重要功能,
[0417.49-0422.13] 它确保不同进程在主存中的地址空间互相隔离,
[0422.13-0425.09] 防止进程间相互越界访问,
[0425.09-0429.57] 从而保护进程和数据不被非法访问或修改。
[0430.37-0438.12] 业表项中的禁止缓存位用来指明业表项所对应的虚拟业是否可以再入开始,
[0438.12-0444.20] 正确设置该位,以确保辅存、主存和开始的数据一致性。
[0444.20-0451.12] 至此,我们就给同学们介绍了业式虚拟遵守器庄业表的相关知识,
[0451.12-0457.51] 需要说明的是对于本节课、业表项中的脏位、替换控制位、
[0457.67-0462.39] 访问权限位、禁止缓存位等都不是重点内容。
[0462.39-0469.11] 同学们了解即可,因此我们在本例中并未给出这些位的具体取职。
[0469.11-0475.20] 接下来,请同学们思考一下在采用业式虚拟遵守器的系统中,
[0475.20-0479.09] 如何描述主存中某个信息的位置呢?
[0479.09-0482.93] 例如,这个信息的主存位置如何描述?
[0483.38-0486.18] 我想同学们参照之前学习过的,
[0486.18-0490.18] 开始主存系统中采用全相连硬射方式时,
[0490.18-0492.98] 主存中某个信息的位置的描述方法,
[0492.98-0499.14] 不难得出,在采用全相连硬射方式的业式虚拟遵守器的系统中,
[0499.14-0504.82] 可用物理业号来描述信息位于主存中的哪个物理业,
[0504.82-0510.26] 用业内偏移来描述信息在该物理业中的具体位置。
[0510.72-0515.60] 这样,我们就得出了在采用业式虚拟遵守器的系统中,
[0515.60-0520.84] 信息的主存地址构成,主存地址也称为物理地址,
[0520.84-0525.22] 它由物理业号和物理业内偏移两部分构成。
[0525.22-0529.38] 我们知道,在采用业式虚拟遵守器的系统中,
[0529.38-0532.50] CPU给出的以及程序员面对的,
[0532.50-0538.04] 都是由主存和辅存构成的业式虚拟遵守器中的虚拟地址。
[0538.20-0540.84] 参照物理地址的构成,不难想到,
[0540.84-0546.05] 虚拟地址由虚拟业号和虚拟业内偏移两部分构成。
[0546.05-0551.25] 由于在划分业面时,物理业与虚拟业的大象是相同的,
[0551.25-0553.09] 而物理业内偏移自断,
[0553.09-0557.65] 与虚拟业内偏移自断各自的位数决定了业面的大象,
[0557.65-0560.85] 因此二者的位数是相同的。
[0560.85-0565.25] 从上所述,二者都可简称为业内偏移自断,
[0565.41-0568.53] 而不用区分是物理业还是虚拟业,
[0568.53-0572.29] 由于虚拟存主器容量大于主存容量,
[0572.29-0577.25] 因此虚拟业号自断的位数大于物理业号自断的位数,
[0577.25-0581.06] 由于在采用业式虚拟存主器的系统中,
[0581.06-0584.18] 指令中给出的地址是虚拟地址,
[0584.18-0587.14] 因此CPU执行指令时,
[0587.14-0591.06] 首先由CPU内部的存主器管理单元MMU,
[0591.06-0594.82] 将虚拟地址转换为主存的物理地址,
[0595.14-0598.84] 然后才能到主存取决令和数据,
[0598.84-0603.16] 那么MMU是如何进行地址转换的呢?
[0603.16-0606.63] 目前为止,同学们应该能够想到,
[0606.63-0612.07] MMU需要基于我们刚刚介绍过的业表进行地址转换,
[0612.07-0614.12] 我们来举例说明,
[0614.12-0619.38] 假设这是某个信息的虚拟地址的虚拟业号部分的取值,
[0619.38-0621.94] 这是业内偏移部分的取值,
[0621.94-0625.11] 业表属于进程控制信息,
[0625.19-0628.31] 存放在进程地址空间的内核区庄,
[0628.31-0630.79] 这是操作系统课程中的内容,
[0630.79-0635.35] 没有学习过操作系统课程的同学和简单认为,
[0635.35-0639.78] 每个进程都有一张常驻于主存的业表,
[0639.78-0643.14] 而业表机子计存器PTBR,
[0643.14-0646.34] 用于记录业表在主存中的手地址,
[0646.34-0649.22] 因此进行进行切换时,
[0649.22-0652.82] 只需要简单的切换业表机子计存器的值,
[0652.98-0656.02] 就可以实现业表的快速切换。
[0656.02-0659.92] 例如,这是本类中的业表机子计存器,
[0659.92-0661.84] 通过该计存器的值,
[0661.84-0665.92] 可以找到本类中的进程位于主存中的相应业表。
[0665.92-0667.60] 为了简单起见,
[0667.60-0672.08] 我们仅给出了业表中的有效位和存放位两个字段。
[0672.08-0674.77] 存住系管理单元还蛮迷雍,
[0674.77-0677.81] 通过虚拟地址中的虚拟业号部分的值,
[0677.81-0681.09] 可以所引到业表中的相应业表项。
[0681.41-0682.69] 需要说明的是,
[0682.69-0686.05] 在本类中,虚拟地址中的虚拟业号部分的值,
[0686.05-0688.05] 采用的是二令字形式,
[0688.05-0692.37] 而业表中虚拟业的编号采用的是实计制形式。
[0692.37-0695.86] 由于该业表项中的有效位的取值为一,
[0695.86-0702.18] 因此表明,该业表项所对应的虚拟业已从俯存调入了主存,
[0702.18-0706.10] 正应的该业表项中的存放位置之段的取值,
[0706.10-0710.10] 就是虚拟业所调入主存物理业的业号。
[0710.26-0714.10] 之前介绍过,物理地址的物理业内偏异部分
[0714.10-0718.10] 与虚拟业内偏异部分是相同的,
[0718.10-0722.74] 这样就得到了访问主存时的实际物理地址。
[0722.74-0725.41] 再来看这个虚拟地址。
[0725.41-0727.88] 村主席管理单元MMU,
[0727.88-0730.84] 通过虚拟地址中的虚拟业号部分的值,
[0730.84-0734.20] 可以所引到业表中的相应业表项。
[0734.20-0737.27] 由于该业表项中的有效位的取值为零,
[0737.43-0742.79] 因此表明该业表项所对应的虚拟业还未调入主存,
[0742.79-0745.59] 这种情况简称为缺业,
[0745.59-0750.16] 需要由操作系统调用缺业处理程序进行处理。
[0750.16-0753.84] 通过该业表项中存放位置之段的取值,
[0753.84-0755.20] 如果不为难,
[0755.20-0758.96] 则为该业表项所对应虚拟业在俯存,
[0758.96-0761.92] 例如磁盘的起始地址,
[0761.92-0767.11] 通过该起始地址将虚拟业从俯存调入主存。
[0767.27-0769.91] 至此,我们就给同学们介绍了
[0769.91-0775.19] 业式虚拟存主器的全相连影射和业表的相关知识。
[0775.19-0777.99] 接下来,我们通过一道立题,
[0777.99-0781.83] 加深同学们对上述知识点的理解和记忆。
[0781.83-0787.59] 之后,还会请同学们挑战一道相关的408历年真题。
[0787.59-0791.72] 请同学们暂停播放视频,认真审题,
[0791.72-0793.88] 然后我们一起来分析。
[0793.88-0800.93] 好的,我们一起来分析。
[0801.09-0802.13] 题目给定,
[0802.13-0806.90] 主存容量为16兆字节,和写成这种形式。
[0806.90-0812.10] 业式虚拟存主器容量为4G字节,和写成这种形式。
[0812.10-0817.51] 业面容量为4K字节,和写成这种形式。
[0817.51-0820.93] 题目还给定,按字节编制。
[0820.93-0823.84] 之前,我们刚刚介绍过,
[0823.84-0827.20] 物理地址中的业内偏一部分所占位数,
[0827.20-0831.28] 与虚拟地址中的业内偏一部分所占位数相等。
[0831.92-0835.78] 通常所说,我们可以得到以下结果。
[0835.78-0841.38] 物理地址和虚拟地址中,业内偏一部分各自占12位,
[0841.38-0844.66] 这是基于上述三个条件得出的。
[0844.66-0848.55] 我想同学们都能理解,就不再追数了。
[0848.55-0852.79] 同理,我们还可以得出,物理地址为24位,
[0852.79-0859.38] 除去业内偏一部分所占的12位,圣语的12位为物理业号部分,
[0859.38-0861.62] 虚拟地址为32位,
[0861.62-0867.70] 除去业内偏一部分所占的12位,圣语的20位为虚拟业号部分。
[0867.70-0872.34] 可见,虚拟业号部分的位数大于物理业号部分的位数,
[0872.34-0876.18] 因为虚拟困住器的容量大于主存容量,
[0876.18-0879.06] 因此本力是合理的。
[0879.06-0882.58] 另外,由于虚拟业号部分占20位,
[0882.58-0886.98] 因此可以给2-24方个虚拟业进行编号。
[0887.14-0891.70] 相应的,业表中包含有2-24方个业表项,
[0891.70-0894.66] 每个业表项对应一个虚拟业,
[0894.66-0897.38] 用来记录虚拟业的相关信息。
[0897.38-0901.54] 至此,我们就解答了本题的前三分。
[0901.54-0906.12] 利用所得到的结果,我们来一起分析第四分。
[0906.12-0909.96] 我们知道,通过业表机制计存器的值,
[0909.96-0913.72] 可以找到进程位于主存中的相应业表。
[0913.88-0918.44] 我们之前已经分析出了,本力装虚拟地址为32位,
[0918.44-0923.96] 其中虚拟业号部分占20位,业内偏移部分占12位,
[0923.96-0928.76] 因此该虚拟地址的高20位就是虚拟业号,
[0928.76-0932.64] 而剩余的12位就是业内偏移。
[0932.64-0938.32] 存住器管理单元MMU通过虚拟地址中的虚拟业号部分的值,
[0938.32-0941.68] 可以所引到业表中的相应业表项,
[0942.07-0945.11] 由于该业表项中的有效位的取值为1,
[0945.11-0951.43] 因此表明该业表项所对应的虚拟业已从辅存调入主存,
[0951.43-0955.67] 相应的该业表项中的存放位置自断的取值,
[0955.67-0959.67] 就是虚拟业所调入主存物理业的业哈。
[0959.67-0963.76] 之前介绍过,物理地址的物理业内偏移部分
[0963.76-0967.52] 与虚拟地址的虚拟业内偏移部分是相同的,
[0967.76-0973.28] 这样就得到了该虚拟地址所对应的主存物理地址。
[0973.28-0978.64] 再来看另一个虚拟地址,其高20位就是虚拟业号,
[0978.64-0982.52] 而剩余的12位就是业内偏移。
[0982.52-0988.04] 存住器管理单元MMU通过虚拟地址中的虚拟业号部分的值,
[0988.04-0991.97] 可以所引到业表中的相应业表项,
[0991.97-0994.85] 由于该业表项中的有效位的取值为0,
[0994.93-1000.45] 因此表明该业表项所对应的虚拟业还未调入主存,
[1000.45-1005.17] 需要由操作系统调用缺业处理程序进行处理。
[1005.17-1009.89] 通过该业表项中存放位置自断的取值,如果不为难,
[1009.89-1016.77] 则为该业表项所对应的虚拟业在储存,例如磁盘上的歧视地质,
[1016.77-1021.86] 通过该歧视地质将虚拟业从储存调入主存,
[1022.02-1024.82] 至此本立题的解析完毕。
[1024.82-1030.34] 接下来,请同学们趁热打铁,挑战这道408真题,
[1030.34-1037.89] 需要说明的是,题目中的存在位就是我们课程中介绍的业表项中的有效位,
[1037.89-1044.61] 而实业号或业框号,我们之前介绍过,他们是物理业号的别称。
[1044.61-1052.04] 好的,请同学们暂停播放视频,动手练习一下,然后给出你的答案。
[1052.28-1060.47] 本题的答案是选项非,大家都选对了吗?
[1060.47-1069.99] 我们来一起分析一下,我想这部分内容,同学们参考之前的立题,都可以正确得出,我们就不再赘述了。
[1069.99-1077.59] 接下来,我们就基于上述分析结果,将题目给定的虚拟地质转换成物理地质。
[1077.59-1085.56] 通过上述分析可知,本题中虚拟地质为32位,其中虚拟业号部分占20位,
[1085.72-1095.92] 业内天义部分占12位,因此该虚拟地质的这部分为虚拟业号部分,而这部分为业内天义部分。
[1095.92-1105.11] 村主器管理单元MMU,通过虚拟地质中的虚拟业号部分的值,可以所引到业表中的相应业表项。
[1105.11-1113.51] 由于该业表项中的有效位的取之为0,因此表明,该业表项所对应的虚拟业还未调入主存,
[1113.67-1117.43] 需要由操作系统调用缺业助理程序进行处理。
[1117.43-1127.24] 通过该业表项中存放位置自断的取值,如果不为难,则为该业表项所对应虚拟业在辅存上的歧视地质。
[1127.24-1132.20] 通过该歧视地质,将虚拟业从辅存调入主存。
[1132.20-1138.93] 需要说明的是,本题中存放位置自断被称为实业号或业宽号。
[1139.62-1144.26] 经过上路分析,本题的答案就应该是选项第了。
[1144.26-1148.34] 请同学们帮我分析一下,我错在哪里了?
[1148.34-1151.38] 有没有同学和我犯同样的错误?
[1151.38-1160.21] 相信很多同学已经发现了,题目给定的虚拟地址采用的是16进制形式,
[1160.21-1168.15] 而业表中虚拟业的编号采用的是实进制形式,因此这是一个错误的所引。
[1168.31-1174.95] 将虚拟地址中,16进制形式的虚拟业号转换成实进制数为130,
[1174.95-1183.44] 具体方法为,按权展开相加,即8×16的1字方,加上2×16的0字方。
[1183.44-1188.96] 这样就所引到了业表中,虚拟业号为130的业表项,
[1188.96-1192.76] 由于该业表项中的有效率取之为1,
[1192.92-1198.52] 因此表明,该业表项所对应的虚拟业已从辅存调入主存。
[1198.52-1206.58] 相应的,该业表项中的存放位置之段的取值,就是虚拟业所调入主存物理业的业号。
[1206.58-1212.18] 这样,我们就得到了题目给定虚拟地址所对应的物理地址。
[1212.18-1221.17] 这是物理地址中的物理业号部分,而业内偏意部分与虚拟地址中的业内偏意部分是相同的。
[1221.33-1224.69] 综上所述,本题的答案是选项C。
[1224.69-1228.77] 好的,本节课到这里就结束了。
[1228.77-1233.41] 请同学们快速回忆一下本节课的主要内容。
[1233.41-1248.40] 同学们,我们下节课见!
