[0003.63-0008.23] 同学们好,欢迎大家来到我的计算机组成原理维克堂
[0170.68-0172.60] 用成数Y的Y1位
[0172.60-0175.72] 乘以备成数X的X3位
[0175.72-0177.32] 得到一位结果
[0177.32-0179.98] 既为X3Y1
[0179.98-0184.26] 这样就得到了成数Y的Y1位的位积
[0184.26-0185.82] 请同学们注意
[0185.82-0191.56] 需要将Y1位的位积比Y0位的位积向前错开一位
[0191.56-0193.36] 这是进行惩罚后
[0193.36-0197.68] 成数Y的Y2位和Y3位各自的位积
[0197.68-0199.72] 相信同学们都能看懂
[0199.72-0202.06] 我们就不再坠述了
[0202.06-0206.46] 最后将上述得到的成数Y的各位的位积
[0206.46-0208.86] 进行二进制加法运算
[0208.86-0213.48] 即可得到备成数X和成数Y的成绩
[0213.48-0215.60] 请同学们思考一下
[0215.60-0219.88] 我们能否模仿上述二进制惩罚的比算方法
[0219.88-0225.35] 仅用组合逻辑电路来实现二进制惩罚运算呢
[0225.35-0228.19] 我们来一起想办法
[0228.19-0229.99] 在运算过程中
[0229.99-0231.91] 成数Y中的某个位
[0231.91-0235.15] 与备成数X中的某个位的惩罚运算
[0235.15-0238.07] 和使用与门来实现
[0238.11-0242.50] 这样首先就得到了成绩的最低位P0
[0242.50-0247.46] 接下来进行这一列的一位二进制数的加法运算
[0247.46-0250.24] 一便得到成绩的相应位
[0250.24-0252.52] 相信同学们不但想到
[0252.52-0256.76] 可以使用我们之前有关一位全家器的那节课中
[0256.76-0259.16] 介绍的一位全家器
[0259.16-0263.18] 来实现一位二进制数的加法运算
[0263.18-0264.98] 两个与门的输出端
[0264.98-0269.93] 分别连接到这个全家器的两个操作数输入端
[0269.93-0272.34] 来自低位的净位为0
[0272.34-0274.78] 该全家器的加法结果输出
[0274.78-0277.28] 就是成绩的P1位
[0277.28-0279.60] 而该加法器的净位输出
[0279.60-0283.06] 会在计算这一列时被使用
[0283.06-0284.46] 对于这一列
[0284.46-0287.58] 首先需要使用一个一位全家器
[0287.58-0292.08] 来完成这两个与门输出结果的加法运算
[0292.08-0294.66] 来自低位的净位为0
[0294.66-0296.98] 该加法器的加法结果输出
[0296.98-0301.93] 还要与下面这个与门输出结果进行加法运算
[0301.93-0305.82] 这就需要使用另一个一位全家器
[0305.82-0307.86] 该全家器的净位输入
[0307.86-0311.81] 来自上面这一行中的这个全家器
[0311.81-0314.25] 该加法器的加法结果输出
[0314.25-0317.26] 就是成绩的P2位
[0317.26-0321.38] 而本列中两个全家器各自的净位输出
[0321.38-0325.14] 会在计算这一列时被使用
[0325.14-0326.70] 参照以上方法
[0326.70-0329.10] 我们直接用动画掩饰的方式
[0329.10-0332.30] 给出该组合逻辑电路的剩余部分
[0332.30-0334.62] 相信同学们都能看懂
[0334.62-0336.72] 就不再坠述了
[0336.72-0381.49] 如同所示
[0381.49-0384.17] 至此我们就构建好了一个
[0384.17-0386.73] 能够实现四位无符号数
[0386.73-0388.37] 与四位无符号数
[0388.37-0391.13] 乘法运算的组合逻辑电路
[0391.13-0395.17] 即四乘四位无符号阵列乘法器
[0395.17-0397.65] 接下来我们通过一个实例
[0397.65-0401.98] 来看看该阵列乘法器能否正确完成
[0401.98-0404.54] 我们先使用比算方法
[0404.54-0407.78] 假设备乘数X为1011
[0407.78-0410.51] 乘数Y为1101
[0410.51-0415.56] 这是计算过程中一次得到的位积
[0415.56-0418.80] 将上述位积进行加法运算
[0418.80-0423.38] 即可得到备乘数X与乘数Y的成绩
[0423.38-0425.86] 接下来我们就将该例子
[0425.90-0431.03] 带入四乘四位无符号阵列乘法器中进行运算
[0431.03-0435.86] 这是本例中各与门的输入
[0435.86-0439.35] 这是各与门的输出
[0439.35-0444.58] 这样就首先得到了成绩的最低位P0为1
[0444.58-0446.66] 对于这个一位全家界
[0446.66-0449.78] 其两个操作数分别为1和0
[0449.78-0452.26] 来自低位的境位为0
[0452.26-0454.90] 因此加法结果为1
[0454.90-0457.26] 向高位的境位为0
[0457.26-0461.58] 这样就得到了成绩的P1位为1
[0461.58-0463.98] 对于这个一位全家界
[0463.98-0468.72] 其两个操作数以及来自低位的境位都为0
[0468.72-0471.00] 因此加法结果为0
[0471.00-0473.94] 向高位的境位也为0
[0473.94-0476.26] 对于这个一位全家界
[0476.26-0479.26] 其两个操作数分别为0和1
[0479.26-0481.46] 来自低位的境位为0
[0481.46-0483.70] 因此加法结果为1
[0483.70-0486.21] 向高位的境位为0
[0486.25-0490.47] 这样就得到了成绩的P2位为1
[0490.47-0493.03] 相信同学们可以自行分析出
[0493.03-0494.95] 后续的计算过程
[0494.95-0497.31] 我们以动画演示的方式给出
[0497.31-0499.11] 就不再坠述了
[0499.11-0512.18] 如同所示
[0512.18-0513.06] 接下来
[0513.06-0515.46] 请同学们自行对比一下
[0515.46-0521.38] 比算结果与硬件运算结果是否一致
[0521.38-0522.98] 我们再来分析一下
[0522.98-0525.95] 该战略惩罚器的运算性能
[0525.95-0527.15] 不难看出
[0527.15-0529.63] 该战略惩罚器由全家界
[0529.71-0531.51] 和与门构成
[0531.51-0534.67] 全家界的数量为n×n-1个
[0534.67-0537.43] 与门的数量为n×n个
[0537.43-0539.99] 其中n是参与运算的
[0539.99-0542.11] 无符号数的位数
[0542.11-0544.50] 本力中n等于4
[0544.50-0547.18] 各全家界所需要的操作数
[0547.18-0550.38] 由相应的各与门并行产生
[0550.38-0552.58] 需要一致时间延迟
[0552.58-0556.48] 即需要一个基本逻辑门的传输延迟
[0556.48-0559.98] 如同所示
[0559.98-0562.34] 此行内各全家界之间
[0562.34-0566.51] 没有近位依赖并行执行
[0566.51-0568.71] 此行内各全家界之间
[0568.71-0573.14] 也没有近位依赖并行执行
[0573.14-0575.42] 此行内各全家界之间
[0575.42-0579.40] 也没有近位依赖并行执行
[0579.40-0582.24] 此行是三个全家界构成的
[0582.24-0585.07] 三位串形近位加法器
[0585.07-0588.99] 这是其近位依赖关系
[0588.99-0592.47] 尽管前三行各自内部的全家界之间
[0592.47-0594.38] 没有近位依赖
[0594.38-0596.78] 但是第二行内的全家界
[0596.78-0600.10] 与第一行内的全家界有近位依赖
[0600.10-0603.46] 如同所示
[0603.46-0605.26] 第三行内的全家界
[0605.26-0608.54] 与第二行内的全家界有近位依赖
[0608.54-0612.14] 如同所示
[0612.14-0613.74] 第四行内的全家界
[0613.74-0616.74] 与第三行内的全家界有近位依赖
[0616.74-0620.24] 如同所示
[0620.24-0623.96] 经过之前有关一位全家界的那节课
[0623.96-0627.40] 以及串形近位加法器的那节课的学习
[0627.40-0628.60] 我们知道
[0628.60-0632.17] 一位全家界的时间延迟为6T
[0632.17-0636.53] M位串形近位加法器的时间延迟为2M加4
[0636.53-0638.82] 然后乘以T
[0638.82-0642.06] 根据上述有关时间延迟的分析
[0642.06-0647.34] 我们不能得出该阵列成法器的时间延迟
[0647.34-0648.22] 另外
[0648.22-0649.86] 该阵列成法器中
[0649.86-0653.98] 这一行的各个全家界均有一个零输入
[0653.98-0656.42] 而最下面一行的最后一个全家界
[0656.42-0658.30] 也有一个零输入
[0658.30-0661.30] 因此可采用半家器实现
[0661.30-0665.22] 以减少逻辑们数量和时间延迟
[0665.22-0667.94] 为了进一步优化运算速度
[0667.94-0674.41] 还可将最下面一行全家界采用先行近位电路
[0674.41-0676.13] 通过本节课的学习
[0676.13-0677.65] 我们不难发现
[0677.65-0679.89] 阵列成法器结构规范
[0679.89-0683.53] 标志化程度高有利于布局布线
[0683.53-0686.85] 适合用超大规模集成电路来实现
[0686.85-0690.05] 而且可以获得脚高的运算速度
[0690.05-0696.40] 其运算速度仅取决于逻辑门和家法器的传输延迟
[0696.40-0697.28] 好的
[0697.28-0699.84] 本节课到这里就结束了
[0699.84-0700.68] 同学们
[0700.68-0701.92] 我们下节课见
