[0003.12-0007.36] 同学们好,欢迎大家来到我的计算机组成员里韦克唐
[0854.00-0854.80] 数组A
[0854.80-0857.92] 在主存数据块中的存储情况
[0857.92-0860.00] 根据本题给定的已知量
[0860.00-0861.28] 我们可以计算出
[0861.36-0864.35] 开始中所包含开始行的数量
[0864.35-0867.23] 用开始数据区大小1k字节
[0867.23-0870.83] 除以主存数据块的大小16字节
[0870.83-0872.90] 结果为64
[0872.90-0873.70] 因此
[0873.70-0876.66] 我们可以画出本题中的开始数据区
[0876.66-0878.10] 共64行
[0878.10-0880.91] 编号从0到63
[0880.91-0883.87] 通过本题给定的程序段可知
[0883.87-0886.11] 每执行一次搜寻环
[0886.11-0889.95] 数组A中的相应元素被访问两次
[0889.95-0891.63] 也就是读出一次
[0891.71-0893.47] 加上常数32号
[0893.47-0895.57] 再写入一次
[0895.57-0896.37] 例如
[0896.37-0898.21] 第一次访问A0时
[0898.21-0899.33] 未命中
[0899.33-0901.81] 需要将A0所在主存数据块
[0901.81-0904.30] 再入到相应的开始行中
[0904.30-0906.22] 那么第二次访问A0时
[0906.22-0907.76] 就会命中
[0907.76-0908.48] 之后
[0908.48-0910.40] 对于A1到A3
[0910.40-0913.57] 各自的两次访问都会命中
[0913.57-0914.77] 通常所说
[0914.77-0916.13] 对于开始行0
[0916.13-0917.49] 访问8次
[0917.49-0919.09] 其中一次未命中
[0919.09-0920.66] 7次命中
[0920.66-0921.78] 不难看出
[0921.86-0923.78] 对于行1到63
[0923.78-0927.07] 情况与开始行0是完全一样的
[0927.07-0929.31] 一次访问数字A中的元素
[0929.31-0932.67] 当出现开始行数据块替换时
[0932.67-0934.91] 开始的缺失率也是一样的
[0934.91-0936.59] 借一次未命中
[0936.59-0937.87] 7次命中
[0937.87-0940.64] 开始缺失率为1%
[0940.64-0941.92] 综上所说
[0941.92-0944.88] 本题的答案为选项C
[0944.88-0946.48] 需要说明的是
[0946.48-0948.00] 为了简单起见
[0948.00-0949.12] 对于本题
[0949.12-0951.04] 我们假设循环辨量K
[0951.12-0952.64] 在程序编译时
[0952.64-0954.88] 被分配在计存器中
[0954.88-0956.16] 并且数组A
[0956.16-0959.60] 从主存的0号单元开始存放
[0959.60-0960.48] 实际上
[0960.48-0963.52] 即使不按以上假设进行分析
[0963.52-0965.92] 结果也不会相差太多
[0965.92-0968.00] 这也是题目最后两个字
[0968.00-0970.42] 是约为的原因
[0970.42-0971.22] 接下来
[0971.22-0972.74] 我们一起来挑战这道
[0972.74-0976.42] 2010年408考研的通课大题
[0976.42-0978.90] 请同学们暂停播放视频
[0978.90-0980.42] 认真审题
[0980.50-0981.14] 之后
[0981.14-0982.66] 我们来一起分析
[0982.66-0990.50] 我们来一起分析一下
[0990.50-0991.70] 如都所示
[0991.70-0993.22] 这是本题给定的
[0993.22-0996.26] 包含有8个开始行的数据开始
[0996.26-0997.70] 每个开始行中的数据官
[0997.70-1000.56] 副本的大项为64字节
[1000.56-1001.52] 本题第一问
[1001.52-1003.84] 要求我们在不考虑用于
[1003.84-1005.44] 开始一致性维护
[1005.44-1007.84] 和替换算法的控制位的情况下
[1007.84-1010.88] 计算出数据开始的总容量
[1010.88-1013.12] 因此在上途中
[1013.12-1014.52] 每个开始行中
[1014.52-1015.72] 仅包含有
[1015.72-1016.84] 有效位
[1016.84-1018.12] 主存分区号
[1018.12-1019.32] 数据官副本
[1019.32-1021.10] 共三个部分
[1021.10-1021.82] 其中
[1021.82-1023.58] 有效位占一位
[1023.58-1026.70] 数据官副本的大小为64字节
[1026.70-1027.58] 因此
[1027.58-1030.62] 只要知道主存分区号所占的位数
[1030.62-1031.98] 我们就可以计算出
[1031.98-1033.90] 单个开始行的容量
[1033.90-1035.34] 将其乘以8
[1035.34-1038.94] 就可以得出该数据开始的总容量
[1038.94-1039.98] 我们知道
[1039.98-1041.74] 在直接映射方式中
[1041.90-1042.94] 主存地址
[1042.94-1044.78] 由主存分区号
[1044.78-1045.90] 开始行号
[1045.90-1046.86] 快乐地址
[1046.86-1048.79] 共三部分组成
[1048.79-1049.91] 本题改定
[1049.91-1051.75] 主存按字节编制
[1051.75-1054.87] 地址空间大小为256兆字节
[1054.87-1055.75] 也就是
[1055.75-1058.15] 2-28四方个字节
[1058.15-1059.51] 因此可知
[1059.51-1062.07] 主存地址的位宽为28
[1062.07-1065.00] 我们将其标记在上途中
[1065.00-1066.12] 本题改定
[1066.12-1068.84] 数据开始包含有8个开始行
[1068.84-1071.08] 也就是2-3四方个
[1072.04-1074.28] 主存地址中的开始行号部分
[1074.28-1075.64] 占有3位
[1075.64-1078.46] 我们将其标记在上途中
[1078.46-1079.66] 本题改定
[1079.66-1081.82] 每个开始行中的数据化复本大小
[1081.82-1083.50] 为64字节
[1083.50-1086.30] 也就是2-6四方个字节
[1086.30-1088.70] 并且主存按字节编制
[1088.70-1089.98] 因此可知
[1089.98-1092.22] 主存地址中的换内地址部分
[1092.22-1093.42] 占有6位
[1093.42-1096.42] 我们将其标记在上途中
[1096.42-1098.50] 那么剩余的19位
[1098.50-1099.94] 作为主存地址中的
[1099.94-1101.54] 主存分区号部分
[1101.62-1104.46] 我们将其标记在上途中
[1104.46-1105.34] 这样
[1105.34-1107.82] 我们就得到了每个开始行中
[1107.82-1110.86] 主存分区号的常度为19位
[1110.86-1112.30] 进而可以计算出
[1112.30-1115.13] 当个开始行的容量
[1115.13-1117.77] 将当个开始行的容量乘以8
[1117.77-1121.40] 就可得出该数据开始的总容量
[1121.40-1122.20] 至此
[1122.20-1124.98] 本题第一问解答完毕
[1124.98-1125.78] 接下来
[1125.78-1128.02] 我们来解答本题第二问
[1128.02-1129.62] 也就是二维数组A的
[1129.62-1130.50] 第0行
[1130.50-1132.50] 第31列的元素
[1132.50-1133.78] 以及第1行
[1133.78-1135.06] 第1列的元素
[1135.06-1136.10] 各自所在的
[1136.10-1137.30] 主存数据块
[1137.30-1140.54] 对应的开始行号分别是多少
[1140.54-1141.82] 如同所示
[1141.82-1143.98] 这是将主存划分成了
[1143.98-1146.39] 若干个等长的数据块
[1146.39-1147.51] 本题给定
[1147.51-1149.67] 开始行中的数据块负本的大小
[1149.67-1151.51] 为64字节
[1151.51-1152.71] 因此可知
[1152.71-1154.55] 每个主存数据块的大小
[1154.55-1156.47] 为64字节
[1156.47-1157.67] 本题给定
[1157.67-1159.75] 主存按字节编制
[1159.75-1161.67] 由于每个主存数据块的大小
[1161.67-1163.43] 为64字节
[1163.43-1164.23] 因此
[1164.23-1165.27] 我们可以写出
[1165.27-1168.58] 每个主存数据块的手地址
[1168.58-1169.38] 例如
[1169.38-1172.26] 主存数据块0的手地址为0
[1172.26-1175.38] 主存数据块1的手地址为64
[1175.38-1177.13] 以此类推
[1177.13-1178.97] 这8个主存数据块
[1178.97-1182.17] 分别对应数据开始中的8个行
[1182.17-1183.37] 本题给定
[1183.37-1187.05] 数组A的手地址为实定制数320
[1187.05-1191.03] 并且数组A按行由先方式存放
[1191.03-1191.83] 因此
[1191.83-1194.95] 在手地址为320的主存数据块中
[1194.95-1197.03] 开始存放数组A
[1197.03-1198.47] 每个主存数据块
[1198.47-1201.38] 可存放数组A的16个元素
[1201.38-1203.22] 这是因为本题给定
[1203.22-1205.46] 数组A的数据类型为int
[1205.46-1207.86] 用32位补码表示
[1207.86-1208.74] 因此
[1208.74-1212.10] 数组A的每个元素大小为4字节
[1212.10-1215.86] 由于1个主存数据块的大小为64字节
[1215.86-1216.74] 因此
[1216.74-1218.18] 1个主存数据块
[1218.18-1221.38] 可存放数组A的16个元素
[1221.46-1222.58] 不难看出
[1222.58-1224.18] 数组A的第零行
[1224.18-1225.78] 第31列的元素
[1225.78-1227.70] 所在主存数据块
[1227.70-1232.07] 对应的开始行号为6
[1232.07-1234.71] 我们之前刚刚给同学们介绍过
[1234.71-1236.63] 才用直接印射方式
[1236.63-1240.23] 若给主存数据块进行统一编号
[1240.23-1242.23] 则将主存数据块号
[1242.23-1244.07] 磨上开始行的数量
[1244.07-1246.31] 就可得到该主存数据块
[1246.31-1249.10] 所对应的开始行的行号
[1249.10-1250.46] 如同所示
[1250.54-1254.50] 这是给个主存数据块进行的统一编号
[1254.50-1256.10] 数组A的第零行
[1256.10-1257.86] 第31列的元素
[1257.86-1260.92] 所在主存数据块的块号为6
[1260.92-1263.32] 6磨上开始行的数量8
[1263.32-1264.60] 结果为6
[1264.60-1265.48] 因此
[1265.48-1267.00] 数组A的第零行
[1267.00-1268.60] 第31列的元素
[1268.60-1270.20] 所在主存数据块
[1270.20-1272.60] 对应的开始行号为6
[1272.60-1273.88] 本题第二问
[1273.88-1275.48] 还要求我们回答出
[1275.48-1276.92] 数组A的第一行
[1276.92-1278.20] 第一列的元素
[1278.20-1279.96] 所在的主存数据块
[1279.96-1282.39] 所对应的开始行号
[1282.39-1283.59] 如果我们知道
[1283.59-1286.79] 该元素所在主存数据块的块号
[1286.79-1289.11] 则将其磨上开始行的数量
[1289.11-1291.11] 就可得到该主存数据块
[1291.11-1293.72] 所对应的开始行的行号
[1293.72-1294.52] 然而
[1294.52-1297.48] 该元素所在主存数据块的块号
[1297.48-1299.72] 就不像之前的第零行
[1299.72-1301.48] 第31列的元素那样
[1301.48-1303.24] 比较容易看出来
[1303.24-1304.28] 没有关系
[1304.28-1306.52] 我们可以通过该元素的地址
[1306.52-1307.56] 来计算出
[1307.56-1310.36] 它所在主存数据块的块号
[1310.36-1312.68] 为了让同学们更容易理解
[1312.68-1314.12] 我们首先来看看
[1314.12-1316.44] 之前已经进行过回答的
[1316.44-1318.12] 数组A的第零行
[1318.12-1319.88] 第31列的元素
[1319.88-1321.56] 如何通过它的地址
[1321.56-1325.08] 计算出它所在主存数据块的块号
[1325.08-1326.28] 本题给定
[1326.28-1329.00] 数组A的手地指围320
[1329.00-1331.00] 也就是数组A的第零行
[1331.00-1334.57] 第零列的元素的手地指围320
[1334.57-1338.01] 由于数组A的每个元素占四字节
[1338.01-1339.45] 并且数组A
[1339.53-1342.89] 以行由先方式在主存中存放
[1342.89-1345.05] 主存按字节编织
[1345.05-1345.93] 因此
[1345.93-1347.45] 数组A的第零行
[1347.45-1349.85] 第31列的元素的手地指
[1349.85-1351.80] 计算如下
[1351.80-1353.16] 通过该地指
[1353.16-1354.68] 我们就可以计算出
[1354.68-1357.88] 该元素所在主存数据块的块号
[1357.88-1360.34] 计算如下
[1360.34-1363.38] 用该元素的手地指444
[1363.38-1367.82] 除以一个主存数据块的字节大小64
[1367.82-1369.58] 然后向下取证
[1369.66-1370.54] 就可得出
[1370.54-1374.38] 该元素所在主存数据块的块号为6
[1374.38-1376.54] 通过该主存数据块的块号
[1376.54-1378.06] 我们就可以计算出
[1378.06-1380.14] 它所对应的开始行号
[1380.14-1381.96] 计算如下
[1381.96-1384.92] 也就是用该主存数据块的块号6
[1384.92-1387.08] 磨上开始行的数量8
[1387.08-1388.81] 结果为6
[1388.81-1390.25] 那么接下来
[1390.25-1392.81] 请同学们参照上述计算
[1392.81-1394.89] 给出数组A的第一行
[1394.89-1397.77] 第一列的元素的主存手地指
[1397.77-1401.45] 竟然给出其所在主存数据块的块号
[1401.45-1403.61] 竟然给出该主存数据块
[1403.61-1406.90] 所对应的开始行的行号
[1406.90-1409.54] 请同学们暂停播放视频
[1409.54-1416.58] 务必动手练习一下
[1416.58-1419.06] 相信同学们都能正确完成
[1419.06-1428.94] 我们就不再赘述了
[1428.94-1429.74] 接下来
[1429.74-1433.10] 我们再从主存地址的角度分析一下
[1433.10-1434.86] 将我们之前计算出的
[1434.86-1436.14] 数组A的第零行
[1436.14-1438.70] 第31列的元素的主存地址
[1438.78-1441.13] 转换成二净值形式
[1441.13-1444.17] 其中第六位是块内地址
[1444.17-1447.29] 而中间三位就是开始行号
[1447.29-1449.69] 将其转换成实净值数
[1449.69-1450.89] 可得该元素
[1450.89-1452.89] 所在主存数据块对应的
[1452.89-1455.35] 开始行的行号为6
[1455.35-1457.03] 将我们之前计算出的
[1457.03-1458.39] 数组A的第一行
[1458.39-1460.71] 第一列的元素的主存地址
[1460.71-1463.11] 转换成二净值形式
[1463.11-1466.07] 其中第六位是块内地址
[1466.07-1468.87] 而中间三位就是开始行号
[1469.03-1471.51] 将其转换成实净值数
[1471.51-1472.71] 可得该元素
[1472.71-1474.63] 所在主存数据块对应的
[1474.63-1477.13] 开始行的行号为5
[1477.13-1478.01] 至此
[1478.01-1479.77] 针对本题第二问
[1479.77-1482.49] 我们实际上给出了两种解法
[1482.49-1485.50] 希望同学们都能掌握
[1485.50-1486.30] 接下来
[1486.30-1489.05] 我们来解答本题的第三问
[1489.05-1490.17] 本题给定
[1490.17-1491.61] 程序变异时
[1491.61-1493.77] 变量IJ3
[1493.77-1496.09] 均分配在计算器中
[1496.09-1496.97] 因此
[1496.97-1499.45] 在我们回答本题第三问时
[1499.53-1502.01] 程序A和B的数据访问命中率
[1502.01-1504.26] 只考虑数组A即可
[1504.26-1505.38] 本题给定
[1505.38-1508.89] 数组A按行优先方式进行存放
[1508.89-1511.45] 从程序A的代码不难看出
[1511.45-1514.57] 对数组A是按行进行访问的
[1514.57-1518.17] 这与数组A的存放方式是相同的
[1518.17-1522.33] 而程序B对数组A是按列进行访问的
[1522.33-1525.22] 这与数组A的存放方式不同
[1525.22-1526.58] 我们首先来分析
[1526.58-1529.48] 程序A的数据访问命中率
[1529.56-1530.76] 初始状态下
[1530.76-1532.04] 开始围空
[1532.04-1534.36] 对数组A中的守卫元素
[1534.36-1535.88] 也就是第零行
[1535.88-1537.16] 第零列的元素
[1537.16-1538.68] 进行读取时
[1538.68-1540.76] 会出现数据缺失
[1540.76-1542.84] 也就是未命中
[1542.84-1543.80] 因此
[1543.80-1545.08] 再入该元素
[1545.08-1546.52] 所在主存数据块
[1546.52-1548.68] 到相应的开场
[1548.68-1551.00] 这样就将主存数据块中
[1551.00-1553.56] 该元素后续的15个元素
[1553.56-1555.72] 也再入到了开始中
[1555.72-1556.52] 因此
[1556.52-1559.80] 对该元素后续15个元素的读取
[1559.80-1561.37] 都会命中
[1561.37-1562.41] 以此类推
[1562.41-1574.52] 我们就不再坠述了
[1574.52-1576.76] 至于数组A中的个元素
[1576.76-1579.40] 会被再入到哪个开始行中
[1579.40-1581.16] 我们在本题第二问
[1581.16-1582.92] 已经给出过解析了
[1582.92-1584.97] 也就不再坠述了
[1584.97-1587.13] 在读取数组A的过程中
[1587.13-1588.97] 会出现开始隐瞒
