[0002.99-0007.59] 同学们好,欢迎大家来到我的计算机组成原理维克堂。
[0570.50-0572.38] 我们之前分析过
[0572.38-0573.66] TLB命状
[0573.66-0574.66] 夜命状
[0574.66-0575.74] 开始命状
[0575.74-0577.26] 是最好情况
[0577.26-0579.35] 不用访问主存
[0579.35-0583.43] 因此本题中取述和结果写回
[0583.43-0586.09] 应该是这种最好情况
[0586.09-0586.93] 然而
[0586.93-0588.37] 题目还给令
[0588.37-0590.85] 开始使用直写方式
[0590.85-0594.45] 也就是我们之前介绍过的写穿方式
[0594.45-0596.81] 数据不但要写入开始
[0596.81-0599.14] 还要写入主存
[0599.14-0600.50] 综上所述
[0600.50-0603.99] 访问主存的次数至少是一次
[0603.99-0606.80] 本题的答案是选项B
[0606.80-0610.07] 再来挑战2020年的题15
[0610.07-0612.87] 请同学们暂停播放视频
[0612.87-0614.11] 思考一下
[0614.11-0621.66] 然后得出你的答案
[0621.66-0624.18] 本题的答案是选项B
[0624.18-0626.94] 相信同学们都能证选完成
[0626.94-0629.52] 我们就不再赘述了
[0629.52-0630.52] 好的
[0630.52-0633.36] 本节课到这里就结束了
[0633.36-0635.80] 请同学们快速回忆一下
[0635.84-0646.94] 本节课的主要内容
[0646.94-0647.82] 同学们
[0647.82-0649.02] 我们下节课见
