[0004.88-0009.28] 同學們好,歡迎大家來到我的計算機組成原理維克堂
[0175.98-0179.58] 來自微程序控制器中的另一個重要組成部分
[0179.58-0181.70] 也就是地址轉移邏輯
[0181.70-0184.14] 輸出的下一個微地址
[0184.14-0188.82] 如讀所示
[0188.82-0194.26] 微地址寄存器按失蹤脈衝來更新其所存的微地址
[0194.26-0198.18] 每一個失蹤脈衝都會觸發微地址寄存器
[0198.18-0201.74] 所存來自輸入端的新的微地址
[0201.74-0207.06] 以便從控制存儲器中讀取並執行下一條微指令
[0207.06-0213.32] 如讀所示
[0213.32-0215.00] 需要說明的是
[0215.00-0217.20] 對於三級時序體制
[0217.20-0221.35] 在狀態週期的最後一個節拍結束時觸發
[0221.35-0223.39] 對於現在時序體制
[0223.39-0226.86] 在當前時中週期結束時觸發
[0226.86-0232.34] 如果CPU中需要時序配合的控制信號是上升也有效
[0232.34-0236.86] 則微地址寄存器的更新在下站連觸發
[0236.86-0238.62] 剛剛已經介紹了
[0238.62-0241.62] 微程序控制器中的地址轉移邏輯
[0241.62-0245.06] 用於產生下一條微指令的微地址
[0245.06-0249.79] 如讀所示
[0249.79-0253.71] 地址轉移邏輯會依據指令的一碼情況
[0253.71-0255.35] 外部狀態條件
[0255.35-0257.47] 微指令的判別測試自斷
[0257.59-0259.27] 和下指自斷等
[0259.27-0261.95] 輸出下一條微指令的微地址
[0261.95-0264.29] 給微地址寄存器
[0264.29-0271.17] 如讀所示
[0271.17-0274.37] 下一條微指令的微地址的產生方法
[0274.37-0278.73] 常用的有下指自斷法和技術器法
[0278.73-0281.85] 我們將在下節課中介紹
[0281.85-0282.69] 接下來
[0282.69-0284.81] 請同學們趁熱打鐵
[0284.81-0290.29] 挑戰三道與本節課內容相關的408考驗整體
[0290.29-0294.33] 首先來挑戰2017年的題18
[0294.33-0297.13] 請同學們暫停播放視頻
[0297.13-0298.37] 思考一下
[0298.37-0305.69] 然後給出你的答案
[0305.69-0308.13] 本題的答案是選項幣
[0308.13-0310.01] 大家都選對了嗎
[0310.01-0312.87] 我們來一起分析一下
[0312.87-0315.35] 主存主器簡稱主存
[0315.35-0318.03] 它通常位於CPU外部
[0318.03-0321.34] 用於存儲指令和數據
[0321.34-0325.72] 主存通過系統總線與CPU連接
[0325.72-0330.96] 控制存儲器是CPU內部微程序控制器的組成部分
[0330.96-0333.49] 用於存儲為指令
[0333.49-0334.61] 總上所說
[0334.61-0337.80] 選項A和C的敘述證券
[0337.80-0339.16] 如讀所示
[0339.16-0340.48] 這是本節課
[0340.48-0342.28] 我們剛剛介紹過的
[0342.28-0345.52] 控制存儲器按微地址訪問
[0345.52-0349.30] 因此選項幣的敘述錯誤
[0349.30-0352.50] 主存通常用隨機訪問存儲器RAM
[0352.50-0355.92] 和指讀存儲器ROM來實現
[0355.92-0358.80] RAM用於實現主存的大部分
[0358.80-0360.88] 其支持足血操作
[0360.88-0365.24] 是用於存儲運行時的程序指令和數據
[0365.24-0368.54] 例如DRAM作為系統內存
[0368.54-0372.12] ROM也可以用於實現主存的一部分
[0372.12-0374.52] 用於存儲引導代碼
[0374.52-0377.92] 例如BIOS或UEFI
[0377.92-0381.89] 或者是存儲嵌入式系統中的固架
[0381.89-0385.45] 控制存儲器通常用ROM實現
[0385.49-0387.49] 控制存儲器存儲的事
[0387.49-0391.09] 用於控制CPU內部操作的底層代碼
[0391.09-0392.82] 即微指令
[0392.82-0395.66] 這些微指令通常是固定的
[0395.66-0398.16] 不需要運行時修改
[0398.16-0402.03] 因此ROM提供高效的指讀訪問
[0402.03-0403.79] 需要說明的是
[0403.79-0406.07] 在現代一些CPU中
[0406.07-0409.03] 控制存儲器可能使用RAM
[0409.03-0410.39] 一方PROM
[0410.39-0411.47] Flash
[0411.47-0414.11] 以支持微程序更新
[0414.11-0419.40] 例如Intel或AMB處理器修復安全漏洞
[0419.40-0423.14] 因此選項地的敘述基本正確
[0423.14-0424.34] 總常所說
[0424.34-0427.01] 本題的答案是選項B
[0427.01-0432.51] 再來挑戰2010年的提18和2021年的提17
[0432.51-0435.35] 請同學們暫停播放視頻
[0435.35-0436.55] 思考一下
[0436.55-0443.66] 然後給出你的答案
[0443.66-0448.06] 這兩道題的答案分別是選項B和選項D
[0448.10-0450.66] 相信同學們都能正確完成
[0450.66-0452.97] 我們就不再墜速了
[0452.97-0456.01] 實際上2010年的提18
[0456.01-0458.21] 我們在本章的第一次課中
[0458.21-0460.97] 就請同學們練習過了
[0460.97-0463.61] 個別為正確解答該題的同學
[0463.61-0466.81] 應該好好體會一下應如何改進
[0466.81-0470.05] 以後避免這種情況
[0470.05-0472.49] 這兩道題還可以總結為
[0472.49-0476.25] 可見其存儲是會變語言的操作接口
[0476.25-0478.97] 程序員通過他們直接控制數據
[0478.97-0482.11] 執行流程和主存訪問
[0482.11-0487.74] 而不可見既存器屬於印駕實現的內部執行細節
[0487.74-0488.66] 好的
[0488.66-0491.22] 本節課到這裡就結束了
[0491.22-0497.57] 我們將本節課的內容小節如下
[0497.57-0498.37] 同學們
[0498.37-0499.61] 我們下節課見
