[0003.38-0007.98] 同學們好 歡迎大家來到我的計算機組成園裡維克堂
[0007.98-0012.46] 本節課 我們介紹一位全家企的硬件邏輯實現
[0012.46-0019.42] 在上節課中 我們給誇專業的同學們補充了邏輯代數和邏輯門的相關知識
[0019.42-0027.28] 本節課呢 我們就是要使用邏輯門來構建實現一位二進製加法的硬件邏輯電路
[0027.63-0032.99] 首先來回憶一下 我們手工進行二進製加法運算的過程
[0033.32-0037.09] 例如 這是一個八位的二進製數
[0037.09-0039.85] 這是另一個八位的二進製數
[0560.05-0562.80] 我們就不再進一步介紹了
[0562.80-0563.68] 接下來
[0563.68-0565.92] 請同學們根據之前拆分出的
[0565.92-0567.20] 另一個針織表
[0567.20-0569.92] 寫出本位加數si yi
[0569.92-0572.80] 來自低位的敬畏ci作為輸入
[0572.80-0575.28] 本位向高位的敬畏ci加1
[0575.28-0582.86] 作為輸出的邏輯表達式
[0582.86-0585.42] 相信同學們都能正確完成
[0585.42-0587.97] 我們就不再贅述了
[0587.97-0590.21] 假設這是根據設計要求
[0590.21-0593.60] 化解並轉換得到的邏輯表達式
[0593.60-0594.96] 該邏輯表達式
[0594.96-0596.80] 從另一個角度表示了
[0596.80-0598.88] 原邏輯表達式所表示的
[0598.88-0602.08] 輸入與輸出之間的邏輯關係
[0602.08-0603.44] 這部分表示
[0603.44-0605.92] 若si和yi都為一
[0605.92-0608.30] 則si加1為一
[0608.30-0609.66] 這部分表示
[0609.74-0611.98] 若si和yi不同
[0611.98-0613.66] 且ci為一
[0613.66-0616.34] 則si加1為一
[0616.34-0617.30] 這次
[0617.30-0620.34] 我們就要得到了本位加數si yi
[0620.34-0623.22] 來自低位的敬畏ci作為輸入
[0623.22-0626.80] 本位和si作為輸出的邏輯表達式
[0626.80-0629.68] 以及本位加數si yi
[0629.68-0632.48] 來自低位的敬畏ci作為輸入
[0632.48-0637.30] 本位向高位的敬畏ci加1作為輸出的邏輯表達式
[0637.30-0639.54] 根據這兩個邏輯表達式
[0639.54-0643.17] 我們可以畫出相應的組合邏輯電路
[0643.17-0645.89] 為了方便同學們將邏輯表達式
[0645.89-0648.05] 與邏輯電路對應起來
[0648.05-0651.33] 我們用顏色將邏輯表達式中的運算符
[0651.33-0655.06] 與邏輯電路中的邏輯門進行的對應
[0655.06-0657.14] 本位加數si yi
[0657.14-0661.76] 來自低位的敬畏ci作為該邏輯電路的輸入端
[0661.76-0663.20] 本位和si
[0663.20-0666.00] 與本位向高位的敬畏ci加1
[0666.00-0668.93] 作為該邏輯電路的輸出端
[0668.93-0670.05] 接下來
[0670.13-0672.61] 我們將真值表中的某個組合
[0672.61-0675.73] 帶入該邏輯電路來驗證一下
[0675.73-0678.59] 看看輸出結果是否正確
[0678.59-0696.37] 如下所示
[0696.37-0697.33] 接下來
[0697.33-0699.09] 我們再來分析一下
[0699.09-0702.96] 信號經過該邏輯電路所耗費的時間
[0702.96-0704.80] 再設基本邏輯門
[0704.80-0709.57] 例如貨門與門的傳播延遲為1T
[0709.57-0710.77] 複合邏輯門
[0710.77-0714.88] 例如1貨門的傳播延遲為3T
[0714.96-0716.16] 不考慮信號
[0716.16-0719.79] 在邏輯門之間的線路上的傳播實驗
[0719.79-0722.99] 從信號輸入到該邏輯電路時刻起
[0722.99-0724.43] 1T時間號
[0724.43-0727.50] 這個與門輸出有效信號
[0727.50-0728.86] 3T時間號
[0728.86-0732.42] 這個易貨門輸出有效信號
[0732.42-0733.62] 4T時間號
[0733.62-0736.94] 這個與門輸出有效信號
[0736.94-0738.30] 5T時間號
[0738.30-0741.26] 這個貨門輸出有效信號
[0741.26-0742.14] 該信號
[0742.14-0746.02] 就是本位向高位的敬畏信號
[0746.02-0747.46] 6T時間號
[0747.46-0750.11] 這個易貨門輸出有效信號
[0750.11-0750.99] 該信號
[0750.99-0753.66] 就是本位合的信號
[0753.66-0755.26] 需要說明的是
[0755.26-0759.50] 當我們不需要研究某個邏輯電路的內部細節時
[0759.50-0762.32] 我們可以用符號進行表示
[0762.32-0763.36] 例如
[0763.36-0765.44] 這就是左側這個實現了
[0765.44-0769.17] 一位二進制加法運算的邏輯電路的符號
[0769.17-0771.73] 我們將其稱為全家器
[0771.73-0774.18] 英文所寫詞為FA
[0774.18-0775.46] 全家的意思是
[0775.46-0778.29] 帶有敬畏輸入CI
[0778.37-0779.33] 可以看到
[0779.33-0780.37] 符號表示
[0780.37-0784.26] 可以屏蔽掉邏輯電路的內部實現細節
[0784.26-0787.71] 對外僅給出輸入輸出端口即可
[0787.71-0789.39] 請同學們注意
[0789.39-0791.23] 除了一位全家器
[0791.23-0793.39] 還有一位半家器
[0793.39-0796.19] 半家器沒有敬畏輸入CI
[0796.19-0797.79] 所以其內部邏輯呢
[0797.79-0801.04] 只有一個易貨門和一個與門
[0801.04-0804.83] 其中易貨門用於產生本位和SI
[0804.83-0806.35] 與門用於產生
[0806.35-0810.42] 本位向高位的敬畏CI加1
[0810.42-0811.30] 好的
[0811.30-0814.02] 本節課到這裡就結束了
[0814.02-0814.90] 同學們
[0814.90-0816.42] 我們下節課見
