[0003.22-0007.74] 同学们好,欢迎大家来到我的计算机组成员里威克唐
[0171.02-0175.47] 它有虚拟业号与夜内偏移两部分构成
[0175.47-0178.59] 若TLB采用组相连方式
[0178.75-0185.76] 则心理业号部分被划分成TLB标记和TLB组锁影两部分
[0185.76-0189.02] 而夜内偏移字段保持不变
[0189.02-0193.82] TLB组锁影用于锁影到TLB内的某个组
[0193.82-0200.96] TLB标记用来与组内多个夜表像中的标记太个字段进行并发比较
[0200.96-0206.66] 若TLB采用全相连方式,则心理地址保持不变
[0207.14-0214.58] 其中的虚拟业号用来与TLB内所有夜表像中的标记太个字段进行并发比较
[0215.79-0221.79] 接下来我们举例说明TLB采用的上述两种地址应设方式
[0221.79-0224.19] 首先来看全相连方式
[0224.19-0228.19] 如都所示,这是某个信息的虚拟地址
[0228.19-0234.35] 通过存主器管理单元MMU将其转换成主存的物理地址
[0234.77-0239.23] MMU需要在TLB中进行快速查找
[0239.23-0247.82] 将虚拟地址中的虚拟业号与TLB内的所有夜表像中的标记太个字段进行并发比较
[0247.82-0254.78] 可以发现该夜表像中的标记太个字段的值与虚拟地址中的虚拟业号相同
[0254.78-0258.70] 并且该夜表像中的有效位的值为一
[0258.86-0265.23] 因此,TLB命中也就是找到了相应的有效夜表像
[0265.23-0270.99] 该夜表像中的物理业号字段的值就是物理地址中的物理业号
[0270.99-0275.23] 而虚拟地址中的业内偏一部分保持不变
[0275.23-0283.23] 这样就通过MMU和TLB将虚拟地址快速转换成了物理地址
[0283.23-0285.55] 有的同学可能已经发现了
[0285.71-0293.23] 上述过程,与我们之前在有关夜市虚拟存主器的地理应设和夜表的那节课中
[0293.23-0296.03] 介绍的转换过程是类似的
[0296.03-0298.64] 但是,请同学们注意
[0298.64-0305.92] 那节课介绍的是在位于主存中的夜表,也就是慢表中查找夜表像
[0305.92-0311.84] 而本节课刚刚介绍的是在TLB快表中查找夜表像
[0312.00-0316.72] 由于TLB的访问速度远高于主存的访问速度
[0316.72-0322.66] 因此采用TLB可改善夜市虚拟存主器的访问性能
[0322.66-0331.87] 当然了,如果TLB未命中,则还是需要到常驻于主存中的夜表中去获取夜表像
[0331.87-0334.35] 再来看组相连方式的例子
[0334.51-0337.90] 假设TLB采用二路组相连
[0337.90-0341.92] 这是组相连方式下虚拟地址的构成
[0342.08-0345.33] 这是TLB内的各个夜表像
[0345.33-0347.73] 由于采用二路组相连
[0347.73-0352.99] 因此,每一行包含有两个夜表像构成一个组
[0352.99-0357.57] 例如,这是组零,这是组一
[0357.57-0359.31] 第1类推
[0359.31-0365.50] 存主器管理单元MMAO
[0365.50-0368.54] 通过虚拟地址中的TLB组索引
[0368.54-0371.98] 可以索引到TLB内的相应组
[0372.18-0375.78] 之后,将虚拟地址中的TLB标记
[0375.78-0378.50] 分别与该组中的两个夜表像
[0378.50-0380.42] 各自的标记TEC字段
[0380.42-0382.18] 进行并发比较
[0382.18-0384.34] 并得到比较结果
[0384.34-0386.27] 将两个比较结果
[0386.27-0389.55] 分别与各自相应夜表像的有效位的值
[0389.55-0391.07] 进行逻辑与
[0391.07-0396.66] 两个予应算结果作为多路选择器的选择输出控制端
[0396.66-0399.87] 多路选择器的两个数据输入端
[0399.95-0401.63] 分别来自该组中
[0401.63-0404.93] 两个夜表像中的物理业号字段
[0404.93-0407.41] 在TLB命中的情况下
[0407.41-0409.09] 多路选择器的输出
[0409.09-0410.85] 就来自该组中
[0410.85-0414.80] 被命中的那个夜表像中的物理业号
[0414.80-0418.80] 将虚拟地址中的业内偏一部分保持不变
[0418.80-0420.96] 拼接在物理业号后面
[0420.96-0424.85] 就构成了物理地址
[0424.85-0427.89] 至此,相信同学们已经了解了
[0427.89-0431.28] TLB的相关概念和基本原理
[0431.36-0436.11] 接下来,我们介绍基于TLB的访问过程
[0436.11-0437.79] 这是CPU
[0437.79-0440.59] 存储器管理单元MIMU
[0440.59-0441.87] TLB
[0441.87-0444.10] 开始主存系统
[0444.10-0447.58] 假设TLB采用全相连方式
[0447.58-0449.34] 还需要说明的是
[0449.34-0451.02] 为了简单起见
[0451.02-0452.06] 本节课
[0452.06-0454.06] 我们将开始主存系统
[0454.06-0456.62] 作为一个整体进行分析
[0456.62-0459.86] 不考虑开始是否命中的情况
[0459.94-0463.78] 而结合开始是否命中的更进一步分析
[0463.78-0466.50] 我们将在下节课介绍
[0466.50-0467.70] 步骤1
[0467.70-0470.82] CPU给出一个虚拟地址
[0470.82-0471.94] 步骤2
[0471.94-0475.22] MIMU通过虚拟地址中的虚拟业号
[0475.22-0479.71] 在TLB中进行全相连并发比较
[0479.71-0481.55] 假设TLB命中
[0481.55-0486.32] 也就是在TLB中找到了相应的有效业表像
[0486.32-0489.84] 这表明该业表像所对应的虚拟业
[0489.92-0493.89] 已从辅存掉入了开始主存系统
[0493.89-0495.17] 步骤3
[0495.17-0499.14] TLB返回业表像给MIMU
[0499.14-0500.34] 步骤4
[0500.34-0503.86] MIMU用业表像中存放位置自断
[0503.86-0505.86] 存放的物理业号
[0505.86-0508.90] 与虚拟地址中的业内偏一部分
[0508.90-0510.98] 构造出物理地址
[0510.98-0516.11] 通过物理地址访问开始主存中的相应数据
[0516.11-0517.39] 步骤5
[0517.47-0521.73] 开始主存系统给CPU返回数据
[0521.73-0522.93] 不但看出
[0522.93-0527.46] 上述返回流程是TLB命中的情况
[0527.46-0530.78] 我们再来看TLB缺失的情况
[0530.78-0535.34] 前两个步骤与TLB命中的情况是相同的
[0535.34-0537.89] 我们就不再坠述了
[0537.89-0539.17] 步骤3
[0539.17-0542.45] MIMU利用业表机制集存器的值
[0542.45-0545.25] 和该虚拟地址中的虚拟业号部分
[0545.25-0547.52] 生成业表像地址
[0547.60-0549.12] 通过业表像地址
[0549.12-0553.14] 访问开始主存中的相应业表像
[0553.14-0554.59] 步骤4
[0554.59-0559.31] 开始主存系统给MIMU返回业表像
[0559.31-0562.35] 若业表像中的有效率取之为1
[0562.35-0565.02] 则需要更新TLB
[0565.02-0568.14] MIMU用业表像中存放位置自断
[0568.14-0569.90] 存放的物理业号
[0569.90-0572.70] 与虚拟地址中的业内偏一部分
[0572.70-0575.18] 构造出物理地址
[0575.18-0576.22] 步骤5
[0576.22-0577.42] 通过物理地址
[0577.42-0581.33] 访问开始主存系统中的相应数据
[0581.33-0582.53] 步骤6
[0582.53-0586.99] 开始主存系统给CPU返回数据
[0586.99-0587.87] 至此
[0587.87-0589.79] 我们给同学们介绍了
[0589.79-0592.19] 用于改善业式虚拟存主器
[0592.19-0596.24] 访问性能的快表TLB的相关知识
[0596.24-0597.12] 接下来
[0597.12-0599.28] 请同学们趁热打起
[0599.28-0602.78] 挑战这道相关的408帧题
[0602.78-0604.38] 需要说明的是
[0604.38-0606.22] 表格中的业框号
[0606.22-0608.78] 我们常称为物理业号
[0608.78-0609.66] 好的
[0609.66-0612.22] 请同学们暂停播放视频
[0612.22-0613.82] 动手练习一下
[0613.82-0615.90] 然后给出你的答案
[0615.90-0624.38] 提的答案是选项A
[0624.38-0626.30] 大家都选对了吗
[0626.30-0629.15] 我们来一起分析一下
[0629.15-0632.59] 根据题目给定的相关议质量进行分析
[0632.59-0634.75] 并得出以下结果
[0634.75-0635.87] 这种练习
[0635.87-0637.39] 我们在之前的
[0637.39-0640.27] 有关业式虚拟存主器的地理议设
[0640.27-0642.11] 和业表的那节课中
[0642.19-0643.79] 已经练习过了
[0643.79-0646.43] 相信同学们都能正确完成
[0646.43-0648.70] 我们就不再坠述了
[0648.70-0649.66] 接下来
[0649.66-0651.58] 我们根据上述结果
[0651.58-0653.82] 将题目给定的虚拟地址
[0653.82-0656.35] 转换成物理地址
[0656.35-0658.51] 通过上述分析可知
[0658.51-0661.55] 本题中虚拟地址为32位
[0661.55-0664.75] 其中虚拟业号部分占20位
[0664.75-0667.73] 业内偏一部分占12位
[0667.73-0668.69] 因此
[0668.69-0672.53] 该虚拟地址的这部分为虚拟业号部分
[0672.53-0675.82] 而这部分为业内偏一部分
[0675.82-0676.94] 题目给定
[0676.94-0679.74] TLB采用全项连应设
[0679.74-0680.70] 因此
[0680.70-0683.18] 将虚拟地址中的虚拟业号
[0683.18-0687.02] 与TLB中所有业表项的标记自断的值
[0687.02-0689.09] 进行并发比较
[0689.09-0690.53] 比较结果为
[0690.53-0693.73] 该业表项的标记自断的值相同
[0693.73-0697.33] 并且该业表项的有相位的值为1
[0697.33-0700.24] 因此TLB命中
[0700.24-0702.48] 这样就可以得出
[0702.48-0706.02] 该虚拟地址所对应的物理地址了
[0706.02-0707.14] 我们知道
[0707.14-0709.54] 物理地址中的业内偏一部分
[0709.54-0714.03] 与虚拟地址中的业内偏一部分是相同的
[0714.03-0716.19] 在其前面添加所命中的
[0716.19-0718.51] 业表项中的物理业号
[0718.51-0721.04] 即可构成物理地址
[0721.04-0722.40] 通上所说
[0722.40-0725.65] 本题的答案是选项A
[0725.65-0726.61] 好的
[0726.61-0729.25] 本节课到这里就结束了
[0729.25-0731.81] 请同学们快速回忆一下
[0731.89-0733.89] 本节课的主要内容
[0733.89-0748.75] 我们下节课见
