[0002.51-0007.11] 同学们好,欢迎大家来到我的计算机组成原理维克堂。
[0864.80-0866.80] 对于K路祖乡连印射
[0866.80-0868.80] ILRU位所占的位数等于
[0868.80-0870.80] LOG以2为底K的对数
[0870.80-0872.93] 由于本题给定
[0872.93-0874.93] 才用8路祖乡连印射方式
[0874.93-0877.93] 因此ILRU位所占的位数等于
[0877.93-0880.93] LOG以2为底8的位数等于3
[0880.93-0883.09] 另外本题给定
[0883.09-0885.09] 才用直写策略
[0885.09-0887.09] 也就是我们之前在有关
[0887.09-0889.09] 开始的读写流程的那些课中
[0889.09-0891.09] 给同学们简单介绍过的
[0891.09-0893.09] 写穿策略
[0893.09-0895.09] 因此不需要修改位
[0895.09-0898.09] 也就是不需要当数据标志位
[0898.09-0899.12] 至此
[0899.12-0901.12] 本大题的第一问解析完毕
[0901.12-0904.12] 再来分析本大题的第二问
[0904.12-0906.12] 这是题不给定的
[0906.12-0909.12] 数主R4在主存中的起始地址
[0909.12-0912.47] 我们将其转换成二进的形式
[0912.47-0914.47] 在之前解析第一问时
[0914.47-0916.47] 已经分析出了
[0916.47-0919.89] 主存地址的第六位为块里偏移
[0919.89-0922.89] 主存地址的中六位为太室组号
[0922.89-0926.46] 也就是主存数据块号
[0926.46-0931.01] 主存地址的高二十位为主存分区号
[0931.01-0935.71] 将二进的形式转换成实进的形式
[0935.71-0937.71] 由于块里偏移为0
[0937.71-0938.71] 因此可知
[0938.71-0941.71] 数字R4在主存中的起始位置为
[0941.71-0943.71] 主存分区号2048中的
[0943.71-0946.84] 主存数据块3的起始处
[0946.84-0948.84] 在题不给定的程序段
[0948.84-0949.84] 根据该程序段
[0949.84-0952.84] 以及题不给定的相关移植量
[0952.84-0953.84] 我们可以计算出
[0953.84-0956.84] 数所R4所占主存数据块的数量
[0956.84-0960.09] 计算如下
[0960.09-0961.09] 这里的四字节
[0961.09-0962.09] 是题不给定的
[0962.09-0965.09] 数所R4的数据类型为int
[0965.09-0967.09] int型数据占四字节
[0967.09-0969.09] 这里的1024
[0969.09-0971.09] 是程序段中的循环次数
[0971.09-0973.15] 这里的64字节
[0973.15-0974.15] 是题不给定的
[0974.15-0976.25] 主存数据块大小
[0976.25-0978.25] 经过上述分析
[0978.25-0979.25] 我们就可画出
[0979.25-0981.25] 数组R4在主存中
[0981.25-0982.25] 都存处在哪些
[0982.25-0984.25] 主存数据块中
[0984.25-0986.11] 如同所示
[0986.11-0988.11] 这是题不给定的
[0988.11-0989.11] 采用八路组相连
[0989.11-0991.11] 硬射方式的数据开始
[0991.11-0993.11] 主存分区2048中的数据块
[0993.11-0994.11] 3-63
[0994.11-0997.11] 对应开始组3-63
[0997.11-0999.11] 主存分区2049中的数据块
[0999.11-1000.11] 0-2
[1000.11-1002.30] 对应开始组0-2
[1002.30-1003.30] 换句话说
[1003.30-1005.30] 数组R4所在的64个
[1005.30-1006.30] 主存数据块
[1006.30-1008.30] 各自对应一个开始组
[1008.30-1011.30] 根据题不给定的程序段可知
[1011.30-1013.30] 对于数组R4的每一个元素
[1013.30-1015.30] 都会经历两次访问
[1015.30-1017.30] 即先读出
[1017.30-1019.37] 乘以2号再写入
[1019.37-1020.37] 题不给定
[1020.37-1023.37] 主存数据块的大小为64字节
[1023.37-1024.37] 而数组R4的
[1024.37-1026.37] 每个元素大小为4字节
[1026.37-1027.37] 因此
[1027.37-1028.37] 一个主存数据块
[1028.37-1031.37] 可以存处数组R4的16元素
[1031.37-1032.37] 例如
[1032.37-1035.37] 主存分区2048中的数据块3中
[1035.37-1038.37] 存处的是S0-S15
[1038.37-1041.37] 主存分区2049中的数据块2中
[1041.37-1045.59] 存处的是S1008-S1023
[1045.59-1047.59] 在第一次访问S0时
[1047.59-1049.59] 开始访问缺失
[1049.59-1050.59] 再入S0所在
[1050.59-1051.59] 主存数据块3
[1051.59-1053.59] 到开始组3
[1053.59-1058.43] 如族所示
[1058.43-1059.43] 因此
[1059.43-1060.43] 第二次访问S0
[1060.43-1062.43] 以及对S1-S15的
[1062.43-1065.43] 各两次访问都会命中
[1065.43-1066.43] 以此类推
[1066.43-1067.43] 不难得出
[1067.43-1068.43] 数组S所在的
[1068.43-1070.43] 每个主存数据块的访问
[1070.43-1072.43] 都是第一次访问缺失
[1072.43-1074.59] 之后都会命中
[1074.59-1076.59] 由于数组S存处在
[1076.59-1078.59] 64个主存数据块中
[1078.59-1079.59] 因此
[1079.59-1081.59] 对数组S的数据开始访问
[1081.59-1084.72] 缺失次数为64
[1084.72-1085.72] 至此
[1085.72-1086.72] 本大题的第二问
[1086.72-1087.72] 解析完毕
[1087.72-1088.72] 再来分析
[1088.72-1090.72] 本大题的第三问
[1090.72-1091.72] 如族所示
[1091.72-1092.72] 这是在分析
[1092.72-1093.72] 本大题第一问时
[1093.72-1095.72] 就分析过的
[1095.72-1096.72] 不过此时的
[1096.72-1098.75] 开始为指令开始
[1098.75-1099.75] 这是题目给定的
[1099.75-1100.75] 指令所在
[1100.75-1102.75] 主存单元的地址
[1102.75-1103.75] 我们将其转换成
[1103.75-1106.10] 二净值形式
[1106.10-1107.10] 主存地址的第六位
[1107.10-1109.10] 为块里偏移
[1109.10-1110.10] 主存地址的中六位
[1110.10-1112.10] 为开始组哈
[1112.10-1113.10] 也就是
[1113.10-1114.10] 主存数据块号
[1114.10-1116.10] 主存地址的高二十位
[1116.10-1118.17] 为主存分区哈
[1118.17-1119.17] 将二净值形式
[1119.17-1120.17] 转换成
[1120.17-1122.26] 实净值形式
[1122.26-1123.26] 因此可知
[1123.26-1124.26] 指令在主存中的
[1124.26-1125.26] 其次位置为
[1125.26-1126.26] 主存分区哈
[1126.26-1127.26] 十六中的
[1127.26-1128.26] 主存数据块零的
[1128.26-1130.26] 偏移三字接触
[1130.26-1131.39] 根据
[1131.39-1133.39] 组相连印设的规则可知
[1133.39-1134.39] 主存各分区中的
[1134.39-1135.39] 数据块零
[1135.39-1136.39] 都会印设到
[1136.39-1137.39] 开始组零
[1137.39-1138.39] 换句话说
[1138.39-1139.39] 这些数据块的
[1139.39-1140.39] 主存地址的
[1140.39-1141.39] 开始组哈
[1141.39-1143.39] 或称开始组锁影
[1143.39-1144.39] 都为零
[1144.39-1145.39] 因此
[1145.39-1146.39] 通过数据块的
[1146.39-1147.39] 主存地址的
[1147.39-1148.39] 组号部分
[1148.39-1149.39] 首先会
[1149.39-1150.39] 锁影到开始组零
[1150.39-1152.46] 题目要求我们
[1152.46-1153.46] 简要说明
[1153.46-1154.46] 从指令开始中
[1154.46-1156.46] 访问该指令的过程
[1156.46-1157.46] 包括开始
[1157.46-1158.46] 确实处理过程
[1158.46-1159.46] 因此
[1159.46-1160.46] 接下来
[1160.46-1161.46] 我们只要分析出
[1161.46-1162.46] 对开始组零的
[1162.46-1164.46] 访问过程即可
[1164.46-1165.46] 题目给定
[1165.46-1166.46] 开始时
[1166.46-1167.46] 开始均为空
[1167.46-1168.46] 因此
[1168.46-1169.46] 组零中
[1169.46-1170.46] 所有开始行的
[1170.46-1171.46] 有效位均为零
[1171.46-1172.46] 表示各行中的
[1172.46-1174.49] 信息无效
[1174.49-1175.49] 根据指令
[1175.49-1176.49] 所在主存地址的
[1176.49-1177.49] 开始组锁影
[1177.49-1178.49] 部分的值
[1178.49-1179.49] 可锁影到
[1179.49-1180.49] 开始组零
[1180.49-1181.49] 由于此时
[1181.49-1182.49] 组零内各
[1182.49-1183.49] 开始行的
[1183.49-1184.49] 有效位均为零
[1184.49-1185.49] 因此
[1185.49-1186.49] 开始访问
[1186.49-1187.49] 未命中
[1187.49-1188.58] 所以
[1188.58-1189.58] 需要从
[1189.58-1190.58] 组存中
[1190.58-1191.58] 再入指令
[1191.58-1192.58] 所在数据块
[1192.58-1193.58] 到开始组零内的
[1193.58-1194.58] 任意空行
[1194.58-1195.58] 相应的
[1195.58-1196.58] 将该行的
[1196.58-1197.58] LRU位
[1197.58-1198.62] 设置为零
[1198.62-1199.62] 在分析
[1199.62-1200.62] 第一问时
[1200.62-1201.62] 我们已经得出了
[1201.62-1202.62] 本地中
[1202.62-1203.62] LRU位
[1203.62-1204.62] 所占的位数
[1204.62-1205.87] 为3
[1205.87-1206.87] 将该行的
[1206.87-1207.87] 标记泰克的值
[1207.87-1208.87] 设置为指令
[1208.87-1209.87] 所在
[1209.87-1210.87] 组存地址的
[1210.87-1212.03] 组存分析号
[1212.03-1213.03] 部分的值
[1213.03-1214.03] 从该行的
[1214.03-1215.22] 有效位之一
[1215.22-1216.22] 之后
[1216.22-1217.22] 根据指令
[1217.22-1218.22] 所在
[1218.22-1219.22] 组存地址的
[1219.22-1220.22] 块内偏意部分的值
[1220.22-1221.22] 从该行的
[1221.22-1222.22] 数据块
[1222.22-1223.22] 复本缓冲区中
[1223.22-1224.22] 取出
[1224.22-1225.32] 所区内容
[1225.32-1226.32] 至此
[1226.32-1227.32] 本题
[1227.32-1228.45] 全部解代完毕
[1228.45-1229.45] 我们将
[1229.45-1230.45] 上述过程
[1230.45-1231.45] 总结如下
[1231.45-1232.45] 以便
[1232.45-1234.76] 同学们
[1234.76-1235.76] 使用PPT复习
[1235.76-1236.76] 好的
[1236.76-1237.76] 本节课
[1237.76-1238.76] 到这里就结束了
[1238.76-1239.76] 同学们
[1239.76-1240.76] 我们下节课见
