[0003.28-0007.28] 同学们好,欢迎大家来到我的计算机组成员里维克堂。
[0420.68-0432.68] 这样,在多路选择器Max的控制信号MaxOP的控制下,多路选择器可选择来自单总线的数据或数值2进入LU的超多数B的输入端。
[0432.68-0436.68] 至此,我们就完成了本大题第五小题的解析。
[0436.68-0440.28] 再来分析本大题的第六小题。
[0440.28-0446.28] 屏幕要求我们回答,图中多路选择器Max的其中一个输入端为什么是数值2?
[0446.28-0457.28] 可能有的同学已经发现了,类似该问题,我们在上上节有关CPU内部采用单总线数据通路的那节课所举的例子中,也遇到过。
[0457.28-0466.28] 只不过在该例子中,LU自带加4的功能,用于更新程序技术器PC的值,以便PC只向主存中的下一条指令。
[0466.28-0472.28] 对于本题,题目给定,主存按字节编码,一般我们都习惯说编纸。
[0472.28-0477.54] 存取单位为16位,采用16位定长指令字。
[0477.54-0485.96] 从上所述,程序顺序执行时,下一条指令的地址为,程序进入器PC的当前值加2。
[0485.96-0497.96] 在当前指定的取决周期中,PC的值会通过单总线传送,并在相应控制信号的控制下,被分别写入暂存器T和存储器地址计存器MAR中。
[0497.96-0502.96] 竟然通过T,送入算数逻辑单元LU的操作数A的15端。
[0502.96-0508.02] 为了简单起见,途中并未掩饰存入MAR的情况。
[0508.02-0520.02] 多数选择器的控制信号MARXOP取之为0,则多数选择器0号端口输入的数值2,被多数选择器输出到算数逻辑单元LU的操作数B的输入端。
[0520.02-0532.02] 以便后续进行PC的值加2,并将运算结果,也就是PC的更新值,通过一位技能器SR及其相应的三太门送入单总线。
[0532.02-0536.02] 竟然将其写入PC,我们就不再掩饰了。
[0536.02-0542.33] 因此,本大题的解析完毕,再来挑战2015年的题44。
[0542.33-0548.33] 请同学们暂停播放视频,务必认认审题,之后我们来一起分析。
[0548.33-0556.52] 好的,我们来一起分析本大题的第一小题。
[0556.52-0561.62] 题目要求我们回答,该机的指令系统最多可定义多少条指令?
[0561.62-0567.88] 这是题目给定的,该机的指令格式,我们依据指令格式进行分析。
[0567.88-0573.88] 在之前的题43中,已经给定了本题中的指令长度为16位。
[0573.88-0583.88] 本题给定MD,MS1,MS2为寻止方式位,支持计存器直接和计存器间接两种寻止方式。
[0583.88-0592.88] 寻止方式位分别为0和1,因此可知,指令格式中的MD自断,MS1自断,MS2自断各占一位。
[0592.88-0603.88] 当取之为0时,表明相应的操作数采用计存器直接寻止方式,当取之为1时,表明相应的操作数采用计存器间接寻止方式。
[0603.88-0621.94] 题目给定,RD,RS1,RS2为计存器编号,该计存器有编号0到3共4个通用计存器,记作R0到R3,因此可知,指令格式中的RD自断,RS1自断,RS2自断各占两位。
[0621.94-0630.94] 因为RD,RS2等于4,也就是采用两个二净之位共有四种组合状态,每种组合状态作为一个通用计存器的编号。
[0630.94-0643.94] 这样我们就可以得出,指令操作码OP自断所占的位数为7,竟然可以得出,该鞠钻机的指令系统最多可定义的指令数量为2的7次方等于128,
[0643.94-0650.94] 也就是采用7个二净之位共有128种组合状态,每种组合状态作为一个指令操作码。
[0650.94-0655.00] 这次,本大题第一小题解答完毕。
[0655.00-0662.48] 再来分析本大题的第二小题,提名要求我们给出这三条指令各自对应的机器代码。
[0662.48-0667.48] 这需要我们结合题目给定的指令格式及其说明进行分析。
[0667.48-0674.77] 首先来看这条指令,根据该指令的操作说明不能看出,该指令属于单地值指令。
[0675.77-0685.77] 题目给定,单地值指令的末六位均为0,这相当于对于单地值指令,指令格式中的原操作数1和原操作数2都是无效的。
[0685.77-0695.80] 根据该指令的操作说明可知,其所执行的操作是将通用计存器R1中的操作数加1,结果再送入R1。
[0695.80-0701.84] 因此,操作数寻止方式为题目给定的计存器直接寻止方式。
[0701.84-0706.84] 题目给定,寻止方式为0,用来表示计存器直接寻止。
[0706.84-0715.96] 因此,指令格式中的MD字段的取值因为0,由于该指令仅使用了通用计存器R1,而R1的编号为1。
[0715.96-0723.25] 因此,指令格式中的RD字段的取值因为01,表明所用的计存器为R1。
[0723.25-0734.32] 题目给定,NC指令的操作码为16进至01,因此,指令格式中的指令操作码OP字段的取值因为0,00001。
[0734.32-0739.48] 至此,我们就得到了第一条指令所对应的机器代码。
[0739.48-0746.15] 我们将其写成16进的形式,并标记在该指令操作说明的右侧。
[0746.15-0753.21] 再来看这条指令,根据该指令的操作说明,不能看出,该指令属于二例之指令。
[0753.21-0762.21] 题目给定,二例之指令的莫三位均为0,这相当于对于二例之指令,指令格式中的原操作数R是无效的。
[0762.21-0773.31] 根据该指令的操作说明可知,其所执行的操作是将通用计存器R1中的操作数左移移位,结果送入通用计存器R2。
[0773.31-0779.40] 因此,操作数寻指方式为题目给定的计存器直接寻指方式。
[0779.40-0784.40] 题目给定,寻指方式为0,用来表示计存器直接寻指。
[0784.40-0790.40] 因此,指令格式中的MD字段和MS1字段各自的取职都应为0。
[0790.40-0798.40] 从该指令的操作说明可知,原操作数使用通用计存器R1,目的操作数使用通用计存器R2。
[0798.40-0808.40] 题目给定,R1的编号为1,因此,指令格式中RSE字段的取职应为01,表明原操作数使用的计存器为R1。
[0808.40-0818.40] 题目给定,R2的编号为2,因此,指令格式中RD字段的取职应为10,表明目的操作数使用的计存器为R2。
[0818.40-0829.47] 题目给定,SHL指令的操作码为16进至02,因此,指令格式中的指令操作码OP字段的取职应为000000000。
[0829.47-0834.56] 至此,我们就得到了第二条指令所对应的机器代码。
[0834.56-0839.63] 我们将其写成16进入形式,并标记在该指令操作说明的右侧。
[0839.63-0847.08] 再来看这条指令,根据该指令的操作说明,不能看出,该指令属于3D值指令。
[0847.08-0856.08] 根据3D值指令说明可知,通用计存器R1用于原操作数1,通用计存器R2用于原操作数2,
[0856.08-0859.08] 通用计存器R3用于目的操作数。
[0859.08-0869.08] 从本指令中原操作数1的操作说明可以看出,原操作数1采用的寻执方式是题目给定的计存器间接寻执方式。
[0869.08-0874.08] 也就是说,通用计存器R1的内容是原操作数1的有效地址。
[0874.08-0879.08] 题目给定,寻执方式为唯一,用来表示计存器间接寻执。
[0879.08-0889.14] 因此,指令格式中MS1字段的取值因为1,由于原操作数1使用通用计存器R1,题目给定R1的编号为1。
[0889.14-0897.20] 因此,指令格式中RSE字段的取值因为01,表明原操作数1使用的计存器为R1。
[0898.30-0907.30] 从本指令中原操作数2的操作说明可以看出,原操作数2采用的寻执方式是题目给定的计存器直接寻执方式。
[0907.30-0916.36] 也就是说,通用计存器R2的内容是原操作数2,题目给定,寻执方式为0,用来表示计存器直接寻执。
[0916.36-0926.46] 因此,指令格式中MS2字段的取值因为0,由于原操作数2使用通用计存器R2,题目给定R2的编号为2。
[0926.46-0934.59] 因此,指令格式中RS2字段的取值因为10,表明原操作数2使用的计存器为R2。
[0934.59-0943.59] 从本指令中目的操作数的操作说明可以看出,目的操作数采用寻执方式是题目给定的计存器直接寻执方式。
[0943.59-0956.59] 也就是说,原操作数1和原操作数2的运算结果,也就是目的操作数存放在通用计存器R3中,题目给定,寻执方式为0,用来表示计存器直接寻执。
[0956.59-0966.59] 因此,指令格式中MD字段的取值因为0,由于目的操作数使用通用计存器R3,题目给定R3的编号为3。
[0966.59-0974.62] 因此,指令格式中RD字段的取值因为11,表明目的操作数使用的计存器为R3。
[0974.62-0985.72] 题目给定,SUB指定的操作码为16进至03,因此,指令格式中的指定操作码OP字段的取值因为00010011。
[0985.72-0990.72] 至此,我们就得到了第三条指令所对应的机器代码。
[0990.72-0998.94] 我们将其写成16进的形式,并标记在该指令操作说明的右侧,再来分析本大题的第三小题。
[0998.94-1008.26] 这是本题给定的图A,题目要求我们给出该图中标号1-8处的控制信号或控制信号的取值。
[1008.26-1012.26] 这需要我们基于之前的题43的印在框图进行分析。
[1012.26-1020.26] 在左侧的图中,包含有两条不同的指令,它们的取值阶段是相同的,但执行阶段不同。
[1020.26-1031.26] 接下来,我们将这条指令的取值阶段和执行阶段依次带入右侧的图中进行分析,找出各阶段的,基于CPU内部单总线的数据通路。
[1031.26-1036.26] 接着得出标号1-4处的控制信号或控制信号的取值。
[1036.26-1047.26] 之后,请同学们自行将另外这条指令的执行阶段带入右侧的图中进行分析,以便得出标号5-8处的控制信号或控制信号的取值。
[1047.26-1052.26] 如同所示,首先进入取值阶段的第一个节拍。
[1052.26-1063.17] 我们将题目给定的该节拍中相应的控制信号标记在图中相应位置,由于控制信号PCOUT唯有效信号。
[1063.17-1068.17] 因此,程序技术器PC的纸输出到CPU内部单总线上。
[1068.17-1084.17] 经过单总线的传送,PC的纸会传送到CPU内部各相关部件,例如专用技准器MAR、MDR、IR、通用技准器R0-R3,都是选择器Max、暂存器T等。
[1084.17-1091.17] 为了简单起见,我们只画出该节拍中所传送到的我们所关心的相关部件即可。
[1091.17-1102.20] 对于本节拍,我们只关心PC的纸传送到存主器地纸机存器MAR以及暂存器T,由于控制信号MAR-IN为有效信号。
[1102.20-1110.20] 因此,经过CPU内部单总线传送来的内容会被写入MAR,此时MAR的内容为PC的纸。
[1110.20-1120.97] MAR的内容还会传送到主存总线,通过主存总线传送到主存,由于控制信号MEMOP的纸为Rate。
[1120.97-1128.97] 因此,由MAR的内容,也就是PC纸所指向的主存中的存主字,被读出到主存总线。
[1128.97-1142.10] 经过主存总线的传送,送入了存主器数据基团器MDR,此时MDR的内容就是从主存中取出的指令,具体来说就是这条所谓一味的指令。
[1142.10-1149.10] 可能细心的同学已经发现了,MDR与主存总线之间并没有设置三代门及其控制信号。
[1149.10-1157.10] 这与我们之前理论课和CT课中遇到的情况稍有不同,但不知同学们是否知道其中的原因呢?
[1157.10-1168.32] 这是因为本题中使用的是主存专用总线,其他外设不能使用,因此不会产生数据冲突,竟然可以不使用三代门。
[1168.32-1181.32] 而各技存器向CPU内部单总线传送内容的线路是需要设置三代门及其控制信号的,只不过为了简单起见,题目所给的图中并未画出相应的三代门。
[1181.32-1195.32] 好的,我们继续往下分析,由于控制信号T应为有效信号,因此经过CPU内部单总线传送来的内容会被写入单存器T,此时T的内容为PC的值。
[1195.32-1204.32] T的内容还会直接送入算数逻辑单元ALU的操作数A的输入端,这次取指阶段的第一个结拍结束。
[1204.32-1212.32] 接下来,进入取指阶段的第二个结拍,题目考察我们多数选择器Max的控制信号MaxOP的取决。
[1212.32-1222.32] 之前我们已经分析出了,在取指阶段的第一个结拍,程序进入器PC的值已被送到算数逻辑单元ALU的操作数A的输入端。
[1223.32-1234.32] 在取指阶段的第二个结拍,ALU的控制信号ALUOP的取决为A,也就是让ALU执行加法操作,我们将其标记在图中相应的位置。
[1234.32-1244.32] 至此,相信很多同学已经看出来了,这是要将PC的值加上另一个操作数B,其目的就是要得到下一条指令的地址。
[1244.32-1253.32] 因此,应该控制多数选择器Max将其零号端口输入的数值R,从其输出端口输出给ALU的操作数B的输入端。
[1253.32-1264.75] 这就需要Max控制信号MaxOP的取决为0,我们将其记录在左侧取指阶段第二个结拍的标号一处。
[1264.75-1272.45] ALU的运算结构,也就是PC的值加2,会直接送入一位计存器SR。
[1272.45-1282.48] 请们要求我们给出SR控制信号的取决,请们给定SR可实现时送,左依一位,右依一位,共三种操作。
[1282.48-1291.48] 由于需要将之前计算出的下一条指令的地址,也就是PC的值加2,通过CPU内部总线送入PC中。
[1291.48-1299.48] 因此,SR应执行直送操作,竟然其控制信号SROP的取决,因为题目给定的MODE。
[1299.48-1303.48] 我们将其记录在左侧取指阶段第二个结拍的标号二处。
[1303.48-1309.58] SR的内容需要通过三台门才能传送到CPU内部三种线上。
[1309.58-1316.58] 这次取指阶段的第二个结拍结束,接下来进入取指阶段的第三个结拍。
[1316.58-1327.62] 我们将题目给定的该结拍中相应的控制信号标记在图中相应位置,由于控制信号SROUT为有效信号。
[1327.62-1337.62] 因此,其所控制的三台门打开,一位记尊器SR中的内容,也就是PC的值加2,会通过三台门传送到CPU内部总线。
[1337.62-1344.62] 经过三种线的传送,到达程序技术器PC,由于控制信号PC应为有效信号。
[1344.62-1350.62] 因此,经过三种线传送来的一位记尊器SR中的内容,被写入PC。
[1350.62-1357.62] 此时,PC的内容为PC值前的值加2,因此,PC指向主存中的下一条指定。
[1357.62-1364.62] 这次,取指阶段的第三个结拍结束,接下来进入取指阶段的第四个结拍。
[1364.62-1376.53] 我们将题目给定的该结拍中相应的控制信号标记在图中相应位置,由于控制信号MDROUT为有效信号。
[1376.53-1385.53] 因此,存住器数据据存器MDR的内容,也就是之前从主存中取出的指令,会送入CPU内部单总线。
[1385.53-1393.56] 经过单总线的传送,到达指令技存器R,由于控制信号R应为有效信号。
[1393.56-1406.56] 因此,MDR的内容被写入R,此时R的内容为之前从主存取出的指令,并直接送到控制部件,以便产生后续操作所需的控制信号序列。
[1406.56-1412.60] 需要说明是,实际上,指令需要经过指令一码器后送入控制部件。
[1412.60-1417.60] 这里我们可简单认为,控制部件中包含有指令一码器。
[1417.60-1422.66] 至此,取指阶段的最后一个结拍,也就是第四个结拍结束。
[1422.66-1435.66] 经过上述分析,我们知道,在取指阶段,一方面从主存取出指令,另一方面计算并更新程序技术器PC的值,以便PC指向下一条指令。
[1435.66-1438.66] 接下来,进入执行阶段的第一个结拍。
[1438.66-1443.66] 在本大题的第二小题中,已经给出了该指令所要执行的操作。
[1443.66-1450.66] 那就是,将通用计存器R1的内容,左翼一位,结果送入通用计存器R2。
[1450.66-1461.70] 我们将题目给定的该结拍中相应的控制信号,标记在图中相应位置,与控制信号R1OUT为有效信号。
[1461.70-1466.70] 因此,通用计存器R1的内容,输出到CPU内部单总线上,
[1466.70-1473.70] 经过单总线的传送,到达单存器T。由于控制信号T应为有效信号,
[1473.70-1482.70] 因此,经过CPU内部单总线传送来的内容,会被写入单存器T。此时,T的内容为通用计存器R1的内容。
[1482.70-1487.76] T的内容,还会直接送入算数逻辑单元LU的操作书A的输入端。
[1487.76-1493.76] 提名要求我们给出LU的控制信号LUOP的取决因为什么。
[1493.76-1497.76] 我们将其标记在图中相应的位置,以便进行分析。
[1497.76-1501.92] 现在需要进行的操作,是将R1的内容左翼一位。
[1501.92-1510.92] 这是上一题给定的LU所支持的七种操作,可以发现LU并不支持左翼一位的操作。
[1510.92-1520.92] 因此,LU应该进行直送A操作,也就是将LU的操作书A的输入端的内容,直接从LU的输出端送出,
[1520.92-1529.12] 进而送入一位基存器S2。这就需要LU的控制信号LUOP的取决为M5A。
[1529.12-1540.28] 我们将其记录在左侧执行阶段第一个节拍的标号三处,送上所述,R1的内容会通过LU直接送入一位基存器S2。
[1540.28-1545.28] 你们要求我们给出S2的控制信号S2OP的取决因为什么?
[1545.28-1549.28] 我们将其标记在图中相应的位置,以便进行分析。
[1549.28-1557.28] 这是上一题给定的S2所支持的三种操作,可以发现S2支持左翼一位的操作。
[1557.28-1562.28] 这就需要S2的控制信号S2OP的取决为LU。
[1562.28-1568.60] 我们将其记录在左侧执行阶段第一个节拍的标号四处,送上所述。
[1568.60-1574.60] S2的内容,也就是R1的内容,会被左翼一位号输出。
[1574.60-1580.60] 这次执行阶段的第一个节拍结束,接下来进入执行阶段的第二个节拍。
[1580.60-1586.60] 我们将题目给定的该节拍中相应的控制信号标记在图中相应位置,
[1586.60-1595.51] 由于控制信号S2OP为有效信号,因此其所控制的三台门打开,
[1595.51-1600.51] 一位记存器S2的内容,也就是R1的内容,左翼一位的结果,
[1600.51-1604.51] 会通过三台门,传送到CPU内部单种线。
[1604.51-1608.51] 经过单种线的传送,到达通用记存器R2,
[1608.51-1611.51] 由于控制信号R1为有效信号,
[1611.51-1617.51] 因此,经过单种线传送来的一位记存器S2的内容,被写入R2。
[1617.51-1622.54] 此时,R2的内容为R1的内容,左翼一位的结果。
[1622.54-1627.54] 至此,执行阶段的最后一个节拍,也就是第二个节拍结束。
[1627.54-1630.54] 接下来,请同学们自行分析,
[1630.54-1634.54] 题目要求我们完成的对该指令的数据通路的分析。
[1634.54-1636.64] 该指令所要执行的操作,
[1636.64-1639.64] 可根据本大题第二小题给定的,
[1639.64-1642.64] 这条指令所执行的操作而得出。
[1642.64-1647.47] 请同学们仍然在这幅硬件框图中进行分析。
[1647.47-1651.53] 我们知道,不同指令的取指阶段是相同的。
[1651.53-1656.53] 我们刚才已经对上一条指令的取指阶段的数据通路进行过分析,
[1656.53-1662.53] 因此,对于现在这条指令,就不需要同学们分析其取指阶段了,
[1662.53-1665.53] 而直接进入执行阶段的数据通路的分析。
[1665.53-1668.53] 既然完成,题目要求我们填写的,
[1668.53-1672.53] 标号5-8处的控制信号或控制下的取职。
[1672.53-1676.53] 请同学们暂停播放视频,动手练习一下。
[1676.53-1685.65] 相信同学们都能证选完成,我们就不再追数了。
[1685.65-1689.72] 至此,我们就完成了本大题第三小题的解析。
[1689.72-1693.42] 再来分析本大题的第四小题。
[1693.42-1695.45] 题目要求我们给出,
[1695.45-1699.45] 这条指令的执行阶段至少需要多少个十中周期。
[1699.45-1702.45] 这是我们完成的本大题的第三小题。
[1702.45-1705.45] 不难看出,第四小题中的这条指令,
[1705.45-1708.45] 与第三小题中的这条指令是非常相似的。
[1708.45-1711.45] 指令所执行的都是检法操作,
[1711.45-1715.45] 仅仅是操作术采用了不同的通用计存器。
[1715.45-1719.45] 因此,这两条指令的执行阶段的十中周期,
[1719.45-1722.45] 也就是节拍的数量,应该是相同的,
[1722.45-1725.45] 也就是至少需要四个十中周期。
[1725.45-1727.74] 题目还要求我们给出,
[1727.74-1731.74] 这条指令的执行阶段至少需要多少个十中周期。
[1731.74-1733.80] 在上一题中,
[1733.80-1737.80] 题目给定LU可实现操作术A加1的操作,
[1737.80-1740.80] 因此,对于本小题中的这条指令,
[1740.80-1744.80] 题所实现的就是将通用计存器R1的内容加1,
[1744.80-1746.80] 结果重新送软R1,
[1746.80-1748.80] 可将该指令的执行阶段,
[1748.80-1751.80] 带入上一题中的这幅硬件框图,
[1751.80-1754.80] 进而分析出相应的数据通路。
[1754.80-1757.12] 在执行阶段的第一个节拍,
[1757.12-1760.12] 所执行的操作是,取出R1的内容,
[1760.12-1762.12] 送LU的端口A,
[1762.12-1765.12] 然后让LU执行加1操作,
[1765.12-1768.12] 预算结果通过SR直送,如图所示。
[1768.12-1777.95] 这是该节拍中所需的相关控制信号,
[1777.95-1783.09] 我们将其标注在图中的相应位置。
[1783.09-1784.09] 接下来,
[1784.09-1786.09] 进入执行阶段的第二个节拍,
[1786.09-1788.16] 所执行的操作是,
[1788.16-1790.16] 预算结果送R1,
[1790.16-1791.16] 如图所示,
[1791.16-1799.15] 这是该节拍中所需的相关控制信号,
[1799.15-1802.15] 我们将其标记在图中的相应位置。
[1802.15-1805.23] 这样,
[1805.23-1808.23] 我们就得出了该指令的执行阶段,
[1808.23-1810.23] 至少需要两个时中周期。
[1810.23-1815.19] 这次,本大题的解析全部完成。
[1815.19-1818.19] 好的,本节测到这里就结束了。
[1818.19-1820.19] 同学们,我们下节课见。
