[0003.22-0007.62] 同学们好,欢迎大家来到我的计算机组成原理维克堂
[0212.06-0215.26] 由于补码表示的最高位作为符号位
[0215.26-0222.26] 因此,我们首先将上图中的用于最高位加法运算的一位全家器填充一个颜色
[0222.26-0230.22] 表明它的运算结果作为符号位,以便我们描述补码加减法运算的溢出检测方法
[0230.22-0237.42] 方法一是,运算结果的符号位与原操作数的符号位不同,判定为产生溢出
[0237.71-0244.11] 方法二是,最高数值位的净位与符号位的净位不同,判定为产生溢出
[0244.11-0251.50] 相较而言,采用方法二进行补码加减法运算的溢出检测,最为方便快捷
[0251.50-0258.79] 相信很多同学还记得,补码加减法运算溢出检测的方法三是,采用变形补码
[0258.79-0266.51] 也就是双符号补码,只不过该方法硬件成本高,但手工运算时结果最直观
[0266.71-0271.31] 请同学们想想看,方法二的逻辑表达是什么呢?
[0271.31-0278.14] 实际上,在我们之前的补码加减法运算的溢出检测的那节课中
[0278.14-0286.74] 曾给同学们介绍过,将最高数值位的净位与符号位的净位进行异货,即可得出溢出检测的结果
[0286.99-0296.59] 因此,为了让上图所示的八位串形净位加法器,在进行补码加减法运算时具有溢出检测的功能
[0296.59-0305.15] 我们应该为其添加一个异货门,将最高数值位的净位信号连接到该异货门的一个输入端
[0305.15-0310.54] 将符号位的净位信号连接到该异货门的另一个输入端
[0310.54-0314.14] 则该异货门的输出就是异出检测信号
[0314.14-0322.23] 我想,同学们参照八位串形净位加法器的构建方法,可以很容易的使用N个一位全家器
[0322.23-0328.89] 通过净位串连,构成N位串形净位加法器,我们就不在这数了
[0328.89-0336.49] 接下来,请同学们思考一下,如何改造上图所示的N位串形净位加法器
[0336.49-0342.09] 使其既可以做补码加法运算,也可以做补码减法运算呢?
[0342.09-0351.33] 我们从补码的减法公式不能看出,要将补码减法运算转换成补码加法运算
[0351.53-0355.13] 我们只要求出减数的相反数的补码即可
[0355.13-0359.73] 距离方法,就是将减数补码的全部位暗位取反
[0359.73-0363.73] 然后末位加一,即可得到其相反数的补码
[0363.89-0370.49] 针对上述方法,我们对上图所示的这个N位串形净位加法器进行改造
[0370.49-0379.01] 断开操作数外的每一位与其对应的N位串形净位加法器中的一位全家器输入端的连接
[0379.21-0382.41] 在其之间,各添加一个一货门
[0382.41-0388.96] 各一货门的输入端,连接到相对应的一位全家器的输入端
[0388.96-0395.34] 操作数外的每一位输入,连接到相对应的一货门的其中一个输入端
[0395.34-0398.74] 各一货门的另一个输入端,连接在一起
[0398.74-0403.00] 作为加法运算和减法运算的切换控制端SAP
[0403.00-0405.80] 根据一货运算的特点,我们知道
[0405.80-0409.80] 当给SAP端输入一时,各一货门的输出
[0409.80-0412.60] 即为操作数外的每一位的取反
[0412.60-0416.40] 当给SAP端输入零时,各一货门的输出
[0416.40-0419.36] 与操作数外的每一位相同
[0419.36-0423.02] 接下来呢,还是要莫为加一需要处理
[0423.02-0426.62] 我们可将SAP端连接到N位串形净位加法器中的
[0426.62-0430.65] 最低位的一位全家器的净位输入端
[0430.65-0435.25] 这样,当给SAP端输入一时,各一货门的输出
[0435.25-0438.05] 即为操作数外的每一位的取反
[0438.05-0440.05] 而输入到SAP端的一
[0440.05-0444.05] 也会输入到最低位的一位全家器的净位输入端
[0444.05-0446.47] 竟然实现莫为加一
[0446.47-0450.47] 而当给SAP端输入零时,各一货门的输出
[0450.47-0453.14] 与操作数外的每一位相同
[0453.14-0455.14] 而输入到SAP端的零
[0455.14-0459.34] 也会输入到最低位的一位全家器的净位输入端
[0459.34-0462.78] 这并不影响加法运算结果
[0462.78-0465.58] 接下来呢,我们来一起分析一下
[0465.58-0468.10] 串形净位加法器的性能
[0468.10-0472.96] 这是之前构建好的N位串形净位加法器的逻辑电路
[0472.96-0477.36] 我们将构成它的其中一个一位全家器的组合逻辑电路
[0477.36-0478.56] 展示出来
[0478.56-0480.49] 以便进行分析
[0480.49-0482.29] 假设基本逻辑门
[0482.29-0487.12] 例如货门、与门的传播延迟为1T
[0487.12-0492.18] 复合逻辑门,例如易货门的传播延迟为3T
[0492.18-0494.98] 仅考虑逻辑门的传播延迟
[0494.98-0498.44] 不考虑信号在线路上的传播实验
[0498.44-0500.44] 假设在T0时刻
[0500.44-0506.40] 相关信号同时输入到N位串形净位加法器的相关输入端
[0506.40-0507.60] 不难看出
[0507.60-0509.60] 两个操作书的相关信号
[0509.60-0513.89] 同时输入到了相应的一位全家器的输入端
[0513.89-0515.89] 而对于净位信号
[0515.89-0521.55] 此时,只有最低位的一位全家器的净位输入端C0有信号输入
[0521.55-0524.15] 而其他一位全家器的净位输入端
[0524.15-0531.02] 要依次等待其相宁低位的一位全家器的净位输出端产生的净位信号
[0531.02-0535.47] 这就是所谓的串形净位或行播净位
[0535.47-0541.82] 因此,我们首先来分析最低位的一位全家器FA0的处理
[0541.82-0543.82] 这是T0时刻
[0543.82-0547.67] 各输入信号到达相关逻辑门的情况
[0547.67-0549.07] 一T时间号
[0549.07-0554.95] 有信号从最上面的语门输出并到达其左侧的货门
[0554.95-0556.15] 3T时间号
[0556.15-0561.47] 最下方的语货门有信号输出并到达相关的逻辑门
[0561.47-0562.87] 4T时间号
[0562.87-0568.38] 中间的语门有信号输出并到达其左侧的货门
[0568.38-0569.78] 5T时间号
[0569.78-0571.78] 该货门输出信号
[0571.78-0576.78] 而该信号就是FA0产生的净位输出信号
[0576.78-0578.18] 6G时间号
[0578.18-0580.88] 左侧的语货门输出信号
[0580.88-0585.76] 而该信号就是FA0产生的本位核信号
[0585.76-0588.99] 再来分析FA1的处理
[0588.99-0590.99] 通过之前的分析可知
[0590.99-0592.39] 5T时间号
[0592.39-0594.99] FA0产生的净位输出信号
[0594.99-0597.92] 进入FA1的净位输入端
[0597.92-0600.22] 而FA1的其他各输入端
[0600.22-0604.02] 从T0时刻起就有相关信号输入了
[0604.02-0604.92] 因此
[0604.92-0606.22] 6T时间号
[0606.22-0608.32] 中间的语门有信号输出
[0608.32-0611.17] 并到达其左侧的货门
[0611.17-0612.47] 7T时间号
[0612.47-0614.37] 该货门输出信号
[0614.37-0619.42] 而该信号就是FA1产生的净位输出信号
[0619.42-0620.72] 8T时间号
[0620.72-0623.22] 左侧的语货门输出信号
[0623.22-0628.16] 而该信号就是FA1产生的本位核信号
[0628.16-0629.36] 以此类推
[0629.36-0633.36] 不难得到每个一位全家器产生净位输出
[0633.36-0634.76] 本位核输出
[0634.76-0637.38] 各自需要等待的时间
[0637.38-0638.48] 工商所述
[0638.48-0640.78] 在N位串情净位加碼器中
[0640.78-0643.48] 每个高位的一位全家器的运算
[0643.48-0647.85] 依赖于其相邻低位的一位全家器的净位输出
[0647.85-0648.75] 因此
[0648.75-0652.05] 所有一位全家器不能并行运行
[0652.05-0654.25] 其时间关键延迟
[0654.25-0657.45] 也就是输出所有本位核所需的时间
[0657.45-0659.25] 为二人加四
[0659.25-0661.18] 然后乘以T
[0661.18-0662.18] 很显然
[0662.18-0666.11] 这与串情净位加碼器的位数N是线性关系
[0666.11-0667.41] 当N角大时呢
[0667.41-0669.56] 性能就要较差
[0669.56-0671.16] 在本节课的最后
[0671.26-0675.66] 请同学们挑战一道相关的408考验真题
[0675.66-0678.26] 请同学们暂停播放视频
[0678.26-0679.46] 仔细审题
[0679.46-0686.74] 然后我们一起来分析
[0686.74-0687.44] 好的
[0687.44-0689.14] 我们一起来分析
[0689.14-0692.44] 我们首先根据题目给定的C元程序段
[0692.44-0694.90] 来填写这个表格
[0694.90-0695.70] 该语句
[0695.70-0699.40] 定义了一个32位无符号整形辩量x
[0699.40-0702.36] 并给其付出值为134
[0702.36-0705.99] 我们写出x的32位二净值形式
[0706.79-0708.29] 编译器编译时
[0708.29-0712.59] 为辩量x分配的计存器R1为8位计存器
[0712.59-0713.39] 因此
[0713.39-0715.19] 编译器进行编译时
[0715.19-0719.12] 仅将辩量x的D8位保留到R1中
[0719.12-0723.62] 我们写出R1中存储内容的二净值形式和16净值形式
[0723.62-0727.01] 并将16净值形式填入上表
[0727.01-0729.91] 由于辩量x为无符号整形
[0729.91-0733.90] 因此该机器术为无符号整形
[0734.00-0735.00] 第二条语句
[0735.00-0737.50] 与第一条语句非常相似
[0737.50-0739.80] 仅仅是付给辩量的出值不同
[0739.80-0741.70] 我们就不再坠述了
[0741.70-0745.62] 将相关内容填入上面的表格即可
[0745.62-0746.92] 第三条语句
[0746.92-0751.72] 相当于将计存器R1中存储的辩量x的D8位的内容
[0751.72-0756.81] 送入给辩量m所分配的8位计存器R3中
[0756.81-0757.61] 因此
[0757.61-0760.57] 和写出计存器R3的内容
[0760.57-0763.67] 由于辩量m为有符号整形
[0763.67-0767.40] 因此该内容的最高位为符号位
[0767.40-0770.46] 将相关内容填入上表即可
[0770.46-0771.56] 第四条语句
[0771.56-0773.96] 与第三条语句非常相似
[0773.96-0775.96] 我们就不再坠述了
[0775.96-0779.40] 将相关内容填入上表即可
[0779.40-0780.70] 第五条语句
[0780.70-0785.50] 相当于将计存器R1中存储的辩量x的D8位内容
[0785.50-0790.20] 减去计存器R2中存储的辩量y的D8位内容
[0790.20-0793.50] 然后将结果送入给辩量z1
[0793.50-0796.73] 所分配的8位计存器R5中
[0796.73-0797.73] 因此
[0797.73-0802.06] R5中的内容实际上是两个无符号数的差
[0802.06-0804.56] 我们可将无符号数的二净值减法
[0804.56-0806.76] 转换成二净值加法
[0806.76-0809.76] 距离方法就是将减数 安慰取反
[0809.76-0811.56] 然后莫为加一
[0811.56-0812.46] 当然了
[0812.46-0815.26] 如果同学们对二净值减法比较熟练
[0815.26-0818.06] 也可以直接进行二净值减法
[0818.06-0820.86] 这是运算结果的二净值形式
[0820.86-0823.19] 这是十六净值形式
[0823.19-0826.39] 由于辩量z1为无符号整形
[0826.39-0827.19] 因此
[0827.19-0829.72] 运算结果为无符号类型
[0829.72-0832.58] 将相关内容填入上表即可
[0832.58-0833.78] 第六条语句
[0833.78-0838.38] 相当于将计存器R1中存储的辩量x的D8位内容
[0838.38-0842.68] 加上计存器R2中存储的辩量y的D8位内容
[0842.68-0848.37] 然后将结果送入给辩量z2所分配的8位计存器R6中
[0848.37-0853.27] 因此R6中的内容实际上是两个无符号数的核
[0853.27-0854.97] 这是运算结果
[0854.97-0858.17] 可以看到最高位产生的净位
[0858.17-0859.87] 之前我们曾介绍过
[0859.87-0862.37] 对于无符号数的加法运算
[0862.37-0865.96] 最高位的净位就是溢出检测信号
[0865.96-0866.86] 当然了
[0866.86-0870.26] 最高位的净位是无法保存在R6中的
[0870.26-0872.56] 因为超出了R6的位宽
[0872.56-0875.82] 这也正是我们称其为溢出的原因
[0875.82-0878.85] 这是运算结果的十六净值形式
[0878.85-0882.56] 将相关内容填入上表即刻
[0882.56-0883.96] 第七条语句
[0883.96-0888.86] 相当于将计存器R3中存储的辩量m的D8位的内容
[0888.86-0893.96] 减去计存器R4中存储的辩量n的D8位内容
[0893.96-0899.92] 然后将结果送入给辩量k1所分配的8位计存器R7中
[0899.92-0904.72] 由于辩量m n以及k1都是有符号整形
[0904.72-0909.62] 因此R7中的内容实际上是两个有符号数的差
[0909.62-0915.08] 我们知道有符号整数在机器内部才用补码表示
[0915.08-0918.77] 而补码减法和转换成补码加法
[0918.77-0923.07] 具体方法是将减数的补码形式暗位取反
[0923.07-0925.16] 然后莫为加一
[0925.16-0927.99] 这是运算结果的二净值形式
[0927.99-0930.38] 这是十六净值形式
[0930.38-0933.77] 将相关内容填入上表即刻
[0933.77-0935.07] 第八条语句
[0935.07-0939.57] 相当于将计存器R3中存储辩量m的D8位内容
[0939.57-0944.27] 加上计存器R4中存储辩量n的D8位内容
[0944.27-0950.66] 然后将结果送入给辩量k2所分配的8位计存器R8中
[0950.66-0955.76] 由于辩量m n以及k2都是有符号整形
[0955.76-0961.46] 因此R8中的内容实际上是两个有符号数的和
[0961.46-0964.59] 这是运算结果的二净值形式
[0964.59-0967.14] 这是十六净值形式
[0967.14-0969.64] 这是符号位产生的净位
[0969.64-0970.84] 对于补码
[0970.84-0974.24] 符号位产生的净位的全值作为魔术
[0974.24-0975.54] 舍期即可
[0975.54-0978.36] 这并不是造成溢出的原因
[0978.36-0979.26] 本节课
[0979.26-0980.56] 我们曾回忆过
[0980.56-0983.96] 之前课程中曾介绍过的补码加减法运算的
[0983.96-0985.66] 溢出检测方法
[0985.66-0988.66] 其中方法二对于硬件实现而言
[0988.66-0990.16] 方面快捷
[0990.16-0992.36] 本题我们采用方法一
[0992.46-0995.42] 来判断运算结果是否一出
[0995.42-0998.92] 很显然运算结果的符号位为0
[0998.92-1001.62] 而原操作数的符号位为1
[1001.62-1002.92] 他们不同
[1002.92-1006.72] 因此可判定运算结果产生的一出
[1006.72-1009.52] 将相关内容填入上表即可
[1009.52-1012.82] 这样我们就回答了问题四
[1012.82-1014.32] 根据题目要求
[1014.32-1018.22] 我们还需要写出各计存器中存储的机器码
[1018.22-1020.24] 所对应的针值
[1020.24-1022.44] 这是我们在学习完第二章后
[1022.54-1024.54] 就应该熟练长的内容
[1024.54-1026.90] 我们就不再坠述了
[1026.90-1029.40] 这是转换后得到的针值
[1029.40-1032.15] 我们将他们填入上表
[1032.15-1036.05] 这样我们就完成了问题一和二的解答
[1036.05-1037.25] 而问题三
[1037.25-1040.25] 就是本节课我们的学习内容
[1040.25-1042.70] 我们就不再坠述了
[1042.70-1043.50] 好的
[1043.50-1045.90] 本节课到这里就结束了
[1045.90-1050.89] 我们将本节课的内容小节如下
[1050.89-1051.69] 同学们
[1051.69-1052.89] 我们下节课见
