[0004.46-0009.50] 同學們好 歡迎大家來到我的計算機組成原理維克堂
[0009.50-0014.18] 本節課 我們簡單介紹一下計算機軟件的相關內容
[0014.18-0019.27] 我想同學們都知道 僅包含計算機硬架的計算機系統
[0019.27-0021.71] 是沒有任何使用價值的
[0268.70-0272.26] 就可以使用一門高級語言編寫程序
[0272.26-0276.31] 這有利於讓更多人使用計算機
[0276.31-0278.47] 比較有影響的高級語言有
[0278.47-0285.62] Fortran,Basic,Pasco,C,C++,Java,Tyson等
[0285.62-0290.10] 計算機不能識別和執行用高級語言編寫的程序
[0290.10-0292.18] 即高級語言程序
[0292.18-0296.02] 需要將其通過編譯器即編譯程序
[0296.02-0299.46] 翻譯成灰編譯語言或機器語言
[0299.46-0301.74] 我們來舉例說明
[0301.74-0303.43] 如讀所示
[0303.43-0307.63] 這是使用微軟公司的Vero Studio集成開發環境
[0307.63-0311.96] 編寫的一段非常簡單的C語言原程序
[0311.96-0315.06] 這是對其進行編譯調適的情況
[0315.06-0316.38] 可以看到
[0316.38-0321.00] 這部分是我們編寫的C語言原程序
[0321.00-0326.34] 這部分是開發環境反灰編出的灰編譯原程序
[0326.34-0330.38] 這部分是編譯後的機器語言程序
[0330.38-0332.14] 需要說明的是
[0332.14-0335.10] 為了方便用戶查看機器指令
[0335.10-0338.74] 開發環境默認使用16進製的形式顯示
[0338.74-0341.50] 而不是2進製形式
[0341.50-0343.82] 這部分是內存地址
[0343.82-0346.72] 同樣以16進製形式顯示
[0346.72-0349.44] 相信同學們可以通過本例
[0349.44-0351.44] 體會到高級語言程序
[0351.44-0352.88] 灰編語言程序
[0352.88-0354.24] 機器語言程序
[0354.32-0355.68] 在可圖性
[0355.68-0358.44] 編成難易程度等方面的差別
[0358.44-0359.68] 還可以體會到
[0359.68-0364.22] 從諾伊曼計算機的存儲程序設計思想
[0364.22-0365.46] 為了更好的幫助
[0365.46-0368.86] 同學們理解並記憶程序設計語言
[0368.86-0371.26] 和語言翻譯程序的關係
[0371.26-0374.73] 我們一起來畫一張關係轉換圖
[0374.73-0376.09] 機器語言程序
[0376.09-0378.89] 是指用機器語言編寫的程序
[0378.89-0381.05] 也成為目標程序
[0381.05-0384.55] 可被計算機直接識別和執行
[0384.59-0386.31] 而灰編語言程序
[0386.31-0389.39] 是指用灰編語言編寫的程序
[0389.39-0391.43] 需要經過灰編程序
[0391.43-0393.15] 也成為灰編器
[0393.15-0395.23] 翻譯成機器語言程序
[0395.23-0398.58] 才能被計算機識別和執行
[0398.58-0399.86] 高級語言程序
[0399.86-0402.54] 是指用高級語言編寫的程序
[0402.54-0404.73] 也成為原程序
[0404.73-0406.81] 需要經過編譯程序
[0406.81-0408.73] 也成為編譯器
[0408.73-0411.05] 翻譯成灰編語言程序
[0411.05-0413.01] 然後經過灰編程序
[0413.01-0415.13] 翻譯成機器語言程序
[0415.13-0418.31] 才能被計算機識別和執行
[0418.31-0419.19] 當然
[0419.19-0420.83] 也有的編譯程序
[0420.83-0422.55] 可將高級語言程序
[0422.55-0425.93] 直接翻譯成機器語言程序
[0425.93-0428.53] 對於解釋型的高級語言程序
[0428.53-0430.61] 需要經過解釋程序
[0430.61-0432.49] 也成為解釋器
[0432.49-0434.09] 將程序中的語句
[0434.09-0435.53] 按執行順序
[0435.53-0439.05] 逐條翻譯成機器指令並執行
[0439.05-0441.41] 翻譯一條就執行一條
[0441.41-0445.21] 並不會產生完整的機器語言程序
[0445.21-0447.57] 那麼上述編譯程序
[0447.57-0450.21] 解釋程序以及灰編程序
[0450.21-0453.48] 都屬於翻譯程序
[0453.48-0454.40] 接下來
[0454.40-0457.24] 我們給出一個使用GCC編譯器
[0457.24-0460.42] 編譯C語言語言程序的實例
[0460.42-0461.62] 具體過程為
[0461.62-0463.38] 預處理
[0463.38-0465.29] 編譯
[0465.29-0467.20] 灰編
[0467.20-0469.09] 鏈接
[0469.09-0471.73] 除了常見的編譯和灰編碗
[0471.73-0472.61] 該實例
[0472.61-0474.33] 還增加了預處理
[0474.33-0477.59] 和做目標程序鏈接的過程
[0477.59-0481.43] 隨著計算機硬件和軟件的不斷發展
[0481.43-0483.83] 人們又創造出了一類程序
[0483.83-0485.55] 稱為操作系統
[0485.55-0488.55] 它屬於系統軟件這個類別
[0488.55-0490.07] 操作系統提供了
[0490.07-0492.99] 在灰編語言和高級語言的使用
[0492.99-0497.69] 和實現過程中所需的某些基本操作
[0497.69-0500.17] 操作系統負責控制並管理
[0500.17-0503.01] 計算機系統全部硬件資源
[0503.01-0504.53] 例如CPU
[0504.53-0506.85] 內存和外部設備
[0506.85-0508.49] 和軟價資源
[0508.49-0510.13] 例如編譯程序
[0510.13-0512.23] 應用程序等
[0512.23-0513.27] 可以認為
[0513.27-0514.19] 操作系統
[0514.19-0516.11] 為用戶使用計算機系統
[0516.11-0519.37] 提供了極為方便的條件
[0519.37-0522.49] 隨著計算機應用領域的逐漸擴大
[0522.49-0526.64] 還相應的出現了其他各類系統軟件
[0526.64-0529.28] 例如數據庫管理系統
[0529.28-0530.72] 網絡系統等
[0530.72-0533.79] 以及多種多樣的應用軟件
[0533.79-0536.63] 而隨著軟件的進一步發展
[0536.63-0540.02] 將會出現更高級的計算機語言
[0540.02-0542.66] 其發展方向是標準化
[0542.66-0543.66] 積木化
[0543.66-0544.58] 產品化
[0544.58-0546.48] 以及智能化
[0546.48-0548.96] 最終向自然語言發展
[0548.96-0552.78] 他們能夠自動生成程序
[0552.78-0553.70] 接下來
[0553.70-0556.58] 請同學們做幾個相關練習題
[0556.58-0561.02] 以鞏固本節課所學的相關知識點
[0561.02-0564.24] 首先來看習提一和習提二
[0564.24-0567.08] 請同學們暫停播放視頻
[0567.08-0568.36] 思考一下
[0568.36-0575.52] 然後給出你的答案
[0575.52-0577.20] 這是正確答案
[0577.20-0579.84] 相信同學們都能正確完成
[0579.84-0582.45] 我們就不再追數了
[0582.45-0585.37] 再來看習提三和習提四
[0585.37-0588.13] 請同學們暫停播放視頻
[0588.13-0589.33] 思考一下
[0589.33-0597.58] 然後給出你的答案
[0597.58-0599.38] 這是正確答案
[0599.38-0602.10] 相信同學們都能正確完成
[0602.10-0604.76] 我們就不再追數了
[0604.76-0605.72] 接下來
[0605.76-0609.24] 請同學們挑戰幾道408真題
[0609.24-0611.92] 請同學們暫停播放視頻
[0611.92-0613.16] 思考一下
[0613.16-0619.10] 然後給出你的答案
[0619.10-0620.82] 這是正確答案
[0620.82-0623.50] 相信同學們都能正確完成
[0623.50-0626.43] 我們就不再追數了
[0626.43-0630.27] 再來看2022年的這道408真題
[0630.27-0632.99] 請同學們暫停播放視頻
[0632.99-0634.27] 思考一下
[0634.27-0639.98] 然後給出你的答案
[0639.98-0641.62] 這是正確答案
[0641.62-0644.22] 相信同學們都能正確完成
[0644.22-0646.53] 我們就不再追數了
[0646.53-0647.41] 好的
[0647.41-0649.89] 本節課到這裡就結束了
[0649.89-0652.37] 請同學們快速回憶一下
[0652.37-0668.29] 本節課的主要內容
[0668.29-0669.21] 同學們
[0669.21-0670.45] 我們下節課見
