[0004.08-0008.68] 同學們好 歡迎大家來到我的計算機組成員裡威克堂
[0008.68-0013.04] 本節課 我們介紹計算機系統的性能指標
[0013.04-0017.22] 首先介紹什麼是計算機系統的性能指標
[0317.06-0319.06] 逐漸增加到16位
[0319.06-0320.10] 32位
[0320.10-0321.06] 64位
[0321.06-0323.62] 甚至更高
[0323.62-0326.34] 再來看主存容量這個性能指標
[0327.07-0330.03] 主存容量是指主存主器
[0330.03-0331.63] 也就是內存
[0331.63-0334.72] 能夠存儲的最大信息量
[0334.72-0338.00] 假設主存包含M個存儲單元
[0338.00-0342.18] 每個存儲單元可存儲N個二進之位
[0342.18-0345.92] 可以通過下面的式子計算主存容量
[0345.92-0346.72] 計
[0346.72-0349.76] 主存容量等於N乘以M
[0349.76-0351.28] 單位是位
[0351.28-0354.93] 或用小寫字母B來表示比特
[0354.93-0355.81] 目前
[0355.81-0357.09] 計算機的內存
[0357.17-0360.13] 一般以極字節Gb為單位
[0360.13-0363.33] 這是數據量的單位及換算關係
[0363.33-0366.53] 我們在上節課以及計算機網絡課程中
[0366.53-0368.48] 都有介紹
[0368.48-0370.08] 增加主存容量
[0370.08-0372.48] 也就是增加內存容量
[0372.48-0375.12] 可以減少程序運行期間
[0375.12-0376.96] 對輔存的訪問
[0376.96-0379.78] 也就是對外存的訪問
[0379.78-0381.54] 由於訪問內存的速度
[0381.54-0384.02] 遠大於訪問外存的速度
[0384.02-0387.30] 因此可以提高程序的執行速度
[0387.38-0390.54] 進而可以提高計算機系統的性能
[0390.54-0392.54] 相信同學們對這一點
[0392.54-0394.67] 還是有體會的
[0394.67-0396.19] 在上節課中
[0396.19-0398.11] 我們給同學們介紹了
[0398.11-0399.95] 主存儲器的組成
[0399.95-0401.15] 那麼這裡呢
[0401.15-0403.58] 我們順帶複習一下
[0403.58-0406.14] 構成存儲體的各存儲單元
[0406.14-0408.78] 所能存儲二進之比特的數量
[0408.78-0411.06] 稱為存儲自償
[0411.06-0414.42] 存儲器數據計存器MDR的位數
[0414.42-0416.69] 與存儲自儲相等
[0416.69-0420.21] 而存儲器地址計算器MDR的位數
[0420.21-0422.53] 決定了存儲單元的數量
[0422.53-0426.91] 具體為二的MDR的位數次方個
[0426.91-0429.79] 因此只要知道存儲自償
[0429.79-0431.79] 以及MDR的位數
[0431.79-0433.31] 我們也可以計算出
[0433.31-0435.81] 主存儲器的總容量
[0435.81-0438.78] 再來看存儲量這個性能指標
[0438.78-0440.94] 存儲量是指計算機系統
[0440.94-0444.70] 在單位時間內能夠處理的信息量
[0444.70-0446.62] 根據存儲量的定義
[0446.70-0448.14] 我們不能想像到
[0448.14-0451.20] 影響存儲量的主要因素
[0451.20-0454.00] 例如CPU的處理能力
[0454.00-0456.00] 內存的訪問速度
[0456.00-0458.61] 外存的訪問速度
[0458.61-0461.97] 再來看響應時間這個性能指標
[0461.97-0463.65] 響應時間是指
[0463.65-0466.69] 從向計算機系統提交作業開始
[0466.69-0468.93] 到系統完成作業為止
[0468.93-0471.06] 所需要的時間
[0471.06-0473.78] 響應時間可分為CPU時間
[0473.78-0476.43] 和其他時間兩部分
[0476.51-0478.67] 而CPU時間又分為
[0478.67-0484.08] CPU執行時間和系統CPU時間兩部分
[0484.08-0487.76] CPU執行時間是執行用戶程序本身
[0487.76-0489.98] 所花費的CPU時間
[0489.98-0493.26] 而系統CPU時間是為執行程序
[0493.26-0496.37] 而花費在操作系統上的時間
[0496.37-0498.05] 請同學們注意
[0498.05-0499.97] 由於很難精確區分
[0499.97-0501.97] 一個程序執行過程中的
[0501.97-0505.87] CPU執行時間和系統CPU時間
[0505.87-0509.23] 因此在沒有特別說明的情況下
[0509.23-0511.47] 我們基於CPU執行時間
[0511.47-0514.88] 進行計算機性能的評價
[0514.88-0518.00] 其他時間包括用戶訪問內存
[0518.00-0523.09] 外存以及其他外部設備所花費的時間
[0523.09-0523.97] 接下來
[0523.97-0526.85] 請同學們做幾個相關練習題
[0526.85-0530.98] 以鞏固本節課所學的相關知識點
[0530.98-0534.32] 首先來看習題一和習題二
[0534.32-0537.20] 請同學們暫停播放視頻
[0537.28-0538.48] 思考一下
[0538.48-0546.86] 然後給出你的答案
[0546.86-0549.17] 這是正確答案
[0549.17-0552.13] 相信同學們都能正確完成
[0552.13-0554.56] 我們就不再墜速了
[0554.56-0556.53] 再來看習題三
[0556.53-0559.33] 請同學們暫停播放視頻
[0559.33-0560.53] 思考一下
[0560.53-0567.86] 然後給出你的答案
[0567.86-0570.26] 本題的答案是選項第
[0570.26-0572.18] 大家都選對了嗎
[0572.18-0574.78] 我們來一起分析一下
[0574.78-0576.06] 我們知道
[0576.14-0579.50] 存儲器、地址、基存器、MAR的位數
[0579.50-0581.82] 決定了存儲單元的數量
[0581.82-0585.58] 具體為二的MAR的位數次方個
[0585.58-0589.38] 因此選項第的敘述錯誤
[0589.38-0590.26] 最後
[0590.26-0594.16] 請同學們來挑戰這道408真題
[0594.16-0596.80] 請同學們暫停播放視頻
[0596.80-0598.08] 思考一下
[0598.08-0606.05] 然後給出你的答案
[0606.05-0608.22] 這是正確答案
[0608.22-0611.10] 相信同學們都能正確完成
[0611.10-0613.76] 我們就不再墜速了
[0613.76-0614.56] 好的
[0614.56-0616.88] 本節課到這裡就結束了
[0616.88-0619.20] 請同學們快速回憶一下
[0619.20-0639.98] 本節課的主要內容
[0639.98-0640.86] 同學們
[0640.86-0642.46] 我們下節課見
