[0003.38-0007.78] 同学们好,欢迎大家来到我的计算机组成员里维克堂。
[0331.08-0358.62] 因此,开始行一中的主存数据块被替换,此时,该行中的主存数据块被替换为主存数据块六,而该行的技术值已经是最小值零,不用清零,接下来访问主存数据块四,这是各开始行的当前状态,可以发现,开始访问未命中,需要将主存数据块四,再入到开始中,根据LFU算法,
[0358.62-0388.07] 技术值最小的开始行中的主存数据块被替换,因此,开始行一中的主存数据块被替换,此时,该行中的主存数据块被替换为主存数据块四,而该行的技术值已经是最小值零,不用清零,接下来访问主存数据块五,这是各开始行的当前状态,可以发现,开始访问未命中,需要将主存数据块五再入到开始中,
[0388.07-0416.46] 根据LFU算法,技术值最小的开始行中的主存数据块被替换,因此,开始行一中的主存数据块被替换,此时,该行中的主存数据块被替换为主存数据块五,而该行的技术值已经是最小值零,不用清零,接下来访问主存数据块六,这是各开始行的当前状态,可以发现,开始访问未命中,
[0416.46-0446.22] 需要将主存数据块六再入到开始中,根据LFU算法,技术值最小的开始行中的主存数据块被替换,因此,开始行一中的主存数据块被替换,此时,该行中的主存数据块被替换为主存数据块六,而该行的技术值已经是最小值零,不用清零,接下来访问主存数据块四,这是各开始行的当前状态,
[0446.22-0473.61] 可以发现,开始访问未命中,需要将主存数据块四再入到开始中,根据LFU算法,技术值最小的开始行中的主存数据块被替换,因此,开始行一中的主存数据块被替换,此时,该行中的主存数据块被替换为主存数据块四,而该行的技术值已经是最小值零,不用清零。
[0474.93-0501.21] 这样,我们就记录下了本地中LFU算法的访问过程,可以按列来查看每次访存的情况,例如是开始命中还是未命中,未命中的情况下是主存数据块再入到空行,还是替换某个行中的主存数据块,各行的淘汰技术值的变化情况等,可能有的同学已经发现了。
[0502.21-0513.21] 在本地中,从这次访存开始,直到访存结束,反复在同一个开始行进行替换,我们将这种现象成为颠簸或抖动。
[0514.34-0531.84] 请同学们思考一下,造成抖动的原因是什么?原因可能有多种,例如,受到早期高频访问数据的影响,这些数据可能是在初始化加载时并频繁访问,但之后很少或不再被访问。
[0532.84-0540.87] 由于他们起初的访问次数很高,这些数据可能会长时间占用开始空间,导致开始污染。
[0542.03-0560.35] 又例如,新加入开始的数据由于访问次数缴低,很容易被快速替换,尤其是当开始空间有限时,这可能导致开始末端发生抖动,也就是新数据频繁的被再入和淘汰,这就是上面这个例子的情况。
[0561.90-0579.90] 再例如,如果数据访问模式随时间变化,LFU算法可能无法及时适应这种变化,导致一些不再频繁访问的数据仍然保留在开始中,而一些近期变得频繁访问的数据却未能及时加载到开始中。
[0581.18-0599.25] 接下来,我们来计算一下,本地中LFU算法的命中率,用命中次数5,除以总的访存次数16,可得命中率为31.25%,好的,我们再来分析,使用LFU算法的访问过程。
[0599.25-0617.34] 首先访问主存数据块0,由于此时各开始行为空,因此,开始访问未命中,需要将主存数据块0再入到开始中,主存数据块0被再入到开始行0,相应的需要将该行的淘汰技术器的值设置为0。
[0617.34-0628.41] 接下来访问主存数据块1,这是各开始行的当前状态,可以发现,开始访问未命中,将主存数据块1再入到开始行1,
[0629.41-0640.41] 相应的需要将该行的淘汰技术器的值设置为0,而其他技术值不为空的行,各自的技术器被加一,这是加一后的结果。
[0640.41-0653.02] 接下来访问主存数据块2,这是各开始行的当前状态,可以发现,开始访问未命中,将主存数据块2再入到开始行2,
[0653.02-0664.02] 相应的需要将该行的淘汰技术器的值设置为0,而其他技术值不为空的行,各自的技术器被加一,这是加一后的结果。
[0664.02-0682.27] 接下来访问主存数据块1,这是各开始行的当前状态,可以发现,开始访问未命中,相应的需要将该行的淘汰技术器的值清明,而其他技术值不为空的行,各自的技术器被加一,结果如下。
[0682.27-0701.85] 接下来访问主存数据块0,这是各开始行的当前状态,可以发现,开始访问未命中,相应的需要将该行的淘汰技术器的值清明,而其他技术值不为空的行,各自的技术器被加一,结果如下。
[0701.85-0720.87] 接下来访问主存数据块2,这是各开始行的当前状态,可以发现,开始访问未命中,相应的需要将该行的淘汰技术器的值清明,而其他技术值不为空的行,各自的技术器被加一,结果如下。
[0720.87-0739.48] 接下来访问主存数据块0,这是各开始行的当前状态,可以发现,开始访问未命中,相应的需要将该行的淘汰技术器的值清明,而其他技术值不为空的行,各自的技术器被加一,结果如下。
[0739.48-0765.09] 接下来访问主存数据块3,这是各开始行的当前状态,可以发现,开始访问未命中,将主存数据块3,再入到开始行3,相应的需要将该行的淘汰技术器的值设置为0,而其他技术值不为空的行,各自的技术器被加一,这是加一后的结果,此时开始一嘛。
[0765.09-0785.02] 接下来访问主存数据块3,这是各开始行的当前状态,可以发现,开始访问未命中,相应的需要将该行的淘汰技术器的值清明,而其他技术值不为空的行,各自的技术器被加一,结果如下。
[0785.02-0809.08] 接下来访问主存数据块4,这是各开始行的当前状态,可以发现,开始访问未命中,需要将主存数据块4,再入到开始中,由于此时开始一嘛,根据LRU算法,技术值最大的开始行中的主存数据块被替换,因此,开始行一中的主存数据块被替换。
[0809.08-0824.21] 此时,该行中的主存数据块被替换为主存数据块4,相应的需要将该行的淘汰技术器的值清明,而其他技术值不为空的行,各自的技术器被加一,结果如下。
[0824.21-0846.82] 接下来访问主存数据块5,这是各开始行的当前状态,可以发现,开始访问未命中,需要将主存数据块5,再入到开始中,根据LRU算法,技术值最大的开始行中的主存数据块被替换,因此,开始行二中的主存数据块被替换。
[0846.82-0861.88] 此时,该行中的主存数据块被替换为主存数据块5,相应的需要将该行的淘汰技术器的值清明,而其他技术值不为空的行,各自的技术器被加一,结果如下。
[0861.88-0884.33] 接下来访问主存数据块6,这是各开始行的当前状态,可以发现,开始访问未命中,需要将主存数据块6,再入到开始中,根据LRU算法,技术值最大的开始行中的主存数据块被替换,因此,开始行零中的主存数据块被替换。
[0884.33-0898.36] 此时,该行中的主存数据块被替换为主存数据块6,相应的需要将该行的淘汰技术器的值清明,而其他技术值不为空的行,各自的技术器被加一,结果如下。
[0898.36-0918.96] 接下来访问主存数据块4,这是各开始行的当前状态,可以发现,开始访问未命中,相应的需要将该行的淘汰技术器的值清明,而其他技术值不为空的行,各自的技术器被加一,结果如下。
[0918.96-0937.09] 接下来访问主存数据块5,这是各开始行的当前状态,可以发现,开始访问未命中,相应的需要将该行的淘汰技术器的值清明,而其他技术值不为空的行,各自的技术器被加一,结果如下。
[0937.09-0955.76] 接下来访问主存数据块6,这是各开始行的当前状态,可以发现,开始访问未命中,相应的需要将该行的淘汰技术器的值清明,而其他技术值不为空的行,各自的技术器被加一,结果如下。
[0955.76-0974.89] 接下来访问主存数据块4,这是各开始行的当前状态,可以发现,开始访问未命中,相应的需要将该行的淘汰技术器的值清明,而其他技术值不为空的行,各自的技术器被加一,结果如下。
[0974.89-0980.02] 这样,我们就记录下了本例中,LRU算法的反分过程。
[0980.02-0999.21] 接下来,我们来计算一下本例中,LRU算法的命中率,有命中49,除以总的仿存次数16,可得命中率为56.25%,对比本例中同一仿存序列,才有两种不同的计划算法。
[0999.21-1007.90] LRU算法不能反映近期访问频率,所以命中率低于LRU算法。
[1007.90-1025.90] 好的,接下来,请同学们自行完成这道习题,请同学们暂停播放视频,务必动手练习一下,希望同学们都能正确完成,我们就不再赘述了。
[1025.90-1041.96] 通过本题,同学们可以发现,当某段时间集中访问的主存区域超过开始组大小时,命中率可能变得很低,甚至为零,这种现象也称为颠簸或抖动。
[1041.96-1048.18] 好的,本节课到这里就结束了,同学们,我们下节课见。
