[0003.86-0008.30] 同學們好,歡迎大家來到我的計算機組成原理微課堂。
[0284.45-0299.33] 這是因為,對於正數,其原碼、反碼、補碼都相同。X的補碼的符號位與Y的補碼的符號位的異貨結果為0,這是單獨處理得到的補碼乘機的符號位。
[0300.05-0311.97] N位無符號乘機對應的N位求補電路,會根據補碼乘機的符號位為0,對N位無符號乘機不進行變換,而直接輸出。
[0311.97-0326.67] 假設被乘數X是正數,乘數Y是負數,因此X的補碼的符號位為0,表示正數,Y的補碼的符號位為1,表示負數。
[0326.67-0337.96] X的補碼對應的N位求補電路,會根據X的補碼的符號位為0,對X的補碼的數值位不進行變換,而直接輸出。
[0338.57-0343.25] 這是因為對於正數,其原碼反碼補碼都相同。
[0343.25-0360.32] Y的補碼對應的N位求補電路,會根據Y的補碼的符號位為1,對Y的補碼的數值位,安慰徐法,然後莫位加一,將負數補碼的數值位轉換成負數原碼的數值位。
[0360.85-0369.05] 這是我們在第二章就學習過,並因熟練掌握的補碼與原碼之間相互轉換的反碼法。
[0369.05-0379.22] X的補碼的符號位與Y的補碼的符號位的異貨結果為1,這是單獨處理得到的補碼成績的符號位。
[0379.22-0390.38] N位無符號成績對應的N位求補電路,會根據補碼成績的符號位為1,對N位無符號成績安慰徐法,
[0390.38-0405.27] 然後莫位加一,假設倍成數X是負數,成數Y是正數,這與之前剛剛介紹的倍成數X是正數,成數Y是負數的情況類似。
[0405.27-0428.37] 因此,我們請給出動畫演示,就不再墜數了,如同所示,假設倍成數X和成數Y都是負數,
[0428.37-0443.56] 因此X和Y各自補碼的符號位都為1,表示負數。X的補碼和Y的補碼各自對應的N位求補電路,會根據X的補碼和Y的補碼各自的符號位為1,
[0443.56-0455.56] 對X的補碼和Y的補碼各自的數值位安慰徐法,然後莫位加一,將負數補碼的數值位轉換成負數原碼的數值位。
[0455.56-0465.20] X的補碼的符號位與Y的補碼的符號位的異貨結果為0,這是單獨處理得到的補碼成績的符號位。
[0465.20-0478.65] N位無符號成績對應的N位求補電路,會根據補碼成績的符號位為0,對N位無符號成績不進行變換而直接輸出。
[0478.65-0492.42] 接下來,請同學們驗證以上兩個實例,看看我們基於無符號真裂懲罰器設計的補碼真裂懲罰器是否能正確完成補碼懲罰運算,
[0492.42-0506.54] 也就是輸入被成數X和成數Y各自的補碼,而輸出為X乘以Y的補碼,將其轉換成真值,看看是否與X乘以Y的值相同。
[0511.79-0515.79] 相信同學們都能正確完成,我們就不再贅述了。
[0515.79-0520.79] 至此,可能很多同學心中還留有這樣一個疑問。
[0520.79-0524.79] 那就是,求補電路是如何實現的呢?
[0524.79-0531.14] 我們在本章之前的有關串行進位加法器的硬件邏輯實現的那一刻中,
[0531.14-0538.14] 曾給同學們介紹過,如何給串行進位加法器添加可控加減法電路,
[0538.14-0544.14] 使其既可以進行補碼加法運算,也可以進行補碼減法運算。
[0544.14-0548.37] 本節課介紹的求補電路,所要完成的功能,
[0548.37-0553.37] 就是根據補碼符號位的取值,對其數值位做相應變換。
[0553.37-0560.46] 具體來說就是,當符號位為0時,將數值位保持不變,直接輸出。
[0560.46-0567.62] 當符號位為1時,將數值位安慰取反,然後末尾加1號再輸出。
[0567.62-0576.69] 不難發現,我們可以借鑒給串行進位加法器添加可控加減法電路的方法,來實現求補電路。
[0576.69-0584.78] 如同所示,這是我們構建好的N位求補電路,當外的補碼的符號位為1時,
[0584.78-0590.78] 外的補碼的各個數值位,通過各自相應的異貨門時會被取反,
[0590.78-0595.82] 然後送入各自相應全家器的一個操作數輸入端。
[0595.82-0605.98] 同時,外的補碼的符號位為1,還會被送入最低位全家器FA0的近位輸入端,實現末尾加1功能。
[0605.98-0612.98] 因此,各全家器的輸出,就是外的補碼的數值位的安慰取反末尾加1的結果。
[0612.98-0622.30] 當外的補碼的符號位為0時,外的補碼的各個數值位,可以保持不變的通過異貨門,
[0622.30-0627.30] 然後送入各自相應全家器的一個操作數輸入端。
[0627.30-0634.30] 同時,外的補碼的符號位為0,也會被送入最低位全家器FA0的近位輸入端。
[0634.30-0640.30] 因此,各全家器的輸出與外的補碼的數值位是相同的。
[0640.30-0648.06] 請同學們注意,上述兩種情況,各全家器的另一個輸入端都輸入0。
[0648.06-0652.06] 至此,我們就構建好了N位求補電路。
[0652.06-0660.19] 然而,這種求補電路需要使用N個全家器,硬件開銷大,時間延遲長。
[0660.19-0666.22] 對於串行近位加法器而言,全家器是必須使用的部件。
[0666.22-0671.22] 但對於求補電路,實際上我們可以不使用全家器。
[0671.22-0676.32] 例如,這是一個不使用全家器的四位求補電路。
[0676.32-0682.32] 下面,我們通過兩個例子,來看看該求補電路是否能正確完成轉換。
[0682.32-0691.61] 第一,假設X的補碼為01011,符號位XF為0,表示正數。
[0691.61-0696.61] XF作為各語門的其中一個輸入,由於其取之為0。
[0696.61-0703.83] 因此,各語門不管其另一個輸入端的輸入是什麼,輸出都為0。
[0703.83-0708.83] X的補碼的各個數值外作為其相應一貨門的一個輸入。
[0708.83-0713.83] 而此時,各一貨門的另一個輸入端的輸入都是0。
[0713.83-0722.28] 因此,X的補碼的各個數值外,可以保持不變的通過各自相應的一貨門。
[0722.28-0728.28] 通過本力可以看出,該求補電路根據X的補碼的符號位的取之為0,
[0728.28-0734.28] 將X補碼的數值外保持不變的輸出,這是正確的轉換。
[0734.28-0742.60] 再來看第二,假設X的補碼為01011,符號位XF為1,表示負數。
[0742.60-0748.63] XF作為各語門的其中一個輸入,由於其取之為1。
[0748.63-0754.63] 因此,各語門的輸出,與其另一個輸入端的輸入是相同的。
[0754.63-0759.63] 因此,我們需要從數值外的最低位進行分析,如讀所示。
[0759.63-0768.18] 由於最右側貨門的其中一個輸入端接地,因此可認為該輸入端的輸入為0。
[0768.18-0775.37] 同時,0也會傳播到該貨門右下方相應語門的另一個輸入端。
[0775.37-0782.37] 而該貨門的另一個輸入端,是X的補碼的數值外的最低位X0取之為1。
[0782.37-0790.69] 因此,該貨門的輸出為1,該信號會傳播到前一集貨門的一個輸入端,
[0790.69-0796.17] 以及該貨門右下方相應的語門的另一個輸入端。
[0796.17-0803.17] 而該貨門的另一個輸入端,是X的補碼的數值外的X1取之為1。
[0803.17-0810.46] 因此,該貨門的輸出為1,該信號會傳播到前一集貨門的一個輸入端,
[0810.46-0815.65] 以及該貨門右下方相應的語門的另一個輸入端,
[0815.65-0822.65] 而該貨門的另一個輸入端,是X的補碼的數值外的X2取之為0。
[0822.65-0830.81] 因此,該貨門的輸出為1,該信號會傳播到前一集語門的另一個輸入端。
[0830.81-0835.10] 現在,我們可以得出各語門的輸出信號了,
[0835.10-0839.10] 他們是各自相應一貨門的其中一個輸入信號,
[0839.10-0846.22] 而各一貨門的另一個輸入端,則分別來自X補碼的數值外的相應位,
[0846.48-0850.48] 由於最低位的一貨門的其中一個輸入端為0,
[0850.48-0857.48] 則作為另一個輸入端的X0取之,可以保持不變的通過一貨門而輸出。
[0857.48-0863.54] 而其他各數值外相應的一貨門的其中一個輸入端都為1,
[0863.54-0869.54] 則作為另一個輸入端的數值外的取之,通過一貨門時被取反輸出。
[0869.54-0875.80] 通過本例可以看出,該球補電路根據X補碼的符號為取之為1,
[0875.80-0879.80] 將X補碼的數值外進行了相應的變換。
[0879.80-0887.09] 這實際上是模仿了復數圓碼與補碼相互轉換的掃描法。
[0887.09-0891.09] 請同學們再回憶一下掃描法的距離方法,
[0891.09-0897.09] 這是大家在完成了第二章的學習後,就應該熟練掌握的基本功。
[0897.09-0901.25] 我們就不再贅述了,需要說明的是,
[0901.25-0907.25] 本節課介紹的基於無符號陣列懲罰器所設計的補碼陣列懲罰器,
[0907.25-0913.41] 需要用到兩個N位球補電路和一個二人位球補電路,
[0913.41-0917.41] 實際上還可以構建不使用球補電路,
[0917.41-0922.44] 而是用補碼直接參與懲罰運算的直接補碼懲罰電路。
[0922.44-0926.86] 有興趣的同學可以查閱相關資料。
[0926.86-0929.86] 好的,本節課到這裡就結束了。
[0929.86-0932.86] 同學們,我們下節課見!
