[0003.25-0007.25] 同学们好,欢迎大家来到我的计算机组成原理维克堂。
[0333.40-0337.40] 其中一个机器周期,包含有四个CPU十中周期,
[0337.40-0341.40] 另一个机器周期,包含有三个CPU十中周期。
[0341.40-0346.07] 好的,本节课的内容到此就介绍完了。
[0346.07-0349.07] 接下来,请同学们趁热打铁,
[0349.07-0353.07] 挑战两道相关的408考研整体。
[0353.07-0357.17] 首先来挑战2009年的题十一。
[0357.17-0361.36] 请同学们暂停播放视频,思考一下,
[0361.36-0363.36] 然后给出你的答案。
[0363.36-0372.96] 题的答案是选项C,大家都选对了吗?
[0372.96-0374.96] 我们来一起分析一下,
[0374.96-0379.06] 这是我们之前刚刚举过的有关指令周期的例子。
[0379.06-0383.28] 在该指令周期的第一个机器周期内,
[0383.28-0385.28] 完成取指令的操作。
[0385.28-0389.70] 在该指令周期的第二个机器周期内,
[0389.70-0392.70] 完成取操作数的有效地址的操作。
[0392.70-0400.05] 总上所说,CPU区分指令和数据的依据是指令周期的不同阶段。
[0400.05-0403.88] 再来挑战2011年的题十九。
[0403.88-0406.17] 我们针对本题中,
[0406.17-0409.17] 同学们还没有学习过的相关知识点,
[0409.17-0411.17] 给出以下相关提示。
[0411.17-0414.30] 请同学们暂停播放视频,
[0414.30-0417.30] 思考一下,然后给出你的答案。
[0417.30-0426.06] 本题的答案是选项C,大家都选对了吗?
[0426.06-0428.06] 我们来一起分析一下,
[0428.06-0433.22] 这是我们之前刚刚举过的有关指令周期的例子。
[0433.22-0437.38] 题目给定,不采用指令预举技术,
[0437.38-0440.38] 因此每个指令周期都需要取指令,
[0440.38-0442.38] 例如途中所示,
[0442.38-0446.22] 题目给定,不采用看实技术,
[0446.22-0451.22] 因此在指令自查与存储自查相等,
[0451.22-0455.22] 且按边界对齐时,取指令需要访问内存一次,
[0455.22-0458.38] 否则会多次访存。
[0458.38-0461.38] 综上所说,选项A的叙述正确,
[0461.38-0464.66] 这是我们本节课所介绍的,
[0464.66-0468.79] 定常指令周期与变常指令周期的相关知识。
[0468.79-0471.79] 我们知道,对于定常指令周期,
[0471.79-0474.82] 所有指令的指令周期相同,
[0474.82-0478.82] 就是指令周期所包含的机器周期的数量固定,
[0478.82-0482.82] 机器周期所包含的实中周期的数量也是固定的,
[0482.82-0486.11] 对于变常指令周期,
[0486.11-0489.11] 各指令按CPU实中周期进行同步,
[0489.11-0491.24] 每条指令的执行,
[0491.24-0495.40] 其所需的实中周期数量按需分配。
[0495.40-0498.40] 综上所说,选项B的叙述正确,
[0498.40-0503.04] 题目给定,机器处于开中断状态,
[0503.04-0505.04] 开中断状态是指,
[0505.04-0510.04] 处理器允许接收和响应外部或内部的中断请求,
[0510.04-0513.04] 从而可以中断当前执行的程序,
[0513.04-0515.04] 以处理更紧急的任务。
[0515.04-0520.39] 我们在上节课给同学们介绍的指令执行的一般流程中,
[0520.39-0525.39] 也包含有对中断请求进行判断和响应的部分。
[0525.39-0529.84] 综上所说,选项B的叙述正确,
[0529.84-0535.03] 因此用排除法和判断出选项C的叙述错误。
[0535.03-0539.03] 请同学们在这幅指令执行的流程图中,
[0539.03-0542.74] 找出选项C叙述错误的原因,
[0542.74-0544.74] 相信同学们都能找到。
[0544.74-0547.74] 那就是,在取指令时,
[0547.74-0550.74] 还会自动更新程序技术器PC的纸,
[0550.74-0553.74] 使PC指向下一条指令,
[0553.74-0556.12] 以便后续取指。
[0556.12-0561.12] 尽管题不给定,当前所取指令为空操作指令,
[0561.12-0565.12] 但它也是指令,PC的纸仍会自动更新。
[0565.12-0568.31] 因此,选项C的叙述错误,
[0568.31-0571.79] 它就是本题的答案。
[0571.79-0574.79] 好的,本节课到这里就结束了。
[0574.79-0577.79] 请同学们快速回忆一下,
[0577.79-0579.79] 本节课的主要内容,
[0579.79-0598.27] 我们下节课见!
