[0003.38-0007.54] 同学们好,欢迎大家来到我的计算机组成园里维克堂。
[0455.19-0470.92] 为了适用这种题目,建议同学们将本题中计算N的阶程的C元程序,在集成开发环境,例如virus99中编写一编,然后进行编译和调试,编查看反汇编代码。
[0470.92-0474.72] 大家就会看到类似左侧这幅图中的内容了。
[0474.72-0482.07] 至此,可能很多同学已经猜到了,出题人是如何拿到类似左侧这样的图的。
[0482.07-0484.67] 再来看本大题的第三小题。
[0484.67-0490.65] 本小题的第一问,要求我们回答第17行指令的虚拟地址是什么?
[0490.65-0493.55] 我们来一起分析左侧这幅图。
[0493.55-0497.45] 这是第16条指令,也就是汇编指令框。
[0497.45-0500.73] 这是该指令所在的虚拟地址。
[0501.54-0505.44] 我们将其记录在右侧,以便后续计算。
[0505.44-0510.74] 这是第16条指令的极其指令,可以看出它有5字节构成。
[0510.74-0514.60] 我们将其记录在右侧,以便后续计算。
[0514.60-0518.10] 题目给定,计算器M按字节编指。
[0518.10-0526.86] 从上所说,第17行指令的虚拟地址为第16行指令的虚拟地址,加上第16行指令的程度。
[0526.86-0531.51] 我们将第17行指令的虚拟地址标记在图中。
[0531.51-0535.00] 再来解答本小题的第二问。
[0535.00-0539.40] 题目给定,第16行的框指令采用相对行指方式。
[0539.40-0547.70] 我们知道采用相对行指方式,则转移目标地址等于程序技术器PC的值,加上偏一辆。
[0547.70-0552.40] 这是转移目标地址,它实际上是函数F1的手地址。
[0552.40-0556.37] 我们将其记录在右侧,以便后续计算。
[0556.37-0559.27] 题目要求我们给出,偏一辆是多少。
[0559.27-0562.87] 那么我们首先要找出PC的值是多少。
[0562.87-0569.57] 我们知道PC需要首先指向该指令,之后才能对该指令进行取指。
[0569.57-0576.87] 取指完成后,PC的值会自动加上该指令的程度5字节,进而指向下一条指令。
[0576.87-0583.07] 此时PC的值就是我们之前刚刚得出的第17行指令的虚拟地址。
[0583.07-0588.87] 这样我们就得到了PC的值,可以通过该式来计算出偏一辆。
[0588.87-0592.57] 将相关已知量带入该式,得到偏一辆。
[0592.57-0599.37] 如果不会计算这个16禁制减法,可以想一想,如果是10禁制减法,10减去12呢?
[0599.37-0603.17] 相信大家很轻松就可以得出-2这个结果。
[0603.17-0609.33] 我们知道在相对行指方式中,偏一辆可正可负,采用补马表示。
[0609.53-0616.43] 因此,我们需要将偏一辆的帧值写成补马,和采用补马定义式或扫描法。
[0616.43-0618.43] 我们就不再坠述了。
[0618.43-0622.03] 这样我们就得到了库尔指令的偏一辆的补马。
[0622.03-0630.95] 需要说明的是,写成4字节补马,是因为本小题第三段给出库尔指令的后四个字节为偏一辆。
[0630.95-0637.38] 并且要求我们回答,计算级M采用的是大端方式还是小端方式。
[0637.38-0642.68] 对立一下,不难发现,数据的低字节保存在主存的低例子中。
[0642.68-0654.48] 例如,第六是偏一辆的最低字节,它的虚拟地址为00401026,比偏一辆的其他三个字节FF的虚拟地址都小。
[0654.48-0659.01] 那么,这种方式是大端方式还是小端方式呢?
[0659.50-0668.20] 我们在本课成第三章有关主存中数据的存放那些课中,曾给同学们介绍过大端方式和小端方式。
[0668.20-0671.80] 本题的存放方式属于小端方式。
[0671.80-0676.59] 至此,我们就完成了本大题第三小题的解答。
[0676.59-0679.28] 再来看本大题的第四小题。
[0681.02-0690.82] 我们将题目给定的计算fn,也就是计算n的阶程的C议员韩束f1的原程序单独提出来,以方便分析。
[0690.82-0697.72] 可以看到,韩束返回值的类型为int,题目给定,int数据占32位。
[0697.72-0702.62] 我们知道,int形数据是有符号说,采用补码表示。
[0702.62-0708.42] 因此,我们先写出32位补码所表示真直的范围,如下所示。
[0709.14-0713.24] 这是同学们应该乱属于心的,就不再追数了。
[0713.24-0721.53] 具体写成下面的数值,可以发现,13的阶程已经超过了32位补码所表示真直的上限。
[0721.53-0730.03] 因此,题目给定的,使用韩束f1计算13的阶程,得到的返回值,是产生一出的错误结果。
[0730.03-0737.96] 将韩束f1返回值的类型,改为以下几种数据类型中的某一种,都可以返回正确的结果。
[0738.45-0743.35] 至此,我们还需要解决,刚刚可能有些同学会产生了疑问。
[0743.35-0748.25] 那就是将2的31次方写成非指数形式,太麻烦了。
[0748.25-0751.85] 没错,在实战中,我们并不会这样做。
[0751.85-0756.35] 同学们凭借自己的C元程序设计经验,就应该感觉到,
[0756.35-0761.45] 题目给定的错误结果,是因为数据类型无法满足表示范围造成的。
[0761.45-0768.08] 即便题目要求我们给出判断过程,我们也可以采用以下进次计算来判断。
[0768.28-0774.68] 例如,2的30次方约等于10的9次方,也就是1后面跟9个0。
[0774.68-0780.38] 这样在与一个非指数形式的实战之数比较大小时,就比较方便了。
[0780.38-0787.82] 再来看本大题的第五小题,这是题目要求我们分析的指令。
[0787.82-0793.34] 这是题目给定的该指令的功能,也就是代幅号整数的惩罚。
[0793.34-0799.74] 根据题一可知,计存器Eax和计存器Ecx都是32位的。
[0799.94-0806.64] 分别用于存放,备乘数和乘数,而运算结果会被送入计存器Eax。
[0806.64-0815.34] 我们知道Eax是32位的,因此该指令的功能实际上是将两个32位补码相乘,
[0815.34-0821.44] 而将成绩的第32位送入Eax计存器,而高32位丢弃。
[0821.44-0826.87] 我们知道两个32位补码相乘,成绩最多有64位。
[0826.87-0834.07] 对这一点不理解的同学,可将两个两位补码相乘,看看成绩最多是不是有4位。
[0834.07-0840.16] 而该指令,却只保留最多可能有64位的成绩的第32位。
[0840.16-0843.56] 这就很自然的引导我们思考这样一个问题。
[0843.56-0851.39] 那就是,在什么情况下,64位补码表示的真直,与32位补码表示的真直相同呢?
[0851.59-0857.59] 又或者说,64位补码表示的真直,也能用32位补码来表示。
[0857.59-0866.24] 如果表示不了,则对于32位补码而言,借产生了一出,进而一出标志位OF会被质疑。
[0866.24-0871.48] 为了简单起见,我们用4位补码和2位补码进行取立。
[0871.48-0878.98] 我们首先在数学上画出,2位补码所能表示的真直,以及各真直对应的2位补码。
[0878.98-0882.18] 这是2位补码所能表示的最小复数。
[0882.18-0884.98] 这是2位补码所能表示的最大正数。
[0884.98-0892.51] 我们在另一个数轴上画出,4位补码所能表示的真直,以及各真直对应的4位补码。
[0892.51-0896.03] 这是4位补码所能表示的最小复数。
[0896.03-0899.23] 这是4位补码所能表示的最大正数。
[0899.23-0907.04] 对于N位补码所能表示真直的范围,相信同学们已经烂熟于心了,我们就不再显示出来。
[0907.96-0914.16] 不难发现,这部分真直,既可以用2位补码表示,也可用4位补码表示。
[0914.16-0924.16] 而这两部分真直,是4位补码可以表示,但2位补码无法表示的真直,也就是对于2位补码而言,会产生一戳。
[0924.16-0931.36] 那么,我们对这部分和共同表示的真直的补码做一下对比,看看能发现什么规律。
[0931.82-0938.72] 可以发现,4位补码的高2位,以及低2位中的高位,为全0或全1。
[0938.72-0942.72] 则,4位补码表示的真直,可以用2位补码表示。
[0942.72-0954.92] 那么,参照上面这个例子,我们不能得出,对于64位补码,落起高32位,以及低32位中的高1位,共33位,为全0或全1。
[0954.92-0957.22] 则,可以丢弃高32位。
[0957.22-0961.48] 三期所表示的真直不变,既不会产生一戳。
[0961.48-0969.48] 总上所说,对于本题,若要成绩的高33位,为非全0或全1,则产生一戳。
[0969.48-0973.27] 相应的,一戳标志位OF会被质疑。
[0973.27-0979.27] 对于这部分,可共同表示的真直的补码,我们还可以从另一个角度来分析。
[0979.27-0985.36] 我们在本课成第二章,有关飞远中的数据类型及其转换的那些课中,
[0985.46-0992.66] 曾给同学们介绍过,数据类型之间的转换,应该尽量保持转换前号数值不变。
[0992.66-0999.66] 对于小字长转大字长,若原数据为有符号类型,则进行符号扩展。
[0999.66-1003.16] 这样扩展后,可保持数值不变。
[1003.16-1008.86] 这与我们之前刚刚通过举例而找出来的规律,本质上是相同的。
[1008.86-1012.56] 这样,我们就完成了第五小题中第一问。
[1012.82-1016.32] 基于第一问,我们并不难回答出第二问。
[1016.32-1023.12] 那就是编译器,营在贷幅号承发指令后,添加一条自动检测溢出标志位OF,
[1023.12-1027.92] 并在OF为一时调用溢出溢长处理程序的指令。
[1027.92-1034.19] 例如,X86中的硬子铃指令,会触发中断相量4的溢长处理程序。
[1034.19-1040.32] 需要说明的是,实战中,同学们不一定非要给出具体指令的诸计符,
[1040.42-1043.85] 而是能够描述清楚指令功能即可。
[1043.85-1047.70] 至此,本大题全部解答完毕。
[1047.70-1053.10] 再来挑战2019年的题46,请同学们暂停播放视频,
[1053.10-1056.90] 务必认真审题,之后我们来一起分析。
[1056.90-1064.42] 好的,我们来一起分析。
[1064.42-1068.72] 本题在前一道考察指令系统相关知识的题目的基础上。
[1068.82-1074.42] 进一步考察,我们在前一章,也就是第四章存储系统中学习过的
[1074.42-1079.22] 有关虚拟存储器和高速款中存储器开始的相关知识。
[1079.22-1082.02] 我们首先来看本大题的第一问。
[1082.02-1085.30] 题目要求我们回答。
[1085.30-1090.30] 在左侧代码中,第一行的铺式指令和第三十行的RED指令,
[1090.30-1092.50] 是否在同一虚拟业中?
[1092.50-1098.30] 题目给定,虚拟业大小为4K字节,和写成2的12次方格字节。
[1098.40-1100.80] 题目给定,按字节编指。
[1100.80-1106.96] 从上所说,我们可以得出虚拟地址的第12位为虚拟业内偏移。
[1106.96-1111.16] 相应可知,物理地址的第12位为物理业内偏移。
[1111.16-1116.96] 虚拟业内偏移与物理业内偏移是相同的,简称为业内偏移。
[1116.96-1121.16] 这是我们在第四章学习过的知识,就不在这数了。
[1121.16-1127.05] 接下来,我们需要从左侧代码中找出第一行的铺式指令的虚拟地址,
[1127.55-1130.55] 以及第三场的R1T指令的虚拟地址。
[1130.55-1135.55] 只好比较这两个虚拟地址的虚拟业号部分是否相同,
[1135.55-1140.55] 就可以知道这两个虚拟地址是否属于同一个虚拟业。
[1140.55-1146.84] 这是第一行的铺式指令的虚拟地址,我们将其记录在右侧。
[1146.84-1153.42] 这是第三场的R1T指令的虚拟地址,我们将其记录在右侧。
[1154.96-1161.46] 之前我们刚刚分析出了,本题中虚拟地址的第十二位为业内偏移部分,
[1161.46-1165.46] 因此剩余的这二十位就是虚拟业号部分。
[1165.46-1171.52] 可以看到,这两条指令的虚拟地址的虚拟业号部分是相同的。
[1171.52-1175.78] 因此表明,这两条指令在同一虚拟业中。
[1175.78-1182.12] 再来看本大题的第二问,该问与左侧代码无关?
[1182.12-1187.62] 题目给定,指令态势有六十四行,才用四路组相连应设方式。
[1187.62-1192.62] 因此,我们可以画出本题中指令态势的示意图。
[1192.62-1197.62] 共包含有六十四出以四等于十六,也就是二的四次方个组。
[1197.62-1203.12] 组号从零到二的四次方简一,每个组包含有四个开场。
[1203.12-1209.72] 题目给定,主存地址为三十二位,我们画出主存地址的构成示意图。
[1210.38-1215.38] 由于指令态势共有十六组,需要用四个二的地址比特进行编号。
[1215.38-1223.38] 因此,主存地址中,态势主所引,也就是态势组号所占的位数因为四个比特。
[1223.38-1227.70] 题目给定,主存块大小为六十四字节。
[1227.70-1235.70] 因此,我们可以画出主存地址中宽认偏移,也就是题目所问的宽认地址所占的位数为六,
[1236.20-1241.26] 因为二的六次方等于六十四,并且主存按字节编纸。
[1241.26-1247.26] 在我们得出了主存地址中宽认偏移和开始主所引各自所占的位数号,
[1247.26-1252.54] 我们就可以得出主存分区号所占的位数。
[1252.54-1258.44] 计算如下,我们在图中标记出主存分区号所占的位数。
[1258.44-1264.60] 通常所说,三十二位主存地址中,第六位表示宽认地址,
[1264.60-1267.60] 中间四位表示开始组号,
[1267.60-1269.60] 高二十二位表示标记态格,
[1269.60-1274.60] 在组商联应设中,标记态格我们也称为主存分区号。
[1274.60-1278.73] 至此,本大题的第二问解答完毕。
[1278.73-1279.73] 作为习题课,
[1279.73-1283.73] 我们还是有必要再来复习一下组商联应设的特点,
[1283.73-1285.73] 如同所示,
[1285.73-1291.73] 这是根据提议画出的主存数据块在主存中分区存储的情况。
[1291.73-1295.73] 由于主存地址中,主存分区号部分占二十二比特,
[1295.73-1299.73] 因此,共有二到二十二次方个分区,
[1299.73-1303.76] 从分区零到分区二到二十二次方减一。
[1303.76-1308.76] 每个分区中包含有编号零到十五的共十六个主存数据块,
[1308.76-1311.76] 分别对应开始中的相应的组。
[1311.76-1315.76] 例如,分区零中的数据块零对应开始组零,
[1315.76-1318.76] 数据块十五对应开始组十五,
[1318.76-1321.08] 以此类推。
[1321.08-1324.08] 分区一中的数据块零对应开始组零,
[1324.08-1327.08] 数据块十五对应开始组十五,
[1327.08-1329.46] 以此类推。
[1329.46-1332.46] 最后这个分区中的数据块零对应开始组零,
[1332.46-1335.46] 数据块十五对应开始组十五,
[1335.46-1337.88] 以此类推。
[1337.88-1339.88] 不知同学们是否还记得,
[1339.88-1342.88] 某个主存数据块在其所对应的开始组内,
[1342.88-1348.57] 应该对应哪个开始长呢?
[1348.57-1351.57] 没错,可以对应组内的任何一个开始长,
[1351.57-1353.57] 就是采用全项链硬设。
[1353.57-1356.57] 例如,各主存分区中的数据块零,
[1356.57-1359.57] 可对应开始组零内的任何一行。
[1359.57-1362.57] 又例如,各主存分区中的最后一个数据块,
[1362.57-1366.57] 可对应最后一个开始组内的任何一行。
[1366.57-1369.98] 接下来,我们来看本大题的最后一问。
[1369.98-1373.37] 我们首先需要在题目给定的代码中,
[1373.37-1377.37] 找出第16行的矿耳指令所在的虚拟地址,
[1377.37-1380.37] 我们将其记录下来,以便进行分析。
[1380.37-1383.37] 在解答本大题第一问时,
[1383.37-1388.37] 我们就已经分析出了虚拟地址的第12位为虚拟业类偏移。
[1388.37-1391.37] 我们知道,物理地址的物理业类偏移
[1391.37-1395.37] 与虚拟地址的虚拟业类偏移是相同的。
[1395.37-1398.37] 从上所说,物理地址的第12位
[1398.37-1401.37] 与虚拟地址的第12位是相同的。
[1401.37-1404.37] 这样,我们就从靠指令的虚拟地址
[1404.37-1407.37] 得出了其物理地址的第12位,
[1407.37-1410.98] 将其转换成二净之形式。
[1410.98-1412.98] 这是在解答本大题第一问时,
[1412.98-1414.98] 我们就已经分析出的,
[1414.98-1418.10] 主存地址各部分所占位数,
[1418.10-1420.10] 由于矿耳偏移将6位,
[1420.10-1425.00] 因此,这6位就是矿耳偏移,
[1425.00-1428.45] 由于开始组所引,展4位,
[1428.45-1431.45] 因此,这4位就是开始组所引,
[1431.45-1433.67] 提值为0。
[1433.67-1437.28] 这表明,靠指令所在主存数据化,
[1437.28-1439.28] 对应编号为0的开始组。
[1439.28-1442.28] 因此,组取靠指令时,
[1442.28-1445.28] 只可能在指令开始的组领中命中。
[1445.28-1448.79] 至此,本大题解答完毕。
[1448.79-1452.14] 好的,本节课到这里就结束了。
[1452.14-1455.14] 同学们,我们下节课见!
