[0003.34-0007.34] 同学们好,欢迎大家来到我的计算机组成原理维可堂。
[0184.71-0191.71] 通过本例可以看出,在全相连映射方式下,开始隐瞒后才有可能出现冲突。
[0191.71-0194.71] 需要进行开始中主存数据块的替换。
[0194.71-0200.87] 请同学们想想看,你能否设立出一个非常简单的替换算法呢?
[0200.87-0208.38] 我想很多同学都能想到,那就随便选一个开始行进行替换吧。
[0208.38-0211.38] 没错,这称为随机替换。
[0211.38-0217.47] 例如在本例中,开始行2被随机选中进行主存数据块替换。
[0217.47-0225.63] 这样,主存数据块7就被再入到开始行2中,替换掉了之前保存的主存数据块2。
[0225.63-0235.79] 尽管随机替换的优点是简单,应该实现最容易,速度也最快,但随机替换的缺点也是不可忽视的。
[0235.79-0242.79] 因为随机替换掉的数据可能马上又要用,从而降低命重率和开始的工作效率。
[0242.79-0250.92] 当然了,随着开始容量增大,随机替换的缺点所带来的负面影响会减小。
[0250.92-0261.02] 通过访证实验可以发现,随机替换的性能只稍逊于我们稍后将要介绍的LFU算法和LRU算法。
[0261.02-0265.27] 再来看组相连硬实方式下,何时使用替换算法?
[0265.27-0273.34] 我们知道,在组相连硬实方式下,开始中的所有行被划分为固定大小的组,
[0273.34-0282.62] 每组包含K行,成为K路组相连,每个组存数据块才用直接硬实方式对应到开始中固定的组。
[0282.62-0290.62] 每个组存数据块在所对应的组内,才用全相连硬设和对应到组内任何一个开始行。
[0290.62-0296.75] 这相当于将组存数据块按开始组的数量进行了分区。
[0296.75-0302.75] 每个分区中包含的组存数据块的数量与开始组的数量是相同的。
[0302.75-0307.94] 每个分区中的组存数据块各自对应某个固定的开始组。
[0307.94-0318.01] 例如,本例为二组组相连,组存分区0中的数据块0,数据块1,只能分别对应到开始中相应的组0,组1。
[0318.01-0325.01] 组存分区1中的数据块0,数据块1,也只能分别对应到开始中相应的组0,组1。
[0325.01-0337.54] 依此类推,组存分区0中的数据块0,在其所对应的开始组0内,可对应任何一个开始行,也就是采用全相连硬设。
[0337.54-0348.54] 同理,组存分区3中的数据块1,在其所对应的开始组1内,可对应任何一个开始行,依此类推,就不再坠述了。
[0348.54-0359.80] 加设在仿存过程中,组存分区0中的数据块0和1,组存分区2中的数据块0,被依次在入到开始中,如同所示。
[0363.84-0368.90] 之后,组存分区3中的数据块0,也要被在入开始中。
[0368.90-0374.97] 按照组相连硬设规则,它可被在入到开始组0中的任意一行。
[0374.97-0382.97] 然而,此时组0已满,因此,不管将其在入到组0中的哪一行,都会产生冲突。
[0382.97-0397.19] 尽管此时,组1中还有一个空行,通过本例可以看出,在组相连硬设方式下,开始未满时,就有可能出现冲突,需要进行开始中组存数据块的替换。
[0397.19-0408.35] 可以采用我们刚刚介绍过的随机替换,例如在本例中,开始组0内的行0被随机选中,进行组存数据块替换。
[0408.35-0419.51] 这样,组存分区3中的数据块0,就被在入到开始组0内的行0中,替换掉了之前保存的组存分区0中的数据块0。
[0419.51-0431.51] 在同学们了解了三种地址硬设方式下,何时使用替换算法,以及最简单的随机替换后,我们给同学们介绍另外三种替换算法。
[0431.51-0444.83] 分别是先进先出算法,英文缩写词为Five,最不经常用算法,英文缩写词为LFU,近期最少用算法,英文缩写词为LRU。
[0444.83-0454.93] 首先介绍Five算法,其基本思想是,将组存数据块再入开始的先后顺序,作为替换顺序。
[0454.93-0470.02] 在需要进行替换时,选择最先在入组存数据块的开始行进行替换,因此在具体实现时,需要记录每个开始行在入组存数据块的时刻,或称为时间戳。
[0470.02-0474.38] 我们来举例说明,假设这是系统时钟。
[0474.38-0481.44] 请同学们注意,以下举例,除特别说明,均采用全相连印射方式。
[0481.44-0493.66] 第一次访存,开始未命中,也就是数据缺失,再入组存数据块到某个开始行,并记录该行在入组存数据块的时刻。
[0493.66-0513.46] 之后三次的访存情况如下所示,开始一满,第五次访存数据缺失,需要再入组存数据块到开始。
[0513.46-0521.46] 由于此时开始一满,需要根据替换算法,将某个开始行中的组存数据块替换掉。
[0521.46-0530.58] 根据各行的在入时刻可知,该行最先在入组存数据块,根据Five算法,先载入的先被替换。
[0530.58-0540.74] 通过本地,我们可以总结出Five算法的特点,那就是实现脚方便,仅用系统时钟即可,开小小。
[0540.74-0553.74] 但该算法未考虑程序的访问局不幸,因为最先在入开始的组存数据块也可能是目前经常要用的,因此可能导致开始的命中率不高。
[0553.74-0570.06] 接下来介绍LFU算法,其基本思想是,将被命中访问次数最少的开始行淘汰,因此在具体实现时,需要为每个开始行设置一个淘汰技术器。
[0570.06-0583.16] 现在入的开始行从明开始技术,每命中访问一次被访问开始行的淘汰技术器加一,需要进行替换时,技术值最小的开始行被替换。
[0583.16-0589.74] 我们来举例说明,假设这是为每个开始行设置的淘汰技术器。
[0589.74-0607.45] 前四次访存过程如同所示,开始一码,继续访存,数据命中,被命中开始行的淘汰技术器加一。
[0607.45-0613.77] 继续访存,数据命中,被命中的开始行的淘汰技术器加一。
[0613.77-0618.86] 继续访存,数据命中,被命中开始行的淘汰技术器加一。
[0619.93-0624.99] 继续访存,数据命中,被命中开始行的淘汰技术器加一。
[0624.99-0629.99] 继续访存,数据命中,被命中开始行的淘汰技术器加一。
[0629.99-0635.02] 继续访存,数据命中,被命中开始行的淘汰技术器加一。
[0635.02-0641.18] 继续访存,数据命中,被命中开始行的淘汰技术器加一。
[0641.18-0646.18] 继续访存,数据缺失,需要再入主存数据块到开始。
[0646.18-0658.74] 由于此时开始隐瞒,根据LFU替换算法,淘汰技术值最小的开始行中的主存数据块被替换,这是第五次主存数据块再入。
[0658.74-0663.54] 此次再入时替换掉了开始行李中的原有数据块。
[0663.54-0673.90] 另外,还要将该行的淘汰技术器的值清零,继续仿存数据命中,被命中开场的淘汰技术器加一,
[0674.23-0696.07] 继续仿存数据命中,被命中开场的淘汰技术器加一,继续仿存数据命中,被命中开场的淘汰技术器加一,继续仿存数据命中,被命中开场的淘汰技术器加一,继续仿存数据缺失,需要再入主存数据块到开始。
[0696.39-0705.03] 由于此时开始隐瞒,根据LFU替换算法,淘汰技术值最小的开场中的主存数据块被替换。
[0705.03-0715.59] 现在问题来了,有两个开场的淘汰技术值都是当前最小的,那应该选择哪个开场进行替换呢?
[0716.52-0727.30] 相信同学们不能想到,此时可采用之前介绍过的随机替换或筛逐算法,之后再继续使用LFU算法。
[0727.30-0739.14] 通过本例,我们可以总结出LFU算法的特点,那就是印价成本脚高,因为需要为每个开场都设置一个技术器。
[0739.50-0748.14] 另外,淘汰技术器从开始上电后就开始记录,但不能严格反映出近期的访问情况。
[0748.14-0765.59] 例如,这是开始中的两个开场,A行在开始上电后的一分钟内被多次访问,该行的淘汰技术器的值增加到了一万,而在之后的时间,A行未被访问,B行却被多次访问。
[0765.91-0774.23] 30秒时,B行的淘汰技术器的值已增加到了6000多,并且之后B行仍会被频繁访问。
[0774.23-0785.93] 换句话说,A行在前期被多次访问,而后期不被访问,但其在前期已经累积了很大的淘汰技术值。
[0785.93-0790.95] B行前期很少被访问,而后期被频繁访问。
[0791.29-0805.13] 当出现数据缺失,需要进行替换时,根据LFU算法,由于B行的淘汰技术值可能仍小于A行的淘汰技术值,使得B行中的主存数据化被替换。
[0805.13-0814.52] 接下来,介绍LRU算法,即基本思想是,将近期内最少被命中访问过的开场淘汰。
[0814.90-0823.22] 因此,在具体实现时,与LFU算法类似,也需要为每个开始行设置一个淘汰技术器。
[0823.22-0842.25] 不同点是,开始行每被访问一次,包括再入、替换、命中,该行的技术器被清零,其他技术值不为空的行,各自的技术器被加一,需要进行替换时,技术值最大的行被替换。
[0842.50-0853.80] 我们来举例说明,进行仿存,数据缺失,再入主存数据化到开始行零,该行的淘汰技术器的值被设置为零。
[0853.80-0867.32] 进行仿存,数据缺失,再入主存数据化到开始行一,该行的淘汰技术器的值被设置为零,其他技术值不为空的行,各自的技术器被加一。
[0867.90-0880.86] 进行仿存,数据缺失,再入主存数据化到开始行二,该行的淘汰技术器的值被设置为零,其他技术值不为空的行,各自的技术器被加一。
[0880.86-0891.19] 进行仿存,数据命中,被命中行的淘汰技术器的值被清零,其他技术值不为空的行,各自的技术器被加一。
[0891.61-0901.05] 进行仿存,数据命中,被命中行的淘汰技术器的值被清零,其他技术值不为空的行,各自的技术器被加一。
[0901.05-0911.05] 进行仿存,数据命中,被命中行的淘汰技术器的值被清零,其他技术值不为空的行,各自的技术器被加一。
[0911.05-0920.84] 进行仿存,数据命中,被命中行的淘汰技术器的值被清零,其他技术值不为空的行,各自的技术器被加一。
[0920.84-0935.87] 进行访存,数据缺失,再入主存数据框到开始行三,该行的淘汰技术器的值被设置为零,其他技术值不为空的行,各自的技术器被加一,此时开始一满。
[0935.87-0943.87] 进行访存,数据命中,由于被命中行的淘汰技术器的值本身为零,就不用被清零了。
[0943.87-0955.87] 其他技术值不为空的行,各自的技术器被加一,进行访存,数据缺失,需要再入主存数据框到开始,由于此时开始一满。
[0955.87-0974.06] 根据LRU替换算法,淘汰技术值最大的开始行中的主存数据框被替换,因此行一中的主存数据框被替换,该行的淘汰技术器的值被清零,其他技术值不为空的行,各自的技术器被加一。
[0974.06-0996.06] 通过本例,我们可以总结出LRU算法的特点,那就是硬件成本高,因为需要为每个开场都设置一个技术器,但是该算法比较正确的反映了程序的反问局不幸,因为近期最少使用的主存数据框很可能是将来最少被反问的。
[0996.06-1006.19] 需要说明的是,在LRU算法中,淘汰技术器的数值称为LRU位,其位数与开市组的大小有关。
[1006.19-1022.29] 当开始中只包含一个组织,则为全项链印设。理论上N组组项链,也就是每个开市组包含开市行的数量为N10,LRU位的位数为LOB2为DN的对数。
[1022.29-1036.35] 例如,2度组相连时,LRU位的位数为1,4度组相连时,LRU位的位数为2。那么在本例中,LRU位的位数为LOB2为D4的对数等于2。
[1036.35-1049.09] 因此,取值范围是实际之数0-3。可能有的同学已经发现了,这不是和开市行2的淘汰技术值矛盾了吗?我们来解释一下原因。
[1049.09-1066.15] 这是我们之前给出的LRU算法规则,那就是开市行每被访问一次,包括在入替换命中,该行的技术器被清明,其他技术值不回空的行,各自的技术器被加一。
[1066.15-1084.44] 这是我们为了减少同学们需要记忆的规则数量,而给出的作题时比较方便。在实际实现时,规则改为命中时,该行的技术器被清明,比其技术值小的其他行的技术器加一。
[1084.44-1105.95] 这样可满足LRU位的位宽限制,还需要说明的是,如果是仅包含两个开市行的全项链硬设,或二路组项链硬设,由于一个主存数据化只能在这两个开市行存放,二选一完全不需要淘汰技术器。
[1105.95-1118.95] 仅需要一个二进制标志位即可,例如,当行零在入新的主存数据化时,将标志位置一,而行一在入新的主存数据化时,将标志位清明。
[1118.95-1134.18] 这样,当需要进行替换时,只需要检查该标志位即可,若标志位为零,则说明行一的主存数据化比行零的后再入,因此因替换行零的主存数据化。
[1134.18-1136.18] 否则,对行一进行替换。
[1136.18-1148.40] 学习过计算机网络的同学是否还记得,与上述思想类似的事,停止等待协议中,给数据帧编号的二进制位数仅用一位即可。
[1148.40-1151.82] 好的,本节课到这里就结束了。
[1151.82-1154.82] 我们将本节课的主要内容,小结入下。
[1154.82-1160.54] 同学们,我们下节课见!
