[0003.47-0007.71] 同学们好,欢迎大家来到我的计算机组成员里维克唐
[0280.30-0290.12] 可以发现其大于除数,因此上商1,之后减去除数,得到新的中间于数
[0290.90-0294.42] 在新得到的中间于数的尾部添加一个0
[0294.42-0299.61] 可以发现其小于除数,因此上商0
[0299.61-0303.38] 之后,在其尾部再添加一个0
[0303.38-0312.17] 可以发现其大于除数,因此上商1,之后减去除数,得到于数
[0312.17-0317.45] 这次就得到了本例二进制处法的商和于数
[0317.78-0324.34] 需要说明的是,由于我们是将定点小数的处法转换成了定点整数的处法
[0324.34-0327.30] 因此这才是实际的于数
[0327.30-0334.38] 上数过程就是二进制处法的比算过程
[0334.38-0338.65] 接下来我们就模拟二进制处法的比算过程
[0338.65-0343.53] 想办法找出在计算机中实现原码处法运算的方法
[0343.53-0347.43] 在左侧的这个二进制处法比算过程中
[0347.59-0351.27] 首次上商0,是因为在上商前
[0351.27-0355.75] 我们心中就已经判断出了被除数小于除数
[0355.75-0359.91] 然而,计算机却无法做出这样的判断
[0359.91-0362.15] 只能首先默认构减
[0362.15-0366.95] 用被除数减去除数,得到的中间于数小于0
[0366.95-0368.86] 也就是不构减
[0368.86-0373.98] 此时,计算机就知道了,被除数是小于除数的
[0373.98-0376.25] 因此,上商0
[0376.41-0379.05] 可能有的同学会产生疑问
[0379.05-0384.86] 计算机是如何判断出这个减法的结果是小于0的呢?
[0384.86-0389.50] 实际上,我们在第二章就已经学习过相关知识了
[0389.50-0392.46] 这里我们暂时先按下步表
[0392.46-0399.10] 由于计算机现在知道了,之前被除数减除数是不够减的
[0399.10-0402.54] 然而却进行了减去除数的操作
[0402.70-0407.62] 因此,现在需要加上除数来恢复被除数
[0407.62-0411.22] 由于被除数可被看作是初始于数
[0411.22-0416.18] 因此,上数加上除数来恢复被除数的操作
[0416.18-0418.90] 也可称为恢复于数
[0418.90-0421.86] 在商0的后面添加一个小数点
[0421.86-0428.01] 然后在恢复出的于数尾部添加一个0
[0428.01-0432.55] 之后,减去除数,得到中间于数
[0432.71-0435.83] 由于其大于0,也就是够减
[0435.83-0438.66] 因此,上商1
[0438.66-0441.98] 在中间于数的尾部添加一个0
[0441.98-0446.12] 之后,减去除数,得到中间于数
[0446.12-0449.40] 由于其大于0,也就是够减
[0449.40-0452.79] 因此,上商1
[0452.79-0455.67] 在中间于数的尾部添加一个0
[0455.67-0460.15] 之后,减去除数,得到的中间于数小于0
[0460.15-0464.60] 也就是不够减,因此,上商0
[0464.68-0467.08] 接下来,需要加上除数
[0467.08-0468.60] 来恢复之前的
[0468.60-0472.12] 以在尾部添加了一个0的中间于数
[0472.12-0476.36] 这是本例中,第二次进行恢复于数
[0476.36-0479.18] 再起尾部,再添加一个0
[0479.18-0482.54] 之后,减去除数,得到于数
[0482.54-0485.66] 由于其大于0,也就是够减
[0485.66-0488.18] 因此,上商1
[0488.18-0490.62] 至此,运算结数
[0490.62-0495.59] 请同学们注意,这是实际于数
[0495.59-0498.63] 通过本例,我们可以画出计算机内部
[0498.63-0503.53] 通过恢复于数法,实现圆满除法运算的流程图
[0503.53-0505.13] 在初始阶段
[0505.13-0507.77] 于数可看作是备除数
[0507.77-0512.95] 而除数在整个运算过程中作为减数或加数
[0512.95-0517.22] 这是进行第一次减法后,得到的中间于数
[0517.22-0519.62] 由于中间于数小于0
[0519.62-0521.77] 因此,上商0
[0521.77-0525.37] 接下来,需要给中间于数加上除数
[0525.45-0527.37] 来恢复之前的于数
[0527.37-0529.99] 也就是备除数
[0529.99-0532.95] 然后,再起尾部,添加一个0
[0532.95-0536.50] 这相当于将其左移移位
[0536.50-0539.70] 之后,进入下一轮的运算
[0539.70-0542.81] 减去除数,得到中间于数
[0542.81-0545.21] 由于中间于数大于0
[0545.21-0547.35] 因此,上商1
[0547.35-0550.95] 然后,在中间于数的尾部,添加一个0
[0550.95-0554.18] 这相当于将其左移移位
[0554.26-0557.67] 之后,进入下一轮的运算
[0557.67-0560.15] 至此,我们对运算过程中
[0560.15-0564.23] 上商0和上商1的情况,又梳理了一遍
[0564.23-0568.15] 相信同学们可自行将本例子的后续运算过程
[0568.15-0570.95] 带入右侧的流程图进行分析
[0570.95-0573.22] 我们就不再准数了
[0573.22-0576.42] 从流程图的这部分,也不难看出
[0576.42-0579.78] 当中间于数小于0时,上商0
[0579.78-0583.06] 然后,还需要给中间于数加上除数
[0583.06-0585.45] 来恢复之前的于数
[0585.45-0588.89] 因此,我们将原码处法的这种运算方法
[0588.89-0590.97] 称为恢复于数法
[0590.97-0595.29] 本例中,一共进行了两次恢复于数
[0595.29-0599.53] 接下来呢,我们通过原码处法恢复于数法的流程图
[0599.53-0603.53] 设法找出相应的硬件逻辑实现方法
[0603.53-0605.69] 从流程图可以看出
[0605.69-0609.13] 需要用到加法运算和移位运算
[0609.13-0611.21] 这使得我们不难想到
[0611.21-0616.17] 我们之前曾介绍过的原码惩法运算的硬件逻辑实现
[0616.17-0619.54] 也用到了加法运算和移位运算
[0619.54-0624.42] 不同之处在于,在原码惩法运算的硬件逻辑实现中
[0624.42-0626.98] 移位运算为逻辑右移
[0626.98-0630.74] 而在原码处法恢复于数法的硬件逻辑实现中
[0630.74-0632.97] 移位运算为左移
[0632.97-0636.49] 另外,从原码处法恢复于数法的流程图
[0636.49-0637.93] 还可以看出
[0638.01-0641.85] 还需要用到简法和判断政府的方法
[0641.85-0643.85] 这使得我们不难想到
[0643.85-0645.85] 如果采用补码表示
[0645.85-0649.53] 就可将简法运算转换成加法运算
[0649.53-0653.80] 并且可以根据补码的符号位来判断政府
[0653.80-0655.08] 综上所述
[0655.08-0658.36] 只要在原码惩法的硬件逻辑实现的基础上
[0658.36-0662.28] 添加相应的求补电路和上伤控制电路
[0662.28-0666.60] 就可以构建出原码处法的硬件逻辑实现了
[0666.68-0669.10] 我们就不再具体给出了
[0669.10-0669.98] 接下来
[0669.98-0673.18] 我们再给出一个原码处法运算的例子
[0673.18-0677.13] 这次我们从硬件逻辑实现的角度来完成
[0677.13-0678.81] 对于处法运算
[0678.81-0682.57] 操作数计存器X用于存放除数
[0682.57-0686.73] 累加器ACC用于存放备除数和余数
[0686.73-0690.50] 乘商计存器MQ用于存放商
[0690.50-0695.62] 假设这是备除数X和除数Y各自的原码表示
[0695.62-0700.04] 我们使用恢复余数法来完成原码处法运算
[0700.04-0702.42] 我们一起来分析一下
[0702.42-0704.58] 我们之前已经介绍过了
[0704.58-0707.14] 对于硬件小数的原码处法
[0707.14-0708.82] 备除数的绝对值
[0708.82-0711.99] 因小于除数的绝对值
[0711.99-0714.65] 本利符合该条件
[0714.65-0718.28] 商的符号与数值部分分开处理
[0718.28-0721.80] 商的符号由备除数的符号与除数的符号
[0721.80-0724.58] 进行异货运算而求得
[0724.66-0727.62] 商的绝对值等于备除数的绝对值
[0727.62-0730.01] 除亦除数的绝对值
[0730.01-0733.37] 最后将商的符号与商的绝对值
[0733.37-0737.54] 拼接在一起即可得到原码处法的结果
[0737.54-0741.38] 因此在原码处法恢复余数法的流程途中
[0741.38-0745.13] 除数实际上应该是其绝对值
[0745.13-0748.70] 对于本利就是外的绝对值
[0748.70-0752.30] 为了将减法运算转换成加法运算
[0752.30-0754.89] 需要采用补码表示
[0754.89-0757.45] 由于外的绝对值是大于零的
[0757.45-0762.86] 因此外的绝对值与外的绝对值的补码是相同的
[0762.86-0766.94] 要将补码减法运算转换成补码加法运算
[0766.94-0770.66] 还需求出外的绝对值的相反数的补码
[0770.66-0772.58] 在印价逻辑实现中
[0772.58-0776.14] 这需要通过求补电路来实现
[0776.14-0778.70] 对于流程途中的余数
[0778.70-0781.50] 实际上也应该是其绝对值
[0781.50-0785.34] 而余数的绝对值与余数的绝对值的补码
[0785.34-0787.10] 是相同的
[0787.10-0789.42] 之前已经介绍过了
[0789.42-0792.66] 初是余数就是被除出x
[0792.66-0798.49] 因此参与运算时采用的就是x的绝对值的补码
[0798.49-0802.17] 而补码加法运算所得到的中间余数
[0802.17-0804.81] 实际上是其补码表示形式
[0804.81-0806.81] 根据其符号位的取值
[0806.81-0810.34] 即可判断其所表示的真值的政府
[0810.34-0811.62] 综上所说
[0811.62-0813.14] 减去除数外
[0813.22-0817.22] 实际上是加上外的绝对值的相反数的补码
[0817.22-0818.34] 恢复余数
[0818.34-0821.66] 实际上是加上外的绝对值的补码
[0821.66-0823.58] 因此对于本地
[0823.58-0827.26] 我们需要写出被除出x的绝对值的补码
[0827.26-0829.50] 除数外的绝对值的补码
[0829.50-0832.81] 除数外的绝对值的相反数的补码
[0832.81-0835.37] 这是同学们在学习完第二章后
[0835.37-0837.85] 就应该熟练掌握的基本功
[0837.85-0840.06] 我们就不再准数了
[0840.06-0841.02] 接下来呢
[0841.10-0843.10] 我们将余数记为r
[0843.10-0844.54] 商记为q
[0844.54-0847.18] 然后以硬件逻辑实现的方式
[0847.18-0848.70] 采用恢复余数法
[0848.70-0852.06] 来完成本立原码主法运算
[0852.06-0853.66] 出示余数r0
[0853.66-0855.58] 就是被除出x
[0855.58-0857.90] 我们之前已经分析过了
[0857.90-0861.14] 实际上是x的绝对值的补码
[0861.14-0863.78] 而商q被出示化为0
[0863.78-0866.68] 也就是0.0000
[0866.68-0869.16] 之后减去除数外
[0869.16-0871.00] 我们之前已经分析过了
[0871.00-0875.50] 实际上是加上外的绝对值的相反数的补码
[0875.50-0878.14] 得到中间余数r1的补码
[0878.14-0880.86] 通过其符号位唯一可知
[0880.86-0883.26] 其相应的帧值小于0
[0883.26-0885.94] 因此上商0
[0885.94-0890.98] 接下来需要加上除数外来恢复余数r0
[0890.98-0893.06] 我们之前已经分析过了
[0893.06-0896.57] 实际上是加上外的绝对值的补码
[0896.57-0900.01] 之后将当前的余数r和商q
[0900.01-0903.27] 一起左移移位
[0903.27-0906.49] 这是移位后得到的结果
[0906.49-0908.17] 需要说明的是
[0908.17-0910.65] 为了使同学们看得更清楚
[0910.65-0912.33] 以及更容易理解
[0912.33-0914.73] 需要先则出中间余数
[0914.73-0918.09] 然后根据其正数再来上商
[0918.09-0921.29] 因此左移移位后低位补零的操作
[0921.29-0924.01] 我们刻意没有显示出来
[0924.01-0926.68] 之后减去除数外
[0926.68-0931.26] 实际上是加上外的绝对值的相反数的补码
[0931.34-0934.01] 得到中间余数r的补码
[0934.01-0936.89] 通过其符号位为0可知
[0936.89-0939.21] 其相应的帧值大于0
[0939.21-0941.99] 因此上商1
[0941.99-0947.42] 将当前的余数r和商q一起左移移位
[0947.42-0950.87] 这是移位后得到的结果
[0950.87-0953.62] 之后减去除数外
[0953.62-0958.15] 实际上是加上外的绝对值的相反数的补码
[0958.15-0961.05] 得到中间余数r3的补码
[0961.05-0963.61] 通过其符号位为0可知
[0963.69-0966.25] 其相应的帧值大于0
[0966.25-0969.45] 因此上商1
[0969.45-0974.38] 将当前的余数r和商q一起左移移位
[0974.38-0977.90] 这是移位后得到的结果
[0977.90-0980.50] 之后减去除数外
[0980.50-0984.92] 实际上是加上外的绝对值的相反数的补码
[0984.92-0987.72] 得到中间余数r4的补码
[0987.72-0990.52] 通过其符号位为1可知
[0990.52-0993.00] 其相应的帧值小于0
[0993.00-0995.85] 因此上商0
[0995.85-1002.63] 接下来需要加上除数外来恢复之前的余数r3左移移位的结果
[1002.63-1006.57] 实际上是加上外的绝对值的补码
[1006.57-1012.31] 之后将当前的余数r和商q一起左移移位
[1012.31-1015.59] 这是移位后得到的结果
[1015.59-1018.38] 之后减去除数外
[1018.38-1022.90] 实际上是加上外的绝对值的相反数的补码
[1022.90-1026.01] 得到最终余数r5的补码
[1026.09-1028.73] 通过其符号位为0可知
[1028.73-1031.21] 其相应的帧值大于0
[1031.21-1034.14] 因此上商1
[1034.14-1035.90] 请同学们注意
[1035.90-1041.54] 由于原码除外运算的符号位与数值部分是分开进行处理的
[1041.54-1045.35] 而我们刚刚完成的是数值部分的运算
[1045.35-1052.64] 而商的符号由倍除数x和除数外各自的符号进行异货运算求得
[1052.64-1055.12] x的原码的符号位为1
[1055.16-1057.68] 外的原码的符号位为0
[1057.68-1059.84] 异货运算的结果为1
[1059.84-1062.05] 表明商为副数
[1062.05-1066.42] 因此可以得出本利的原码除法运算的商
[1066.42-1070.86] 而实际余数还要将运算得到的最终余数r5
[1070.86-1073.90] 在乘以2的副四字方
[1073.90-1076.10] 从本利可以看出
[1076.10-1079.74] 由于运算过程中可能需要恢复余数
[1079.74-1084.26] 并且恢复余数的次数和具体的操作数相关
[1084.26-1088.74] 极端情况下每一部运算都需要恢复余数
[1088.74-1093.74] 因此该方法的最大缺点是运算时间不确定
[1093.74-1097.09] 另外其控制电路也比较复杂
[1097.09-1101.46] 下车课我们将对恢复余数法进行改进
[1101.46-1105.86] 接下来请同学们参照刚刚介绍过的这个例子
[1105.86-1113.02] 完成该练习
[1113.02-1115.62] 相信同学们都能正确完成
[1115.62-1119.88] 我们就不再坠述了
[1119.88-1123.16] 好的 本节课到这里就结束了
[1123.16-1142.64] 请同学们快速回忆一下本节课的主要内容
[1142.64-1145.12] 同学们 我们下节课见
