[0003.54-0008.02] 同学们好,欢迎大家来到我的计算机组成原理维克堂
[0412.74-0413.54] 之后
[0413.54-0417.44] 进行与写命中一样的写入流程
[0417.44-0419.76] 从开始写操作的基本流程图
[0419.76-0421.34] 不难看出
[0421.34-0423.18] 采用写回策略时
[0423.18-0424.94] 将数据写入开始
[0424.94-0426.46] 即可返回
[0426.46-0428.48] 写响应的时间最短
[0428.48-0431.52] 这对于突发的小数据量写入
[0431.52-0434.77] 开始能明显提高写入性能
[0434.77-0436.37] 因为写回策略
[0436.37-0439.01] 仅往高速开始中写入数据
[0439.01-0439.89] 写入后
[0439.89-0443.25] 不再往慢速主存中写入数据
[0443.25-0443.97] 然而
[0443.97-0444.93] 我们知道
[0444.93-0447.17] 开始容量是很小的
[0447.17-0449.33] 当开始写满数据后
[0449.41-0452.21] 需要将开始中的当数据淘汰
[0452.21-0456.05] 这就需要先将当数据迁移到主存中
[0456.05-0458.53] 然后从主存再入新数据块
[0458.53-0460.05] 到开始后
[0460.05-0463.15] 才能向开始写入新数据
[0463.15-0464.99] 该过程的写性能
[0464.99-0469.02] 比没有采用开始的主存还要慢
[0469.02-0469.90] 好的
[0469.90-0472.46] 本节课到这里就结束了
[0472.46-0478.85] 我们将本节课的主要内容小节如下
[0478.85-0479.65] 同学们
[0479.65-0480.85] 我们下节课见
