[0003.41-0007.75] 同学们好,欢迎大家来到我的计算机组成原理,微课堂。
[0213.85-0223.70] 接下来,我们分析背乘数x的符号任义,乘数y的符号为负的情况,根据定点小数补码的定义,
[0223.86-0235.22] 可得y的补码的定义是,魔术为2,由于乘数y的符号为负,因此其补码表示的符号为的取之为1。
[0235.22-0254.46] 通过y的补码的定义是,可写出y的表达是,将该式中y的补码替换成具体形式,将该式中的1.y12一直到yn,拆分成1加0.y12一直到yn,整理可得该式。
[0255.54-0268.38] 基于该式,我们可将x乘以外写成这种形式,将x乘进去,然后对该式两边从时求补,可得如下形式。
[0268.38-0278.38] 根据补码检法公式,可得如下形式。在根据上面的试衣,可得如下形式。
[0279.62-0288.42] 至此,我们就得到了,被乘数x的符号认议,乘数y的符号为负的情况下,补码成法的运算公式。
[0288.42-0298.07] 那么接下来呢,我们要想办法将上面的两个式子,综合成一个式子,即补码一位乘法运算的公式。
[0298.07-0302.41] 仔细观察上面两个式子,不难得出下式。
[0303.08-0315.02] 在该式中,引入了乘数y的符号位外零,当乘数y的符号为正时,则外零等于零,该式就转换成了上面左侧的式子。
[0315.02-0323.51] 当乘数y的符号为负时,则外零等于一,该式就转换成了上面右侧的式子。
[0323.51-0329.61] 从补码一位乘法运算的公式,可以看出,符号位也参与运算。
[0330.31-0337.75] 接下来,我们对该式做一系列转换,以便找出不思算法的硬件逻辑实现方法。
[0337.75-0352.07] 将该式中的零点y1y2yn写成安全展开相加的形式,将该式中的x的补码提出来,写成如下形式,将该式变换成如下形式。
[0352.07-0356.62] 不知同学们是否看出是如何变换的?
[0356.94-0372.84] 我们标记出变换的对应关系,同学们可自行动手验算一下,将该式中所标记的各项的括号去掉,将该式变换成如下形式。
[0372.84-0376.52] 不知同学们是否看出是如何变换的?
[0376.52-0386.71] 我们标记出变换的对应关系,同学们可自行动手验算一下,将x的补码乘进去。
[0386.87-0399.70] 从这部分,提出2的四一次方,再从这部分,提出2的四一次方,以此类推,最终可得出这样的形式。
[0399.70-0403.10] 我们来分析一下该式的特点。
[0403.10-0416.25] 这部分,对应乘数外的补码的这部分,这部分,对应乘数外的补码的这部分,这部分,对应乘数外的补码的这部分。
[0417.27-0429.51] 我们将这个零用外n加1替换,则可在乘数外的补码的最低位号添加一个位,即外n加1,当然了该位为零。
[0429.51-0434.58] 这样我们就可以将该式转换成如下形式。
[0434.58-0447.50] 现在我们就可以看出该式与乘数外的补码的对应关系了,该式实际上就是不思算法得出的补码一位惩罚运算的公式。
[0448.10-0457.74] 接下来,我们还要对该公式做进一步分析,为同学们之后学习不思算法的硬件逻辑实现打好基础。
[0457.74-0475.99] 从该式不能看出,首先要做加法,然后将得到的结果又移移位,得到新的部分基,将得到的新的部分基再做加法,然后将得到的结果又移移位,得到新的部分基。
[0476.15-0491.22] 以此类推,也就是进行N个轮次的加法和又移移位的操作,最后还要做一次加法,才能得到最终的成绩。
[0491.22-0498.90] 接下来,我们对每次做加法时,与部分基相加的那个加数做进一步分析,
[0499.34-0508.22] 不难看出,他们都是乘数外的补码中,后一个位,减前一个位,得到的差,与X的补码的乘积。
[0508.22-0521.72] 为了方便描述,我们将乘数外的补码中,前一个位,记为外爱,后一个位,记为外爱加1,这样,当外加1-外爱等于0时,
[0521.88-0534.63] 每次做加法时,部分基加上的就是0,当外加1-外爱等于1时,每次做加法时,部分基加上的就是X的补码,
[0534.63-0542.50] 当外加1-外爱等于-1时,实际上是部分基减去X的补码。
[0542.50-0551.48] 我们知道,补码的减法运算可以转换成加法运算,这相当于部分基加上-X的补码。
[0552.22-0556.38] 至此,我们完成了不思算法的推导和分析。
[0556.38-0569.34] 请同学们注意,在不思算法中,每轮子中的右翼一位,全部是补码的算数右翼,借一位号空出的高位用符号位的值添补。
[0569.34-0575.26] 那么接下来呢,我们就可以介绍不思算法的硬件逻辑实现了。
[0575.26-0579.94] 这是我们刚刚推导和分析过的不思算法的公式。
[0580.30-0585.58] 我们通过该例子,掩饰说明不思算法的硬件逻辑实现。
[0585.58-0594.41] 首先写出乘数X和备乘数外各自的补码表示,具体方法我们就不再准数了。
[0594.41-0599.53] 这是同学们学习完第二章就应该熟练掌握的基本功。
[0599.53-0608.30] 我们之前刚刚分析过了,在运算过程中,部分基可能加上0,也可能加上X的补码,
[0608.46-0617.54] 还可能加上复X的补码,我们之前已经写出了X的补码,再写出其相反数复X的补码即可。
[0617.54-0623.34] 具体方法就不再准数了,这是同学们应该熟练掌握的基本功。
[0623.34-0628.97] 我们还要在乘数外的补码后面添加一个辅助位,取之为0,
[0628.97-0636.82] 然后将外的补码带入上面的不思算法的公式,得到本利的计算表达式。
[0637.24-0644.79] 该式可进一步写成如下形式,这是对该式的分析,我们就不再坠述了。
[0644.79-0651.03] 因为之前在不思算法的推导和分析时,已经给同学们介绍过了。
[0651.03-0657.61] 接下来,我们就将该式带入如下所示的硬件逻辑框图中执行一遍,
[0657.61-0661.21] 一遍加深同学们对不思算法的理解。
[0661.43-0668.87] 在该图中,算数逻辑单元ALU,累加器ACC,乘商计算器MQ,
[0668.87-0675.51] 操作数计算器X各自的作用,在第一章就已经给同学们介绍过了。
[0675.51-0681.99] 并且在本章之前的无符号数惩罚运算的硬件逻辑实现的那些课中,
[0681.99-0689.27] 我们又再次进行了复习,因此同学们应该并不陌生,我们就不再坠述了。
[0689.53-0694.55] 图中的控制逻辑,用于控制加法和算数逻辑操作,
[0694.55-0700.63] 技术器CN,用于控制执行加法和算数逻辑操作的次数,
[0700.63-0706.84] 需要注意的是,控制逻辑需要在始终结拍下进行相应控制,
[0706.84-0712.36] 为了后续描述方便,我们就不再每次都强调这一点了。
[0712.36-0717.91] 另外,考虑到运算时可能出现绝对值大于一的情况,
[0718.07-0724.15] 但此刻并不是一出,因此存于磊加器ACC的部分机,
[0724.15-0729.27] 和存于操作数计存器X的备程数,取双幅号位。
[0729.27-0735.00] 在本章之前的补码加减法运算的一出检测的那些课中,
[0735.00-0739.40] 我们曾给同学们介绍过双幅号位补码的相关知识,
[0739.40-0745.53] 忘记了的同学可以快速复习一下,由于采用双幅号位,
[0745.77-0749.75] 因此这是小数点隐藏固定的位置,
[0749.75-0754.23] 小数点左侧为双幅号位,右侧为数值位,
[0754.23-0762.52] 相应的我们还需要将本例中X的补码和-X的补码改成双幅号位补码形式。
[0762.52-0770.04] 接下来,我们还需要对图中的一码器、反向器以及选择器的作用进行说明。
[0770.33-0778.25] 在初始阶段,乘数外的补码,包括辅助位,会被送入乘商计存器MQ中。
[0778.25-0784.28] 我们之前分析过,乘数外的补码的后一个位,减去前一个位的结果,
[0784.28-0789.16] 就决定了运算过程中部分机做加法时的加速。
[0789.16-0792.55] 这是我们之前得出的分析结果。
[0792.55-0799.45] 为了方便描述,我们将MQ的第两位分别计为Yi和Yi加1。
[0799.61-0804.33] Yi表示前一个位,Yi加1表示后一个位。
[0804.33-0812.70] 之所以可以这样表示,是因为在运算过程中,每个轮次都会进行一次算数有余操作。
[0812.70-0819.40] 因此,乘数外的补码中的各个位都会一次分别出现在这两个位。
[0819.40-0825.37] 我们之前分析过,当后一个位减前一个位的结果为0,
[0825.53-0833.05] 则部分机加0,也就是Yi和Yi加1都为0,或者都为1的情况。
[0833.05-0842.49] 此时,一码器输出这样的一码结果,其中输出1为有效信号,输出0为无效信号。
[0842.49-0850.06] 选择器的这个选择输入端输到有效信号后,会将从这个数据输入端输入的信号,
[0850.22-0854.30] 也就是全0,从数据输出端输出。
[0854.30-0863.37] 这样,全0就被输入给了算数逻辑单元ALU中的加法器,作为其中一个操作数。
[0863.37-0875.14] 当后一个位减前一个位的结果为1,则部分机加X的补码,也就是Yi等于0,Yi加1等于1的情况。
[0875.69-0885.24] 此时,一码器输出这样的一码结果,其中输出1为有效信号,输出0为无效信号。
[0885.24-0898.76] 选择器的这个选择输入端输到有效信号后,会将从这个数据输入端输入的信号,也就是操作数计存器X中存放的倍程数X的补码,
[0898.92-0911.21] 从数据输出端输出,这样,倍程数X的补码就被输入给了算数逻辑单元ALU中的加法器,作为其中一个操作数。
[0911.21-0924.02] 当后一个位减前一个位的结果为-1,则部分机加-X的补码,也就是Yi等于1,Yi加1等于0的情况。
[0924.38-0933.40] 此时,一码器输出这样的一码结果,其中输出1为有效信号,输出0为无效信号。
[0933.40-0946.73] 选择器的这个选择输入端输到有效信号后,会将从这个数据输入端输入的信号,也就是操作数计存器X中存放的倍程数X的补码,
[0946.89-0965.74] 经过反向器,将全部位按位取反的结果,从数据输出端输出,这样,倍程数X的补码的全部位取反的结果,就被输入给了算数逻辑单元ALU中的加法器,作为其中的一个操作数。
[0965.74-0972.01] 由于一码器输出的有效信号,还会控制ALU做加一的操作。
[0972.25-0981.32] 请同学们想想看,倍程数X的补码的全部位按位取反的结果再加1,得到的结果是什么呢?
[0981.32-0986.30] 没错,就是副X的补码。
[0986.30-0995.82] 这是以致一个数的补码,求该数相反数补码的方法,是同学们在学习完第二章,就应该熟练掌握的知识。
[0996.52-1002.44] 至此,同学们就已经了解了该印价逻辑框图中各部件的作用。
[1002.44-1012.44] 那么接下来呢,我们就将上面这个例子,再入到该印价逻辑框图中执行一遍,一遍加深同学们对不思算法的理解。
[1012.44-1021.67] 在执行过程中,我们同时填写出这样一个表格,一遍记录每执行一步各相关计存器的内容。
[1022.14-1037.85] 在初始阶段,被乘数X的补码会被送入到操作数计存器X中,乘数Y的补码会被送入到乘商计存器MQ中,而磊加器ACC的内容被初始化为0。
[1037.85-1041.93] 我们将初始状态记录到右侧的表格中。
[1041.93-1051.48] 另外,用于控制执行,加法和算数右移操作次数的技术器CN的取直,被初始化为4。
[1051.80-1059.69] 因为乘数Y的补码的数值位有4位,请同学们注意,不包括我们人为添加的辅助位。
[1059.69-1067.16] 由于此时Y加1等于0,Y等于1,异码器输出这样的异码结果。
[1067.16-1081.45] 选择器的这个选择数入端收到有效信号后,会将从这个数据输入端输入的信号,也就是操作数计存器X中存放的被乘数X的补码110111。
[1081.61-1089.13] 经过反向器,将全部为安慰取反的结果00100从数据输出端输出。
[1089.13-1097.53] 这样该结果就被输入给了算数逻辑单元ALU中的加法器,作为其中一个操作数。
[1097.53-1103.56] 由于异码器输出的有效信号,还会控制ALU做加异的操作。
[1103.56-1108.36] 因此,该操作数最终实际上是-X的补码。
[1108.97-1114.25] 加法器的另一个操作数是来自磊家器ACC中的部分机。
[1114.25-1116.63] 这是加法运算的结果。
[1116.63-1123.83] 在控制逻辑的写使能信号EN的控制下,运算结果被写入到ACC中。
[1123.83-1128.20] 我们将上述操作的结果记录到右侧的表格中。
[1128.20-1133.16] 至此,上面这个表达适中的这部分就已经完成了。
[1133.51-1141.67] 之后,控制逻辑会通过右移控制信号,途中用C元中的右移操作符来表示。
[1141.67-1147.94] 控制ACC和MQ中的内容,同时向右移动一位。
[1147.94-1152.74] ACC的高位被移空,由于是补码的算数右移。
[1152.74-1160.14] 因此,填充之前的符号为0,MQ的最低位被移出,丢弃即可。
[1160.30-1164.62] 我们将上述操作的结果记录到右侧的表格中。
[1164.62-1169.24] 至此,上面这个表达适中的这部分就已经完成了。
[1169.24-1174.70] 也就是第一轮次的加法和算数右移操作执行完毕。
[1174.70-1182.44] 基础器CNN的内容被更新为3,表明还剩于3次加法和算数右移操作。
[1182.44-1190.26] 之后,由于此时,Y加1等于1,Yi等于1,一码器输出这样的一码结果。
[1190.42-1201.78] 选择器的这个选择输入端收到有效信号后,会将从这个数据输入端输入的信号,也就是权林,从数据输出端输出。
[1201.78-1210.39] 这样,权林就被输入给了算数逻辑单元ALU中的加法器,作为其中一个操作数。
[1210.39-1216.36] 加法器的另一个操作数是来自磊加器ACC中的部分机。
[1216.82-1226.44] 这是加法运算的结果,在控制逻辑的显示能信号一N的控制下,运算结果被写入到ACC中。
[1226.44-1231.27] 我们将上述操作的结果记录到右侧的表格中。
[1231.27-1236.20] 至此,上面这个表达适中的这部分就已经完成了。
[1236.74-1246.60] 之后,控制逻辑会通过右移控制信号,控制ACC和MQ中的内容,同时向右移动一位。
[1246.60-1251.56] ACC的高位被移空,由于是补码的算数右移。
[1251.56-1258.89] 因此,填充之前的符号未领,MQ的最低位被移出,丢弃即可。
[1258.89-1263.14] 我们将上述操作的结果记录到右侧的表格中。
[1263.61-1268.09] 至此,上面这个表达适中的这部分就已经完成了。
[1268.09-1273.34] 也就是第二轮次的加法和算数右移操作执行完毕。
[1273.34-1280.94] 技术器CNN的内容被更新为2,表明还剩余两次加法和算数右移操作。
[1280.94-1288.90] 之后,由于此时外加1等于1,外加1等于0,一码器输出这样的一码结果。
[1289.21-1296.17] 选择器的这个选择输入端,收到有效信号号,会将从这个数据输入端输入的信号。
[1296.17-1304.09] 也就是操作数据存切X中存放的备成数X的补码,从数据输出端输出。
[1304.09-1315.54] 这样,备成数X的补码110111,就被输入给了算数逻辑单元ALU中的加法器,作为其中一个操作数。
[1316.25-1321.69] 加法器的另一个操作数,是来自磊加器ACC中的部分机。
[1321.69-1331.45] 这是加法运算的结果,在控制逻辑的写使能信号一言的控制下,运算结果被写入到ACC中。
[1331.45-1336.60] 我们将上述操作的结果记录到右侧的表格中。
[1336.60-1341.74] 至此,上面这个表达适中的这部分就已经完成了。
[1342.15-1351.75] 之后,控制逻辑会通过右移控制信号,控制ACC和MQ中的内容,同时向右移动移位。
[1351.75-1357.37] ACC的高位被移空,由于是补码的算数右移。
[1357.37-1365.02] 因此,填充之前的符号位1,MQ的最低位被移出,丢弃即可。
[1365.02-1369.51] 我们将上述操作的结果记录到右侧的表格中。
[1370.57-1375.37] 至此,上面这个表达适中的这部分就已经完成了。
[1375.37-1380.65] 也就是,第三轮次的加法和算数右移操作,执行完毕。
[1380.65-1388.78] 技术器CNN的内容被更新为1,表明还剩余一次加法和算数右移操作。
[1388.78-1396.87] 之后,由于此时外加1等于0,外爱等于0,一码器输出这样的一码结果。
[1396.87-1408.78] 选择器的这个选择输入端,收到有效信号后,会将从这个数据输入端输入的信号,也就是全林,从数据输出端输出。
[1408.78-1417.58] 这样,全林就被输入给了算数逻辑单元ALU中的加法器,作为其中一个操作数。
[1417.58-1423.35] 加法器的另一个操作数,是来自磊家器ACC中的部分机。
[1423.51-1432.60] 这是加法运算的结果,在控制逻辑的写使能信号1n的控制下,运算结果被写入到ACC中。
[1432.60-1437.16] 我们将上述操作的结果记录到右侧的表格中。
[1437.16-1442.57] 至此,上面这个表达适中的这部分就已经完成了。
[1442.57-1452.70] 之后,控制逻辑会通过右移控制信号,控制ACC和MQ中的内容,同时向右移动移位。
[1452.86-1464.63] ACC的高位被移空,由于是补码的算数逻辑,因此,填充之前的符号位1,MQ的最低位被移出。
[1464.63-1470.60] 丢弃即可,我们将上述操作的结果记录到右侧的表格中。
[1470.60-1475.42] 至此,上面这个表达适中的这部分就已经完成了。
[1475.42-1480.70] 也就是,第四轮次的加法和算数逻辑操作,执行完毕。
[1481.14-1484.47] 技术器CNN的内容被更新为0。
[1484.47-1490.55] 在四轮次的加法和算数逻辑操作结束后,还要再做一次加法。
[1490.55-1497.93] 由于此时,挖爱加1等于0,挖爱等于1,一码器输出这样的一码结果。
[1497.93-1505.56] 选择器的这个选择输入端收到有效信号后,会将从这个数据输入端输入的信号。
[1505.72-1512.92] 也就是,操作数计存器X中存放的备证数X的补码110111,
[1512.92-1518.60] 经过反向器将全部为安慰取反的结果001000,
[1518.60-1526.78] 从数据输出端输出,这样该结果就被输入给了算数逻辑单元ALU中的加法器。
[1526.78-1535.37] 作为其中一个操作数,由于一码器输出的有效信号,还会控制ALU做加一的操作。
[1535.53-1540.09] 因此,该操作数最终实际上是副s的补码。
[1540.09-1546.01] 加法器的另一个操作数是来自磊加器ACC中的部分机。
[1546.01-1555.90] 这是加法运算的结果,在控制逻辑的写使能信号1n的控制下,运算结果被写入到ACC中。
[1555.90-1560.06] 我们将上述操作的结果记录到右侧的表格中。
[1560.06-1565.11] 至此,上面这个表达是就全部计算完成了。
[1565.27-1577.03] 请同学们注意,此时MQ中的最低两位分别是乘数外的补码的符号位,以及之前添加的辅助位,需要舍弃。
[1577.03-1584.30] 因此,本例的最终结果是这一部分,也就是单符号位的补码形式。
[1584.30-1590.68] 接下来,请同学们参照上面这个例子完成该练习。
[1595.43-1602.41] 至此,我们可以总结出不思算法的印价逻辑实现中执行过程的流程图了。
[1602.41-1613.05] 在初始阶段,备乘数X的补码被送入操作数计存器X中,乘数外的补码被送入乘商计存器MQ中。
[1613.05-1623.93] 需要说明的是,为了描述方便,我们之前将添加在乘数外的补码最低位后面的辅助位,也算做补码的一部分。
[1624.09-1640.65] 并且将其计为Y加1,初始化的值为0,而将原补码的最低位计为Y,而用于保存加法结果和最终成绩的高位的累加器ACC,其内容被初始化为0。
[1640.65-1652.92] 技术器CN的内容被设置为补码数值位的长度N。若Y,Y加1等于01,则将X的内容加上ACC的内容,
[1653.08-1677.61] 结果再写入ACC。若Y,Y加1等于00或11,则将全0加上ACC的内容,结果再写入ACC。若Y,Y加1等于10,则将X的内容按位取反在末尾加1,然后再加上ACC的内容,结果写入ACC。
[1678.58-1700.97] 若技术器CN的内容等于0,则运算结束,否则将ACC和MQ中的内容同时算数右翼一位。此时已经完成了一轮加法和算数右翼的操作,将CN的内容减1,然后进入下一轮次的加法和算数右翼的操作。
[1701.64-1713.96] 可能有的同学会觉得,我们给出的流程图与之前立体的执行过程不能完全对应。其主要原因是,我们为了给出比较简化的流程图。
[1713.96-1723.38] 同学们可以按照之前立体的执行过程画出相应的流程图,就会发现,比我们给出的这个流程图要复杂。
[1724.06-1736.76] 接下来,请同学们挑战两个408考研真题。首先来看2020年的题43。请同学们暂停播放视频,好好思考一下。
[1736.76-1750.74] 我们一起来分析一下,本题第一问,考察的就是本节课介绍的实现补骂一位惩罚的不思算法。
[1751.06-1760.82] 我们知道,计算机内部采用补骂来表示数值数据,补骂的惩罚运算可以通过加法和算数右翼来实现。
[1760.82-1773.00] 编译器可将补骂的惩罚运算转换为一段循环代码,其内容包含比较加法和算数右翼等指令,进而实现惩罚运算。
[1773.32-1784.31] 这属于软件实现惩罚运算。本题第二问,考察的是本节课介绍的不思算法的应驾逻辑实现中控制逻辑的作用。
[1784.31-1789.69] 控制逻辑是用来控制加法和算数右翼操作的。
[1789.69-1801.53] 再来看第三问,没有惩罚指令的情况,属于软件实现。我们在问题一中已经回答了,需要反复执行很多条指令。
[1801.85-1812.41] 而对于每条指令,都需要经历取指、异码、取术、执行、保存结果这一过程,因此执行时间比较长。
[1812.41-1817.22] 由使用ALU和未遗弃实现的惩罚指令。
[1817.22-1827.29] 对于这种情况,只需要用一条惩罚指令即可实现惩罚运算,但惩罚指令需要多个时钟周期才能完成。
[1827.51-1838.87] 这正是本节课介绍的,在控制逻辑的控制下进行加法和算数右翼操作,而控制逻辑需要按照时钟节拍进行控制。
[1838.87-1842.68] 使用这类惩罚器实现的惩罚指令。
[1842.68-1852.68] 对于这种情况,只需要用一条惩罚指令即可实现惩罚运算,但惩罚指令可在一个时钟周期内完成。
[1852.84-1858.04] 这属于专用硬件实现惩罚运算,我们将在下节课介绍。
[1858.04-1866.09] 情况B属于中用硬件实现惩罚运算,情况A属于软件实现惩罚运算。
[1866.09-1872.46] 再来看第四文,我们将X乘以外的结果写成这种形式。
[1872.46-1880.68] 目的在于,方便我们写出16金字形式,因为题目要求我们给出的就是16金字形式。
[1881.38-1897.37] 这是我们得到的X乘以外的结果的16金字形式,由于该函数的返回之类形式unfined为32位无符号整数,表示范围为0到2的32字方,然后减1。
[1897.37-1905.13] 因此,可以看出X乘以外的结果没有超出表示范围,也就是未一出。
[1905.67-1921.27] 由于这个函数的返回之类形式int为32位有符号整数,在机器内部用补马表示,表示范围为-2的31次方,到2的31次方,然后减1。
[1921.27-1929.59] 因此,可以看出X乘以外的结果超出了表示范围,也就是产生了一出。
[1929.83-1944.92] 另外,对于无符号整数惩罚运算,当仅取成绩的Dn位作为惩罚结果时,则2n位成绩的高n位不为全0时,可判断为产生一出。
[1944.92-1955.34] 再来挑战2010年的题13,请同学们暂停播放视频,务必动手练习一下,然后给出你的答案。
[1958.38-1962.54] 本题的答案是选项B,大家都选对了吗?
[1962.54-1973.91] 我们来一起分析一下,本题的真实考察意图并不是本节课介绍的补马惩罚运算的机器实现,而是补马的表示范围。
[1973.91-1986.38] 如果同学们没有好好审题,从忙下手,将本题当做考察补马惩罚运算的机器实现的相关知识,则会浪费大量时间并很容易出错。
[1986.86-1996.78] 在第二章有关补马的那节课中,我们给出了定点整数的补马定义,在该定义中给出了真值X的取值范围。
[1996.78-2012.84] 其中,n字为真值X的补马表示中,数值位的位数,而本题给定采用8位补马表示,运算结果保存在8位机存器中,因此其宋能表示的真值的范围如下所示。
[2013.72-2036.18] 写成实际这整数形式就是-128-127,我们将R1补马的16进去形式转换成2进去形式,然后通过凡马法或仿苗法写出R1的圆码,这是我们学习完第二章就因熟练掌握的知识就不再坠述了。
[2036.57-2044.97] 通过R1的圆码和写出R1的真值,同理可得R2,R3,R4各自的真值。
[2044.97-2055.83] 我们写出四个选项的真值惩罚的运算结果,很显然,选项b的运算结果超出了表示范围,发生一出。
[2055.83-2066.20] 再次建议同学们熟悉8位补马和16位补马各自所表示的真值的取值范围,以便加快我们的解体速度。
[2066.90-2076.63] 好的,本节课到这里就结束了,需要说明的是,不识算法也适用于定点整数的补马运算。
[2076.63-2086.31] 另外,为了提高惩罚的运算速度,可采用补马两位惩罚,有兴趣的同学可以查阅相关资料。
[2086.31-2089.34] 同学们,我们下节课见!
