[0004.14-0008.46] 同學們好,歡迎大家來到我的計算機組成原理維克堂
[0260.39-0262.79] 此時程序進入器PC的內容
[0262.79-0266.79] 是中斷員SA的中斷服務程序的入口地質
[0266.79-0268.18] 好的
[0268.18-0270.98] 接下來請同學們思考一下
[0271.06-0273.38] 中斷服務程序執行完畢後
[0273.38-0279.67] 如何返回到被中斷的程序呢
[0279.67-0280.63] 答案是
[0280.63-0282.71] 應在中斷服務程序的最後
[0282.71-0285.56] 安排一條中斷返回指令
[0285.56-0287.48] 在密普斯32指令集中
[0287.48-0290.38] 中斷返回指令為eRET
[0290.38-0294.97] 我們將這條指令添加到上面的狀態轉換圖中
[0294.97-0297.29] 添加在該分析的理由是
[0297.29-0299.93] 該指令是無操作數指令
[0299.93-0302.33] 因此沒有計算週期
[0302.33-0303.77] 取指週期結束後
[0303.85-0306.42] 就進入執行週期
[0306.42-0308.82] 該指令所要執行的操作是
[0308.82-0311.86] 將異常指令地址基存器EPC的內容
[0311.86-0313.94] 通過CPU內部單總線
[0313.94-0316.26] 傳送到程序技術器PC
[0316.26-0318.42] 實現返回斷點
[0318.42-0319.30] 同時
[0319.30-0322.34] 將中斷史能為基存器矮易置疑
[0322.34-0324.23] 實現開中斷
[0324.23-0325.91] 另外還需要控制
[0325.91-0327.35] 中斷控制邏輯
[0327.35-0330.39] 清除當前中斷請求信號
[0330.39-0331.83] 上述相關操作
[0331.83-0334.23] 可在一個節拍電位內完成
[0334.23-0337.99] 我們將其安排在執行週期的最後一個節拍電位
[0337.99-0341.53] 也就是狀態轉換圖中的狀態S8
[0341.53-0344.25] 從本地中的這一點也可以看出
[0344.25-0346.49] 傳統三級時序的缺點
[0346.49-0348.89] 那就是時序劃分固定
[0348.89-0351.13] 對於耗時矯少的簡單指令
[0351.13-0354.49] 也只能安排同樣的執行週期
[0354.49-0356.33] 我們基於之前的狀態
[0356.33-0360.14] 開始執行中斷返回指令的相關操作
[0360.14-0363.50] 這是控制器發出的相關控制信號
[0363.58-0368.26] 我們將其標記在圖中如同所示
[0368.26-0370.42] 由於該控制信號有效
[0370.42-0376.46] 因此中斷控制邏輯的相關信號被清除如同所示
[0376.46-0378.54] 由於該控制信號有效
[0378.54-0381.10] 因此矮易被置疑
[0381.10-0384.78] 由於矮易的輸出連接在羽門的其中一個輸入
[0384.78-0387.34] 這相當於將羽門打開
[0387.34-0389.98] 來自中斷控制邏輯的中斷請求
[0389.98-0391.34] 直接通過該羽門
[0391.34-0394.06] 連接到控制器的中斷輸入端
[0394.14-0397.62] 這樣就實現了開中斷操作
[0397.62-0400.58] 另外由於該控制信號有效
[0400.58-0403.94] 因此其所控制的三探門打開
[0403.94-0407.78] 這樣異常指令地址基存器EPC中的內容
[0407.78-0410.50] 也就是之前在中斷小型週期
[0410.50-0413.86] 保存的PC值或者說斷點
[0413.86-0417.91] 通過該三探門到達CPU內部單總線
[0417.91-0422.41] 經過單總線的傳送到達程序技術器PC
[0422.41-0425.13] 由於控制信號PC硬有效
[0425.13-0427.85] 因此斷點被寫入PC
[0427.85-0431.45] 這樣就實現了返回斷點的操作
[0431.45-0434.41] 至此相信同學們已經理解了
[0434.41-0439.29] 對變長指令週期三級時序的有限章態機進行改造
[0439.29-0442.22] 使其支持中斷處理功能
[0442.22-0446.70] 在此基礎上還要寫出狀態轉換表
[0446.70-0450.04] 進而構建時序發生器
[0450.04-0454.60] 最終構建出支持中斷的三級時序硬部線控制器
[0455.48-0456.60] 這些工作呢
[0456.60-0460.84] 我們在之前有關三級時序硬部線控制器的幾次課中
[0460.84-0462.76] 已經給同學們介紹過了
[0462.76-0464.87] 就不再追溯了
[0464.87-0465.83] 好的
[0465.83-0470.31] 在我們完成了針對三級時序硬部線控制器的改造後
[0470.31-0475.03] 請同學們對現代時序硬部線控制器進行改造
[0475.03-0476.68] 如同所示
[0476.68-0481.96] 這是我們之前在本章有關現代時序硬部線控制器的那些課中
[0481.96-0485.14] 給同學們介紹過的狀態轉換圖
[0485.30-0487.70] 請同學們給該狀態轉換圖
[0487.70-0489.30] 添加相應狀態
[0489.30-0491.30] 以支持中斷功能
[0491.30-0492.90] 為了簡單起見
[0492.90-0497.13] 我們引去了每個狀態所需的控制信號
[0497.13-0498.41] 提示一下
[0498.41-0502.89] 現在時序硬部線控制器不再採用多級時序體制
[0502.89-0504.97] 對操作控制信號的定時
[0504.97-0507.29] 直接採用基本時鐘信號
[0507.29-0511.77] 而不再採用基於基本時鐘信號產生的節拍賣充信號
[0511.77-0515.21] 節拍電子信號以及狀態周期信號
[0515.29-0518.41] 給指令集中的每一條指令的執行過程
[0518.41-0521.85] 都按需分配相應數量的時鐘周期
[0521.85-0528.86] 以提高程序執行效率
[0528.86-0531.77] 希望同學們都能正確完成
[0531.77-0533.85] 這兩個新添加的狀態
[0533.85-0536.41] 他們各自對應一個時鐘周期
[0536.41-0538.17] 用於中斷響應
[0538.17-0540.97] 也就是關中斷保存斷點
[0540.97-0543.91] 進入相應的中斷幅程序
[0543.91-0545.75] 這個新添加的狀態
[0545.75-0547.75] 對應一個時鐘周期
[0547.75-0549.59] 用於中斷返回
[0549.67-0551.35] 也就是要返回斷點
[0551.35-0552.86] 開中斷
[0552.86-0553.98] 可以發現
[0553.98-0557.34] 中斷返回指令這種耗時矯短的簡單指令
[0557.34-0559.34] 只需要一個時鐘周期
[0559.34-0563.42] 才用現代時序和按需分配一個時鐘周期
[0563.42-0567.50] 而傳統三級時序由於時序劃分固定
[0567.50-0569.90] 不得不分配三個節拍電位
[0569.90-0573.30] 相當於分配三個時鐘周期
[0573.30-0574.18] 至此
[0574.18-0575.46] 我們就得到了
[0575.46-0580.06] 改造後的現代時序應不限控制器的狀態轉換圖
[0580.14-0581.42] 在此基礎上
[0581.42-0584.22] 還要寫出狀態轉換表
[0584.22-0585.66] 進而構建出
[0585.66-0590.06] 支持中斷功能的現代時序應不限控制器
[0590.06-0591.18] 這些工作呢
[0591.18-0595.02] 我們在之前有關現代時序應不限控制器的課中
[0595.02-0596.94] 已經給同學們介紹過了
[0596.94-0599.05] 就不再追數了
[0599.05-0599.85] 好的
[0599.85-0602.41] 本節課到這裡就結束了
[0602.41-0604.73] 請同學們快速回憶一下
[0604.73-0618.58] 本節課的主要內容
[0618.58-0619.46] 同學們
[0619.46-0620.98] 我們下節課見
