[0003.28-0007.68] 同学们好,欢迎大家来到我的计算机组成原理维克堂。
[0425.89-0431.89] 途中的这个地址为虚拟地址,而这个地址为主存物理地址。
[0431.89-0438.89] 我们知道,物理地址中的业内地址部分与虚拟地址中的业内地址部分是相同的。
[0438.89-0443.89] 由于题目给定虚拟地址中的业内地址部分为十二位,
[0443.89-0447.89] 因此物理地址中的业内地址部分也为十二位。
[0447.89-0453.89] 通过TLB内各业了项中,十业号自断的直达十六经济形式可以看出,
[0453.89-0458.89] 物理地址中的十业号部分由十六个二经济位构成。
[0458.89-0463.89] 需要说明的是,十业号也称为物理业号或业宽号。
[0463.89-0467.89] 在各几个类考试中,这些名称都有可能出现。
[0467.89-0472.89] 这次我们就得出了本题中物理地址为二十八位。
[0472.89-0475.89] 我们将答案标记在问题旁边。
[0475.89-0478.89] 从图中的这部分不能看出,
[0478.89-0487.05] 由虚拟地址中的虚拟号部分与TLB内的所有业表项中的标记太个进行并发比较。
[0487.05-0490.05] 这种方式是全箱连印设方式的特点。
[0490.05-0493.05] 我们将答案标记在问题旁边。
[0493.05-0501.24] TLB是专门用于缓存业表项的开始,因此采用SRAM而不采用DRAM。
[0501.24-0505.37] 从图中开始部分的逻辑示意图可以看出,
[0505.37-0511.37] 这是将物理地址按照开始所采用的印设方式进行了划分。
[0511.37-0518.37] 我们知道,若为全箱连印设方式,物理地址会被划分为两部分,
[0518.37-0524.37] 而直接印设方式和组箱连印设方式都将物理地址划分为标记太个,
[0524.37-0529.37] 所引Index,以及Quarnity Tianyi Offset三部分。
[0529.37-0535.50] 那么,本题中的开始采用的是直接印设方式,还是组箱连印设方式呢?
[0535.50-0544.07] 不难看出,通过物理地址中的所引Index可以所引到两个开场,
[0544.07-0551.07] 因此,两个开场就构成了一个开始组,而物理地址中的所引Index,
[0551.07-0559.07] 实际上就是组箱连印设方式下的开始组锁印,而不是直接印设方式下的开始行锁印。
[0559.07-0565.10] 由于每个组包含有两个开场,因此为二路组箱连,
[0565.10-0569.16] 根据提议可知,这是每个开场的构成。
[0570.16-0576.16] 其中,有效位为一位,用于指明该开场中的数据是否有效。
[0576.16-0580.16] 标记太个,其位数是题目给定的二十,
[0580.16-0587.16] 题目给定采用LRU替换算法,因此,开场中还包含有LRU位,
[0587.16-0592.16] 由于采用的是二路组箱连,因此,LRU位的位数为,
[0593.16-0601.20] 烙个以二为底,二的对数等于一,题目给定采用回写策略,
[0601.20-0606.20] 因此,开场中还包含有Zangze,其位数为一,
[0606.20-0614.42] 题目给定物理地址中的块内偏移Offset为五位,按字节编织,因此可知,
[0614.42-0619.42] 每个开场中的数据块互能缓冲区的大小为二的五次方的字节,
[0620.42-0626.86] 这样就可以得出一个开场的容量,计算如下,
[0626.86-0632.86] 进而可以得出开市的总容量,用一个开场的容量乘以二,
[0632.86-0637.86] 因为我们之前已经分析出了,本题中开始为二路组箱连,
[0637.86-0641.86] 也就是每个开市组中包含有两个开场,
[0641.86-0645.86] 这样我们就得到了一个开市组的容量,
[0645.86-0651.96] 在乘以开市组的数量二的三次方即可得到开市的总容量,
[0651.96-0657.08] 开市组的数量为二的三次方,这是因为在物理地址中,
[0657.08-0662.08] 开市组所引占了三位,因此可有二的三次方的组合,
[0662.08-0669.31] 用于所引到八个不同的开市组,这是最终计算出来的开市总容量,
[0669.31-0674.63] 再来解答本题第四份,将题目给定的这个虚拟地址,
[0674.63-0681.33] 带入图中,这是二十位虚拟号,这是十二位业内地址,
[0681.33-0687.62] 将虚拟号与TLB内所有业表项中的泰克字段的值进行并发比较,
[0687.62-0692.62] 可以发现虚拟号与该业表项的泰克字段的值相同,
[0692.62-0698.62] 并且该业表项的有效位的值为一,因此TLB命中,
[0698.62-0703.62] 该业表项中的虚拟号就是物理地址中的虚拟号,
[0703.62-0709.62] 我们知道物理地址的业内地址部分与虚拟地址的业内地址部分是相同的,
[0709.62-0714.62] 这样就得出了题目给定虚拟地址所对应的物理地址,
[0714.62-0718.84] 我们将答案标记在问题旁边。
[0718.84-0724.84] 接下来,我们来看通过该物理地址在开市中进行快速查找的过程,
[0724.84-0728.88] 需要说明的是,物理地址中标记泰克的值,
[0728.88-0734.88] 采用十六经济表示,以减少显示长路,而开始组组引Index的值,
[0734.88-0739.88] 和块内偏移Outside的值,采用的是二经济形式。
[0739.88-0743.94] 按照物理地址中开始组组引Index的值,
[0743.94-0748.94] 所引到相应的开市组,将物理地址中标记泰克的值,
[0748.94-0754.94] 与该开市组内两个开场中标记泰克的值进行并发底下。
[0754.94-0757.97] 这是左侧开场中标记泰克的值,
[0757.97-0764.97] 比较结果为相同,我们用一来表示,作为与运算的其中一个输入。
[0764.97-0770.10] 这是该开场中有下位的值,作为与运算的另一个输入。
[0770.10-0776.29] 与运算的结果为零,这实际上表示的是左侧开场未被命中,
[0776.29-0782.42] 这是右侧开场中标记泰克的值,比较结果为不相同,
[0782.42-0786.42] 我们用零来表示,作为与运算的其中一个输入。
[0786.42-0791.58] 这是该开场中有下位的值,作为与运算的另一个输入。
[0791.58-0797.71] 与运算的结果为零,这实际上表示的是右侧开场未被命中,
[0797.71-0802.93] 多路选择切,根据两个选择输出控制端输入的都是零,
[0802.93-0806.93] 因此不会将任何数据输入端的数据进行输出,
[0806.93-0814.93] 结果就是不会输出该组内两个开场中任何一个的数据块数本缓冲区的内容。
[0815.93-0820.93] 综上所述,开始未命中,我们将答案标记在问题旁边。
[0820.93-0827.28] 第四问中的另一个虚拟地址的相关问题,请同学们自行分析,
[0827.28-0834.61] 相信大家都能正确完成,我们就不再赘述了。
[0834.61-0840.61] 至此,本题的四个小问全部解答完毕,需要说明的是,
[0840.61-0846.61] 在题目所给的这幅图中,这部分可能会给同学们造成困扰,
[0846.61-0852.61] 因为我们之前并没有给同学们介绍过二级业表的相关知识。
[0852.61-0858.61] 我们给同学们介绍的是一级业表,业表是常驻于主存中的,
[0858.61-0864.61] 通过设置业表机制计存器的值,可以切换到相应进程的业表。
[0864.61-0869.61] 因此,如果业表过大,就会占用太多的主存空间,
[0869.61-0875.74] 解决业表过大的方法有很多,可以采用限制大小的一级业表。
[0875.74-0881.74] 二级业表或多级业表方式,也可以采用哈士方式的导致业表等方法。
[0881.74-0885.80] 这部分内容已超出本课程的教学大纲。
[0885.80-0891.80] 有兴趣的同学可以自行查阅相关资料,我们就不深入介绍了。
[0891.80-0897.00] 从题目所给的这幅图中可以看出,在TLV缺失的情况下,
[0897.00-0905.00] 才会在主存中通过业目录来查找业表,然后从业表中获取相应的业表相。
[0905.00-0909.00] 而本题并未出现TLV缺失的情况。
[0909.00-0914.00] 因此,尽管同学们没有学习过二级业表的相关知识,
[0914.00-0917.00] 但这也不影响同学们解答该题。
[0917.00-0923.57] 再来看2021年的题44,请同学们暂停播放视频,
[0923.57-0934.24] 务必认真审题,然后我们来一起分析,我们来一起分析。
[0934.24-0939.24] 根据题目给定的相关影质量进行分析,并得出以下结果。
[0939.24-0944.24] 这种练习,我们在之前的几次课中,已经进行了多次。
[0944.24-0948.24] 在本节课的第一个408整体中,也进行过练习。
[0948.24-0952.24] 相信同学们已经非常熟练了,就不再追数了。
[0952.24-0955.24] 至此,本题第一问解答完毕。
[0955.24-0959.24] 这是第一问得到的虚拟地址的组成细节。
[0959.24-0963.27] 题目给定,TLV才有二路组相连方式。
[0963.27-0971.27] 因此,虚拟地址中的虚拟号被划分成TLV标记和TLV组锁印两部分。
[0971.27-0977.27] 题目给定,TLV内包含有八个组,也就是二的三次方个页表相组。
[0977.27-0985.27] 因此,虚拟地址中的TLV组锁印部分占三类,则剩于15位为TLV标记,
[0985.27-0988.30] 而页内地址部分保持不变。
[0988.30-0991.30] 至此,本题第二问解答完毕。
[0991.30-0996.33] 接下来,我们来分析第四问,因为它与第二问相关,
[0996.33-1000.43] 由于题目给定的以下条件都未改变。
[1000.43-1008.43] 因此,题目要求将虚拟地址增加两位,我们只能将这两位增加到TLV标记部分。
[1008.43-1016.43] 由于TLV页表相综包含有TLV标记字段,而TLV页表相综其他字段的长度不变。
[1016.43-1020.43] 由于TLV页表相综上所说,TLV页表相的位数增加两位。
[1020.43-1024.56] 至此,本题第四问解答完毕。
[1024.56-1028.56] 接下来,我们来分析第三问,如图所示,
[1028.56-1032.56] 这是采用二度组相连方式,包含有八个页表相组,
[1032.56-1037.56] 每个组包含有两个页表相的TLV,如图所示,
[1037.56-1043.59] 这是包含有题目给定虚拟页的主存,按照题目给定的访问次序,
[1043.59-1049.59] 再访问编号为十的虚拟页,题目给定,TLV出使时为空。
[1049.59-1056.59] 因此,在TLV中快速查找虚拟页时的相应页表相时,TLV缺失。
[1056.59-1062.59] 本次访问会从常驻于主存中的页表中获取相应的页表相,
[1062.59-1069.59] 并将该页表相再入到TLV内的组二中的任何一个空前页表相。
[1069.59-1074.59] 由虚拟页的编号十,摩上TLV中页表相组的数量八,
[1074.59-1081.59] 就可以得到该虚拟页的相应页表相所对应的TLV中页表相组的编号。
[1081.59-1084.65] 这是由组相连应设规则决定的,
[1084.65-1090.65] 也就是主存中的页表相到TLV中的页表相组采用的是直接应设,
[1090.65-1096.00] 而应设到组内的哪个页表相采用全相连应设。
[1096.00-1103.00] 我们记录一下,TLV中该页表相记录的是主存中哪个虚拟页的信息。
[1103.00-1109.10] 接下来,请同学们参照上述方法,自行完成这部分访问序列。
[1109.10-1113.10] 请同学们暂停播放视频,务必动手练习一下,
[1113.10-1123.32] 相信同学们都能正确完成,我们就不再追数了。
[1123.32-1132.24] 接下来,访问虚拟页十二。
[1132.24-1137.27] 在TLV中,快速查找虚拟页十二的相应页表相。
[1137.27-1145.27] TLV命中,之后进行地址转换,并从主存访问虚拟页十二的过程就不再追数了。
[1145.27-1148.33] 接下来,访问虚拟页二十。
[1148.33-1153.43] 在TLV中,快速查找虚拟页二十的相应页表相。
[1153.43-1161.43] TLV确实,需要从主存再入相应页表相到主四中,而此时主四已满。
[1161.43-1166.49] 题目给定,TLV采用LRU替换策略。
[1166.49-1172.49] 根据LRN算法,也就是近期最少用算法,页面四被换出,
[1172.49-1179.78] 因为页面十二上一次刚被命中,致死本大题解答完毕。
[1179.78-1182.78] 我们将第三个答案标记在问题旁边。
[1182.78-1188.00] 最后,提醒同学们注意,从主存再入TLV中的是,
[1188.00-1194.00] 用于记录虚拟页相关信息的页表相,而不是虚拟页本身。
[1194.00-1197.07] 好的,本节课到这里就结束了。
[1197.07-1200.07] 同学们,我们下节课见。
