[0005.81-0010.05] 同学们好,欢迎大家来到我的计算机组成原理维克堂
[0358.29-0361.30] P0位应该质疑
[0361.30-0365.84] 相应的V指令的下指字段无效
[0365.84-0368.00] 上述有关判别测试字段中
[0368.00-0369.84] P0位的相关知识点
[0369.84-0371.60] 我们在之前有关
[0371.60-0374.48] 下一个V地址形成方法的那些课中
[0374.48-0376.24] 曾给同学们介绍过
[0376.24-0377.92] 忘记了的同学
[0377.92-0379.84] 请暂停播放视频
[0379.84-0385.84] 快速回忆一下
[0385.84-0386.72] 接下来
[0386.72-0390.45] 我们来一起设计LW指令的V程序
[0390.45-0393.25] 该指令包含计算操作数有效地址
[0393.25-0396.08] 和执行指令两个过程
[0396.08-0398.16] 计算操作数有效地址的过程
[0398.16-0402.10] 包含S4到S5两个状态
[0402.10-0406.26] 执行指令过程包含S6到S8三个状态
[0406.26-0408.02] 一共五个状态
[0408.02-0410.70] 各自对应一条V指令
[0410.70-0412.94] 最后一条V指令执行完毕号
[0412.94-0414.94] 进入S0状态
[0414.94-0416.46] 其相应的V指令
[0416.46-0420.74] 为公共的取指令V程序的第一条V指令
[0420.74-0422.34] 这是五条V指令
[0422.34-0427.07] 各自在控制存储其中的地址
[0427.07-0430.35] 我们按照之前设计取指令V程序的方法
[0430.35-0435.44] 就可以设计出LW指令的V程序
[0435.44-0438.48] 其最后一条V指令的下指字段的内容
[0438.48-0440.24] 就是之前设计的
[0440.32-0443.28] 公共的取指令V程序的入口地址
[0443.28-0448.59] 也就是取指令V程序中的第一条V指令的地址
[0448.59-0449.47] 接下来
[0449.47-0453.12] 我们来一起设计SW指令的V程序
[0453.12-0455.84] 该指令包含计算操作数有效地址
[0455.84-0458.48] 和执行指令两个过程
[0458.48-0460.48] 计算操作数有效地址的过程
[0460.48-0464.43] 包含S9到S10两个状态
[0464.43-0469.07] 执行指令过程包含S11到S13三个状态
[0469.07-0470.75] 一共五个状态
[0470.83-0473.09] 各自对应一条V指令
[0473.09-0475.25] 最后一条V指令执行完毕号
[0475.25-0477.25] 进入S0状态
[0477.25-0478.77] 其相应的V指令
[0478.77-0482.90] 为公共的取指令V程序的第一条V指令
[0482.90-0486.66] 我们按照之前设计LW指令的V程序的方法
[0486.66-0490.58] 就可以设计出SW指令的V程序
[0490.58-0492.90] 相信同学们都能正确完成
[0492.90-0496.40] 我们就不再赘述了
[0496.40-0497.20] 接下来
[0497.20-0500.69] 我们来一起设计BQ指令的V程序
[0500.77-0503.41] 该指令的计算操作数有效地址的过程
[0503.41-0507.57] 包含S14到S15两个状态
[0507.57-0510.37] 计算操作数有效地址的过程结束后
[0510.37-0515.33] 若承续状态字的计存器PSW的VF标志位为1
[0515.33-0517.73] 则进入执行指令过程
[0517.73-0522.22] 包含S16到S18三个状态
[0522.22-0526.46] 若承续状态字的计存器PSW的VF标志位为0
[0526.46-0528.80] 则进入S0状态
[0528.80-0530.32] 其相应的V指令
[0530.32-0534.50] 为公共的取决定V程序的第一条V指令
[0534.50-0535.70] 综上所说
[0535.70-0539.44] 可以设计出BQ指令的V程序
[0539.44-0542.88] 在计算操作数有效地址的过程的第二个状态
[0542.88-0545.36] 也就是状态S15
[0545.36-0547.52] 其所对应的V指令中
[0547.52-0551.71] 判别测试字段中的PE测试位应置为1
[0551.71-0552.83] 用来指明
[0552.83-0554.99] 这条V指令执行完毕后
[0554.99-0559.97] 需要检查承续状态字的计存器PSW的VF标志位
[0559.97-0561.01] 若为0
[0561.01-0564.11] 则这条V指令的下指字段有效
[0564.11-0567.71] 按下指字段的内容取出下一条V指令
[0567.71-0572.10] 也就是公共的取决定V程序的第一条V指令
[0572.10-0573.38] 若为1
[0573.38-0577.70] 则应将PE测试位对应的V程序内的分支目标地址
[0577.70-0580.50] 送入V地址计存器
[0580.50-0581.30] 接下来
[0581.30-0585.17] 我们来一起设计ADDI指令的V程序
[0585.17-0588.21] 该指令仅包含执行指令过程
[0588.21-0591.73] 执行指令过程包含S19到S21
[0591.73-0593.09] 三个状态
[0593.09-0595.23] 各自对应一条V指令
[0595.23-0597.31] 最后一条V指令执行完毕后
[0597.31-0599.31] 进入S0状态
[0599.31-0600.83] 及相应的V指令
[0600.83-0604.94] 为公共的取指令V程序的第一条V指令
[0604.94-0608.38] 这是设计好的ADDI指令的V程序
[0608.38-0610.86] 相信同学们都能正确完成
[0610.86-0614.42] 我们就不再坠述了
[0614.42-0615.22] 接下来
[0615.22-0618.78] 我们来一起设计ADDI指令的V程序
[0618.78-0621.74] 该指令仅包含执行指令过程
[0621.74-0626.70] 执行指令过程包含S22到S24三个状态
[0626.70-0629.15] 各自对应一条V指令
[0629.15-0631.39] 最后一条V指令执行完毕后
[0631.39-0633.31] 进入S0状态
[0633.31-0634.91] 及相应的V指令
[0634.91-0639.41] 为公共的取指令V程序的第一条V指令
[0639.41-0642.93] 这是设计好的ADDI指令的V程序
[0642.93-0645.25] 相信同学们都能正确完成
[0645.25-0648.69] 我们就不再坠述了
[0648.69-0650.85] 请同学们思考一下
[0650.85-0653.01] 如果采用的是技术技法
[0653.09-0659.73] 又如何进行V程序设计呢
[0659.73-0660.45] 首先
[0660.45-0662.05] 我们需要采用上阶课
[0662.05-0663.25] 我们设计好的
[0663.25-0666.13] 采用技术技法的V指令格式
[0666.13-0668.69] 也就是不包含下指自断
[0668.69-0669.49] 另外
[0669.49-0671.09] 在判别测试自断中
[0671.09-0673.84] 添加一个判别测试位Pn
[0673.84-0675.68] 当该位为一时
[0675.68-0677.28] 表示当前V指令
[0677.28-0679.98] 是V程序的最后一条V指令
[0679.98-0680.78] 下一条
[0680.78-0684.13] 应进入公共的取指令的V程序
[0684.13-0686.13] 之后就可以设计出
[0686.13-0691.57] 公共的取指令的V程序了
[0691.57-0697.14] 这是LW指令的V程序
[0697.14-0699.38] 这是BETU指令的V程序
[0699.38-0703.10] SW指令
[0703.10-0704.22] ADDI指令
[0704.22-0705.34] ADD指令
[0705.34-0707.02] 各自的V程序设计
[0707.02-0708.78] 就不再坠述了
[0708.78-0711.95] 相信同学们都能正确完成
[0711.95-0712.67] 好的
[0712.67-0715.07] 本节课到这里就结束了
[0715.07-0717.39] 请同学们快速回忆一下
[0717.39-0746.06] 本节课的主要内容
[0746.06-0746.94] 同学们
[0746.94-0748.46] 我们下节课见
