[0003.18-0007.52] 同学们好,欢迎大家来到我的计算机组成原理微课堂。
[0384.85-0392.35] 一块固态硬盘往往包含有多片耐性闪存,属于指读存主器ROM。
[0392.35-0403.66] 上述半导体存主器都属于随机存取存主器,而属于指读存主器ROM的一方P-ROM和闪存,属于非意识性存主器。
[0403.82-0418.27] 锻炼后所保存的信息不会丢失,静态随机存取存主器S软和同步动态随机存取存主器SD软属于意识性存主器,锻炼则无法保存信息。
[0418.27-0428.08] 我们对PC中的这些半导体存主器的作用做进一步说明,固态硬盘SSD属于辅存,也称为外存。
[0428.32-0446.83] 用于存放操作系统应用呈现,用户数据属于主存或者内存的指读存主器ROM,是用于存储计算机启动时所执行的固价,例如BIOS或UEFI的存储器。
[0446.83-0458.54] 目前主流为闪存,启动固价负责初始化硬价、硬价检测,然后加载操作系统到主存中的随机存取存主器RAM。
[0458.86-0464.46] 以便CPU可以执行操作系统的代码,从而开始操作系统的运行。
[0464.72-0480.08] 属于主存的随机存取存主器RAM,是用于存储CPU执行的指令和用户数据的存主器,例如DDR4SDRAM是同步动态随机存取存主器,需要动态刷新。
[0480.72-0489.10] 主存中的ROM和RAM是同一编织的,我们知道CPU的任务是取指、异码和执行指定。
[0489.10-0500.58] CPU内部的高速缓冲存主器开始,采用的是静态随机存取存主器SRAM,因为SRAM不需要动态刷新,因此速度很快。
[0500.58-0508.74] 作为CPU与主存之间的高速缓存,以减少CPU访问主存的次数,提高数据处理速度。
[0509.04-0522.56] 另外,请同学们注意,主存中的RAM和CPU内的CASH都是意识性的,而主存中的ROM和属于辅存的固态硬盘SSD都是非意识性的。
[0522.56-0529.30] 接下来,请同学们趁热打铁,挑战几个408考研,避免侦铁。
[0529.30-0535.68] 请同学们暂停播放视频,思考一下,然后给出你的答案。
[0540.83-0545.15] 相信同学们都能正确完成,我们就不再坠述了。
[0545.15-0549.98] 请再挑战两个408考研,避免侦铁。
[0549.98-0556.14] 请同学们暂停播放视频,思考一下,然后给出你的答案。
[0556.14-0565.02] 相信同学们都能正确完成,我们就不再坠述了。
[0565.02-0568.50] 好的,本节课到这里就结束了。
[0568.50-0573.14] 请同学们快速回忆一下本节课的主要内容。
[0573.14-0581.71] 同学们,我们下节课见。
