[0003.92-0007.68] 同学们好,欢迎大家来到我的计算机组成员里,威克唐。
[0953.09-0960.09] 好的,接下来,请同学们挑战几道与本节课内容相关的408考研例年真题。
[0960.09-0963.09] 首先挑战2013年的题22。
[0963.09-0972.57] 请同学们暂停播放视频,思考一下,然后给出你的答案。
[0972.57-0977.57] 本题的答案是选项地,大家都选对了吗?我们来一起分析一下。
[0977.57-0984.57] 这是我们之前请同学们自行浏览的IO控制的中断驱动方式与DMA方式的对比。
[0984.57-0991.57] 如果同学们认真对待并理解了,就可轻易判断出,本题的选项ABC的叙述都是正确的。
[0991.57-0998.57] 而本题选项地中断IO方式适用于所有外部设备的叙述是错误的。
[0998.57-1006.57] 因为对于硬盘、网卡等高速设备,若要采用中断IO方式,则频繁中断会导致CPU大量时间被占用。
[1006.57-1014.57] 具体来说就是,进程调度的两次上下文切换时间,以及中断服务程序本身的开销,效率极低。
[1014.57-1017.57] 综上所述,本题的答案是选项地。
[1017.57-1026.79] 好的,再来挑战2019年的题22,请同学们暂停播放视频,思考一下,然后给出你的答案。
[1026.79-1036.21] 本题的答案是选项地,大家都选对了吗?我们来一起分析一下。
[1036.21-1047.21] 这是我们本节课给同学们介绍的DMA独操作流程,可以看到,DMA传送前,CPU首先执行设备驱动程序进行DMA初始化,
[1047.21-1058.21] 也就是将DMA参数,包括主存地址、数据块长度、传输方向等,通过系统总线以及DMA控制器的IO接口,传送给DMA控制器。
[1058.21-1062.21] 数据传送前,由DMA控制器请求总线使用权。
[1062.21-1066.21] 数据传送由DMA控制器直接控制总线完成。
[1066.21-1070.21] DMA传送结束后的处理由中段服务程序完成。
[1070.21-1073.21] 综上所说,本题的答案是选项地。
[1073.21-1082.43] 好的,再来挑战2020年的题22,请同学们暂停播放视频,思考一下,然后给出你的答案。
[1082.43-1092.69] 本题的答案是选项C,大家都选对了吗?我们来一起分析一下。
[1092.69-1098.69] 本题考察解决DMA控制器与CPU征用主存所采用的周期挪用方式。
[1098.69-1109.69] 通过本题课的学习,我们知道,对于周期挪用方式,仅在DMA控制器传送数据的那个具体时刻,挪用一个存储周期来传送一个数据。
[1109.69-1115.69] 之后,交还总线控制权给CPU,而不是长时间独占总线。
[1115.69-1125.69] 若CPU在DMA控制器挪用的周期内,也要访问主存,也就是发生仿存冲突,则DMA控制器优先进行仿存。
[1125.69-1130.69] 因此,本题选项C的叙述错误,而选项B的叙述正确。
[1130.69-1136.33] 这是我们本节课给同学们介绍的DMA独操作流程。
[1136.33-1150.54] 对于本题,IOS设备没准备好32位数据,DMA控制器就发出一次总线请求,如同所示。
[1150.54-1160.54] 每次32位数据传输结束号,DMA控制器都会修改主存地址技术和传输技术,以便进行下一次32位数据传输。
[1160.54-1170.54] 重复上述过程,直到512字节的数据块传送结束,之后,DMA控制器会向CPU发起DMA传送结束中断请求。
[1170.54-1175.53] 因此,本题选项A和D的叙述正确。
[1175.53-1179.04] 综上所述,本题的答案是选项C。
[1179.04-1182.55] 好的,本节课到这里就结束了。
[1182.55-1186.55] 请同学们快速回忆一下本节课的主要内容。
[1186.55-1217.65] 同学们,我们下节课见!
