[0004.02-0007.92] 同學們好,歡迎大家來到我的計算機組成員裡威克堂
[0172.74-0178.14] 之後就會發現,該圖所示的原理並沒有同學們想的那麼複雜難學
[0178.14-0180.34] 好的,我們來一起分析
[0180.34-0183.74] 在單週期處理器的專用數據通路設計中
[0183.74-0188.94] 必須確保指令的取出和執行能在同一個十週期內完成
[0188.94-0192.94] 因此,所有數據通路資源都應當是專用的
[0192.94-0196.17] 不允許在同一十週期內重複使用
[0196.17-0199.97] 對於需要多次使用的資源,例如加法器
[0199.97-0202.77] 必須設置多個,如同所示
[0202.77-0210.73] 由於取舉令和取操作數,都需要訪問存儲器
[0210.73-0217.73] 為避免資源衝突,應當分別採用獨立的指令存儲器和數據存儲器如同所示
[0217.73-0226.26] 對於由單週期密子處理器專用數據通路改造成的流水線架構
[0226.26-0230.46] 可與單週期處理器使用相同的操作控制信號
[0230.46-0233.46] 附用單週期處理器中的操作控制器
[0233.46-0236.26] 在該圖中都用藍色表示
[0236.72-0242.92] 在指令流水線中,通過各功能段之間的流水基存器傳遞以下內容
[0242.92-0247.92] 一個是當前指令,另一個是當前階段待加工的數據
[0247.92-0253.14] 還有一個是後續功能段數據加工所需的操作控制信號
[0253.14-0259.34] 由於指令流水線中的一碼功能段,負責指令一碼並生成相應的操作控制信號
[0259.34-0263.14] 因此,操作控制器應該設置在一碼功能段中
[0263.34-0269.34] 請同胸注意,操作控制器用於控制數據通路,但不屬於數據通路
[0269.34-0275.47] 每條指令的所有控制信號在一碼功能段由操作控制器一次產生
[0275.47-0277.47] 然後逐功能段使用
[0277.47-0281.47] 每個操作控制信號只在某一功能段內使用一次
[0281.47-0285.47] 使用完畢後,就不再向後續功能段繼續傳遞
[0285.47-0289.47] 例如,這個控制信號在一碼功能段使用
[0289.67-0296.67] 因此,就沒有通過一碼功能段與執行功能段之間的流水基層器傳遞到執行功能段
[0296.67-0300.96] 而其他控制信號都傳遞到了執行功能段
[0300.96-0306.96] 在傳遞到執行功能段的控制信號中,這三個控制信號在執行功能段使用
[0306.96-0313.96] 因此,就沒有通過執行功能段與仿存功能段之間的流水基層器傳遞到仿存功能段
[0313.96-0317.96] 而其他三個控制信號都傳遞到了仿存功能段
[0318.68-0324.28] 在傳遞到仿存功能段的控制信號中,這個控制信號在仿存功能段使用
[0324.28-0331.88] 因此,就沒有通過仿存功能段與血回功能段之間的流水基層器傳遞到血回功能段
[0331.88-0335.68] 而其他兩個控制信號都傳遞到了血回功能段
[0335.68-0341.84] 在傳遞到血回功能段的控制信號中,該控制信號在血回功能段使用
[0341.84-0347.64] 而該控制信號會反饋到一碼功能段中的基層器組的血入控制端
[0348.16-0354.52] 另外,傳遞到執行功能段的該控制信號,與ALU的運算標誌信號
[0354.52-0359.72] 進行邏輯與操作,得到分支跳轉控制信號後
[0359.72-0364.32] 反饋到取指功能段使用,以便進行分支處理
[0364.32-0369.36] 我們將上述所有控制信號,總結到下表中
[0369.36-0374.16] 請同學們將其拍照,以便後續分析過程中隨時查閱
[0374.16-0381.83] 下表給出的是,5條典型的密子32指令,各自所需的功能段
[0382.03-0385.63] 可以看到,LW指令需要5個功能段
[0385.63-0388.83] 而SW指令不需要血回功能段
[0388.83-0393.23] BQ指令不需要仿存功能段和血回功能段
[0393.23-0397.76] ADD指令和ADDI指令都不需要仿存功能段
[0397.76-0402.36] 請同學們注意,儘管某些指令不需要某些功能段
[0402.36-0406.16] 但也要在這些功能段中等待一個時辰週期
[0406.16-0408.56] 這是因為流水線的特殊結構
[0408.76-0412.96] 需要所有指令都完整經過流水線的各功能段
[0412.96-0418.76] 因此,每一條指令的執行時間都是5個功能段時間延遲的總和
[0418.76-0425.47] 接下來,我們就以這5條指令順序進入上讀所示的流水線架構為例
[0425.47-0428.67] 分析指令在流水線中的執行過程
[0428.67-0435.18] 如讀所示,LW指令在始終節拍的控制下進入取指功能段
[0435.38-0441.58] 也就是通過程序技術器PC給指令存儲器提供LW指令的存儲地址
[0441.58-0444.98] 進而從指令存儲器中取出LW指令
[0444.98-0450.38] 並送到取指功能段與一碼功能段之間的流水技存器的輸入端
[0450.38-0454.88] 另外,PC的指會送到取指功能段中的加法器
[0454.88-0458.68] 與四相加形成順序指令地址PC-4
[0458.68-0461.88] PC-4會傳送到取指功能段中的
[0461.88-0467.48] 用於為PC選擇下一條指令地址的多路選擇器的其中一個輸入端
[0467.48-0473.14] 還會送到取指功能段與一碼功能段之間的流水技存器的輸入端
[0473.14-0475.74] 接下來,請同學們注意觀察
[0475.74-0479.54] 在下一個始終節拍的控制下進行的相關操作
[0479.54-0485.74] 那就是取指功能段與一碼功能段之間的流水技存器的各輸入端的數據
[0485.74-0488.54] 被所存到該流水技存器中
[0488.74-0493.60] 以便在一碼功能段中使用或傳遞給後續功能段
[0493.60-0498.00] 此時,LW指令進入到了一碼功能段進行處理
[0498.00-0502.40] 而其後的SW指令進入到取指功能段進行處理
[0502.40-0506.84] 為了更好的理解,LW指令在一碼功能段的處理
[0506.84-0511.04] 請同學們再來看一遍LW指令的相關內容
[0511.04-0513.84] 主要就是LW指令的格式
[0513.84-0519.36] 以及LW指令執行的操作
[0519.56-0523.56] 好的,我們來看LW指令在一碼功能段的處理
[0523.56-0527.65] 所存在流水技存器中的LW指令的操作碼之段
[0527.65-0529.25] 被送入控制器
[0529.25-0534.45] 以便由控制器產生該指令在各功能段所需的操作控制信號
[0534.45-0539.65] 其中,目的技存器選擇控制信號就在當前的一碼功能段使用
[0539.65-0546.25] 而其他控制信號被送到一碼功能段與執行功能段之間的流水技存器的輸入端
[0546.75-0549.75] 目的技存器選擇控制信號取之為0
[0549.75-0552.75] 以便控制一碼功能段中的多度選擇器
[0552.75-0556.35] 將該指令中的目的技存器的編號選擇輸出
[0556.35-0561.55] 竟然送到一碼功能段與執行功能段之間的流水技存器的輸入端
[0561.55-0565.48] 我們將目的技存器的編號繼為小寫的RT
[0565.48-0570.28] 與此同時,指令中RS技存器的編號和RT技存器的編號
[0570.28-0573.48] 被送入到一碼功能段中的技存器組
[0573.48-0578.38] 以便讀出相應RS技存器和RT技存器各自的內容
[0578.38-0583.28] 竟然送到一碼功能段與執行功能段之間的流水技存器的輸入端
[0583.28-0587.08] 我們用大寫的RS和RT來表示
[0587.08-0589.98] 這裡可能有些同學會產生疑問
[0589.98-0595.08] 那就是我們之前剛剛看過RW指令的功能和操作描述
[0595.08-0598.78] 該指令並不需要讀取RT技存器的內容
[0598.78-0603.38] 而是從主存中讀取內容並寫回到RT技存器
[0603.38-0608.70] 那麼這裡讀取RT技存器的內容不是多此一舉嗎?
[0608.70-0610.70] 實際上可以這樣理解
[0610.70-0616.10] 指令流水線中每個功能段的設計並不僅僅是為了某一條指令
[0616.10-0619.30] 而是要滿足指令集中的所有指令
[0619.30-0626.10] 對於一碼功能段,主要就是一碼並產生指令在各功能段所需的控制信號
[0626.10-0629.30] 讀取技存器組中指定技存器的內容
[0629.30-0633.10] 還要將指令中的16位立即數進行符號擴展
[0633.10-0635.30] 擴展成32位立即數
[0635.30-0643.70] 之後將上述控制信號和數據送到一碼功能段與執行功能段之間的流水技存器的輸入端
[0643.70-0649.03] 另外,之前所存在前一級流水技存器中的PC-4的值
[0649.03-0654.03] 也會送到一碼功能段與執行功能段之間的流水技存器的輸入端
[0654.03-0658.33] 一邊傳遞到執行功能段中計算分支跳轉地址
[0658.53-0663.53] 為了簡單起見,分支跳轉的情況本節課並不進行分析
[0663.53-0669.53] 在後續介紹指令流水線的控制衝突時,我們還會在這幅圖中進行分析
[0669.53-0676.00] 接下來,請同學們注意觀察,在下一個時鐘節拍的控制下進行的相關操作
[0676.00-0683.00] 那就是一碼功能段與執行功能段之間的流水技存器的各輸入端的控制信號和數據
[0683.00-0690.20] 被所存到該流水技存器中,一邊在執行功能段中使用或傳遞給後續功能段
[0690.20-0694.50] 此時,LW指令進入到了執行功能段進行處理
[0694.50-0702.19] 而其後的SW指令和BETU指令分別進入到一碼功能段和取指功能段進行處理
[0702.19-0706.49] 好的,我們來看LW指令在執行功能段的處理
[0706.49-0711.99] 在這些傳遞到執行功能段的控制信號中,在不考慮分支跳轉的情況下
[0712.09-0717.79] 只有這兩個控制信號在執行功能段使用,我們稍後再分析它們的作用
[0717.79-0722.99] 目的技存器的編號RT,被傳送到下一級流水技存器的輸入端
[0722.99-0728.79] RS技存器的內容,被傳送到算數邏輯單元ALU的輸入端A
[0728.79-0735.02] RT技存器的內容,被傳送到執行功能段中的多路選擇器的其中一個輸入端
[0735.02-0738.72] 還會傳送到下一級流水技存器的輸入端
[0739.08-0745.21] 32位立即數,被傳送到左右兩位部件,以便計算分支跳轉地址
[0745.21-0750.01] 32位立即數,還被傳送到多路選擇器的另一個輸入端
[0750.01-0756.10] 對於LW指令,該多路選擇器的控制端信號,會控制多路選擇器
[0756.10-0761.30] 選擇32位立即數進行輸出,並送到ALU的輸入端B
[0761.30-0767.16] ALU在其控制信號的控制下進行相應運算,並輸出運算結果
[0767.16-0770.15] 到下一級流水技存器的輸入端
[0770.15-0775.85] 對於LW指令,ALU會將來自輸入端A的RS技存器的內容
[0775.85-0779.75] 與來自輸入端B的32位立即數相加
[0779.75-0784.68] 輸出的結果是後續仿存功能段所需的仿存地址
[0784.68-0789.48] 需要說明的是,由於ALU可進行多種運算操作
[0789.48-0792.88] 這取決於指令級和具體設計實現
[0792.88-0796.48] 因此,ALU的控制信號,我們用X表示
[0796.48-0800.84] 而不是簡單的僅用1個比特0或1來表示
[0800.84-0806.44] 至此,可以看到,執行功能段的主要功能是執行ALU運算操作
[0806.44-0811.24] 以及計算分支目標地址和相應的分支跳轉控制信號
[0811.24-0817.64] 只不過,當前處於執行功能段的是LW指令,而不是分支跳轉指令BQ
[0817.64-0821.33] 因此,我們沒有分析分支跳轉的情況
[0821.33-0823.73] 接下來,請同胸注意觀察
[0823.73-0827.63] 在下一個始終節拍的控制下進行的相關操作
[0827.63-0835.03] 那就是,執行功能段與仿存功能段之間的流水基存器的各輸入端的控制信號和數據
[0835.03-0837.83] 被所存到該流水基存器中
[0837.83-0842.63] 以便在仿存功能段中使用或傳遞給後續功能段
[0842.63-0847.23] 此時,LW指令進入到了仿存功能段進行處理
[0847.33-0851.53] 而其後的SW指令,BQ指令,ADD指令
[0851.53-0856.83] 分別進入到執行功能段、一碼功能段以及取指功能段進行處理
[0856.83-0861.23] 好的,我們來看LW指令在仿存功能段的處理
[0861.23-0864.53] 在這些傳遞到仿存功能段的控制信號中
[0864.53-0868.43] 只有寫存主器控制信號在仿存功能段使用
[0868.43-0874.03] 取之為零,表示對數據存主器進行的是讀操作而不是寫操作
[0874.71-0879.81] 目的基存器的編號RT,被傳送到下一級流水基存器的輸入端
[0879.81-0885.47] RT基存器的內容被送入到數據存主器的代寫入數據輸入端
[0885.47-0889.37] 在之前的執行功能段中的ALU計算結果
[0889.37-0892.47] 被送入到數據存主器的地址輸入端
[0892.47-0895.57] 還會送到下一級流水基存器的輸入端
[0895.57-0902.90] 對於LW指令,被送入到數據存主器的數據輸入端的RT基存器的內容並不起作用
[0903.00-0907.50] 而送入到數據存主器的地址輸入端的ALU的計算結果
[0907.50-0909.30] 就是仿存地址
[0909.30-0914.00] 這樣,數據存主器中仿存地址中的數據被讀取
[0914.00-0917.63] 並傳送到下一級流水基存器的輸入端
[0917.63-0921.23] 這次可以看到仿存功能段的主要功能
[0921.23-0924.93] 就是向數據存主器中的指定地址處寫入數據
[0924.93-0928.83] 或從數據存主器中的指定地址處讀出數據
[0928.83-0932.93] 對於LW指令,是從數據存主器讀出數據
[0933.53-0935.93] 接下來,請同情們注意觀察
[0935.93-0939.53] 在下一個時鐘節拍的控制下進行的相關操作
[0939.53-0946.93] 那就是,仿存功能段與寫回功能段之間的流水基存器的各輸入端的控制信號和數據
[0946.93-0949.63] 被所存到該流水基存器中
[0949.63-0952.23] 一邊在寫回功能段中使用
[0952.23-0956.33] 此時,LW指令進入到了寫回功能段進行處理
[0956.33-0961.63] 而其後的SW指令、BETU指令、ADD指令、ADDI指令
[0961.63-0968.03] 分別進入到仿存功能段、執行功能段、一碼功能段以及取指功能段進行處理
[0968.03-0972.33] 好的,我們來看LW指令在寫回功能段的處理
[0972.33-0975.93] 在這兩個傳遞到寫回功能段的控制信號中
[0975.93-0981.23] 基存器寫控制信號用於一碼功能段中的基存器組的寫入控制
[0981.23-0986.03] 而另一個控制信號用於控制寫回功能段中的多路選擇器
[0986.03-0989.72] 選擇其兩路輸入中的哪一路進行輸出
[0989.72-0991.72] 目的基存器的編號RT
[0991.72-0996.92] 被傳送到一碼功能段中的基存器組的寫入基存器編號輸入端
[0996.92-1000.52] 從仿存功能段中的數據存儲器中讀出的數據
[1000.52-1004.92] 被送入寫回功能段中的多路選擇器的其中一個輸入端
[1004.92-1008.22] 而執行功能段中的ALU的計算結果
[1008.22-1012.42] 被送入寫回功能段中的多路選擇器的另一個輸入端
[1012.42-1018.12] 對於LW指令,該多路選擇器的控制信號會控制多路選擇器
[1018.12-1021.72] 選擇數據存儲器中的讀出數據進行輸出
[1021.72-1026.02] 進而該數據被傳送到一碼功能段中的基存器組的
[1026.02-1028.02] 帶寫入數據的輸入端
[1028.02-1030.42] 當下一個時鐘節拍到來時
[1030.42-1032.72] LW指令離開流水線
[1032.72-1035.72] 而基存器組完成數據寫入操作
[1035.72-1039.02] 換句話說,LW指令執行完畢
[1039.09-1044.12] LW指令後面的各條指令依次進入到下一個功能段
[1044.12-1045.72] 需要說明的是
[1045.72-1047.72] 作為初學指令流水線
[1047.82-1050.22] 在本例中,為了簡單起見
[1050.22-1054.92] 我們僅對LW指令在指令流水線中的執行過程進行的分析
[1054.92-1059.92] 實際上,LW指令在流水線中的某個功能段進行處理時
[1059.92-1064.02] 後續指令也在其各自所在的功能段中進行處理
[1064.02-1068.62] 也就是說,有多條指令在流水線中進行並行處理
[1068.62-1071.22] 希望同學們不要忽略了這一點
[1071.22-1075.92] 好的,接下來請同學們挑戰一道與本節課相關的
[1075.92-1077.92] 408考研例年針題
[1077.92-1081.42] 請同學們暫停播放視頻,思考一下
[1081.42-1083.42] 然後給出你的答案
[1083.42-1092.16] 本題的答案是選項A,大家都選對了嗎?
[1092.16-1094.16] 我們來一起分析一下
[1094.16-1097.26] 如同所示,這是本節課我們舉例的
[1097.26-1101.86] 由單週期密子處理器數據通路改造成的流水線架構
[1101.86-1103.86] 通過本節課之前的學習
[1103.86-1107.86] 同學們就已經知道,在計算機硬件體系結構中
[1107.86-1112.66] CPU通常被劃分為數據通路和控制部件兩大部分
[1112.66-1116.96] 其中數據通路負責數據的加工、處理和傳送
[1116.96-1118.66] 從圖中可以看到
[1118.66-1121.26] 數據通路包括程序技術器PC
[1121.26-1125.56] 指令存儲器、計存器組、算數如計單元ALU
[1125.56-1128.96] 數據存儲器以及各流水線計存器的
[1128.96-1132.52] 而控制部件,也就是圖中的控制器
[1132.52-1135.22] 根據指令生成各種控制信號
[1135.22-1137.92] 用來指揮數據通路如何工作
[1138.02-1142.62] 通常所說,控制部件產生控制信號去控制數據通路
[1142.62-1146.42] 但控制部件本身不屬於數據通路的一部分
[1146.42-1150.62] 因此,本題中的選項B和C的敘述是正確的
[1150.62-1153.26] 而選項A的敘述是錯誤的
[1153.26-1155.96] 另外,從本圖還可以看出
[1155.96-1161.26] 指令流水線數據通路由組合邏輯電路和實習邏輯電路組合而成
[1161.26-1166.06] 其中,組合邏輯電路其輸出僅取決於當前輸入
[1166.16-1169.86] 例如ALU、多路選擇器、符號擴展器等
[1169.86-1173.52] 實習邏輯電路由實習邏輯電路進行控制
[1173.52-1177.42] 例如PC、計存器組、流水計存器等
[1177.42-1181.52] 因此,本題中的選項D的敘述是正確的
[1181.52-1184.98] 通常所說,本題的答案是選項A
[1184.98-1188.82] 好的,本節課到這裡就結束了
[1188.82-1192.92] 請同學們快速回憶一下本節課的主要內容
[1192.92-1231.93] 同學們,我們下節課見
