[0003.31-0007.43] 同学们好,欢迎大家来到我的计算机组成员里威克唐。
[0512.37-0522.77] 需要说明的是,本例中,附外才是实际参加运算的操作数,因此实际参加运算的两个操作数的符号相同,
[0522.93-0527.77] 但与运算结果的符号不同,可判定运算结果一戳。
[0527.77-0536.98] 接下来,请同学们思考一下,我们能否写出利用方法一进行一出检测的逻辑表达式呢?
[0536.98-0545.06] 如果跨专业的同学还未学习过数字电路与逻辑设计这门课,请不要纠结。
[0545.06-0555.62] 我们下节课会为这些同学安排一节数电基础课,以便这些同学能够顺利地进行本章后续相关内容的学习。
[0555.62-0572.34] 那么,我们来一起分析一下,将操作数x的符号位计为xn-1,将操作数y的符号位计为yn-1,运算结果s的符号位计为sn-1,
[0572.92-0582.58] 一出标志位计为OF,当OF唯一时表示发生一出,根据方法一的一出检测规则可知,
[0582.58-0595.57] 当x与y的符号位相同,且与s的符号位相反时,可判定运算结果一出,根据该判定逻辑和写出两个逻辑表达式。
[0596.11-0610.06] 这是其中一个逻辑表达式,可认为xn-1与yn-1同为1,且sn-1为0时结果为1,这是另一个逻辑表达式,
[0610.06-0625.57] 可认为xn-1与yn-1同为0且sn-1为1时结果为1,将这两个表达式进行逻辑获运算,即可得到一出标志位OF的逻辑表达式。
[0626.30-0634.86] 我们用之前立体中的符号位的取值,带入方法一的一出检测的逻辑表达式中,看看是否正确。
[0634.86-0649.00] 来看立体一,这是两个操作数的符号位,这是运算结果的符号位,将他们的取值带入方法一的一出检测的逻辑表达式,
[0649.00-0654.00] 可得一出标志位OF的值为0,表明没有发生一出。
[0655.34-0668.62] 来看立体二,这是两个操作数的符号位,这是运算结果的符号位,将他们的取值带入方法一的一出检测的逻辑表达式,
[0668.62-0673.79] 可得一出标志位OF的值为1,表明发生一出。
[0673.79-0680.89] 在同学们掌握了补码加减法一出检测的方法一号,我们介绍方法二,
[0681.18-0689.38] 也就是,根据运算过程中,最高数值位的净位,与符号位的净位是否一致进行判断。
[0689.38-0697.58] 若不相同,则可判定为产生一出,若相同,则可判定为没有产生一出。
[0697.58-0709.10] 我们来举例说明,要进行X的补码与Y的补码的加法运算,我们首先写出他们各自的补码,
[0709.62-0717.62] 针对方法二,我们需要在加法数式的上方,记录最高数值位的净位,以及符号位的净位,
[0717.62-0729.49] 现在进行二净值加法,一加零等于一,零加零等于零,一加一等于一零,写零向高位净一,
[0729.49-0739.15] 这就是最高数值位的净位,一加零加零等于一,向高位净零,这就是符号位的净位,
[0739.73-0751.13] 将运算结果转换成真值为付期,而用真值进行加法,结果为9,超过了4位补码和表示的最大定点整数,
[0751.13-0760.46] 也就是发生了正义,在本例中,最高数值位的净位与符号位的净位不同,可判定产生一出。
[0760.46-0769.70] 再来看这个例子,本例是出现负义的情况,相信同学们都能看懂,就不再坠述了。
[0770.46-0780.90] 需要提醒同学们注意的是,符号位净位的值作为魔术,应该舍弃,这并不影响利用方法二进行溢出检测。
[0780.90-0786.54] 以上这两个例子,分别是操作数同正,同负的情况。
[0786.54-0796.98] 我们再来看两个操作数符号不同的例子,本例是最高数值位的净位与符号位的净位相同,没有产生溢出的情况。
[0797.50-0801.02] 相信同学们都能看懂,就不再坠述了。
[0801.02-0810.82] 之前三个例子都是补码加反运算,我们再来看一个补码减反运算,从给出的分析过程可知,
[0810.82-0825.20] 我们将补码减反运算转换成了补码加反运算,最高数值位的净位与符号位的净位不同,可判定产生一出,相信同学们都能看懂,就不再坠述了。
[0825.77-0843.58] 接下来,请同学们完成以下两个练习,请同学们暂停播放视频,务必动手练习一下,相信大家都能正确完成,我们就不再坠述了。
[0843.58-0852.34] 接下来,请同学们思考一下,我们能否写出利用方法二进行溢出检测的逻辑表达式呢?
[0853.33-0871.94] 我们来一起分析一下,将最高数值位的净位计为Cn-1,符号位的净位计为Cn,溢出标志位计为OF,当OF唯一时表示发生溢出,根据方法二的溢出检测规则可知,
[0872.22-0890.38] 当Cn-1与Cn不同时,则可判定运算结果溢出,借OF唯一,这样就可写出溢出标志位OF的逻辑表达式,也就是OF等于Cn-1与Cn溢获。
[0890.38-0901.89] 在同学们掌握了补码加减法溢出检测的方法二后,我们介绍方法三,也就是利用变形补码的符号位进行判断。
[0902.55-0909.35] 变形补码也称为双符号补码,具有两个符号位,其余与补码相同。
[0909.35-0923.46] 双符号位为00时表示正数,双符号位为1110表示负数,双符号位为010表示正溢出,双符号位为1010表示负溢出。
[0923.46-0933.30] 不难看出,采用双符号位补码进行溢出检测是非常直观的,适合手工运算时的溢出检测。
[0933.30-0940.42] 但其硬件成本高,因为需要为多添加的那个符号位来增加机器自长。
[0940.42-0945.79] 因此,在计算机中,主要采用单符号溢出检测方案。
[0946.17-0954.61] 另外,请同学们注意,负数变形补码转换成圆码,仍可以使用繁麻法或扫描法。
[0954.61-0962.38] 接下来,请同学们根据双符号位补码判断溢出的规则,完成以下练习。
[0962.38-0967.30] 请同学们暂停播放视频,务必动手练习一下。
[0967.30-0974.75] 相信大家都能正确完成,我们就不再赘述了。
[0975.18-0983.66] 接下来,请同学们思考一下,我们能否写出利用方法3进行溢出检测的逻辑表达式呢?
[0983.66-0994.44] 我们来一起分析一下,将左起第一个符号位计为CN加1,将左起第二个符号位计为CN,
[0994.44-1004.78] 溢出标志位计为OF,当OF唯一时表示发生溢出,根据方法3的溢出检测规则可知。
[1005.00-1012.52] 当CN加1与CN不同时,则可判定运算结果一出,计OF唯一。
[1012.52-1022.02] 这样,就可写出溢出标志位OF的逻辑表达式,也就是OF等于CN加1与CN的异获。
[1022.02-1027.96] 接下来,请同学们挑战几个相关的408考研真题。
[1028.70-1038.60] 首先来做2009年的题十二,请同学们暂停播放视频,动手练习一下,然后给出你的答案。
[1038.60-1052.01] 本题的答案是选项B,大家都选对了吗?我们来一起分析一下,首先来看本题的一般解法。
[1052.26-1057.62] 题目给定,边量X和Z为因子形,外为刷子形。
[1057.62-1071.06] 我们知道,在C原中,因子形为32位有符号整形,刷子形为16位有符号整形,编译器会将整形数据编译成补码形式。
[1071.06-1080.97] 因此,我们首先写出X的补码表示,以及外的补码表示,可以利用补码定义式来写出。
[1081.13-1088.89] 对于复数,也可以先写出其原码,然后利用繁麻法或扫描法,则出其补码。
[1088.89-1095.29] 这是我们在学习完第二章后,就应该熟练掌握的方法,就不再坠述了。
[1095.29-1108.22] 题目给定,要执行复指语句Z等于X加Y,因此,我们首先将外的补码从刷子形,转换成与Z的补码相同的硬子形。
[1108.54-1115.98] 这属于小字长,转大字长,原数据为有符号类型,需要进行符号扩展。
[1115.98-1126.81] 这样,我们就得到了硬子形的外的补码,将外的补码与X的补码进行加法运算,得到Z的补码形式。
[1126.81-1137.82] 再来看排除法,从四个选项可以看出,我们不用写出X的补码,我们写出外的补码。
[1138.38-1156.15] 因此,选项A和B可以排除了,根据题目所给X和Y的帧值,可以直接计算出Z的帧值,其帧值大于0,因此,Z的补码的符号位因为0,选项C可以排除了。
[1157.53-1171.05] 从上所述,本题的答案是选项D,再来做2013年的题14,请同学们暂停播放视频,动手练习一下,然后给出你的答案。
[1171.05-1185.43] 本题的答案是选项A,大家都选对了吗?我们来一起分析一下,题目给定Z等于2X加2分之外。
[1185.86-1201.83] 我们知道,数值数据在机器内采用补码表示,因此,要求Z的机器数就是求Z的补码,根据该是可知,Z的补码是2X的补码与2分之外的补码的合。
[1201.83-1213.05] 因此,我们首先写出2X的补码,将题目给定的X的补码进行算数左翼一位,即可得到2X的补码。
[1213.46-1225.58] 不知,同学们是否还记得补码算数左翼的规则?那就是高位移除,低位补零,移动前后若符号发生变化,则发生溢出。
[1225.58-1238.84] 这样,我们就得到了2X的补码,再来写出2分之外的补码,将题目给定的外的补码进行算数右翼一位,即可得到2分之外的补码。
[1239.56-1256.60] 不知,同学们是否还记得补码算数右翼的规则?那就是低位移除,高位补符号,这样我们就得到了2分之外的补码,之后就可以进行2X的补码与2分之外的补码的加法运算了。
[1256.60-1263.03] 这是得到的运算结果。符号位进位的值作为魔术,应该舍弃。
[1263.53-1272.71] 原操作数的符号位与运算结果的符号位相同,可判定未发生溢出。这是我们得到的Z的补码。
[1272.71-1286.86] 总上所述,本题的答案是选项A。再来做2014年的题13。请同学们暂停播放视频,动手练习一下,然后给出你的答案。
[1289.13-1302.63] 本题的答案是选项C。大家都选对了吗?我们来一起分析一下,本题的一般结法可参考本节课所举的相关例子,我们就不再最述了。
[1302.63-1318.38] 再来看本题的快速结法,我们在第二章有关补码基本知识的那节课中,给出了补码的数值位的位数为N10,补码所能表示的定点整数的取之范围以及魔术。
[1318.78-1332.10] 如果同学们还记得,则对于8位补码,可以快速写出其所能表示定点整数的取之范围,具体来说就是负的128,到正的127。
[1332.10-1347.22] 因此,我们写出题目四个选项的真值运算结果,就可以发现,选项C的真值运算结果超出了8位补码所能表示的最大定点整数127,发生溢出。
[1347.70-1351.14] 从上所述,本题的答案是选项C。
[1351.14-1363.74] 另外,建议同学们记住,16位补码所能表示定点整数的取之范围,具体来说就是负的32768,到正的32767。
[1363.74-1373.72] 当然了,还应该记住补码所能表示定点小数的范围是大于等于-1,且小于1,魔术为2。
[1374.52-1383.56] 再来做2018年的题13,请同学们暂停播放视频,动手练习一下,然后给出你的答案。
[1383.56-1392.06] 本题的答案是选项C,大家都选对了吗?
[1392.06-1405.69] 我们来一起分析一下,根据题目所给四个选项可知,我们仅计算x-y的积极数即可,也就是仅计算x-y的补码即可。
[1406.26-1426.25] 我们将补码减法转换成补码加法,这是题目给定的x的补码的16进制形式,我们将其转换成2进制形式,这是题目给定的y的补码的16进制形式,我们将其转换成2进制形式。
[1426.25-1436.57] 在我们之前要进行的补码加法中,其中一个操作数为负外的补码,因此,我们需要从y的补码得出负外的补码。
[1436.92-1451.77] 具体方法就是将外的补码的全部位暗位取反,然后莫为加一,这样我们就得到了负外的补码,现在就可以进行x的补码与负外的补码的加法运算了。
[1451.77-1465.82] 这是运算结果,符号位净位的值作为魔术,应该舍弃。而原操作数的符号位与运算结果的符号位相同,可判定未发生一出。
[1466.17-1474.33] 将运算结果的最低四位转换成16进制形式,即可判断出答案为选项C。
[1474.33-1483.67] 好的,本节课到这里就结束了。请同学们快速回忆一下本节课的主要内容。
[1483.67-1501.48] 同学们,我们下节课见!
