[0003.86-0008.38] 同學們好,歡迎大家來到我的計算機組成員裡威克堂
[0164.34-0169.42] 可以看到時針最終會指向7
[0169.42-0173.18] 我們再來舉一個數據在計算機內部存儲時
[0173.18-0177.52] 超過計量範圍的數,都會自動捨棄魔數的例子
[0177.52-0180.88] 這是計算機內部的某個8位計存器
[0180.96-0185.36] 從最高位B7到最低位B0,共8個比特
[0185.36-0188.00] 8個比特共有2的8次方個組合
[0188.00-0191.07] 也就是有2的8次方個不同的數值
[0191.07-0195.95] 因此,可認為8位計存器的計量範圍為2的8次方
[0195.95-0198.58] 計魔數為2的8次方
[0198.58-0203.06] 這是8位計存器存儲無符號定連整數的情況
[0203.06-0206.58] 從最小之0到最大值255
[0206.58-0210.10] 當要存儲的數值大於25050
[0210.18-0212.58] B7到B0全部歸0
[0212.58-0215.78] 並向更高位B8產生敬畏
[0215.78-0219.01] 此時相應的實境值為256
[0219.01-0224.13] 由於是8位計存器最高位為B7而B8不存在
[0224.13-0226.13] 這相當於一出了
[0226.13-0230.93] 換句話說,超出了計量範圍會自動捨棄魔數
[0230.93-0233.73] 也就是捨棄一出的這一位
[0233.73-0237.49] 而該位的位權值2的8次方就是魔數
[0237.57-0240.37] 我們也可以把一出被捨棄的這一位
[0240.37-0242.69] 稱為最高位的敬畏
[0242.69-0245.17] 對於本地最高位為B7
[0245.17-0247.44] 其敬畏為B8
[0247.44-0250.80] 這是相應實境值捨棄魔數的情況
[0250.80-0253.52] 可以看到超過計量範圍後
[0253.52-0257.17] 計存器中的各位又從比特林開始
[0257.17-0262.05] 這次,相信同學們已經了解了魔和補數的概念
[0262.05-0264.69] 我們來總結一下補數的特點
[0264.77-0265.97] 第一個特點是
[0265.97-0269.17] 一個復數可以用它的正補數來替代
[0269.17-0274.21] 而這個正補數可以用魔數加上復數本身求得
[0274.21-0275.97] 我們來舉例說明
[0275.97-0277.81] 對於左邊這個時鐘
[0277.81-0279.81] 要將時針搬動到2
[0279.81-0281.97] 可認為逆時針搬動四格
[0281.97-0285.01] 與順時針搬動八格是等價的
[0285.01-0288.05] 也就是復次與正八是等價的
[0288.05-0290.29] 我們可以寫出復次的補數
[0290.29-0293.81] 等於魔數12加上復次自身
[0293.89-0297.78] 得到復次以十二為魔數的補數正八
[0297.78-0299.54] 對於右邊這個時鐘
[0299.54-0301.54] 要將時針搬動到9
[0301.54-0303.62] 可認為逆時針搬動九格
[0303.62-0306.82] 與順時針搬動三格是等價的
[0306.82-0310.56] 也就是復久與正三是等價的
[0310.56-0312.64] 我們可以寫出復久的補數
[0312.64-0316.00] 等於魔數12加上復久自身
[0316.00-0320.43] 得到復久以十二為魔數的補數正三
[0320.43-0322.19] 補數的另一個特點是
[0322.27-0325.55] 一個正數和一個復數互為補數時
[0325.55-0328.83] 它們絕對值之合即為魔數
[0328.83-0331.31] 例如對於左邊這個時鐘
[0331.31-0333.47] 可寫出復次的絕對值
[0333.47-0337.47] 加上復次的補數正八的絕對值
[0337.47-0339.49] 等於魔數12
[0339.49-0341.17] 對於右邊這個時鐘
[0341.17-0343.33] 可寫出復久的絕對值
[0343.33-0346.29] 加上復久的補數正三的絕對值
[0346.29-0348.56] 等於魔數12
[0348.56-0350.48] 補數還有一個特點是
[0350.48-0353.44] 正數的補數即該正數本身
[0353.44-0355.60] 一般情況下提到補數
[0355.60-0359.60] 都是通過魔數來找到給定復數的正補數
[0359.60-0363.60] 那就是用魔數加上這個復數本身來求得
[0363.60-0367.76] 因此求一個正數的補數似乎沒有意義
[0367.76-0371.20] 然而為了我們在後面引入補碼概念時
[0371.20-0373.92] 能夠給出正數的補碼的定義
[0373.92-0376.80] 這裡我們總結出補數的這個特點
[0376.80-0379.44] 對於初學者記住這個特點就好
[0379.52-0381.52] 而不必深究
[0381.52-0384.48] 可能有的同學會產生這樣的疑問
[0384.48-0387.92] 我們費了老半天勁兒引出魔的概念
[0387.92-0390.72] 進而引出補數的概念和特點
[0390.72-0392.88] 以及在給定魔數的情況下
[0392.88-0396.32] 如何找到一個復數的正補數的方法
[0396.32-0402.74] 那麼我們尋找一個復數的正補數的意義何在呢
[0402.74-0406.42] 主要是為了把減法運算用加法來實現
[0406.42-0410.29] 並且符號位也可以直接參與運算
[0410.29-0415.73] 這樣在計算機內部就可以用加法器來實現減法運算
[0415.73-0418.29] 而不必專門設計減法器
[0418.29-0421.92] 因而降低了硬件複雜度和成本
[0421.92-0423.92] 我們來舉例說明
[0423.92-0427.68] 設A等於9,B等於5,求A-B
[0427.68-0429.87] 魔數為12
[0429.87-0431.87] 來看做減法的情況
[0431.87-0435.26] A-B等於9-5等於4
[0435.26-0437.76] 再來看做加法的情況
[0437.76-0440.56] A-B等於A的補數
[0440.64-0442.69] 加複B的補數
[0442.69-0446.72] 這樣就將減法運算用加法實現了
[0446.72-0450.19] 等於9的補數加複5的補數
[0450.19-0451.95] 我們之前總結過
[0451.95-0454.67] 正數的補數既該正數本身
[0454.67-0457.47] 因此9的補數就是9
[0457.47-0462.27] 而複數的補數可以用魔數加上複數本身求得
[0462.27-0466.19] 因此複5的補數等於魔加上複5
[0466.19-0468.67] 能力給定魔數為12
[0468.75-0471.63] 因此最終計算結果為16
[0471.63-0474.83] 顯然這超過了計量範圍12
[0474.83-0477.95] 因此應該自動捨棄魔數12
[0477.95-0480.13] 最終結果為4
[0480.13-0482.77] 在同學們了解了補數的特點後
[0482.77-0485.71] 我們就可以引入補碼的定義了
[0485.71-0488.91] 將補數的概念應用到計算機內部
[0488.91-0491.63] 便出現了補碼這種機器碼
[0491.63-0493.74] 也稱為機器數
[0493.74-0495.10] 正數的補碼
[0495.10-0496.54] 複2位為0
[0496.54-0498.83] 數值位就是它本身
[0498.91-0500.03] 複數的補碼
[0500.03-0503.31] 等於魔數加上該複數本身
[0503.31-0507.31] 而魔數就是最高敬畏的位權值
[0507.31-0510.93] 我們首先來看定點整數的補碼定義
[0510.93-0513.65] 假設真值X為定點整數
[0513.65-0515.73] N為X的補碼表示中
[0515.73-0517.33] 數值位的位數
[0517.33-0519.39] 也就是比特數量
[0519.39-0521.39] 加上一個符號位
[0521.39-0524.91] X的補碼表示共有N加1位
[0524.91-0527.87] 最低位的位權值為2的0次方
[0527.87-0529.07] 而最高位
[0529.07-0533.02] 也就是符號位的位權值為2的N次方
[0533.02-0533.98] 因此
[0533.98-0537.74] 最高位敬畏的位權值為2的N加1次方
[0537.74-0540.98] 即魔數為2的N加1次方
[0540.98-0544.82] 那麼真值X的補碼表示分兩種情況
[0544.82-0547.22] 一種是X大於等於0
[0547.22-0549.98] 小於2的N次方的情況
[0549.98-0551.82] 這裡需要說明的是
[0551.82-0554.62] 由於N為真值X的補碼表示中
[0554.62-0556.22] 數值位的位數
[0556.30-0557.10] 因此
[0557.10-0560.50] 其最大值為2的N次方減1
[0560.50-0562.34] 所以我們得出的條件是
[0562.34-0564.96] X小於2的N次方
[0564.96-0566.24] 這種情況下
[0566.24-0568.24] 真值X要么是0
[0568.24-0570.24] 要么是個正整數
[0570.24-0573.68] 因此其補碼表示為0兜號X
[0573.68-0575.60] 兜號左側的符號位為0
[0575.60-0577.20] 表示正號
[0577.20-0579.20] 兜號右側為數值位
[0579.20-0581.97] 取值就是真值X
[0581.97-0582.93] 那一種是
[0582.93-0584.21] X大於等於
[0584.21-0587.09] -2的N次方小於0的情況
[0587.09-0588.29] 這種情況下
[0588.29-0590.69] 真值X是個負整數
[0590.69-0592.13] 其補碼表示為
[0592.13-0595.33] 魔數加上負整數X本身
[0595.33-0597.44] 我們來舉例說明
[0597.44-0599.52] 某計算機的字長為8位
[0599.52-0601.68] 真值X為定點整數
[0601.68-0605.04] 其二定值形式為負的10101
[0605.04-0607.28] 求真值X的補碼
[0607.28-0608.32] 本理給定
[0608.32-0609.68] 字長為8位
[0609.68-0611.04] 這相當於告訴我們
[0611.04-0613.04] 魔數為2的8次方
[0613.04-0614.48] 可以這樣理解
[0614.64-0617.04] X的補碼表示共有8位
[0617.04-0619.84] 最低位的位權值為2的0次方
[0619.84-0621.04] 而最高位
[0621.04-0624.96] 也就是符號位的位權值為2的7次方
[0624.96-0625.92] 因此
[0625.92-0629.60] 最高位敬位的位權值為2的7加1次方
[0629.60-0631.52] 等於2的8次方
[0631.52-0634.00] 計魔數為2的8次方
[0634.00-0635.12] 題目給定
[0635.12-0637.04] X是個負整數
[0637.04-0642.06] 因此可以使用該定義式計算X的補碼
[0642.06-0643.74] X的補碼等於
[0643.82-0644.94] 2的8次方
[0644.94-0647.63] 加上負的10101
[0647.63-0648.91] 將2的8次方
[0648.91-0650.75] 寫成二定值形式
[0650.75-0652.27] 也就是在比特1後面
[0652.27-0654.19] 添加8個比特0
[0654.19-0657.07] 這是上市二定值簡法的結果
[0657.07-0658.03] 不要忘記
[0658.03-0662.19] 用符號將符號位和數值位合開
[0662.19-0664.11] 不知同學們是否還記得
[0664.11-0666.51] 二定值簡法的手算方法
[0666.51-0668.78] 我們來一起練習一下
[0668.78-0670.94] 這是本理中的背簡說
[0670.94-0672.56] 這是簡說
[0672.56-0675.81] 然後從最低位開始做簡法
[0675.81-0677.01] 具體方法是
[0677.01-0678.70] 借1當2
[0678.70-0680.78] 為了後續續方便
[0680.78-0683.52] 我們標出各個數位
[0683.52-0686.32] 簡述的最低位必0為1
[0686.32-0689.12] 而背簡述的最低位必0為0
[0689.12-0690.24] 不夠簡
[0690.24-0693.44] 因此需要向B1位借1
[0693.44-0695.12] 但B1位是0
[0695.12-0696.24] 不夠借
[0696.24-0699.86] 因此B1位再向B2位借1
[0699.86-0701.14] 對於本例
[0701.14-0703.78] 要一次借到最高位B8
[0703.78-0709.86] 如同所示
[0709.86-0711.46] 最高位B8的1
[0711.46-0713.14] 被B7位借走
[0713.14-0714.90] B8位剩餘0
[0714.90-0717.44] 而B7位借1當2
[0717.44-0719.92] B7位右邊B6位借1
[0719.92-0721.52] B7位剩餘1
[0721.52-0724.02] 而B6位借1當2
[0724.02-0726.50] B6位右邊B5位借1
[0726.50-0728.18] B6位剩餘1
[0728.18-0730.58] 而B5位借1當2
[0730.58-0733.06] B5位右邊B4位借1
[0733.06-0734.74] B5位剩餘1
[0734.74-0737.04] 而B4位借1當2
[0737.04-0739.36] B4位右邊B3位借1
[0739.36-0741.12] B4位剩餘1
[0741.12-0743.47] 而B3位借1當2
[0743.47-0745.79] B3位右邊B2位借1
[0745.79-0747.39] B3位剩餘1
[0747.39-0749.70] 而B2位借1當2
[0749.70-0752.02] B2位右邊B1位借1
[0752.02-0753.54] B2位剩餘1
[0753.54-0755.92] 而B1位借1當2
[0755.92-0758.48] B1位右邊B0位借1
[0758.48-0760.00] B1位剩餘1
[0760.00-0762.58] 而B0位借1當2
[0762.66-0766.10] 現在各個數位應該都夠減了
[0766.10-0767.78] 為了大家看得清楚
[0767.78-0770.34] 我們引去這部分
[0770.34-0773.36] 從最低位B0開始做減法
[0773.36-0775.44] 2-1等於1
[0775.44-0777.44] 1-0等於1
[0777.44-0779.28] 1-1等於0
[0779.28-0781.20] 1-0等於1
[0781.20-0783.34] 1-1等於0
[0783.34-0784.96] 1落下來
[0784.96-0786.40] 1落下來
[0786.40-0788.34] 1落下來
[0788.34-0791.98] 至此本例二斤制減法完成
[0791.98-0795.58] 如果有的同學對於二斤制減法不熟悉
[0795.58-0799.42] 也可以先轉換成實斤制減法進行計算
[0799.42-0803.07] 最後將結果再轉換成二斤制計客
[0803.07-0803.95] 例如
[0803.95-0806.43] 2的8次方是256
[0806.43-0808.99] 將二斤制數負的10101
[0808.99-0810.75] 安全展開相加後
[0810.75-0813.73] 得到實斤制數負的21
[0813.73-0816.69] 實斤制減法的結果為235
[0816.69-0818.53] 最後可用湊值法
[0818.53-0822.90] 快速將235轉換成二斤制形式
[0822.90-0823.78] 接下來
[0823.78-0825.70] 請同學們參照本例
[0825.70-0832.74] 完成這個練習題
[0832.74-0835.30] 相信同學們都能正確完成
[0835.30-0837.41] 我們就不再墜速了
[0837.41-0844.88] 請同學們再來完成這個練習題
[0844.88-0847.28] 相信同學們都能正確完成
[0847.28-0849.50] 我們就不再墜速了
[0849.50-0851.34] 通過這個練習可知
[0851.34-0853.66] 在自償為8位的計算機中
[0853.66-0857.62] 負128的補碼為1後面根7個0
[0857.70-0859.70] 不知同學們是否還記得
[0859.70-0862.18] 我們上節課介紹原碼時
[0862.18-0867.57] 原碼1後面根7個0的真值是多少呢
[0867.57-0869.65] 沒錯是負0
[0869.65-0874.38] 而原碼0後面根7個0的真值就是正0
[0874.38-0875.58] 換句話說
[0875.58-0878.86] 0在原碼中有兩種不同的表示
[0878.86-0881.26] 這是原碼的缺點之一
[0881.26-0882.62] 而在補碼中
[0882.62-0885.30] 0的表示只有一種
[0885.30-0889.36] 這樣補碼比原碼可以多表示一個數
[0889.36-0894.00] 這是8位原碼和補碼及其所對應的真值
[0894.00-0895.12] 可以看到
[0895.12-0898.03] 正數的原碼與補碼相同
[0898.03-0901.12] 負數的原碼與補碼不相同
[0901.12-0904.59] 0在原碼中有兩種表示
[0904.59-0907.97] 0在補碼中只有一種表示
[0907.97-0912.29] 因此補碼比原碼可以多表示一個數
[0912.29-0916.27] 對於8位補碼該數為負128
[0916.27-0918.83] 建議同學們將其記住
[0918.83-0920.67] 為了加深同學們的理解
[0920.75-0924.59] 我們將原碼和補碼分別畫在一條數軸上
[0924.59-0926.19] 為了簡單起見
[0926.19-0928.91] 假設計算機的字長為4位
[0928.91-0932.27] 首先來畫原碼在數軸上的數據表示
[0932.27-0935.15] 我們知道0的原碼表示有兩種
[0935.15-0937.95] 一種是符號為0表示正0
[0937.95-0941.30] 另一種是符號為1表示負0
[0941.30-0942.74] 對於正整數
[0942.74-0945.46] 其原碼的符號為0表示正數
[0945.46-0949.06] 而數值位就是真值的二金字形式
[0949.14-0950.50] 對於負整數
[0950.50-0953.70] 其原碼的符號為1表示負數
[0953.70-0958.29] 而數值位就是真值的絕對值的二金字形式
[0958.29-0961.55] 再來畫補碼在數軸上的數據表示
[0961.55-0964.75] 我們知道0的補碼表示只有一種
[0964.75-0968.51] 那就是符號為和數值為全部都是0
[0968.51-0970.03] 對於正整數
[0970.03-0974.51] 補碼與原碼是相同的
[0974.51-0975.87] 對於負整數
[0975.87-0978.35] 補碼與原碼是不相同的
[0978.35-0980.91] 可用魔術加上負數本身
[0980.91-0983.50] 來求出該負數的補碼
[0983.50-0987.02] 在原碼中表示負0的這個位差
[0987.02-0990.48] 在補碼中可以表示最小負數
[0990.48-0994.00] 通過原碼在數軸上的數據表示可以看出
[0994.00-0996.48] 原碼的表示區間是對稱的
[0996.48-1000.35] 也就是表示正數和負數的數量相等
[1000.35-1003.95] 通過補碼在數軸上的數據表示可以看出
[1003.95-1006.67] 補碼的表示區間是不對稱的
[1006.67-1009.46] 可以多表示一個最小負數
[1009.54-1010.50] 至此
[1010.50-1015.04] 我們就介紹完了定點整數的補碼定義的相關內容
[1015.04-1015.92] 接下來
[1015.92-1019.68] 我們介紹定點小數的補碼定義的相關內容
[1019.68-1022.24] 假設真值X為定點小數
[1022.24-1024.24] 也就是純小數
[1024.24-1026.96] 小數點左側的位為最高位
[1026.96-1028.80] 也就是符號位
[1028.80-1031.36] 其位權值為2的0字方
[1031.36-1034.96] 而最高位敬位的位權值為2的1字方
[1034.96-1038.05] 計魔術為2的1字方等於2
[1038.13-1040.61] 相較於定點整數的補碼定義式
[1040.61-1043.66] 定點小數的補碼定義式比較簡單
[1043.66-1045.02] 該條件表明
[1045.02-1046.86] 真值X要麼是0
[1046.86-1049.10] 要麼是個正的純小數
[1049.10-1052.70] 其補碼表示就是真值X自身
[1052.70-1053.50] 只不過
[1053.50-1056.14] 此時X中的小數點左側的0
[1056.14-1058.78] 作為符號位表示正號
[1058.78-1060.38] 而該條件表明
[1060.38-1062.54] 真值X要麼是負1
[1062.54-1064.86] 要麼是個負的純小數
[1064.86-1066.86] 其補碼表示為魔數
[1066.86-1069.49] 加上負整數X本身
[1069.49-1071.33] 我們來舉例說明
[1071.33-1072.21] 例如
[1072.21-1075.09] X等於正的0.001
[1075.09-1076.45] 則其補碼表示
[1076.45-1081.58] 可按該式寫出
[1081.58-1082.62] 又例如
[1082.62-1085.66] X等於負的0.001
[1085.66-1086.94] 則其補碼表示
[1086.94-1093.02] 可按該式寫出
[1093.02-1095.90] 將2轉換成2金值小數形式
[1095.90-1098.86] 然後進行2金值小數的簡法運算
[1098.86-1100.96] 得到最終結果
[1100.96-1101.76] 接下來
[1101.84-1104.88] 請同學們按定點小數的補碼定義
[1104.88-1111.90] 完成以下練習
[1111.90-1114.14] 相信大家都能正確完成
[1114.14-1116.29] 我們就不再贅述了
[1116.29-1117.17] 接下來
[1117.17-1119.95] 我們一起來做這個練習
[1119.95-1124.27] 假設X等於負1.000000
[1124.27-1125.15] 因此
[1125.15-1128.83] 可用該定義式來計算X的補碼
[1128.83-1131.04] 這是計算結果
[1131.04-1132.96] 通過這個練習可知
[1132.96-1135.52] 在資產為8位的計算機中
[1135.52-1139.12] 負1.00000000的補碼為
[1139.12-1142.30] 1.00000000
[1142.30-1144.38] 不知同學們是否還記得
[1144.38-1146.70] 我們之前做過的這個練習
[1146.70-1148.94] 在資產為8位的計算機中
[1148.94-1153.34] 負128的補碼為1.000000
[1153.34-1155.50] 我們畫出上述兩個補碼
[1155.50-1158.14] 在8位計算機中的存儲情況
[1158.14-1159.18] 就會發現
[1159.18-1161.02] 它們是相同的
[1161.02-1163.02] 而上述補碼中的小數點
[1163.02-1166.30] 在機器中實際上是不存在的
[1166.30-1168.30] 為了避免上述情況
[1168.30-1169.74] 現代計算機中
[1169.74-1173.90] 都採用IGI-754標準表示伏點數
[1173.90-1175.66] 而其中的定點小數
[1175.66-1177.84] 才有圓碼表示
[1177.84-1178.64] 因此
[1178.64-1182.48] 通常不會涉及定點小數的補碼表示
[1182.48-1183.28] 至此
[1183.28-1184.48] 我們就介紹完了
[1184.48-1187.86] 定點小數的補碼定義的相關內容
[1187.86-1188.74] 接下來
[1188.74-1191.47] 我們來總結一下補碼的優點
[1191.47-1192.91] 第一個優點是
[1192.99-1194.27] 補碼表示方法
[1194.27-1197.95] 使得簡法運算可以轉換成加法運算
[1197.95-1198.67] 例如
[1198.67-1201.76] 這是我們之前所舉過的例子
[1201.76-1202.96] 第二個優點是
[1202.96-1206.24] 真之靈在補碼中只有一種表示
[1206.24-1210.72] 這使得補碼比圓碼多表示一個最小復數
[1210.72-1211.44] 例如
[1211.44-1214.22] 這是我們之前舉過的例子
[1214.22-1215.66] 第三個優點是
[1215.66-1218.38] 符號位可以直接參與運算
[1218.38-1219.34] 運算時
[1219.34-1221.50] 符號位的境位作為模
[1221.50-1223.18] 會被自動捨棄
[1223.18-1224.94] 我們來舉例說明
[1224.94-1227.18] 不知道同學們看到這個例子
[1227.18-1229.50] 是否會似曾相識呢
[1229.50-1230.38] 沒錯
[1230.38-1232.70] 我們之前舉過一個類似的例子
[1232.70-1234.46] 只不過在那個例子中
[1234.46-1236.14] 模數為12
[1236.14-1237.10] 而本例中
[1237.10-1239.38] 模數為2.8次方
[1239.38-1241.94] 本例可看作是真之正久
[1241.94-1243.62] 與復五作加法
[1243.62-1245.68] 結果為正四
[1245.68-1248.08] 我們來看看本例在計算機內部
[1248.08-1250.85] 通過補碼作加法的情況
[1250.85-1253.36] 這是正久的補碼
[1253.36-1255.66] 這是復五的補碼
[1255.66-1257.34] 可分別用定年整數的
[1257.34-1258.94] 補碼定義式求得
[1258.94-1261.14] 我們就不再追數了
[1261.14-1263.22] 來做二斤之數的加法
[1263.22-1265.47] 從最低位開始做
[1265.47-1267.31] 1加1得10
[1267.31-1268.59] 寫0
[1268.59-1270.59] 向高位進1
[1270.59-1273.07] 0加1加1得10
[1273.07-1274.03] 寫0
[1274.03-1275.95] 向高位進1
[1275.95-1278.03] 0加0加1得1
[1278.03-1279.52] 寫1
[1279.52-1281.52] 1加1得10
[1281.52-1282.72] 寫0
[1282.72-1284.94] 向高位進1
[1284.94-1287.42] 0加1加1得10
[1287.42-1288.77] 寫0
[1288.77-1290.83] 向高位進1
[1290.83-1293.39] 0加1加1得10
[1293.39-1294.51] 寫0
[1294.51-1296.64] 向高位進1
[1296.64-1299.12] 0加1加1得10
[1299.12-1300.40] 寫0
[1300.40-1302.50] 向高位進1
[1302.50-1304.82] 0加1加1得10
[1304.82-1305.94] 寫0
[1305.94-1308.19] 向高位進1
[1308.19-1311.15] 檢查計算結果是正確的
[1311.15-1313.07] 通過本例可以看出
[1313.07-1314.35] 補碼的符號位
[1314.43-1316.59] 可以直接參與運算
[1316.59-1318.75] 而符號位的境位作為模
[1318.75-1320.96] 會被自動捨棄
[1320.96-1323.04] 鑒於補碼的這些優點
[1323.04-1324.40] 目前計算機中
[1324.40-1326.16] 普遍採用補碼表示
[1326.16-1328.56] 有符號定點整數
[1328.56-1330.16] 例如C言中
[1330.16-1330.96] char
[1330.96-1331.84] shot
[1331.84-1332.56] int
[1332.56-1333.60] long
[1333.60-1335.28] 也就是字符形
[1335.28-1336.40] 短整形
[1336.40-1337.28] 整形
[1337.28-1338.48] 長整形數
[1338.48-1341.36] 都是採用補碼進行表示的
[1341.36-1344.58] 那麼補碼有什麼缺點呢
[1344.58-1346.10] 這就是補碼的表示
[1346.10-1348.37] 相對圓碼更加複雜
[1348.37-1349.73] 圓碼的數值位
[1349.73-1351.89] 與真值的絕對值相同
[1351.89-1353.57] 因此通過圓碼
[1353.57-1355.97] 可以很容易的得出真值
[1355.97-1359.46] 但是補碼就沒有這麼簡單了
[1359.46-1360.26] 好的
[1360.26-1362.58] 本節課到這裡就結束了
[1362.58-1367.47] 我們將本節課的內容小節如下
[1367.47-1368.99] 需要說明的是
[1368.99-1371.55] 根據定點數的補碼定義是
[1371.55-1373.95] 我們可以寫出真值的補碼
[1373.95-1375.31] 這在本節課中
[1375.39-1378.03] 我們已經進行了多次練習
[1378.03-1379.79] 從定點數的補碼定義是
[1379.79-1381.07] 不能看出
[1381.07-1382.43] 利用定義是
[1382.43-1384.19] 我們也可以反過來
[1384.19-1386.91] 那就是寫出補碼的真值
[1386.91-1390.46] 這一點請同學們自行練習即可
[1390.46-1391.42] 同學們
[1391.42-1392.86] 我們下節課見
