[0003.54-0007.54] 同学们好,欢迎大家来到我的计算机组成员里维克堂
[0347.56-0352.56] 而不是通过数据总线传输的IO设备的控制命令
[0352.56-0358.91] 另外,现代总线的主控技术,打破了仅CPU能够控制总线的传统
[0358.91-0364.91] 这意味着IO接口也能作为主设备,通过直接存储器访问DMA请求
[0364.91-0370.91] 接管总线,独立完成像主存独写数据所需的全套操作
[0370.91-0373.91] 包括发送地址和命令
[0373.91-0378.91] 因此,上图中的各类总线都必须支持双向信号传输
[0378.91-0382.42] 在同学们了解了IO接口的结构号
[0382.42-0385.42] 我们来看IO接口的编织问题
[0385.42-0389.42] 如同所示,所有IO接口中的各计存器及存储器
[0389.42-0393.42] 均由CPU统一分配地址并进行访问
[0393.42-0398.49] 需要说明的是,不同底细结构的CPU对IO编织的方式不同
[0398.49-0402.49] 一般分为统一编织和独立编织两种方式
[0402.49-0405.58] 我们首先来看统一编织方式
[0405.58-0410.71] 对于统一编织方式,IO设备地址与主存地址统一编织
[0410.71-0413.71] 按不同地址区域来区分
[0413.71-0419.74] 这样就不需要专用的IO指令,才用仿存指令就可以访问IO设备
[0419.74-0424.74] 例如,下屠所示,IO设备地址与主存地址统一编织
[0424.74-0428.74] 其中,D64K字节是ROM区域
[0428.74-0432.74] IO设备被分配到最高的64K字节地址区域中
[0432.74-0434.74] 中间是ROM区域
[0434.74-0439.74] 需要说明的是,统一编织也称为类存硬设编织
[0439.74-0442.74] 这种编织方式不需要专用的IO指令
[0442.74-0445.74] 才用LOADSTAR访存指令
[0445.74-0448.74] 通过每个IO设备相应的地址对其进行访问
[0448.74-0452.74] 例如,这段MIPS汇编代码就很好的展示了
[0452.74-0456.74] 在统一编织方式中,如何对IO设备进行访问
[0456.74-0460.74] 代码中的主存地址,与左侧示意图中不同主存区域
[0460.74-0462.74] 通过颜色进行对应
[0462.74-0466.74] 请同学们结合每行代码给出的注释,进行体会
[0466.74-0469.74] 比较简单,我们就不再追数了
[0469.74-0476.75] 请同学们注意,IO接口中的计存器和存储器
[0476.75-0479.75] 在统一地址空间中拥有唯一地址
[0479.75-0483.75] 大部分IO接口的地址在设计时已确定
[0483.75-0485.75] 软件都需要遵循约定
[0485.75-0490.82] 扩展卡、热插拔设备等,则在系统启动时动态分配地址
[0490.82-0495.94] 还需要注意的是,尽管IO地址被硬设到主存空间
[0495.94-0497.94] 通过访存指令访问
[0497.94-0501.94] 但是,由于IO接口中的数据是动态变化的
[0501.94-0503.94] 例如,设备状态的实施更新
[0503.94-0506.94] 因此,不能使用开始缓存
[0506.94-0510.94] 否则,CPU无法获取IO设备的最新状态
[0510.94-0515.01] 相应的,在C源中,访问IO数据的变量
[0515.01-0517.01] 应声明为WaterTile类型
[0517.01-0521.01] 目的是让防止编影器进行不恰当的优化
[0521.01-0526.01] 以确保每次访问都直接从主存的IO地址空间读取最新值
[0526.01-0530.01] 总上所述,我们可以总结出统一编织方式的优缺点
[0530.01-0534.01] 优点有,不需要专用的IO指令,编成灵活
[0534.01-0538.01] 缺点有,主存空间被IO设备地址占用一部分
[0538.01-0541.01] IO设备地址与主存地址等长
[0541.01-0544.01] 因此,IO接口中的异码逻辑复杂
[0544.01-0550.68] 目前,REPS、AM等金简指令级处理器采用统一编织方式
[0550.68-0553.86] 再来看独立编织方式
[0553.86-0558.86] 对于独立编织方式,IO地址空间与主存空间相互独立
[0558.86-0562.86] 因此,必须使用专用的IO指令访问IO设备
[0562.86-0568.86] 例如,下足给出的是80386处理器的IO地址空间和主存地址空间
[0568.86-0573.86] 可以看到,IO地址空间不再占用主存地址空间
[0573.86-0576.86] 因此,IO地址也成为IO端口
[0576.86-0580.96] 相应的独立编织也成为端口印设编织
[0580.96-0583.96] 从该图还可以看出,在独立编织方式中
[0583.96-0587.96] 尽管IO地址空间与主存地址空间相互独立
[0587.96-0591.96] 但是,它们有部分地址区间是重叠的
[0591.96-0595.96] 因此,必须使用专用的IO指令访问IO地址空间
[0595.96-0597.96] 也就是访问IO设备
[0597.96-0601.99] 使用访存指令访问主存地址空间
[0601.99-0605.99] 例如,这段X86会变耐码,就很好的展示了
[0605.99-0609.99] 在独立编织方式中,如何对IO设备进行访问
[0609.99-0614.99] 可以看到,对IO设备的访问,使用的是专用的IO指令IN和OUT
[0614.99-0618.99] 对主存的访问,使用访存指令MOA
[0618.99-0623.99] 请同学们注意,64K字节的IO地址空间是比较小的
[0623.99-0627.99] 相应的,地址一码逻辑就比较简单
[0627.99-0631.99] 然而,随着IO设备中,内置存主器的容量不断增大
[0631.99-0636.99] 例如显卡的显存,IO地址空间越来越紧张
[0636.99-0641.99] 因此,在PCI总线出现后,无论是统一编织,还是独立编织
[0641.99-0647.99] IO接口中的存主器都必须通过内存硬设的方式,硬设到主存空间
[0647.99-0653.31] 在同学们了解了IO接口的功能,结构以及编织号
[0653.31-0656.41] 我们来看IO接口的软件架构
[0656.41-0661.41] 在现在计算机系统中,用户并不能直接访问IO设备
[0661.41-0665.41] 必须通过操作系统间接访问并控制具体的IO设备
[0665.41-0669.50] 操作系统向用户提供层次结构的IO软件
[0669.50-0672.50] 以屏蔽复杂的IO设备细节
[0672.50-0677.63] 下图给出的就是IO接口的软件架构,主要包含三个层次
[0677.63-0683.66] 其中位于最底层的设备驱动程序,是与设备相关的IO软件部分
[0683.66-0686.66] 不同的设备对应不同的驱动程序
[0686.66-0690.79] 设备驱动程序通过具体的IO指令或仿存指令
[0690.79-0698.79] 访问IO接口中的数据缓冲基存器DBR,设备命令基存器DCR,设备状态基存器DSR
[0698.79-0702.79] 竟然与具体的IO设备进行数据和命令交互
[0702.79-0708.79] 通常情况下,设备驱动程序中还包括设备的中断服务程序
[0708.79-0716.18] 中间层是与设备无关的操作系统调用库,系统调用库通过反观指令进入内核碳
[0716.18-0721.18] 调用下层的设备驱动程序来实现系统调用库
[0721.18-0727.18] 竟然向上层提供统一的IO调用接口,屏蔽了IO设备的具体访问细节
[0727.18-0731.56] 最上层是与操作系统无关的IO库函数
[0731.56-0736.59] IO库函数,调用系统调用库函数,实现IO库
[0736.59-0742.59] 并且增加了缓冲机制,尽量减少对其下层的系统调用库的调用
[0742.59-0745.59] 竟然减少上下红切换,以提升性能
[0745.59-0751.62] IO库函数向其上层的用户,提供与操作系统无关的IO库函数
[0751.62-0758.62] 上层的用户程序,主要通过调用IO库函数来访问IO设备,与操作系统无关
[0758.62-0762.62] 因此,方面程序在不同操作系统之间移植
[0762.62-0770.62] 需要说明是,用户程序也可以直接调用系统调用库,而不调用IO库,来访问IO设备
[0770.62-0777.62] 但存在以下缺点,一个是,需要从用户态切换到内核态,会产生较大的开销
[0777.62-0780.62] 另一个是,不便于用户程序的移植
[0780.62-0787.62] 如果上层的用户程序,主要通过调用IO库函数来访问IO设备,则不存在这两个缺点
[0787.62-0794.69] 由于IO库函数增加了缓冲机制,尽量减少了对其下层的系统调用户的调用
[0794.69-0800.69] 进而减少了上下层切换,也就是用户态与内核态之间的切换
[0800.69-0803.88] 这样就可以提升性能
[0803.88-0810.88] 另外,上层的用户程序,主要通过调用IO库函数来访问IO设备,与操作系统无关
[0810.88-0814.88] 因此,方面程序在不同操作系统之间移植
[0814.88-0821.78] 在同学们了解了IO接口的功能,结构,编织,以及软件架构后
[0821.78-0824.78] 请同学们自行浏览一下IO接口的分类
[0824.78-0829.78] 这是因为IO接口的分类并没有什么复杂的原理和概念
[0829.78-0841.25] 好的,接下来,请同学们挑战几道与本节课内容相关的408考研历年真题
[0841.25-0845.25] 首先来挑战2012年的题21
[0845.25-0850.25] 请同学们暂停播放视频,思考一下,然后给出你的答案
[0850.25-0859.85] 本题的答案是选项D,大家都选对了吗?
[0859.85-0862.85] 我们来一起分析一下,如族所示
[0862.85-0866.85] 这是我们本节课给同学们介绍的IO接口的通用结构
[0866.85-0869.85] 可以看到,设备命令计存器DCR
[0869.85-0873.85] 用于接收CPU通过数据总线发来的设备控制命令
[0873.85-0878.85] 例如复位,识别,读写等,竟然实现对设备的控制
[0878.85-0881.98] 因此,选项1的叙出证券
[0881.98-0884.98] 还可以看到,设备状态计存器DSR
[0884.98-0888.98] 用于通过数据总线向CPU反馈设备状态
[0888.98-0891.98] 例如,设备就序,设备忙,设备错误等
[0891.98-0895.14] 因此,选项2的叙出证券
[0895.14-0898.14] 另外,当IO设备出发中断时
[0898.14-0902.14] 中断控制器或IO接口会将标识中断源的类型号
[0902.14-0907.14] 通过数据线传送给CPU,以便CPU处理中断
[0907.14-0910.26] 因此,选项3的叙出证券
[0910.26-0914.26] 由于我们本节课还未给同学们介绍过IO的中断驱动方式
[0914.26-0918.26] 因此,对于选项3无法判断的同学不用纠结
[0918.26-0924.26] 我们会在本张后续有关IO中断驱动方式的几次课中给同学们介绍
[0924.26-0928.30] 之后,还会请同学们再次练习这道题
[0928.30-0931.90] 希望那时同学们都能正确完成
[0931.90-0934.90] 再来挑战2014年的题21
[0934.90-0939.90] 请同学们暂停播放视频,思考一下,然后给出你的答案
[0939.90-0946.67] 本题的答案是选项第
[0946.67-0949.67] 大家都选对了吗?我们来一起分析一下
[0949.67-0955.67] 如都所示,这是本节课我们给同学们介绍的IO接口的通用结构
[0955.67-0959.67] 其中,设备命令计存器DCR,与设备状态计存器DSR
[0959.67-0962.67] 可以设计在一个计存器中
[0962.67-0966.67] 例如,高级位用于DCR,低级位用于DSR
[0966.67-0973.67] 这样设计的目的在于,简化硬件设计,节省芯片内的计存器资源,降低成本
[0973.67-0975.67] 因此,选项A的叙出证券
[0975.67-0982.74] 如都所示,这是本节课我们给同学们介绍的所有IO接口中的各计存器及存储器
[0982.74-0986.74] 均由CPU统一分配地址并进行访问
[0986.74-0990.74] 对于独立编织方式,IO地址也称为IO端口
[0990.74-0994.80] 因此,独立编织也称为端口硬设编织
[0994.80-0997.86] 从上所说,选项B的叙出证券
[0997.86-1001.86] 从该图还可以看出,采用独立编织方式时
[1001.86-1004.86] IO地址空间与主存地址空间相互独立
[1004.86-1008.86] 但是,它们可能有部分区间的地址是重叠的
[1008.86-1012.86] 因此,必须使用专用的IO指令访问IO设备
[1012.86-1015.86] 例如IO指令硬和OUT
[1015.86-1019.86] 而对主存的访问,使用的是访存指令MOV
[1019.86-1022.86] 从上所说,选项C的叙出证券
[1022.86-1029.12] 如都所示,这是我们给同学们介绍的IO接口的统一编织方式
[1029.12-1033.12] 在统一编织方式下,IO设备地址与主存地址统一编织
[1033.12-1036.12] 按不同地址区域来区分
[1036.12-1038.12] 因此,不需要专用的IO指令
[1038.12-1042.18] 统一使用访存指令就可以访问IO设备
[1042.18-1046.05] 从上所说,选项D的叙出错误
[1046.05-1049.05] 再来挑战2017年的题21
[1049.05-1054.05] 请同学们暂停播放视频,思考一下,然后给出你的答案
[1054.05-1062.69] 本题的答案是选项D,大家都选对了吗?
[1062.69-1065.69] 我们来一起分析一下,如都所示
[1065.69-1070.69] 这是本节课,我们给同学们介绍的IO接口中的数据缓冲计存器DBR
[1070.69-1075.69] 用于数据缓冲,以协调CPU与IO设备之间的速度差异
[1075.69-1082.69] CPU进行读操作时,IO接口中的DBR暂存从IO设备读取的数据
[1082.69-1087.69] 进而被CPU通过总线读取,并写入CPU中的通用计存器
[1087.69-1093.85] CPU进行写操作时,IO接口中的DBR暂存CPU送来的数据
[1093.85-1096.85] 竟然最终被输出到相应的IO设备
[1096.85-1101.23] 综上所说,本题的答案是选项D
[1101.23-1104.23] 好的,本节课到这里就结束了
[1104.23-1126.92] 请同学们快速回忆一下本节课的主要内容
[1126.92-1128.92] 同学们,我们下节课见
