[0004.05-0008.27] 同學們好 歡迎大家來到我的計算機組成原理維克堂
[0008.27-0012.51] 在上幾課中 我們給同學們介紹了維程序的設計
[0012.51-0017.61] 例如 這是採用下指字段法的BQ指令的維程序
[0017.61-0022.76] 這是採用技術技法的BQ指令的維程序
[0209.12-0213.59] 假設互制維命令字段二的內容為編碼101
[0213.59-0215.39] 這是一碼結果
[0215.39-0216.67] 一表示有效
[0216.67-0218.39] 零表示無效
[0218.47-0223.50] 這相當於激活一個有效的微操作控制信號
[0223.50-0226.14] 這兩個有效的微操作控制信號
[0226.14-0227.66] 經時間同步後
[0227.66-0231.64] 再去控制數據通路中的相關部件
[0231.64-0233.36] 需要說明的是
[0233.36-0236.88] 由於用於順序控制的判別測試字段中的
[0236.88-0240.64] 各判別測試位所對應的外部狀態條件
[0240.64-0242.64] 一般也是互制的
[0242.64-0246.52] 因此該字段也可以採用編碼表示法
[0246.52-0248.76] 如都所示
[0248.76-0250.40] 請同學們注意
[0250.40-0252.56] 每個一碼器的輸出狀態中
[0252.56-0256.16] 例如381碼器有8個輸出狀態
[0256.16-0258.19] 需要預留一個狀態
[0258.19-0259.51] 這個狀態表示
[0259.51-0262.35] 當前微指令不使用該一碼器
[0262.35-0265.83] 所對應互制微命令字段所包含的
[0265.83-0268.82] 互制微命令中的任何一個
[0268.82-0270.34] 這樣做的原因是
[0270.34-0272.54] 並不是每一條微指令
[0272.54-0276.90] 都會用到每個互制微命令字段中的微命令
[0276.90-0279.26] 下面我們通過這道立題
[0279.30-0281.42] 來進一步幫助同學們理解
[0281.42-0285.41] 微指令中操作控制字段的編碼表示法
[0285.41-0288.01] 請同學們暫停播放視頻
[0288.01-0289.77] 務必認真審題
[0289.77-0296.31] 之後我們來一起分析
[0296.31-0299.54] 先來分析本題第一問
[0299.54-0300.58] 題目給定
[0300.58-0303.86] 互制微命令字段一的長度為三位
[0303.86-0306.30] 因此互制微命令字段一
[0306.30-0308.42] 僅381碼器一碼後
[0308.42-0311.94] 共有二十三次方等於八種輸出狀態
[0311.94-0313.34] 預留一個狀態
[0313.34-0317.70] 剩餘七種狀態可表示七種微命令
[0317.70-0318.82] 題目給定
[0318.82-0322.06] 互制微命令字段二的長度也為三位
[0322.06-0324.42] 因此互制微命令字段二
[0324.42-0326.34] 僅381碼器一碼後
[0326.34-0330.14] 共有二十三次方等於八種輸出狀態
[0330.14-0331.58] 預留一個狀態
[0331.58-0335.81] 剩餘七種狀態可表示七種微命令
[0335.81-0336.89] 題目給定
[0336.89-0339.61] 判別測試字段的長度為四位
[0339.61-0341.77] 因此判別測試字段
[0341.77-0344.25] 僅四十六一碼器一碼後
[0344.25-0348.21] 共有二的四次方等於十六種輸出狀態
[0348.21-0349.57] 其中四種狀態
[0349.57-0353.47] 用於題目給定的四個外部狀態條件測試
[0353.47-0355.27] 還要預留一個狀態
[0355.27-0359.81] 剩餘十一種狀態可表示十一種微命令
[0359.81-0361.01] 總上所說
[0361.01-0363.65] 才用這種為指令格式的為指令
[0363.65-0366.77] 最多可以表示七加七加十一
[0366.77-0369.54] 等於二十五種微命令
[0369.54-0372.66] 至此本題的第一問解答完畢
[0372.66-0375.99] 我們將答案標記在旁邊
[0375.99-0379.12] 再來分析本題第二問
[0379.12-0380.72] 通過本節課之前的學習
[0380.72-0381.88] 我們知道
[0381.88-0383.76] 採用編碼表示法時
[0383.76-0388.00] 每個字段最多只能激活一個微命令
[0388.00-0390.52] 本題所採用的為指令格式中
[0390.52-0393.76] 有三個字段採用了編碼表示法
[0393.76-0396.04] 因此一條微指令中
[0396.04-0400.61] 可以同時出現的微命令最多可以有三個
[0400.61-0403.69] 至此本題的第二問解答完畢
[0403.69-0406.81] 我們將答案標記在旁邊
[0406.81-0409.52] 再來分析本題第三問
[0409.52-0410.72] 通過之前的學習
[0410.72-0411.84] 我們知道
[0411.84-0414.56] 為指令格式中的下指字段的位數
[0414.56-0416.96] 決定了採用這種為指令格式
[0416.96-0420.18] 可以表示的為指令的數量
[0420.18-0421.86] 由於每一條微指令
[0421.86-0426.01] 都存在控制存儲器中的相應地址單元中
[0426.01-0429.21] 因此為指令格式中的下指字段的位數
[0429.21-0434.38] 也決定了為指令在控制存儲器中的可循指範圍
[0434.38-0437.86] 本題中下指字段的長度為六位
[0437.86-0440.90] 因此最多可以表示二的六字方
[0440.90-0443.66] 等於六十四條為指令
[0443.66-0445.22] 由於每一條微指令
[0445.22-0449.28] 都存儲在控制存儲器中的相應地址單元中
[0449.28-0454.56] 因此控制存儲器最多需要六十四個地址單元
[0454.56-0455.84] 通過之前的學習
[0455.84-0457.04] 我們還知道
[0457.04-0458.28] 為指令的長度
[0458.28-0462.00] 決定了控制存儲器中存儲單元的程度
[0462.00-0467.52] 本題中微指令的長度為三加三加四加六等於十六位
[0467.52-0469.56] 因此控制存儲器中
[0469.56-0472.53] 每個存儲單元的長度為十六位
[0472.53-0473.73] 總上所述
[0473.73-0479.18] 本題所需控制存儲器的最大容量為六十四乘以十六位
[0479.18-0483.45] 也就是需要六十四個十六位存儲單元
[0483.45-0486.65] 至此本題的第三問解答完畢
[0486.65-0489.88] 我們將答案標記在旁邊
[0489.88-0491.96] 請同學們思考一下
[0491.96-0493.60] 如果微指令格式中
[0493.60-0496.72] 用於操作控制和判別測試的字段
[0496.72-0500.40] 都採用上解課使用的直接表示法
[0500.40-0508.96] 則所需控制存儲器的最大容量是多少呢
[0508.96-0511.36] 相信同學們都能正確完成
[0511.36-0514.94] 我們就不再追溯了
[0514.94-0517.66] 對比直接表示法和編碼表示法
[0517.66-0519.02] 不能看出
[0519.02-0522.26] 採用編碼表示法的微指令長度矯短
[0522.26-0526.70] 相應的所需控制存儲器的容量也就越小
[0526.70-0529.38] 這是採用編碼表示法的優點
[0529.38-0530.70] 但缺點是
[0530.70-0535.46] 一馬氣會輕微降低微指令的執行速度
[0535.46-0538.38] 接下來請同學們趁熱打鐵
[0538.38-0543.55] 挑戰這道與本節課內容相關的408考驗整體
[0543.55-0546.03] 請同學們暫停播放視頻
[0546.03-0547.43] 動手練習一下
[0547.43-0554.38] 然後給出你的答案
[0554.38-0556.58] 本題的答案是選項C
[0556.62-0558.46] 大家都選對了嗎
[0558.46-0560.95] 我們來一起分析一下
[0560.95-0563.75] 根據題目給定的編碼法
[0563.75-0569.30] 五個護士類和畫出如下圖所示的示意圖
[0569.30-0571.46] 題目中所謂的護士類
[0571.46-0577.05] 實際上就是操作控制字段中的五個護士微命令字段
[0577.05-0578.05] 題目給定
[0578.05-0584.54] 五個護士類分別包含7、3、12、5和6個微命令
[0584.54-0586.26] 我們將其標記在圖中
[0586.26-0589.43] 相應護士微命令字段的上方
[0589.43-0591.51] 這樣我們就可以看出
[0591.51-0593.39] 護士微命令字段一的程度
[0593.39-0594.71] 因為三位
[0594.71-0596.67] 通過381馬氣的一馬
[0596.67-0600.42] 可以有二的三次方等於八種輸出狀態
[0600.42-0602.74] 還要減去一個預留狀態
[0602.74-0606.66] 表示該字段不包含任何一個微命令
[0606.66-0608.14] 剩餘七個狀態
[0608.14-0612.23] 分別表示七個微命令中的其中一個有效
[0612.23-0613.31] 按此方法
[0613.31-0614.39] 我們可以得出
[0614.39-0618.41] 剩餘四個護士微命令字段各自的程度
[0618.41-0619.37] 進而得出
[0619.37-0622.85] 各自需要使用幾位一馬氣進行一馬
[0622.85-0626.80] 以及各一馬氣一馬輸出的狀態數量
[0626.80-0627.96] 不難看出
[0627.96-0631.79] 操作控制字段的位數至少為15位
[0631.79-0632.95] 總統所說
[0632.95-0635.90] 本題的答案是選項C
[0635.90-0640.06] 將直接表示法和編碼表示法混合使用
[0640.06-0641.70] 可在指定程度
[0641.70-0643.82] 並行性 執行速度
[0643.82-0647.86] 以及靈活性等方面進行綜合考慮
[0647.86-0648.82] 接下來
[0648.82-0651.58] 請同學們通過下面這道習題
[0651.58-0654.13] 體會混合表示法
[0654.13-0656.73] 請同學們暫停播放視頻
[0656.73-0663.77] 務必動手練習一下
[0663.77-0666.33] 相信同學們都能正確完成
[0666.33-0671.60] 我們就不再墜速了
[0671.60-0672.40] 好的
[0672.40-0675.00] 本節課到這裡就結束了
[0675.00-0677.28] 請同學們快速回憶一下
[0677.28-0695.21] 本節課的主要內容
[0695.25-0696.13] 同學們
[0696.13-0697.33] 我們下節課見
