[0004.24-0008.60] 同學們好 歡迎大家來到我的計算機組成原理維克堂
[0008.60-0011.52] 在上禮課中 我們給同學們介紹了
[0011.52-0016.92] 早期計算機採用狀態周期 節拍電位和節拍脈衝3D時序
[0016.92-0019.76] 對操作控制信號進行定時控制
[0313.26-0317.20] 我們將其繼為狀態S10
[0317.20-0319.08] 接下來的這段時間
[0319.08-0323.84] 執行周期信號和節拍電位四信號都處於有效電瓶
[0323.84-0327.42] 表示當前處於執行周期的節拍電位四
[0327.42-0331.50] 我們將其繼為狀態S11
[0331.50-0333.22] 接下來的這段時間
[0333.22-0336.34] 再次進入取指周期的節拍電位一
[0336.34-0338.93] 也就是狀態S0
[0338.93-0340.73] 接下來的這段時間
[0340.73-0343.17] 進入取指周期的節拍電位二
[0343.17-0346.22] 也就是狀態S1
[0346.22-0347.98] 接下來的這段時間
[0347.98-0350.50] 進入取指周期的節拍電位三
[0350.50-0353.50] 也就是狀態S2
[0353.50-0355.30] 接下來的這段時間
[0355.30-0357.74] 進入取指周期的節拍電位四
[0357.74-0360.39] 也就是狀態S3
[0360.39-0361.59] 以此類推
[0361.59-0365.79] 右側所示的十二個狀態會一次轉換下去
[0365.79-0367.64] 周期性循環
[0367.64-0371.38] 其中這是取指周期的四個狀態
[0371.38-0374.25] 這是計算周期的四個狀態
[0374.25-0377.50] 這是執行周期的四個狀態
[0377.50-0381.02] 請同學們觀察左側的三級時序圖
[0381.02-0382.30] 思考一下
[0382.30-0388.95] 上述各狀態之間的轉換與什麼相關
[0388.95-0389.91] 回答是
[0389.91-0393.51] 僅由節拍脈衝的下降延觸發狀態轉換
[0393.51-0395.90] 與其他的輸入無關
[0395.90-0400.30] 例如從狀態S0轉換到狀態S1
[0400.34-0403.63] 是由節拍脈衝的下降延觸發的
[0403.63-0405.67] 並且輸出信號
[0405.67-0406.79] 在本地中
[0406.79-0410.67] 也就是各狀態周期信號和節拍電位信號
[0410.67-0414.73] 只取決於有限狀態機的當前狀態
[0414.73-0416.13] 那麼這兩點呢
[0416.13-0419.79] 就是摩爾琴有限狀態機的核心特點
[0419.79-0421.27] 需要說明的是
[0421.27-0423.87] 本地與同學們在書店課程中
[0423.87-0425.43] 設計技術器時
[0425.43-0427.03] 稍有不同的事
[0427.03-0428.87] 對於本地中的各狀態
[0428.87-0431.79] 我們關心的是哪些實習訊號有效
[0431.79-0434.08] 而不是技術值
[0434.08-0434.92] 接下來
[0434.92-0438.00] 請同學們參照本地進行練習
[0438.00-0439.60] 這是我們在之前
[0439.60-0441.76] 有關數據通路的那些課中
[0441.76-0443.44] 給同學們介紹過的
[0443.44-0445.20] 密西三二的五條指令的
[0445.20-0446.20] 取締周期
[0446.20-0447.20] 計算周期
[0447.20-0448.16] 執行周期
[0448.16-0450.75] 及其各自相應的操作
[0450.75-0452.15] 這是我們上一課
[0452.15-0453.83] 請同學們畫過的
[0453.83-0455.39] 針對這五條指令的
[0455.39-0458.50] 變長指令周期的三級實習圖
[0458.50-0459.38] 接下來
[0459.38-0460.86] 請同學們畫出
[0460.86-0468.85] 該實習圖的狀態轉換圖
[0468.85-0473.97] 希望同學們都能夠正確完成
[0473.97-0475.81] 從該圖可以看出
[0475.81-0478.29] 在取締周期的最後一個狀態
[0478.29-0480.25] 也就是狀態S3
[0480.25-0481.81] 進行了分支
[0481.81-0484.41] 如果當前指令是LW指令
[0484.41-0485.85] 或SW指令
[0485.85-0487.45] 或BETU指令
[0487.45-0490.01] 則進入計算周期的第一個狀態
[0490.01-0492.34] 也就是狀態S4
[0492.34-0494.42] 如果當前指令是ADD指令
[0494.46-0495.98] 或ADDI指令
[0495.98-0498.66] 則進入執行周期的第一個狀態
[0498.66-0501.03] 也就是狀態S6
[0501.03-0502.87] 我們在本節課一開始
[0502.87-0504.79] 就給同學們介紹過
[0504.79-0507.99] 對於變長指令周期的同步控制方式
[0507.99-0510.67] 持續發生起產生的狀態周期信號
[0510.67-0512.27] 和節拍店員信號
[0512.27-0514.59] 還可能與指令一碼信號
[0514.59-0517.33] 和返回信息信號相關
[0517.33-0520.17] 可能有些同學當時無法理解
[0520.17-0521.49] 現在通過本例
[0521.49-0523.25] 就可以很好的說明
[0523.25-0525.61] 在取指周期的最後一個狀態
[0525.61-0529.61] 還有根據指令一碼信號進行狀態分支
[0529.61-0530.41] 接下來
[0530.41-0532.25] 請同學們思考一下
[0532.25-0534.61] 對該狀態轉換圖中的每一個狀態
[0534.61-0536.09] 進行編碼
[0536.09-0544.29] 或者說編號需要多少個BETU?
[0544.29-0546.61] 回答是需要4個BETU
[0546.61-0550.77] 因為4個BETU共有2的四字方等於16個組合
[0550.77-0553.80] 也就是從4個0到4個1
[0553.80-0556.48] 從中選取9個不同的組合
[0556.52-0559.80] 分別分配給狀態S0到S8
[0559.80-0562.40] 我們將給每個狀態分配的編碼
[0562.40-0564.68] 標記在他們各自的旁邊
[0564.68-0566.16] 接下來工作就是
[0566.16-0567.68] 根據狀態轉換圖
[0567.68-0569.84] 寫出狀態轉換表
[0569.84-0571.16] 這樣做的目的是
[0571.16-0572.36] 方便我們找出
[0572.36-0574.24] 持續發生起的輸入信號
[0574.24-0576.92] 與輸出信號之間的邏輯關係
[0576.92-0580.16] 也就是寫出他們之間的邏輯表達式
[0580.16-0582.12] 竟然可以根據邏輯表達式
[0582.12-0584.60] 構建相應的組合邏輯電路
[0584.60-0587.49] 最終構建出持續發生起
[0587.49-0590.01] 假設當前處於狀態S0
[0590.01-0593.48] 我們將其記錄到狀態轉換表中的現態
[0593.48-0595.96] 我們將該狀態的有效輸出信號
[0595.96-0599.36] 包括狀態週期信號和節拍列明信號
[0599.36-0602.53] 也相應的記錄在狀態轉換表中
[0602.53-0604.61] 在節拍賣充的下降岩
[0604.61-0608.45] 會從現態S0轉換到次態S1
[0608.45-0611.73] 該轉換對於本例中的5條密字32指令
[0611.73-0613.25] 情況都是一樣的
[0613.29-0616.31] 我們將其記錄在狀態轉換表中
[0616.31-0619.07] 現在將S1看作現態
[0619.07-0622.03] 我們將其記錄到狀態轉換表中
[0622.03-0624.35] 我們將該狀態的有效輸出信號
[0624.35-0627.59] 也相應的記錄在狀態轉換表中
[0627.59-0629.67] 在節拍賣充的下降岩
[0629.67-0633.34] 會從現態S1轉換到次態S2
[0633.34-0636.38] 該轉換對於本例中的5條密字32指令
[0636.38-0637.94] 情況都是一樣的
[0637.94-0641.08] 我們將其記錄在狀態轉換表中
[0641.08-0643.88] 現在將S2看作現態
[0643.88-0646.82] 我們將其記錄到狀態轉換表中
[0646.82-0649.22] 我們將該狀態的有效輸出信號
[0649.22-0652.37] 也相應的記錄在狀態轉換表中
[0652.37-0654.21] 在節拍賣充的下降岩
[0654.21-0657.89] 會從現態S2轉換到次態S3
[0657.89-0661.05] 該轉換對於本例中的5條密字32指令
[0661.05-0662.73] 情況都是一樣的
[0662.73-0665.66] 我們將其記錄在狀態轉換表中
[0665.66-0668.38] 現在將S3看作現態
[0668.38-0671.33] 我們將其記錄到狀態轉換表中
[0671.33-0673.81] 我們將該狀態的有效輸出信號
[0673.81-0676.92] 也相應的記錄在狀態轉換表中
[0676.92-0678.88] 在節拍賣充的下降岩
[0678.88-0682.32] 現態S3會根據指令一碼的結果
[0682.32-0686.82] 轉換到相應的次態如都所示
[0686.82-0689.06] 從狀態轉換圖可以看出
[0689.06-0693.42] 若為LW指令或SW指令或BEQ指令
[0693.42-0695.56] 則次態為S4
[0695.56-0698.28] 若為ADD指令或ADDI指令
[0698.28-0700.38] 則次態為S6
[0700.38-0702.18] 我們將上述兩種情況
[0702.22-0705.70] 記錄到狀態轉換表中
[0705.70-0709.09] 假設之前進入的次態為S4
[0709.09-0711.85] 現在將S4看作現態
[0711.85-0714.79] 我們將其記錄到狀態轉換表中
[0714.79-0717.03] 我們將該狀態的有效輸出信號
[0717.03-0720.30] 也相應的記錄在狀態轉換表中
[0720.30-0722.26] 在節拍賣充的下降岩
[0722.26-0725.74] 會從現態S4轉換到次態S5
[0725.74-0728.85] 我們將其記錄在狀態轉換表中
[0728.85-0738.02] 接下來請同學們將該狀態轉換表補充完整
[0738.06-0740.42] 相信同學們都能證實完成
[0740.42-0742.46] 我們就不再墜速了
[0742.46-0745.46] 從剛剛得出的狀態轉換表可以看出
[0745.46-0748.38] 有現態和次態的對應關係
[0748.38-0752.95] 因此我們需要使用狀態記存器來記錄狀態
[0752.95-0755.35] 從狀態轉換表還可以看出
[0755.35-0759.02] 每個現態都有其相應的輸出信號
[0759.02-0762.90] 因此我們可以設計相應的組合邏輯電路
[0762.90-0764.70] 該組合邏輯電路的輸入
[0764.70-0767.94] 就是來自於狀態記存器輸出的現態
[0767.94-0770.06] 而該組合邏輯電路的輸出
[0770.06-0773.82] 就是我們所需要的三級時序中的狀態周期信號
[0773.82-0775.94] 和節拍電源信號
[0775.94-0778.22] 那麼現在的關鍵問題就是
[0778.22-0782.59] 該組合邏輯電路應該如何設計呢?
[0782.59-0784.31] 我們來舉例說明
[0784.31-0785.83] 為了方便描述
[0785.83-0789.03] 我們將狀態編碼的各位從高到低
[0789.03-0792.31] 一次繼為B3、B2、B1、B0
[0792.31-0795.18] 他們由狀態記存器進行輸出
[0795.18-0800.47] 假設我們要寫出執行周期信號M1X的邏輯表達式
[0800.47-0801.51] 可以看出
[0801.51-0807.41] M1X僅在S6、S7、S8這三個狀態有效
[0807.41-0812.94] 我們寫出這三個狀態編碼的邏輯表達式
[0812.94-0818.96] 既然我們可以寫出M1X的邏輯表達式
[0818.96-0828.96] 接下來請同行寫出節拍電源T3的邏輯表達式
[0828.96-0831.12] 從狀態轉換表可以看出
[0831.12-0836.38] 節拍電源T3僅在S2和S8這兩個狀態有效
[0836.38-0841.41] 因此我們可以寫出T3的邏輯表達式
[0841.41-0842.81] 按照上述方法
[0842.81-0846.73] 我們可以寫出狀態轉換表中所有輸出信號
[0846.73-0850.29] 也就是各狀態周期信號和各節拍電源信號
[0850.29-0852.59] 各自的邏輯表達式
[0852.59-0856.06] 進而設計出相應的組合邏輯電路
[0856.06-0858.66] 另外我們還要根據狀態轉換表中的
[0858.66-0861.42] 現態與次態的轉換關係
[0861.42-0865.24] 設計實現有線狀態機的組合邏輯電路
[0865.24-0869.36] 狀態基準區輸出的現態作為有線狀態機的輸入
[0869.36-0872.72] 而有線狀態機的輸出也就是次態
[0872.72-0877.06] 作為狀態基準區的輸入作為下一個現態
[0877.06-0881.10] 除狀態基準區的輸出作為有線狀態機的輸入外
[0881.10-0883.66] 返回信息信號和指令一碼信號
[0883.66-0886.26] 也作為有線狀態機的輸入
[0886.26-0888.98] 例如根據指令一碼信號的結果
[0889.02-0894.86] 來決定 現在S3轉換到的次態是S4還是S6
[0894.86-0899.22] 另外 狀態轉換是在節拍脈衝的下降也進行的
[0899.22-0903.59] 因此 需要給狀態基準器輸入節拍脈衝
[0903.59-0906.95] 至此 我們就設計出了一種變長指令周期
[0906.95-0909.78] 三級時序的時序發生器
[0909.78-0912.94] 我們來總結一下上述設計流程
[0912.94-0918.18] 第一步是 劃分三級時期中的各狀態周期和節拍電位
[0918.18-0921.45] 也就是劃出三級時序圖
[0921.45-0927.18] 第二步是 根據三級時序圖 構建模式型有線狀態機
[0927.18-0932.41] 第三步是 根據狀態轉換圖 寫出狀態轉換表
[0932.41-0937.57] 第四步是 根據狀態轉換表 構建時序發生器
[0937.57-0942.53] 請同學們注意 有線狀態機的英文縮寫詞為FSM
[0942.53-0948.36] 有線狀態機是計算機科學中基礎且核心的建模工具
[0948.52-0951.88] 在本科階段的多門重要課程中都會出現
[0951.88-0955.60] 例如 數字邏輯設計 計算機組成原理
[0955.60-0959.88] 操作系統 計算機網絡 編譯原理等課程
[0959.88-0963.50] 有沒有同學還記得計算機網絡課程中
[0963.50-0968.01] 有線狀態機在哪裡出現過嗎?
[0968.01-0970.77] 這是哪個協議的狀態轉換圖呢?
[0970.77-0976.56] 沒錯 這是點對點協議PPP的狀態轉換圖
[0977.01-0980.41] 另外 TCP的三報文握手 建立連接
[0980.41-0985.05] 和四報文揮手釋放連接 同學們都已經非常熟悉了
[0985.05-0988.29] 同學們對其中的報文類型 發動順序
[0988.29-0990.89] 以及報文手部中的序號 確認號
[0990.89-0995.21] 以及標誌位等相關知識 在夫妻被考時比較重視
[0995.21-0998.09] 但卻忽視了其中的狀態轉換
[0998.09-1002.85] 然而 在408考研中卻偏偏出現了相關考察
[1002.85-1006.17] 例如 2021年的提38
[1006.33-1008.17] 希望同學們引起重視
[1008.17-1010.77] 這不光是為了應付考試
[1010.77-1014.25] 更重要的是 會使用有線狀態機這個工具
[1014.25-1017.52] 來解決實際應用中的一些問題
[1017.52-1020.16] 接下來 請同學們挑戰一道
[1020.16-1023.92] 與本節課內容相關的408考研整體
[1023.92-1027.52] 請同學們暫停播放視頻 思考一下
[1027.52-1029.52] 然後給出你的答案
[1029.52-1036.96] 本題的答案是選項第
[1036.96-1038.64] 大家都選對了嗎?
[1038.64-1040.96] 我們來一起分析一下
[1041.16-1042.96] 選項壁的敘述正確
[1042.96-1044.72] 這是我們在第一章
[1044.72-1047.76] 有關機關機系統的性能指標的第二次課中
[1047.76-1051.12] 就給同學們介紹過的CPU時鐘信號
[1051.12-1054.83] CPU時鐘頻率等相關基本概念
[1054.83-1058.15] 這是我們在本節課中給同學們介紹的
[1058.15-1062.39] CPU時鐘信號由經體震盪器發出的脈衝信號
[1062.39-1065.10] 經過整形和分頻得到
[1065.10-1068.66] 將其作為3D時期中的節拍脈衝信號
[1068.66-1070.98] 並輸入給時序發生器
[1071.02-1073.98] 以便時序發生器產生3D時期中的
[1073.98-1077.19] 狀態週期信號和節拍電微信號
[1077.19-1079.43] 因此 選項A的敘述
[1079.43-1083.15] 對於採用傳統3D時期的早期CPU的情況
[1083.15-1085.14] 是成立的
[1085.14-1088.62] 但很多喜歡CPU超頻的同學可能會知道
[1088.62-1092.94] 現在CPU的主流方式是通過鎖像環來倍頻
[1092.94-1095.85] 也就是提高頻率
[1095.85-1097.73] 選項C的敘述正確
[1097.73-1101.20] 這是數量課程中屬於重點介紹的內容
[1101.20-1104.08] 時鐘週期是根據相鄰狀態單元
[1104.08-1105.64] 例如計存器
[1105.64-1109.70] 之間的組合邏輯電路的最大延遲來確定的
[1109.70-1111.42] 在同步數字電路中
[1111.42-1115.26] 時鐘週期必須大於或等於這個最大延遲
[1115.26-1118.94] 包括設置時間 保持時間等輿量
[1118.94-1121.95] 以確保信號穩定
[1121.95-1124.51] 選項D的敘述是錯誤的
[1124.51-1127.71] 用本節課我們介紹過的三級時期劃分的例子
[1127.71-1129.24] 就能說明
[1129.24-1131.64] 可將三級時期中的節拍脈衝
[1131.64-1134.56] 簡單看作是CPU時鐘脈衝
[1134.56-1138.32] 在該圖最下面一行的多個時鐘脈衝信號中
[1138.32-1140.92] 只有當這個時鐘脈衝信號到來時
[1140.92-1144.46] 才處於執行週期的第一個節拍電位
[1144.46-1148.10] 綜上所述 本題的答案是選項D
[1148.10-1149.78] 順便提一下
[1149.78-1152.94] 408考研對單選題的描述是
[1152.94-1155.74] 下列每題給出的四個選項中
[1155.74-1159.38] 只有一個選項最符合詩題要求
[1159.38-1161.06] 那麼從這一意義上說
[1161.06-1165.62] 對於本題 儘管選項A的敘述並不完全正確
[1165.62-1168.62] 但是選項D的敘述錯誤更嚴重
[1168.62-1171.70] 因此本題應該選D
[1171.70-1174.98] 好的 本節課到這裡就結束了
[1174.98-1185.15] 請同學們快速回憶一下本節課的主要內容
[1185.15-1187.35] 同學們 我們下節課見
