[0004.02-0008.44] 同學們好,歡迎大家來到我的計算機組成原理威克堂
[0485.31-0488.11] 和丟位情況也應該相反
[0488.11-0489.63] 簡單來說就是
[0489.63-0491.87] 出現的空位用1天譜
[0491.87-0493.55] 若最高位丟0
[0493.55-0495.07] 則結果出錯
[0495.07-0496.67] 若最低位丟0
[0496.67-0498.94] 則精度缺失
[0498.94-0501.66] 這是負X的繁碼表示形式
[0501.66-0504.46] 我們將其與負X的原碼表示形式
[0504.46-0505.98] 和繁碼表示形式
[0505.98-0507.26] 進行對比
[0507.26-0510.22] 以便找出負數補碼的算數一位的
[0510.22-0513.08] 天譜規則和丟位情況
[0513.08-0514.28] 可以看到
[0514.28-0515.40] 負X的補碼
[0515.40-0518.20] 與其原碼的低位是相同的
[0518.20-0519.16] 因此
[0519.16-0520.84] 在算數左移時
[0520.84-0522.44] 低位出現的空位
[0522.44-0523.96] 而因天譜的內容
[0523.96-0526.68] 與其原碼算數左移時出現的空位
[0526.68-0529.40] 而因天譜的內容應該相同
[0529.40-0531.00] 即天譜0
[0531.00-0533.16] 我們用綠色進行標識
[0533.16-0536.20] 以方便同學們區分和理解
[0536.20-0537.56] 經過上述對比
[0537.56-0538.76] 我們還可以得出
[0538.76-0542.12] 負數補碼的算數一位的丟位情況
[0542.12-0543.00] 那就是
[0543.00-0544.52] 若負X的補碼
[0544.52-0547.08] 與其反碼的高位是相同的
[0547.08-0547.88] 因此
[0547.88-0549.72] 在算數右移時
[0549.72-0552.60] 高位出現的空位而因天譜的內容
[0552.60-0555.40] 與其反碼算數一位時出現的空位
[0555.40-0557.80] 而因天譜的內容應該相同
[0557.80-0559.56] 即天譜1
[0559.56-0561.96] 我們用紫色進行標識
[0561.96-0564.52] 以方便同學們區分和理解
[0564.52-0566.20] 經過上述對比
[0566.28-0567.64] 最高位丟0
[0567.64-0569.08] 則結果出錯
[0569.08-0570.52] 若最低位丟1
[0570.52-0572.67] 則進度缺失
[0572.67-0574.51] 我們將之前介紹的
[0574.51-0576.75] 算數一位的空位天譜規則
[0576.75-0579.50] 和丟位情況總結如下
[0579.50-0582.62] 以方便同學們在初學算數一位
[0582.62-0584.62] 並進行相關練習時
[0584.62-0586.62] 可以隨時查閱
[0586.62-0588.14] 但最終目的是
[0588.14-0591.50] 使同學們記住算數一位的相關知識
[0591.50-0594.36] 而不再依賴於這個表格
[0594.36-0595.16] 下面
[0595.16-0598.40] 請同學們完成幾個相關練習
[0598.40-0605.04] 首先來完成練習3
[0605.04-0607.44] 這是練習3的解析過程
[0607.44-0609.92] 相信同學們都能正確完成
[0609.92-0612.65] 我們就不再墜速了
[0612.65-0619.82] 再來完成練習4
[0619.82-0622.14] 這是練習4的解析過程
[0622.14-0624.46] 相信同學們都能正確完成
[0624.46-0627.02] 我們就不再墜速了
[0627.02-0634.86] 再來完成練習5
[0634.86-0637.26] 這是練習5的解析過程
[0637.26-0639.90] 相信同學們都能正確完成
[0639.90-0642.67] 我們就不再墜速了
[0642.67-0648.96] 再來完成練習6
[0648.96-0651.28] 這是練習6的解析過程
[0651.28-0653.60] 相信同學們都能正確完成
[0653.60-0656.32] 我們就不再墜速了
[0656.32-0662.17] 再來完成練習7
[0662.17-0664.49] 這是練習7的解析過程
[0664.49-0666.81] 相信同學們都能正確完成
[0666.81-0669.55] 我們就不再墜速了
[0669.55-0676.89] 再來完成練習8
[0676.89-0679.13] 這是練習8的解析過程
[0679.13-0681.37] 相信同學們都能正確完成
[0681.37-0683.61] 我們就不再墜速了
[0683.61-0685.53] 經過上述幾個練習
[0685.53-0689.77] 相信同學們應該可以掌握算術儀位的相關知識了
[0690.48-0696.40] 接下來,給同學們介紹有符號定點數的補碼的另一種算術儀位方法
[0696.80-0700.48] 請同學們注意,該方法僅適用於補碼
[0700.72-0705.12] 與之前介紹的符號位保持不變的算術儀位方法不同
[0705.36-0708.64] 接下來介紹的補碼的另一種算術儀位方法
[0708.80-0712.56] 符號位也參與儀位,具體規則如下
[0713.13-0716.89] 對於左儀,高位儀儲,低位填補零
[0717.13-0721.13] 移動前後,若符號發生變化,則發生溢出
[0721.53-0725.69] 對於右儀,低位儀儲,高位填補符號
[0726.03-0730.27] 接下來,我們還使用之前舉過的例子進行說明
[0730.57-0734.89] 對正數X的補碼,算術左儀儀位如圖所示
[0736.73-0740.73] 請注意,與之前介紹的算術儀位方法不同
[0740.81-0745.85] 本方法僅針對補碼,並且符號位也參與儀位
[0746.52-0750.86] 對於左儀,高位儀儲,低位補零
[0751.76-0756.96] 這是對正數X的圓碼進行算術左儀兩位和三位的結果
[0757.12-0760.56] 相信同學們都能看懂,就不再追數了
[0761.16-0766.68] 我們寫出針對X,以及將X的補碼進行算術左儀儀位
[0766.84-0770.84] 算術左儀兩位後,各自所對應的新的針值
[0771.42-0776.78] 不難看出,對於本例,算術左儀儀位後得到的新的針值
[0776.94-0780.78] 相當於原來的針值X,乘以2的1字方
[0781.40-0784.52] 算術左儀兩位後,得到的新的針值
[0784.68-0788.12] 相當於原來的針值X,乘以2的2字方
[0788.83-0792.27] 算術左儀三位後,符號位發生了變化
[0792.51-0796.67] 得到的新的針值為復數,表明發生了溢出
[0797.34-0799.58] 再來看算術右儀的情況
[0799.90-0803.42] 我們需要把小數點隱含固定在數值位的右側
[0803.42-0805.42] 以方便後續描述
[0805.72-0809.80] 對正數X的補碼算術右儀儀位如讀所示
[0811.84-0814.48] 對於右儀,低位移除
[0814.78-0816.78] 高位天補符號
[0817.71-0821.79] 對正數X的補碼算術右儀兩位如讀所示
[0824.62-0827.02] 對於右儀,低位移除
[0827.36-0829.04] 高位天補符號
[0830.75-0836.11] 我們寫出針值X,以及將X的補碼進行算術右儀儀位
[0836.19-0840.35] 算術右儀兩位後,各自所對應的新的針值
[0840.89-0843.05] 不難看出,對於本例
[0843.21-0846.09] 算術右儀一位後得到的新的針值
[0846.25-0850.22] 相當於原來的針值X,除以2的1字方
[0850.38-0853.34] 算術右儀兩位後得到的新的針值
[0853.50-0857.42] 相當於原來的針值X,除以2的2字方
[0857.66-0861.36] 但是,對於本例,出現了精度缺失
[0861.52-0865.04] 這是因為,被移除的低位包含有1
[0865.12-0867.92] 而1,出現在小數點後的第一位
[0868.08-0872.70] 該位的位權值為2的負1字方,等於0.5
[0872.86-0876.06] 接下來,請同學們使用剛剛介紹的
[0876.22-0879.82] 補碼的符號位,也參與一位的算術一位方法
[0879.98-0881.80] 完成兩個練習
[0881.96-0884.84] 這兩個練習,與我們之前舉例類似
[0885.00-0887.80] 只是針值X變為了復數
[0888.25-0890.41] 首先練習算術左儀
[0896.27-0898.67] 該練習的解析過程如下
[0898.83-0901.31] 相信同學們都能正確完成
[0901.39-0903.63] 就不再墜數了
[0903.79-0905.87] 再來練習算術右儀
[0910.48-0912.64] 該練習的解析過程如下
[0912.80-0914.96] 相信同學們都能正確完成
[0915.12-0916.84] 就不再墜數了
[0917.00-0920.12] 通過上述舉例和練習不能發現
[0920.28-0922.76] 上述這種針對有符號定點數的
[0922.92-0926.78] 補碼的算術一位方法,具有以下優點
[0926.94-0931.02] 在左儀時,由檢測出發生一出的方法
[0931.18-0934.88] 即符號位發生變化,可判定一出
[0935.04-0937.44] 符號位與數值位一起移位
[0937.60-0940.56] 方便算術邏輯單元ALU處理
[0940.72-0943.20] 這一點在我們學習本章後續
[0943.36-0946.16] 有關定點數懲罰的相關知識時
[0946.32-0948.19] 就可以體會到
[0948.35-0950.59] 另外,不罵的符號位
[0950.75-0953.31] 一起參與一位的算術一位方法
[0953.47-0956.75] 與符號位保持不變的算術一位方法相比
[0956.91-0959.52] 天譜規則更容易記憶
[0959.68-0962.40] 在同學們掌握了算術一位的方法後
[0962.56-0965.00] 我們介紹算術一位的應用
[0965.16-0968.36] 例如,假設X等於-26
[0968.52-0971.40] 我們僅用加法和算術一位操作
[0971.56-0974.27] 就可以計算X乘以3
[0974.43-0977.12] 這是X的補碼表示
[0977.28-0979.95] 我們最起算術左儀一位
[0980.11-0981.95] 結果所表示的真值
[0982.11-0986.09] 相當於原來的真值X乘以2的一處方
[0986.25-0989.05] 將X的補碼與X的補碼
[0989.21-0993.02] 算術左儀一位後的結果進行加法運算
[0993.18-0996.30] 即可得到X乘以3的補碼表示
[0996.46-0999.37] 轉換成真值為-78
[0999.53-1001.61] 從本例可以得到啟發
[1001.77-1003.45] 機器內部的乘法運算
[1003.61-1007.45] 可由加法運算和算術一位運算來完成
[1007.61-1010.89] 因此,可以不設計專門的乘法器
[1011.05-1013.56] 來降低應戰成本
[1013.72-1017.60] 接下來,我們介紹C原中的一位運算
[1017.76-1019.04] 到目前為止
[1019.20-1020.48] 我們在上節課中
[1020.64-1023.76] 介紹了針對無符號數的邏輯一位
[1023.92-1025.20] 在本節課中
[1025.36-1029.04] 介紹了針對有符號定點數的算術一位
[1029.52-1032.08] 而C原中的一位運算操作符
[1032.24-1033.76] 包括如下兩種
[1033.92-1036.72] 分別表示左儀和右儀
[1036.88-1038.40] 左儀運算操作符
[1038.56-1041.20] 對應會邊指令中的邏輯左儀
[1041.36-1044.16] 即高尾儀除,低位補零
[1044.32-1046.08] 右儀運算操作符
[1046.24-1048.64] 則根據操作數是無符號
[1048.80-1050.40] 還是有符號類型
[1050.56-1053.44] 分別對應會邊指令中的邏輯右儀
[1053.44-1055.72] 和算術右儀指令
[1055.88-1058.44] 對於邏輯右儀將低位儀除
[1058.60-1059.88] 高位補零
[1060.04-1062.84] 對於算術右儀將低位儀除
[1063.00-1066.06] 高位補原數據的符號位
[1066.22-1068.86] 例如,這是幾條C語句
[1069.02-1071.07] 進行編譯後的結果
[1071.23-1073.95] 不管是有符號整形變量SI
[1074.11-1076.91] 還是無符號整形變量USI
[1077.07-1079.23] 使用左儀運算操作符
[1079.39-1083.18] 都會被編譯成會邊指令中的邏輯左儀
[1083.18-1085.98] 而對於有符號整形變量SI
[1086.14-1088.14] 使用右儀運算操作符
[1088.30-1091.74] 會被編譯成會邊指令中的算術右儀
[1091.90-1094.70] 對於無符號整形變量USI
[1094.86-1096.94] 使用右儀運算操作符
[1097.10-1101.12] 會被編譯成會邊指令中的邏輯右儀
[1101.28-1102.88] 在本節課的最後
[1103.04-1104.88] 請同學們挑戰這道
[1105.04-1108.94] 與一位運算相關的408考驗整體
[1109.10-1111.66] 請同學們暫停播放視頻
[1111.82-1113.42] 動手練習一下
[1113.50-1115.74] 然後給出你的答案
[1120.89-1123.13] 本題的答案是選項弊
[1123.29-1124.97] 大家都選對了嗎
[1125.13-1127.13] 我們來一起分析一下
[1127.32-1131.32] 我們知道邏輯儀位針對的是無符號數
[1131.48-1134.48] 儀位後產生的空位補零即可
[1134.64-1137.68] 這是題目給定的整數X的機器數
[1137.84-1140.40] 我們首先將其視為無符號數
[1140.56-1143.10] 以便對其進行邏輯儀位
[1143.26-1147.66] 題目要求對X的機器數進行邏輯右儀儀位
[1147.74-1151.15] 如讀所示
[1151.31-1152.35] 低位儀除
[1152.51-1154.48] 高位補零即可
[1154.64-1159.21] 我們知道算數儀位的對象是有符號定點數
[1159.37-1162.80] 這是我們本節課介紹的算數儀位方法
[1162.96-1166.56] 如果題目給定的整數X是有符號數
[1166.72-1171.60] 則機器數110100就是X的補碼
[1171.76-1173.36] 最高位為符號位
[1173.52-1175.56] 取之一表示復數
[1175.72-1177.16] 我們使用上表中
[1177.32-1179.64] 復數補碼的算數儀位方法
[1179.72-1183.07] 對X的補碼進行算數儀位
[1183.23-1185.63] 題目要求算數右儀儀位
[1185.79-1189.76] 如讀所示
[1189.92-1192.44] 低位儀除高位補一
[1192.60-1193.40] 請注意
[1193.56-1197.40] 該方法中補碼的符號位不參與儀位
[1197.56-1198.76] 在本節課中
[1198.92-1203.64] 我們還介紹了有符號定點數的補碼的另一種算數儀位方法
[1203.80-1207.16] 也就是符號位也參與儀位的方法
[1207.32-1208.92] 我們再來用該方法
[1209.08-1212.72] 對X的補碼算數右儀儀位
[1212.80-1214.16] 如讀所示
[1216.72-1219.60] 低位儀除高位補符號
[1219.76-1224.36] 也就是補儀位之前的符號位的取之一
[1224.52-1225.56] 綜上所說
[1225.72-1228.30] 本題的答案是選項弊
[1228.46-1229.26] 好的
[1229.42-1231.82] 本節課到這裡就結束了
[1231.98-1234.14] 請同學們快速回憶一下
[1234.30-1236.30] 本節課的主要內容
[1252.17-1252.97] 同學們
[1253.13-1254.57] 我們下節課見
