[0003.38-0007.48] 同学们好,欢迎大家来到我的计算机组成员里维克堂。
[0450.37-0455.37] 与二定值辅典数Y的尾数MY的补码进行加法运算。
[0455.37-0463.16] 这是尾数运算后得到的新尾数的双符号补码表示。
[0463.16-0470.53] 请同学们思考一下,其表示的是规格化的尾数吗?
[0470.53-0472.53] 回答是否定的。
[0472.53-0479.53] 这是因为,该补码的最高数值位的值,对于其所表示的尾数而言,不是有效值。
[0479.53-0484.59] 因此,其所表示的尾数不是规格化的尾数。
[0484.59-0488.59] 具体来说就是,由于采用双符号补码表示,
[0488.59-0493.59] 符号位为00,表明补码和表示的真值为正数。
[0493.59-0498.59] 因此,补码的数值位与其所表示的真值是相同的。
[0498.59-0503.69] 竟然可以得出,本来一桩补码的最高数值位的值为一,
[0503.69-0507.69] 对于其所表示的尾数而言,才是有效值。
[0507.69-0511.69] 其所表示的尾数才是规格化的尾数。
[0511.69-0519.07] 因此,我们就进入了第三步,对尾数运算后得到的新尾数进行规格化。
[0519.07-0524.46] 不知同学们是否还记得,浮炼数的规格化算为
[0524.46-0530.62] 向左规格化和向右规格化,简称为左规和右规。
[0530.62-0538.62] 由于采用的是双符号补码,因此,当尾数运算后得到的新尾数的双符号补码
[0538.62-0543.62] 为这两种形式时,就要表明新尾数不是规格化的尾数。
[0543.62-0548.62] 具体原因,我们刚刚进行过解释,就不再论述了。
[0548.62-0552.87] 这种情况下,需要对尾数进行左规。
[0552.87-0560.13] 具体方法如下,尾数没左移移位,接码就相应的简移。
[0560.13-0564.13] 上述操作,直到尾数成为规格化尾数为止。
[0564.13-0569.54] 由于尾数没左移移位,接码就相应的简移。
[0569.54-0574.54] 因此,左规完成后,还需要判断接码是否下意。
[0574.54-0580.77] 对于双符号补码表示的接码,当其符号位为10尺,表明发生下意。
[0580.77-0585.83] 此时,可认为,浮点运算的最终结果为极其零。
[0585.83-0595.18] 当尾数运算后,得到的新尾数的双符号补码为这两种形式时,就要表明新尾数一出。
[0595.18-0601.50] 这在定点加减运算中是不允许的,但在浮点加减运算中,
[0601.50-0607.50] 这并不表示浮点运算的最终结果一出,可以通过右规来处理。
[0607.50-0614.79] 具体方法如下,尾数仅需要右移移位,接码相应的加一即可。
[0614.79-0621.95] 由于接码进行的加一,因此,右规完成后,还需要判断接码是否上意。
[0621.95-0629.14] 对于双符号补码表示的接码,当其符号位为零一十,表明发生上意。
[0629.14-0634.21] 此时可认为浮点运算的最终结果为无穷大。
[0634.21-0640.34] 对以上描述中,上意和下意的相关知识已经升数了的同学。
[0640.34-0647.66] 请复习第二章中有关浮点数的表示形式和表示范围纳捷克的相关内容。
[0647.66-0655.66] 对于本地,我们需要对尾数运算后得到的新尾数进行左规,一遍使其成为规格化尾数。
[0655.66-0661.85] 相应的,我们需要将新尾数的双符号补码算数左移两位。
[0661.85-0669.26] 这是左规后的结果,可以发现,有两位保留附加位直接移入了数值位。
[0669.26-0677.26] 这就是我们之前进行对接时所介绍的,用保留附加位可以提高运算精度。
[0677.26-0682.42] 由于我们对尾数运算后得到的新尾数进行了左规。
[0682.42-0687.55] 相应的,我们需要将接码-2来得到新的接码。
[0687.55-0694.55] 对于本地,也就是用以最接的二净之浮点数x的接码,ex的双符号补码,
[0694.55-0701.55] 或者是二净之浮点数外的接码,意外的双符号补码,加上符号的补码,
[0701.55-0703.71] 带入各自具体的补码。
[0703.71-0712.45] 得到结果,我们知道,当接码采用双符号补码表示时,符号位为01表示上亿,
[0713.45-0718.45] 符号位为10表示下亿,因此,本利没有溢出。
[0718.45-0725.64] 这样,我们就得到了新尾数规则化后的双符号补码,以及相应接码的双符号补码。
[0725.64-0730.22] 接下来,进入第四步,舍入处理。
[0730.22-0737.22] 经过之前的步骤,我们可以发现,在进行对接时,一定会用到算数右移,
[0737.22-0742.22] 而进行结果规则化时,可能会进行算数右移。
[0742.22-0750.22] 算数右移会导致尾数末尾的几位因超出机器自长而被丢掉,从而产生误差。
[0750.22-0755.22] 此时,机器可选择以下三种方法进行舍入处理。
[0755.22-0764.44] 结段法,就是直接丢弃超出机器自长的尾数低位,这种方法会导致误差积累。
[0764.44-0770.86] 末尾横积一法,就是将机器自长内的尾数的最低位横积为一。
[0770.86-0780.21] 这种方法会损失一位精度,但误差积累缴效,零舍一入法,类似于实际制的四舍五入法,
[0780.21-0788.21] 也就是当需要丢弃的尾数低位中的最高位为一时,将机器自长内的尾数的最低位加一。
[0788.21-0800.50] 这种方法的误差最小,但操作较复杂,还可能导致舍入处理后的尾数变成非规格化数,需要重新进行规格化。
[0800.50-0808.01] 对于本例,该位就是在对接过程中进行算数右移时被丢掉的位。
[0808.01-0814.42] 这是采用我们刚刚介绍的三种舍入处理方法,分别得到的结果。
[0814.42-0818.94] 这样,我们就得到了舍入处理后的结果。
[0818.94-0824.10] 再次提醒同学们注意,采用零舍一入的舍入处理。
[0824.10-0829.10] 若破坏规格化结果,则还需要再次进行规格化处理。
[0829.10-0840.38] 至此,我们就完成了本例的要求,也就是采用双幅号补码进行二径之辅典数X和Y的加法运算。
[0840.38-0851.15] 我们写出X加外的双幅号补码表示,它有接码的双幅号补码和尾数的双幅号补码两部分构成。
[0851.15-0856.15] 这是在尾数运算结果规格化后得到的接码的双幅号补码。
[0856.15-0868.79] 若采用零舍一入法进行舍入处理,则这是最终得到的二径之辅典数X和Y的加法运算结果的双幅号补码表示形式,
[0868.79-0873.79] 我们就不再坠述了。
[0873.79-0881.14] 再来看例二,请同学们暂停播放视频,认真阅读一下本例的要求。
[0881.14-0888.27] 好的,我们来一起分析。
[0888.27-0895.37] 首先,将本例中给令的辅典数的十净之形式转换成二净之形式。
[0895.37-0899.37] 相信同学们对接码的转换可以看懂,
[0899.37-0904.37] 但对尾数的转换,有些同学可能一时没有反应过来。
[0904.37-0907.50] 我们以辅典数X为例提示一下,
[0907.50-0912.50] 可将二十五用凑直法转换成相应的二净之形式,
[0912.50-0916.50] 而三十二看成是二的五次方,
[0916.50-0924.98] 因此二十五除以三十二可看作是将二十五的二净之形式的小数点向左移动五位。
[0924.98-0930.98] 之后,就可以写出X和Y各自接码和尾数的二净之形式了,
[0930.98-0935.20] 进而可以写出它们各自的双符号符号。
[0935.20-0940.58] 之后,就可按照辅典加减法运算的步骤进行处理了。
[0940.58-0944.62] 相信同学们可以参照例一自行完成,
[0944.62-0949.62] 我们就不再坠述了,仅给出各步骤的处理内容和结果。
[0949.62-0954.00] 这是第一步,对接的处理内容和结果。
[0954.00-0963.93] 这是第二步,尾数运算的处理内容和结果。
[0963.93-0973.25] 这是第三步,尾数运算结果规格化的处理内容和结果。
[0973.25-0980.64] 可以发现,本力出现了接码上溢,
[0980.64-0985.64] 这会导致运算结果一出,因此运算结束。
[0985.64-0990.64] 可认为运算结果为无穷大,系统会产生溢出中断。
[0990.64-0994.80] 与利益相比,本力的主要不同点有两处,
[0994.80-0999.80] 一处是本力进行的是伏点减法运算,
[0999.80-1003.80] 当然了,采用补码表示和转换成加法运算。
[1003.80-1007.99] 另一处是,本力出现了接码一出的情况,
[1007.99-1011.63] 导致运算结果一出。
[1011.63-1016.63] 接下来,请同学们趁热打铁,完成以下两个练习。
[1016.63-1021.76] 请同学们暂停播放视频,务必动手练习一下。
[1021.76-1031.02] 相信同学们都能正确完成,我们就不再锐树了。
[1031.02-1034.14] 好的,本节评到这里就结束了。
[1034.14-1037.14] 我们将本节评的内容小节如下。
[1037.14-1049.68] 同学们,我们下节评见。
