[0003.34-0007.86] 同學們好 歡迎大家來到我的計算機組成原理威克堂
[0007.86-0011.82] 從本節課開始 我們進入第二章的學習
[0011.82-0015.98] 第二章的內容是 計算機內部的數據表示
[0016.08-0020.40] 本節課 我們介紹數據表示的相關基本概念
[0020.40-0023.31] 通過第一章的學習 我們知道
[0023.31-0027.95] 電子數字計算機內部使用二進制來表示數據
[0224.68-0227.40] 那就是 高老師平時認為
[0227.40-0230.28] 本利中計存器中的二進之編碼
[0230.28-0234.30] 可能是上述四個數值呢
[0234.38-0236.86] 實際上 我是根據計算機內部
[0236.86-0240.78] 數值數據的編碼格式和規則得出的
[0240.78-0242.54] 可能有的同學聽說過
[0242.54-0245.34] 圓碼 補碼 反碼 移碼
[0245.34-0249.18] 他們都屬於計算機內部數值數據的編碼
[0249.18-0253.26] 因此 也稱為機器碼或機器數
[0253.26-0254.30] 至此呢
[0254.30-0256.22] 我們就給同學們引出了
[0256.22-0260.30] 學習本章所需具備的相關基本概念
[0260.38-0261.90] 計5符號數
[0261.90-0263.10] 有符號數
[0263.10-0264.14] 定點數
[0264.14-0265.18] 伏點數
[0265.18-0266.06] 機器碼
[0266.06-0267.82] 或稱機器數
[0267.82-0270.97] 包括圓碼 補碼 反碼 移碼
[0270.97-0271.93] 接下來呢
[0271.93-0274.87] 我們來一起梳理一遍
[0274.87-0276.79] 計算機內部參與運算的數
[0276.79-0280.84] 分為5符號數和有符號數兩大類
[0280.84-0284.90] 有符號數分為定點數和伏點數兩類
[0284.90-0289.90] 而定點數又分為定點整數和定點小數兩類
[0289.90-0295.42] 伏點數主要包括單經度伏點數和雙經度伏點數兩類
[0295.42-0297.74] 這是5符號數的格式
[0297.74-0299.98] 小寫字母b表示比特
[0299.98-0303.34] 而其下標用來表示不同的數位
[0303.34-0305.50] b0表示最低位
[0305.50-0308.06] bn-1表示最高位
[0308.06-0309.56] 共n位
[0309.56-0311.24] 對於5符號數
[0311.24-0314.12] 這n位全部用來表示數值
[0314.12-0318.12] 這就是5符號數在計算機內部的表示格式
[0318.20-0320.84] 稱為機器數或機器碼
[0320.84-0323.48] 其編碼規則非常簡單
[0323.48-0327.58] 同學們緊須掌握禁止轉換即可實現
[0327.58-0328.46] 下節課呢
[0328.46-0333.80] 我們就會介紹各種進位技術制及其之間的相互轉換
[0333.80-0336.12] 這是定點整數的格式
[0336.12-0338.12] 最高位作為符號位
[0338.12-0340.44] 用於表示數值的正負
[0340.44-0343.11] 而剩餘位作為數值位
[0343.11-0346.79] 小數點影韓固定在數值位的右側
[0346.79-0348.55] 這是定點小數
[0348.63-0351.24] 也就是純小數的格式
[0351.24-0353.32] 最高位作為符號位
[0353.32-0355.86] 用於表示數值的正負
[0355.86-0358.78] 而剩餘位作為數值位
[0358.78-0363.26] 小數點影韓固定在符號位和數值位之間
[0363.26-0367.18] 這就是定點數在計算機內部的表示格式
[0367.18-0370.17] 稱為機器數或機器碼
[0370.17-0372.01] 數值位各位取值
[0372.01-0374.57] 取決於定點數本身的數值
[0374.57-0376.25] 也稱為真值
[0376.33-0379.72] 以及計算機內部採用的編碼格式
[0379.72-0383.08] 例如圓碼、補碼、反碼、移碼
[0383.08-0386.36] 對於定點小數不採用移碼
[0386.36-0388.76] 這是單徑度負點數的格式
[0388.76-0392.68] 由一位數幅8位接碼23位偽數
[0392.68-0395.00] 或稱為圍碼構成
[0395.00-0396.79] 共32位
[0396.79-0401.35] 其中數幅與定點數中的符號位的作用相同
[0401.35-0403.62] 用來表示數值的正負
[0403.62-0406.10] 而接碼為定點整數
[0406.18-0408.42] 偽數為定點小數
[0408.42-0409.78] 他們各自的作用
[0409.78-0411.38] 我們會在之後的
[0411.38-0412.98] 負點數的表示形式
[0412.98-0416.74] 和表示範圍那些課中進行詳細介紹
[0416.74-0420.04] 本節課就不再深入介紹了
[0420.04-0422.60] 這是雙經度負點數的格式
[0422.60-0425.16] 由一位數幅11位接碼
[0425.16-0426.76] 52位偽數構成
[0426.76-0428.47] 共64位
[0428.47-0430.39] 接碼為定點整數
[0430.39-0432.92] 偽數為定點小數
[0432.92-0436.76] 這就是負點數在計算機內部的表示格式
[0436.84-0439.77] 稱為機器數或機器碼
[0439.77-0442.01] I-754標準規定
[0442.01-0444.01] 接碼採用移碼表示
[0444.01-0447.00] 偽數採用圓碼表示
[0447.00-0449.88] 如果我們掌握了上述數值數據
[0449.88-0453.24] 在計算機內部的各種編碼格式和規則
[0453.24-0456.84] 就可以將我們日常生活中熟悉的數值
[0456.84-0460.60] 轉換成可在計算機內部使用的機器碼
[0460.60-0462.28] 反之易燃
[0462.28-0464.36] 為了後續描述方便
[0464.36-0466.84] 我們將日常生活中熟悉的數值
[0466.92-0468.73] 稱為真值
[0468.73-0469.69] 另外
[0469.69-0473.53] 計算機內部使用的無符號數和有符號數
[0473.53-0475.05] 在高級語言
[0475.05-0476.81] 例如C語言中
[0476.81-0479.94] 會有相對應的數據類型
[0479.94-0480.82] 好的
[0480.82-0483.30] 本節課到這裡就結束了
[0483.30-0484.82] 在本節課中
[0484.82-0489.85] 我們介紹了學習本章內容所需的相關基本概念
[0489.85-0492.01] 在本章後續課程中
[0492.01-0493.61] 我們會一次介紹
[0493.61-0497.48] 近位技術制及其數據之間的相互轉換
[0497.48-0501.88] 定點數的圓碼、補碼、繁碼、儀碼表示方法
[0501.88-0505.29] 伏列數的表示形式和表示範圍
[0505.29-0508.30] I-754伏列數標準
[0508.30-0511.75] C語言中的數據類型及轉換
[0511.75-0512.71] 同學們
[0512.71-0514.31] 我們下節課見
