[0003.34-0007.94] 同学们好,欢迎大家来到我的计算机组成员里,威克唐。
[0163.40-0165.00] 在数字电路中,
[0165.00-0167.70] MOSFETT主要用作开关使用,
[0167.70-0171.00] 其快速响应和低导同电阻特性,
[0171.00-0174.85] 使其非常适合高速数字逻辑电路。
[0174.85-0180.45] 由于本课程讲出的是电子数字计算机的组成和工作员力,
[0180.45-0183.35] 其底层由数字逻辑电路构成。
[0183.35-0186.15] 因此,设计MOSFETT的部分,
[0186.15-0190.08] 我们将MOSFETT仅探索是开关即可,
[0190.08-0193.38] 为了使未学习过MOSFETT相关知识的同学,
[0193.38-0196.48] 也能顺利地继续学习本课程。
[0196.48-0198.68] 我们有必要给这部分同学
[0198.68-0203.01] 简单介绍一下MOSFETT如何作为开关使用。
[0203.01-0204.41] 如同所示,
[0204.41-0206.41] 这是MOSFETT的符号,
[0206.41-0208.01] 需要说明的是,
[0208.01-0210.21] 为了初学者容易看,
[0210.31-0213.07] 我们并没有使用国标符号。
[0213.07-0214.97] 这是MOSFETT的三级,
[0214.97-0217.30] 用英文字母G表示。
[0217.30-0219.10] 这是MOSFETT的原级,
[0219.10-0221.30] 用英文字母S表示。
[0221.30-0223.10] 这是MOSFETT的漏级,
[0223.10-0225.50] 用英文字母D表示。
[0225.50-0228.80] 当给MOSFETT的三级输入高电平时,
[0228.80-0231.50] 这里我们用1表示高电平,
[0231.50-0237.01] MOSFETT的原级和漏级之间就会早通。
[0237.01-0240.41] 当给MOSFETT的三级输入低电平时,
[0240.51-0243.11] 这里我们用0表示低电平,
[0243.11-0244.71] MOSFETT截止,
[0244.71-0248.71] 也就是原级和漏级之间不会早通。
[0248.71-0249.71] 因此,
[0249.71-0254.20] MOSFETT在数字电路中可看作是一个开关。
[0254.20-0257.00] 在了解了MOSFETT的开关作用后,
[0257.00-0260.70] 只要利用我们初中物理所学的电路知识,
[0260.70-0265.00] 就可以分析SRAM的存储员的工作原理了。
[0265.00-0269.10] 看看它是如何存储一位二进制信息的,
[0269.20-0273.13] 也就是如何存储比特一或比特零的。
[0273.13-0276.53] 我们将之前介绍的MOSFETT的相关内容,
[0276.53-0277.93] 所谓图例。
[0277.93-0280.83] 以方便在我们分析左侧电路时,
[0280.83-0283.68] 同学们可以随时查看。
[0283.68-0286.64] 首先来看上电后的初始状态。
[0286.64-0287.54] 此时,
[0287.54-0291.24] 航选同线X和列选同线Y上,
[0291.24-0293.64] 都输入的是无效信号,
[0293.64-0295.44] 即都是低电平,
[0295.44-0299.60] 我们用0表示如读所示。
[0299.60-0303.70] 实际上,航选同线X和列选同线Y,
[0303.70-0307.80] 可看作是我们上节课介绍的航地址1码器
[0307.80-0312.58] 和列地址1码器各自的1条1码输出线。
[0312.58-0318.37] 航选同线X用于控制T5和T6这两个MOS管。
[0318.37-0319.87] 列选同线Y,
[0319.87-0323.99] 用于控制T7和T8这两个MOS管。
[0323.99-0325.89] 因此,上电后,
[0325.89-0329.29] 上述这四个MOS管是截止的。
[0329.39-0330.39] 也就是说,
[0330.39-0334.68] 他们各自的元级和漏级之间不会导通。
[0334.68-0335.88] 而此时,
[0335.88-0338.68] T3和T4这两个MOS管,
[0338.68-0342.78] 他们各自的3级都连接的是电源VCC,
[0342.78-0346.28] 可简单认为是5V高电瓶。
[0346.28-0347.18] 因此,
[0347.18-0352.30] T3和T4各自的元级和漏级之间是导通的。
[0352.30-0355.07] 可将他们看作是上拉电阻。
[0355.07-0355.97] 因此,
[0355.97-0357.37] A点和B点,
[0357.37-0359.47] 被上拉成高电瓶。
[0359.47-0361.82] 我们用E来表示,
[0361.82-0362.82] 然而,
[0362.82-0364.62] 实际上A点和B点,
[0364.62-0366.52] 上升到高电瓶的时间,
[0366.52-0368.82] 不可能完全相同。
[0368.82-0370.12] 在本例中,
[0370.12-0373.82] 我们假设A点先上升到高电瓶。
[0373.82-0374.62] 相应的,
[0374.62-0377.91] 我们撤消掉B点的高电瓶表示,
[0377.91-0381.71] 由于A点连接到了T2这个MOS管的3级。
[0381.71-0382.61] 因此,
[0382.61-0383.91] A点的高电瓶,
[0383.91-0388.14] 会使得T2管的元级和漏级之间导通。
[0388.14-0388.94] 这样,
[0388.94-0391.14] B点就通过T2管,
[0391.14-0392.54] 连接到了途中,
[0392.54-0394.34] 标有GND的4号,
[0394.34-0395.94] 表示接地。
[0395.94-0396.84] 因此,
[0396.84-0397.94] B点的电瓶,
[0397.94-0400.04] 被拉低为D点瓶。
[0400.04-0402.39] 我们用明来表示,
[0402.39-0406.19] 由于B点连接到了T1这个MOS管的3级。
[0406.19-0407.19] 因此,
[0407.19-0408.59] B点的D点瓶,
[0408.59-0410.69] 会使得T1管截止,
[0410.69-0415.65] 也就是T1管的元级和漏级之间不会导通。
[0415.65-0416.65] 此时,
[0416.65-0417.95] A点高电瓶,
[0417.95-0419.65] 和B点低电瓶,
[0419.65-0422.78] 就形成了一个稳定的状态。
[0422.78-0424.58] 我们可以用这个状态,
[0424.58-0427.63] 表示存储了比特1。
[0427.63-0430.23] 由于此电路是最甚的,
[0430.23-0431.13] 因此,
[0431.13-0434.23] 若最初B点先上升到高电瓶,
[0434.23-0437.33] 则会形成另一个稳定状态,
[0437.33-0439.33] 也就是A点低电瓶,
[0439.33-0441.36] 和B点高电瓶。
[0441.36-0442.96] 我们可以用这个状态,
[0442.96-0445.75] 表示存储了比特0。
[0445.75-0447.05] 从上所说,
[0447.05-0450.65] SWM中的所有存储员在上电号,
[0450.65-0453.35] 其出使状态是随机的,
[0453.35-0454.45] 也就是说,
[0454.45-0457.58] 各存储员存储的内容随机。
[0457.58-0460.88] 我们基于刚才举例的这个出使状态,
[0460.88-0463.84] 继续介绍独操作的原理。
[0463.84-0465.84] 要进行独操作,
[0465.84-0470.04] 和航选通线X和列选通线Y上,
[0470.04-0472.14] 都要输入有效信号,
[0472.14-0474.04] 即都是高电瓶。
[0474.04-0475.54] 我们用E表示,
[0475.54-0477.58] 如都所示。
[0477.58-0479.68] 这样,T5到T8,
[0479.68-0480.98] 这四个貌似馆,
[0480.98-0483.18] 各自的原级和漏级之间,
[0483.18-0484.41] 导通。
[0484.41-0487.21] A点就通过T5和T7,
[0487.21-0489.78] 与微线IO连通了。
[0489.78-0492.88] B点就通过T6和T8,
[0492.88-0495.68] 与微线IO连通了。
[0495.68-0498.08] 将两个微线的输出信号,
[0498.08-0499.98] 经过查算上达7号,
[0499.98-0502.38] 就可以根据电流方向的不同,
[0502.38-0505.20] 输出不同的数据信息了。
[0505.20-0507.50] 没有学习过磨电课程的同学,
[0507.50-0508.70] 不用纠结,
[0508.70-0510.33] 了解即可。
[0510.33-0511.93] 请同学们注意,
[0511.93-0515.63] 独操作不会破坏原本存储的数据,
[0515.63-0517.53] 也就是A点和B点,
[0517.53-0518.63] 各自的电瓶,
[0518.63-0522.39] 不会因为独操作而发生改变。
[0522.39-0524.19] 我们着重提出这一点,
[0524.19-0525.89] 是因为在我们介绍完
[0525.89-0529.29] 静态随机存取存储器SRAM号,
[0529.29-0530.79] 还会给同学们介绍
[0530.79-0533.99] 动态随机存取存储器DRAM,
[0533.99-0537.49] 而DRAM的独操作是破坏性的。
[0537.49-0539.29] 因此对于DRAM,
[0539.29-0540.39] 独操作后,
[0540.39-0542.69] 必须立刻进行写操作,
[0542.69-0545.88] 来恢复原本存储的数据。
[0545.88-0546.78] 接下来,
[0546.78-0549.74] 我们介绍SRAM的写操作,
[0549.74-0551.64] 要进行写操作,
[0551.64-0555.24] 则航选通线X和列选通线Y上,
[0555.24-0557.44] 都要输入有效信号,
[0557.44-0559.24] 即都是高电瓶,
[0559.24-0561.63] 我们用1来表示,
[0561.63-0564.73] 由于我们之前刚刚介绍了独操作,
[0564.73-0567.83] 航选通线X和列选通线Y上,
[0567.83-0570.13] 都已经输入了有效信号,
[0570.13-0572.98] 就不再重复掩饰了。
[0572.98-0575.08] 由于之前举例的是,
[0575.08-0577.48] 上年后的初始稳定状态为,
[0577.48-0580.28] A点高电瓶,B点低电瓶,
[0580.28-0582.94] 表示存储的是比特1。
[0582.94-0583.84] 因此,
[0583.84-0585.34] 现在举例说明,
[0585.34-0587.74] 写入比特0的过程,
[0587.74-0590.44] 向位线IO和IO反,
[0590.44-0593.70] 分别输入低电瓶和高电瓶。
[0593.70-0594.60] 此时,
[0594.60-0597.60] A点的电瓶被拉低为低电瓶,
[0597.70-0600.60] 而B点的电瓶无法被拉高,
[0600.60-0603.80] 因为T2管仍处于导通状态,
[0603.80-0606.83] B点仍通过T2管接地,
[0606.83-0610.63] 当A点的低电瓶使得T2管截止后,
[0610.63-0614.54] B点的电瓶被拉高为高电瓶,
[0614.54-0618.04] 而B点的高电瓶使得T1管导通,
[0618.04-0621.84] 这样A点就通过T1管接地,
[0621.84-0624.76] 保持可靠的低电瓶。
[0624.76-0628.06] 在独操作或写操作完成后,
[0628.06-0633.06] 撤掉航选通线X和列选通线外上的有效信号,
[0633.06-0635.36] 也就是变为无效信号,
[0635.36-0638.81] 我们用0表示如都所示,
[0638.81-0643.40] 这会导致T5到T8这四个MOS管截止。
[0643.40-0644.30] 这样,
[0644.30-0649.10] 这部分电路就与位线IO和IO反断开了。
[0649.10-0652.90] 电源VCC通过附载管T3和T4,
[0652.90-0656.70] 持续为工作管T1或T2提供电流,
[0656.70-0658.60] 以保存信息。
[0658.70-0663.46] 只要不断电,存储员的状态就一直保持不变。
[0663.46-0669.52] 至此,我们就学习了SRAM的存储员的构成和工作原理。
[0669.52-0675.62] 最后,我们来一起总结一下SRAM的存储员的特点。
[0675.62-0678.60] 上电后的初始状态随机,
[0678.60-0681.92] 独操作不会破坏原有数据。
[0681.92-0685.02] 只要不断电,信息一直保存,
[0685.02-0687.23] 不需要刷新。
[0687.23-0691.23] 电源VCC通过附载管T3、T4,
[0691.23-0694.83] 持续为工作管T1或T2提供电流,
[0694.83-0696.33] 以保存信息。
[0696.33-0698.55] 因此功耗大,
[0698.55-0700.65] 使用经纪管的数量多,
[0700.65-0702.35] 占用金元面积大,
[0702.35-0703.55] 成本高,
[0703.55-0705.05] 价格昂贵,
[0705.05-0709.85] 因而不适合用于更高存储密度且低成本的应用,
[0709.85-0712.37] 例如PC的内存,
[0712.37-0714.77] 由于不需要动态刷新,
[0714.77-0716.57] 因此速度快。
[0716.67-0720.17] 常用于V处理器的高速缓冲存储器,
[0720.17-0723.07] 也就是Type。
[0723.07-0726.27] 好的,本节课到这里就结束了。
[0726.27-0728.47] 同学们,我们下节课见!
