[0004.30-0008.86] 同學們好 歡迎大家來到我的計算機組成原理 微課堂
[0008.86-0012.94] 本節課 我們簡單介紹一下計算機的發展
[0012.94-0017.14] 需要說明的是 等課程中所謂的計算機
[0017.14-0021.38] 除特別指名外 具體是指電子數字計算機
[0021.38-0026.54] 1936年 英國數學家艾倫.圖林在其論文
[0026.54-0030.22] 論可計算數 及其在帕尼問題上的應用中
[0030.22-0032.42] 提出了一種十分簡單
[0683.77-0685.53] 機器語言可圖性差
[0685.53-0688.02] 一出錯和難排錯
[0688.02-0690.58] 為了克服機器語言的上述特點
[0690.58-0692.58] 發展出了會邊語言
[0692.58-0694.42] 它使用一些變於記憶
[0694.42-0696.90] 並且能夠表示指令功能的註記服
[0696.90-0699.02] 來編寫程序
[0699.02-0701.34] 儘管使用會邊語言編成
[0701.42-0704.94] 比使用機器語言編成的難度有所降低
[0704.94-0706.46] 但是會邊語言
[0706.46-0709.10] 仍然是面向機器語言
[0709.10-0711.66] 人們在使用會邊語言編成前
[0711.66-0713.82] 還是要花費很多時間
[0713.82-0716.86] 熟悉所使用計算機的指令級
[0716.86-0720.30] 然後才能使用其相應的符號語言
[0720.30-0723.80] 也就是會邊語言來編寫程序
[0723.80-0726.95] 因此還是很不方便
[0726.95-0729.83] 為了使不熟悉具體計算機硬件結構
[0729.83-0731.51] 和相應指令級的人
[0731.51-0735.46] 也能很方便地為計算機編寫程序
[0735.46-0741.27] 人們又創造了各種接近於人類語言的高級語言
[0741.27-0744.87] 世界上第一個高級語言是Falcon
[0744.87-0750.98] 而最簡單和亦於初學者使用的高級語言是Basic
[0750.98-0755.67] Pasco被認為是編成語言的一個重要里程碑
[0755.67-0760.28] 而現代程序語言革命的起點是C語言
[0760.28-0762.76] 從上世紀90年代至今
[0762.84-0764.95] 是面向對象時代
[0764.95-0770.17] 最突出的特點為封裝性、繼承性和多態性
[0770.17-0773.05] 相信同學們都聽說過C++、
[0773.05-0777.58] Java、Python等面向對象編成語言
[0777.58-0779.18] 除編成語言外
[0779.18-0782.94] 操作系統也伴隨著計算機硬件的每一次核心
[0782.94-0784.54] 而不斷發展
[0784.54-0786.78] 自20世紀70年代以來
[0786.78-0788.78] 操作系統百家真名
[0788.78-0792.70] 湧現出Unix、DOS、Windows、Linux、
[0792.70-0795.67] MacOS等著名的操作系統
[0795.67-0798.95] 這部分內容會在操作系統課程中講述
[0798.95-0801.46] 本課程就不再墜速了
[0801.46-0805.94] 當前的計算機系統正朝著兩極化的趨勢發展
[0805.94-0808.66] 一極式向更微型化發展
[0808.66-0810.50] 注重在低功耗下
[0810.50-0812.42] 也能取得絞好的性能
[0812.42-0814.10] 就多用途
[0814.10-0817.78] 另一極是向更劇情化、超高速、
[0817.78-0820.86] 病情處理、智能化方向發展
[0820.86-0821.66] 目前
[0821.66-0826.22] 我國最快的超級計算機是神威太湖之光
[0826.22-0830.15] 每秒可進行9.3億次浮電運算
[0830.15-0831.27] 這個知識點
[0831.27-0834.71] 在2021年的408考試的題12
[0834.71-0837.98] 作為選擇題進行過考察
[0837.98-0839.42] 我們在之後的
[0839.42-0842.78] 計算機系統的性能指標的第二次課中
[0842.78-0845.50] 會再次遇到該知識點的考察
[0845.50-0846.62] 看看同學們
[0846.62-0850.17] 到時候能否給出正確答案
[0850.17-0851.05] 好的
[0851.05-0853.61] 本節課到這裡就結束了
[0853.61-0860.12] 我們將本節課的內容小節如下
[0860.12-0860.92] 同學們
[0860.92-0862.60] 我們下節課見
