[0003.28-0007.50] 同学们好,欢迎大家来到我的计算机组成原理,微课堂。
[0302.08-0306.40] 上述这种直接硬设规则和具体表示为,
[0306.40-0312.19] 开始行号等于主存数据夸号模上开始行的数量,
[0312.19-0316.00] 因此,直接硬设也称为模硬设,
[0316.00-0319.76] 由于该式中的各个量都是恢复整数,
[0319.76-0324.40] 因此,可将模硬算简单看作是求予运算。
[0324.40-0328.70] 我们来举例说明,假设开始共有4行,
[0328.70-0334.38] 则编号为15的主存数据夸,应该硬设到编号为多少的开始行呢?
[0334.38-0336.38] 我们来一起分析,
[0336.38-0338.43] 这是直接硬设中,
[0338.43-0342.19] 开始行号与主存数据夸号的对应关系,
[0342.48-0345.04] 带入本例改定的相关议质量,
[0345.04-0347.04] 运算结果为3,
[0347.04-0351.21] 和简单认为15除以4于数为3。
[0351.21-0353.61] 我们把本例展示到图中,
[0353.61-0355.61] 以方便同学们理解,
[0355.61-0359.13] 可以看到编号为15的主存数据夸,
[0359.13-0362.49] 应该硬设到编号为3的开始行,
[0362.49-0365.77] 不知同学们是否已经看出来了,
[0365.77-0372.33] 直接硬设等效于将主存按照开始的大小进行了分区,
[0372.65-0375.85] 每个分区包含的主存数据夸的数量,
[0375.85-0378.65] 与开始的行数是相同的,
[0378.65-0379.98] 例如,
[0379.98-0383.66] b0到bn-1这n个主存数据夸,
[0383.66-0385.66] 被划分到分区0,
[0385.66-0389.10] 与开始中的n个开始行一一对应,
[0389.10-0393.77] bn到b2n-1这n个主存数据夸,
[0393.77-0395.77] 被划分到分区1,
[0395.77-0399.29] 与开始中的n个开始行一一对应,
[0399.29-0401.00] 以此类推,
[0401.16-0407.40] bm乘以n-n到bm乘以n-1这n个主存数据夸,
[0407.40-0409.40] 被划分到分区m,
[0409.40-0413.90] 与开始中的n个开始行一一对应,
[0413.90-0416.94] 在主存数据夸有了分区号之后,
[0416.94-0422.70] 我们就没有必要对主存中的全部数据夸进行统一编号,
[0422.70-0426.73] 而是对每个分区中的第一个数据夸编号为0,
[0426.73-0429.93] 后续每个数据夸的编号以此加1,
[0430.09-0434.17] 直到该分区中的数据夸全部都编号完成,
[0434.17-0438.28] 如都所示,
[0438.28-0441.48] 这样各分区中的各个数据夸的编号
[0441.48-0446.08] 就与开始中各行开始的编号一一对应相等了,
[0446.08-0448.24] 可能有些同学已经发现了,
[0448.24-0452.08] 这样做实际上是将原来用于主存中
[0452.08-0456.24] 全部数据夸统一编号的比的数量减少了一部分,
[0456.24-0459.64] 而这部分用于给分区编号,
[0459.72-0463.00] 在同学们了解了直接硬设规则号,
[0463.00-0465.00] 请同学们思考一下,
[0465.00-0469.37] 应该如何描述主存中某个信息的位置呢?
[0469.37-0470.25] 例如,
[0470.25-0472.33] 主存中的这个信息,
[0472.33-0475.29] 它的位置应该如何描述呢?
[0475.29-0477.69] 我想同学们都会描述,
[0477.69-0484.76] 该信息位于主存数据夸分区0中的数据夸1中的某个位置,
[0484.76-0486.12] 换句话说,
[0486.12-0488.20] 在开始主存系统中,
[0488.20-0490.52] 我们可用主存分区号,
[0490.68-0492.52] 区内数据夸号,
[0492.52-0495.88] 以及数据夸内偏移这三部分,
[0495.88-0501.31] 一起来精确描述某个信息在主存中的具体位置。
[0501.31-0503.39] 我们之前刚刚分析过,
[0503.39-0509.42] 区内数据夸号与其所对应的开始行的行号是完全相等的,
[0509.42-0514.30] 那么通过区内数据夸号就可以精准的定位出,
[0514.30-0520.01] 该数据夸所映射到开始中的那个固定行的行号,
[0520.09-0520.97] 因此,
[0520.97-0525.61] 区内数据夸号也称为开始行号或开始行所引,
[0525.61-0527.64] 英文为index,
[0527.64-0532.60] 这样我们就得到了代访文信息的主存地址的构成,
[0532.60-0533.32] 其中,
[0533.32-0542.33] 主存分区号和区内数据夸号合起来可看作是代访文信息所在主存数据夸的地址,
[0542.33-0550.57] 而数据夸内偏移指出了代访文信息在主存数据夸地址所指定的那个数据夸中的具体位置,
[0551.47-0554.27] 假设主存数据夸的地址为s位,
[0554.27-0557.71] 其中区内数据夸号占r位,
[0557.71-0561.42] 剩余的s-r位作为主存分区号,
[0561.42-0564.72] 数据夸内偏移占w位,
[0564.72-0571.15] 这样我们就可以得出主存分区的数量为2-s-3个,
[0571.15-0575.77] 每个主存分区内的数据夸数量为2-3个,
[0575.77-0580.01] 这也是开始中所包含开始行的数量,
[0580.78-0585.18] 每个主存数据夸的大小为2-w-4个字节,
[0585.18-0591.72] 因此主存容量为主存分区的数量2-s-2,
[0591.72-0596.68] 乘以一个主存分区内的数据夸的数量2-2,
[0596.68-0601.96] 再乘以一个主存数据夸的大小2-w-4个字节,
[0601.96-0606.12] 等于2-s-w-4个字节,
[0606.92-0611.24] 我们之前曾介绍过每个开场中的这部分空间,
[0611.24-0613.72] 用于存放主存分区号,
[0613.72-0616.92] 用于写入策略的当数据标志位,
[0616.92-0620.49] 用于替换策略的淘汰技术等信息,
[0620.49-0626.65] 本节课我们的核心内容是直接硬设规则和相应的编织问题,
[0626.65-0631.61] 为了简单起见,我们不考虑写入策略和替换策略,
[0631.61-0635.77] 这两类策略我们将在介绍完三种硬设方式后,
[0635.85-0639.02] 用两词课分别进行介绍,
[0639.02-0641.50] 因此目前这部分空间,
[0641.50-0648.92] 我们可简单认为仅用于存放主存分区号,
[0648.92-0652.68] 这样我们还可以计算出开市的容量,
[0652.68-0658.76] 其中一个有效位加上主存分区号所占的s-r位,
[0658.76-0661.48] 再加上一个数据块的容量,
[0661.48-0664.60] 2-w-4方乘以8位,
[0664.60-0666.94] 这是一个开场的容量,
[0666.94-0672.80] 乘以n就是由n个这样的开市行组成的开市的总容量,
[0672.80-0676.16] 现在我们已经得出了直接硬设方式下,
[0676.16-0678.96] 带访文信息的主存地址的构成,
[0678.96-0681.66] 通过带访文信息的主存地址,
[0681.66-0685.82] 不但可以在主存中精确定位该信息的位置,
[0685.82-0689.58] 还可以在开市中快速查找该信息,
[0689.58-0691.42] 我们来举例说明,
[0691.42-0692.86] 如读所示,
[0692.86-0696.14] 这是主存中的某个带访文信息,
[0696.33-0698.17] 它属于分区1,
[0698.17-0703.05] 因此,它的主存地址的主存分区号部分的值为1,
[0703.05-0707.21] 由于该信息位于分区1中的数据块1中,
[0707.21-0711.05] 因此,它的主存地址的区内数据块号,
[0711.05-0715.93] 或称为开市行号或锁引部分的值为1,
[0715.93-0719.95] 假设该信息在数据块1中的旗旨位置,
[0719.95-0722.43] 距离数据块1的旗旨地址,
[0722.43-0724.03] 便移了8个字节,
[0724.27-0728.91] 因此,它的主存地址的数据块内偏一部分的值为8,
[0728.91-0732.83] 这样,我们就通过该信息的主存地址,
[0732.83-0736.67] 精确描述出了该信息在主存中的具体位置。
[0736.67-0737.88] 接下来,
[0737.88-0741.56] 我们来看看如何通过该信息的主存地址,
[0741.56-0744.44] 在开市中进行快速查找,
[0744.44-0748.76] 通过该信息的主存地址中的区内数据块号,
[0748.76-0751.88] 也就是开市行号的取值,
[0751.88-0753.72] 可以立即定位出,
[0753.80-0760.04] 或者说所引到该信息所在主存数据块所对应的开市行,
[0760.04-0762.60] 然而,通过直接印设规则,
[0762.60-0763.64] 我们知道,
[0763.64-0768.76] 主存中会有多个数据块对应开市中的某个固定行,
[0768.76-0769.88] 例如,
[0769.88-0771.16] 在本例中,
[0771.16-0775.39] 主存分区铃中的数据块1对应开市行1,
[0775.39-0779.87] 主存分区1中的数据块1也对应开市行1,
[0779.87-0781.23] 以此类推,
[0781.39-0785.96] 主存分区M中的数据块1也对应开市行1,
[0785.96-0786.84] 那么,
[0786.84-0788.12] 如何判断出,
[0788.12-0791.80] 开市行1中当前保存的主存数据块的副本,
[0791.80-0796.52] 是否就是待缓分信息所在的那个主存数据块呢?
[0796.52-0800.28] 我想现在很多同学应该能够体会到,
[0800.28-0803.80] 开市行中包含有主存分区号的作用了,
[0803.80-0805.07] 那就是,
[0805.07-0808.67] 通过比较开市行中主存分区号的取值,
[0808.83-0811.31] 与待缓分信息的主存地址中的
[0811.31-0814.27] 主存分区号部分的取值是否相等,
[0814.27-0817.55] 来判断该开市行中的数据块副本,
[0817.55-0822.27] 保存的是否就是待缓分信息所在的主存数据块,
[0822.27-0825.07] 如果相等则数据命中,
[0825.07-0828.19] 如果不相等则数据缺失,
[0828.19-0831.10] 假设在本例的开市行1中,
[0831.10-0833.66] 主存分区号的当前取值为1,
[0833.66-0836.46] 这与待缓分信息的主存地址中的
[0836.46-0839.18] 主存分区号部分的取值相等,
[0839.18-0841.36] 表明数据命中,
[0841.36-0844.16] 若该开市行中的有效位为1,
[0844.16-0847.63] 则表明该开市行中的信息有效,
[0847.63-0848.59] 于是,
[0848.59-0851.55] 通过待缓分信息的主存地址中的
[0851.55-0854.03] 数据块内偏移部分的取值,
[0854.03-0856.83] 就可在该开市行的数据块副本中,
[0856.83-0858.91] 找到待缓分信息,
[0858.91-0862.75] 进而从快速的开市中读取该信息,
[0862.75-0866.41] 而不用在慢速主存中读取该信息。
[0866.49-0868.41] 如果开始未命中,
[0868.41-0870.25] 也就是数据缺失,
[0870.25-0872.81] 或该开市行的有效位为0,
[0872.81-0875.69] 表明该开市行中的信息无效,
[0875.69-0879.21] 则需要根据待缓的信息的主存地址,
[0879.21-0884.33] 将主存中该信息所在数据块再入相应开市行,
[0884.33-0888.25] 相应的还需要将该开市行的有效位置1,
[0888.25-0891.13] 以及将该开市行的主存分区号
[0891.13-0895.45] 设置为该信息的主存地址中的主存分区号,
[0895.53-0899.00] 同时将信息送入CPU,
[0899.00-0901.64] 我们将上述过程小节如下,
[0901.64-0903.72] 以方便同学们复习,
[0903.72-0906.25] 就不再坠述了。
[0906.25-0907.13] 接下来,
[0907.13-0910.73] 我们举一说明直接映射的印加尔逻辑实现,
[0910.73-0912.17] 如读所示,
[0912.17-0914.81] 这是一个包含有4个开市行的
[0914.81-0918.25] 直接映射方式的印加尔逻辑实现,
[0918.25-0920.81] 这是各开市行中的有效位,
[0920.81-0923.40] 用英文Valid表示,
[0923.40-0926.04] 这是各开市行中的标记字段,
[0926.12-0928.59] 用英文Tig表示,
[0928.59-0930.43] 在直接映射方式中,
[0930.43-0935.50] Tig实际上就是主存地址中的主存分区号部分,
[0935.50-0939.02] 我们之前并没有使用Tig这个英文单词,
[0939.02-0944.22] 而使用了同学们更容易理解的主存分区号这个名称,
[0944.22-0948.06] 此时我们引出Tig这个英文词的目的在于,
[0948.06-0951.74] 一方面和使印加尔逻辑矿途更简洁,
[0951.74-0954.22] 因为这个英文单词比较短,
[0954.22-0957.74] 比主存分区号这个中文名称节约空间,
[0957.74-0959.02] 更重要的是,
[0959.02-0963.82] 为了与后续加尔介绍的另外两种地址映射方式中,
[0963.82-0968.04] 描述主存地址的构成时能够有统一的称位,
[0968.04-0971.56] 暂时不理解的同学也不用纠结,
[0971.56-0974.44] 当我们介绍完三种地址映射方式,
[0974.44-0976.36] 并对他们进行对立时,
[0976.36-0978.65] 大家就能体会到,
[0978.65-0983.76] 这是各开市行中用于保存数据块副本的缓中区,
[0983.92-0987.60] 加设各数据块由四个存储字构成,
[0987.60-0990.32] 计为W0到W3,
[0990.32-0993.90] 一个存储字可由一字节构成,
[0993.90-0997.34] 也可由两个四个或八个字节构成,
[0997.34-0998.62] 以此类推。
[0998.62-1000.33] 为了描述方便,
[1000.33-1002.49] 我们以存储字为单位,
[1002.49-1005.21] 而不用字节单位或比特单位,
[1005.21-1006.64] 因此,
[1006.64-1009.36] 主存地址中的数据块内偏一部分,
[1009.36-1011.36] 以存储字为单位,
[1011.90-1016.30] 将数据块内偏一部分用英文offset表示,
[1016.30-1021.26] 原因与用英文太的表示主存分析号的原因是一样的,
[1021.26-1023.39] 就不再正数了。
[1023.39-1026.51] 主存地址中的区内数据块号部分,
[1026.51-1028.59] 我们之前就介绍过了,
[1028.59-1031.23] 它实际上就是开始行号,
[1031.23-1033.31] 或称为开始行所引,
[1033.31-1035.74] 用英文index表示,
[1035.74-1039.34] 其直作为行所引一码器的输入端,
[1039.42-1043.69] 经过一码器输出相应的开始行选通信号,
[1043.69-1047.21] 该信号还连接到所选中开始行,
[1047.21-1050.76] 相关的两个三叹门各自控制端,
[1050.76-1053.00] 被选通开始行相关的,
[1053.00-1057.64] 位于这一列的那个三叹门被控制打开输出,
[1057.64-1061.96] 因此该开始行中的有效位和标记tag,
[1061.96-1065.88] 会通过三叹门输出的比较器,
[1065.88-1068.04] 被选通开始行相关的,
[1068.04-1071.96] 位于这一列的那个三叹门被控制打开输出,
[1071.96-1073.88] 因此该开始行中,
[1073.88-1076.36] 数据块数本缓冲区中的四个字,
[1076.36-1080.59] 通过三叹门输出的自选择器的输入端,
[1080.59-1085.07] 若比较器判断被选通开始行的有效位为一,
[1085.07-1087.95] 并且该行中的标记tag的值,
[1087.95-1091.31] 与主存地址中的标记tag的值相同,
[1091.31-1093.95] 则比较器输出命中信号,
[1093.95-1097.63] 该信号同时也会使能自选择器,
[1097.79-1102.51] 自选择器根据主存地址中的偏移offset值,
[1102.51-1104.75] 选择自身四个输入端中,
[1104.75-1107.55] 相应的那个输入端进行输出,
[1107.55-1111.15] 也就是输出所选中开长中,
[1111.15-1115.20] 数据块数本缓冲区中相应的那个字进行输出。
[1115.20-1118.56] 接下来,我们通过几次访问过程的举例,
[1118.56-1122.88] 加深同学们对直接映射的印证逻辑实现的理解,
[1122.88-1127.36] 看看同学们能否总结出直接映射方式的特点,
[1127.44-1129.90] 包括优点和缺点,
[1129.90-1132.78] 加设开始的触碍状态为空,
[1132.78-1135.58] 因此,各开始行的有效位,
[1135.58-1139.34] Valid,它的取值为0,如读所示,
[1139.34-1144.16] 加设带访的信息位于主存分区0中,
[1144.16-1147.36] 数据块号为3的那个数据块中,
[1147.36-1150.99] 该信息在数据块中的偏移为3,
[1150.99-1153.76] 我们将上述三个实境之数,
[1153.76-1155.84] 转换成二几个数,
[1156.00-1159.44] 以方便用于下途所示的映射逻辑,
[1159.44-1163.77] 加设主存分区号由四位二净之数构成,
[1163.77-1169.85] 因此,主存空间可划分为二的四次方等于16个分区,
[1169.85-1174.40] 从分区0到分区15,需要说明的是,
[1174.40-1177.76] 在下途中,我们并没有划出主存,
[1177.76-1180.40] 主要是因为屏幕展示空间不够,
[1180.40-1184.51] 但这并不会影响我们对问题的理解。
[1184.67-1190.03] 区内数据块号,也就是开市行号或简称index,
[1190.03-1192.43] 有两位二净之数构成,
[1192.43-1197.79] 因此,开市中包含有二的二次方等于四个开市行,
[1197.79-1200.67] 从开市行0到开市行3,
[1200.67-1204.35] 这与下途所示的映射逻辑是符合的,
[1204.35-1209.34] 数据块内偏移outside有两位二净之数构成,
[1209.34-1212.94] 因此,每个开市行的数据块副本款中区,
[1213.02-1217.18] 包含有二的二次方等于四个存主字,
[1217.18-1220.56] 从存主字w0到w3,
[1220.56-1224.32] 这与下途所示的硬件逻辑也是符合的,
[1224.32-1229.36] 将上述组存地址的二净之形式带入硬件逻辑中,
[1229.36-1232.22] 这是组存地址的十六净之形式,
[1232.22-1235.26] 目的在于方便我们进行访问记录,
[1235.26-1237.90] 通过记录几次访问过程的结果,
[1237.90-1241.66] 我们最终可以总结出,直接映射方式的特点,
[1242.20-1245.48] 这是第一个带访的信息的组存地址,
[1245.48-1249.16] 该组存地址的index部分取之为11,
[1249.16-1252.04] 经过行所引一码器一码号,
[1252.04-1254.28] 输出开市行选通信号,
[1254.28-1256.52] 高电瓶为有效信号,
[1256.52-1258.12] 我们用一来表示,
[1258.12-1263.28] 开市行选通信号还会传送到各三台门的控制端,
[1263.28-1266.56] 三台门的控制端也是高电瓶有效,
[1266.56-1270.20] 开市行号为三的开市行被选中,
[1270.54-1275.74] 由于该开市行中相应的三台门的控制端为有效信号,
[1275.74-1278.70] 因此该三台门打开输出,
[1278.70-1283.64] 这样该开市行中的有效位的值和标记tag的值,
[1283.64-1286.52] 通过该三台门到达比较切,
[1286.52-1289.53] 由于此时有效位的值为零,
[1289.53-1292.01] 表示开市行中的信息无效,
[1292.01-1295.21] 因此不用关心标记tag的值,
[1295.21-1299.36] 比较切将有效位的值与1进行比较,
[1299.44-1300.88] 发现不相同,
[1300.88-1303.20] 因此输出无效信号,
[1303.20-1304.88] 我们用零来表示,
[1304.88-1307.31] 这表明数据未命中,
[1307.31-1310.59] 该无效信号还会送入自选择器的
[1310.59-1313.60] 只能输出OE的输入端,
[1313.60-1315.92] 尽管被选中开市行中,
[1315.92-1318.00] 数据夸入数本缓中区相关的
[1318.00-1321.12] 这个三台门的控制端为有效信号,
[1321.12-1323.60] 该缓中区中的四个存储字
[1323.60-1328.00] 会通过三台门输出到自选择器的相应输入端,
[1328.08-1331.84] 并且主存地址的outside部分的取值11
[1331.84-1335.68] 会送到自选择器的选择输出控制端,
[1335.68-1339.88] 然而由于此时自选择器的输出使能OE,
[1339.88-1341.96] 输入的是无效信号,
[1341.96-1345.72] 因此自选择器并不会将所选择的
[1345.72-1348.28] 存储字W3进行输出,
[1348.28-1352.06] 因此第一次访问时数据缺失,
[1352.06-1356.06] 也就是未命中需要进行数据块载入,
[1356.30-1359.90] 将主存中带缓的信息所带的数据块
[1359.90-1363.18] 载入到开始中被选通的开始行中的
[1363.18-1368.32] 数据块复本缓中区中,如都所示,
[1368.32-1370.00] 将带缓的信息的
[1370.00-1372.64] 主存地址中的标记Tig的值
[1372.64-1376.67] 复制到被选通的开始行中的Tig中,
[1376.67-1380.59] 还要将被选通的开始行中的有效位置一,
[1380.59-1384.72] 表示该开始行中的信息是有效的,
[1384.72-1387.04] 最后将该开始行中
[1387.04-1392.70] 数据块数据缓中区中的存储字W3送CPU即可,
[1392.70-1393.82] 接下来,
[1393.82-1396.38] 依次访问这两个主存地址,
[1396.38-1399.10] 请同学们暂停播放视频,
[1399.10-1402.14] 参照之前的分析、自行分析,
[1402.14-1404.78] 请大家务必动手练习一下,
[1404.78-1408.14] 不要有为难情绪,也不要浮躁,
[1408.14-1416.54] 希望同学们都能正确完成,
[1416.54-1419.96] 接下来访问这个主存地址,
[1419.96-1422.60] 请同学们暂停播放视频,
[1422.76-1424.28] 自行分析一下,
[1424.28-1431.55] 看看是否会出现新的情况,
[1431.55-1433.95] 这次访问数据命中,
[1433.95-1437.48] 接下来访问这个主存地址,
[1437.48-1439.96] 请同学们暂停播放视频,
[1439.96-1441.40] 自行分析一下,
[1441.40-1444.60] 看看是否会出现其他新的情况,
[1444.60-1451.69] 这次访问数据缺失,
[1451.69-1456.81] 需要从主存中再入相应数据块到选通的开始行,
[1456.81-1460.33] 由于该开始行之前存有数据块,
[1460.49-1463.21] 因此我们称为替换,
[1463.21-1468.88] 替换后还要将该开始行中的标记Type进行相应更新,
[1468.88-1471.36] 通过上述举例可以看出,
[1471.36-1475.68] 采用直接映射方式在开始还有空行的情况下,
[1475.68-1480.24] 就可能会出现替换开始行中原有数据块的情况,
[1480.24-1482.96] 或者说是出现了冲突,
[1482.96-1485.90] 因此开始利用率不高,
[1485.98-1490.94] 这次相信同学们对直接映射方式有了一定的了解,
[1490.94-1494.22] 但是还不能达到熟练掌握的程度,
[1494.22-1498.94] 而这部分内容是各级考试中常考的重点内容,
[1498.94-1503.39] 因此下期课我们安排了相应的习题课,
[1503.39-1504.99] 在本节课的最后,
[1504.99-1508.73] 我们来一起总结一下直接映射的特点,
[1508.73-1513.53] 每个主存数据块映射到开始中的一个固定行,
[1513.61-1519.39] 这会导致开始利用率低,命中率低,冲突率高,
[1519.39-1526.30] 也就是开始未满时也可能出现需要进行数据块替换的情况,
[1526.30-1529.02] 对于快速查找的硬件实现,
[1529.02-1531.42] 直接映射方式的成本脚低,
[1531.42-1534.70] 仅需要一码器和一个比较器,
[1534.70-1541.29] 而不像之后将会介绍的全相连映射需要相连存主器来实现,
[1541.37-1546.43] 因此直接映射方式适合于大容量开始使用,
[1546.43-1550.89] 另外直接映射方式的替换算法较为简单,
[1550.89-1555.56] 如果访问不命重,则直接替换相应开始行即可,
[1555.56-1559.24] 但是若该开始行存在当数据,
[1559.24-1564.84] 则需要将当数据写入二级存主器以保证数据一致性,
[1564.84-1567.72] 这一点我们之前并没有提及,
[1567.72-1570.57] 相信同学们也能够理解。
[1570.73-1574.01] 好的,本节课到这里就结束了,
[1574.01-1576.73] 同学们,我们下节课见!
