[0003.18-0007.34] 同学们好,欢迎大家来到我的计算机组成原理维克堂。
[0254.16-0275.18] 综上所述,本题的答案是选项A,实际上对于上述三种寻指方式的总结,我们不光在理论课教学中进行过,在上节课最后,还安排同学们填写了该表格进行总结和复习,其中也包含有上述三种寻指方式。
[0275.18-0282.66] 因此,本题实际上是一道送分题,相信同学们都能正确完成本题。
[0283.20-0292.64] 再来挑战2013年的题17,请同学们暂停播放视频,动手练习一下,然后给出你的答案。
[0292.64-0314.06] 你的答案是选项D,大家都选对了吗?我们来一起分析一下,如同所示,这是主存,这是题目给令的主存中的某条变质寻指指令,这是指令中寻指方式自断。
[0314.38-0341.38] 其指与本题无关,我们用一串新号来表示,这是指令中寻指编号自断,其指给出了使用哪个寻指作为辨指寻指,题目并未给出其具体指,即为R即可,这是指令中形式地址自断,其指作为偏音量,需要与辨指寻指的内容相加,进而得到操作数的主存地址。
[0341.54-0349.82] 题目给令,该指为16进指数2000,这是地址为16进指数10000的主存单元。
[0349.82-0358.68] 题目给令,其内容为16进指数2000,这是地址为16进指数200000的主存单元。
[0358.68-0367.26] 题目给令,其内容为16进指数30000,这是地址为16进指数30000的主存单元。
[0367.42-0380.08] 题目给令,其内容为16进指数40000,这是CPU内的通用计存器组,假设该计存器就是本题所用到的辨指计存器。
[0380.08-0391.01] 题目给令,其内容为16进指数10000,通过辨指寻指指令中,计存器编号自断的值,就可找到相应的辨指计存器。
[0391.25-0403.89] 将辨指计存器中的内容与辨指寻指指令中形式地址自断的值,也就是偏一辆相加,就可得到该辨指寻指指令的操作数的主存地址30000。
[0403.89-0410.88] 通过该主存地址就可以对其相应存主单元中的操作数40000进行访问。
[0411.36-0424.88] 综上所说,本题的答案是选项D,再来挑战2014年的提示期,请同学们暂停播放视频,动手练习一下,然后给出你的答案。
[0424.88-0433.23] 本题的答案是选项A,大家都选对了吗?
[0433.23-0440.51] 我们来一起分析一下,根据题目中的关键词,补码,取之范围。
[0440.91-0456.24] 我们立刻就可以排除掉选项B和D,因为他们都不是补码的正确表示范围,而选项A是16位补码的表示范围,选项C是17位补码的表示范围。
[0456.24-0463.90] 这是同学们在学习完本课程第二章,有关补码的相关知识后,就应该熟练掌握的内容。
[0464.06-0471.66] 具体来说就是,相同位数的补码,圆码,反码,补码能够多表示一个最小负数。
[0471.66-0475.81] 那么,同学们还记得8位补码的表示范围吗?
[0475.81-0481.02] 没错,就是负得128,到正的127。
[0481.02-0486.46] 接下来,我们根据题,画出题目给定的该指定的格式。
[0486.46-0492.78] 这是指定的操作码字段,题目给定,其中还包含有寻指方式位,
[0492.94-0497.90] 也就是还包含有我们理论课中介绍过的寻指方式字段。
[0498.00-0504.40] 这是原操作数所在的基存器的编号字段,用于基存器直接寻指,
[0504.40-0508.80] 也就是我们理论课中介绍过的基存器寻指。
[0508.80-0515.23] 这是目的操作数所用的基纸基存器的编码字段,用于基纸寻指。
[0515.23-0519.10] 这是用于基纸寻指的偏一辆字段,
[0519.26-0523.02] 题目给定,采用32位定常指定字。
[0523.02-0527.74] 换句话说,该计算机采用32位定常指定系统,
[0527.74-0532.06] 指定系统中的每种指定的长度都是32位,
[0532.06-0538.69] 题目给定,操作码字段为8位,而指定中其他3个字段各自的位数,
[0538.69-0545.14] 题目并没有直接给出,需要我们根据题目所给的条件自行分析出来。
[0545.30-0549.06] 题目给定,基算机有16个通用基存器,
[0549.06-0553.86] 因此原操作数所在的基存的编码字段的位数为4,
[0553.86-0560.82] 因为二的四字方有16种组合,每一种组合作为一个通用基存器的编号。
[0560.98-0566.10] 题目给定,基纸基存器也可使用任意一个通用基存器,
[0566.10-0571.86] 因此目的操作数所用的基纸基存器的编码字段的位数也为4,
[0572.02-0577.84] 这样我们就可以得出,用于基纸寻找的天一辆字段的位数为16,
[0577.84-0581.44] 题目给定,该字段的值用补码表示,
[0581.44-0587.04] 因此我们只要写出16位补码的表示范围,即可得出本题的答案。
[0587.04-0589.87] 这是16位补码的表示范围,
[0589.87-0594.16] 综上所说,本题的答案是选项A,
[0594.16-0597.58] 再来挑战2016年的题17,
[0597.58-0600.30] 请同学们暂停播放视频,
[0600.38-0603.34] 思考一下,然后给出你的答案,
[0603.34-0610.77] 你的答案是选项C,
[0610.77-0612.53] 大家都选对了吗?
[0612.53-0614.83] 我们来一起分析一下,
[0614.83-0618.99] 本题考察的就是我们理论课中给同学们介绍过的
[0618.99-0621.39] 其中一种复合寻止方式,
[0621.39-0624.48] 即变成寻止,加间接寻止。
[0624.48-0627.12] 我们在课后练习的这两两个中,
[0627.12-0629.20] 也请同学们填写过,
[0629.20-0633.20] 这种复合寻止方式计算操作数有效地址的方法,
[0633.44-0638.64] 因此,本题与我们之前做过的2011年的题16一样,
[0638.64-0640.24] 属于送分题,
[0640.24-0643.07] 相信同学们都能正确完成,
[0643.07-0644.91] 但是作为西提克,
[0644.91-0646.75] 我们一起再来复习一遍,
[0646.75-0648.99] 变成寻止,加间接寻止,
[0648.99-0650.67] 这种复合寻止方式,
[0650.67-0653.07] 计算操作数有效地址的方法,
[0653.07-0656.03] 那就是先进行变成寻止,
[0656.03-0658.59] 得到存放操作数有效地址的,
[0658.59-0660.11] 主存单元的地址,
[0660.11-0662.75] 然后再进行间接寻止,
[0662.91-0665.63] 得到操作数的有效地址,
[0665.63-0666.83] 总上所说,
[0666.83-0669.90] 本题的答案是选项C,
[0669.90-0672.94] 再来挑战2017年的题15,
[0672.94-0675.58] 请同学们暂停播放视频,
[0675.58-0676.78] 思考一下,
[0676.78-0678.62] 然后给出你的答案,
[0678.62-0686.10] 本题的答案是选项D,
[0686.10-0687.78] 大家都选对了吗?
[0687.78-0690.02] 我们来一起分析一下,
[0690.02-0694.02] 本题与我们之前做过的2011年的题16,
[0694.02-0696.58] 2016年的题17一样,
[0696.58-0698.42] 属于送分题,
[0698.42-0700.10] 但是作为习的课,
[0700.10-0702.34] 我们一起再来复习一遍,
[0702.34-0703.78] 题目四个选项,
[0703.78-0707.92] 各自给出的操作数寻止方式的特点和用途,
[0707.92-0710.96] 才有选项A给出的相对寻止方式,
[0710.96-0713.20] 在进行程序设计时,
[0713.20-0717.20] 只需给定指令与操作数之间的相对距离,
[0717.20-0721.63] 而不必关心操作数在主存中的绝对地质,
[0721.63-0724.94] 可用于实现共享代码的浮动,
[0724.94-0727.50] 相对寻止方式的另一个用途是,
[0727.58-0729.90] 实现程序跳转执行,
[0729.90-0733.26] 我们本节课挑战的第一道408真题,
[0733.26-0736.14] 也就是2009年的题16,
[0736.14-0738.83] 就体现了这个用途,
[0738.83-0742.27] 才用选项B给出的计存器寻止方式,
[0742.27-0745.39] 取操作数不需要访问慢速主存,
[0745.39-0747.87] 而是从高速计存器获取,
[0747.87-0750.59] 因此,指令执行速度快,
[0750.59-0753.79] 另外,由于通用计存器的数量少,
[0753.79-0756.75] 因此所需的形式地址的位数就少,
[0756.83-0759.07] 有利于缩短指令自长,
[0759.07-0761.22] 节省存住空间,
[0761.22-0764.58] 才用选项C给出的直接寻止方式,
[0764.58-0766.42] 操作数的地址直观,
[0766.42-0768.90] 无需专门计算操作数的地址,
[0768.90-0771.86] 然而,形式地址的位宽有限,
[0771.86-0774.34] 限制了操作数的寻止范围,
[0774.34-0777.70] 另外,操作数的地址位于指令中,
[0777.70-0779.98] 因此不方便修改,
[0779.98-0783.18] 才用选项D给出的变质寻止方式,
[0783.18-0785.50] 变质计存器的内容可变,
[0785.50-0787.82] 而形式地址的值设定后,
[0787.82-0790.86] 指定执行过程中将保持不变,
[0790.86-0794.22] 变质计存器的位数大于形式地址的位数,
[0794.22-0795.82] 扩大了寻止范围,
[0795.82-0798.30] 可表示整个存住空间。
[0798.30-0799.70] 从上所述,
[0799.70-0804.10] 变质寻止方式主要应用于对数组元素的访问,
[0804.10-0808.34] 将数组的手地址复制给指令中的形式地址,
[0808.34-0811.62] 使变质计存器的值按顺序变化,
[0811.78-0816.18] 就可以对数组中的个元素进行相同的操作。
[0816.18-0817.38] 从上所述,
[0817.38-0820.22] 本题的答案是选项D,
[0820.22-0821.02] 另外,
[0821.02-0822.30] 在理论课中,
[0822.30-0828.70] 我们还给同学们对比了变质寻止与积止寻止这两种操作数寻止方式,
[0828.70-0832.70] 他们计算操作数有效地址的方法是非常类似的,
[0832.70-0835.10] 但他们有各自的用途,
[0835.10-0838.06] 变质寻止方式是面向用户的,
[0838.06-0841.58] 该寻止方式的用途就是本题的考察点,
[0841.74-0843.82] 我们刚刚复习过,
[0843.82-0846.94] 而积止寻止方式是面向系统的,
[0846.94-0849.34] 主要用于程序的重定位,
[0849.34-0853.61] 也就是使用虚拟地址编程的多道程序设计,
[0853.61-0856.94] 再来挑战2018年的题十八,
[0856.94-0859.66] 请同学们暂停播放视频,
[0859.66-0861.30] 动手练习一下,
[0861.30-0863.34] 然后给出你的答案,
[0863.34-0869.85] 题的答案是选项D,
[0869.85-0871.65] 大家都选对了吗?
[0871.65-0874.00] 我们来一起分析一下,
[0874.00-0877.16] 我们之前刚刚做过的2017年的题十五,
[0877.16-0880.52] 是考察变质寻止方式的主要用途,
[0880.52-0884.34] 也就是对数组的循环访问的送分题,
[0884.34-0887.50] 而紧接着的这到2018年的题十八,
[0887.50-0892.50] 就是采用变质寻止方式对数组循环访问的具体考察,
[0892.50-0896.90] 比上一年的同一知识点的题目难度有所加大,
[0896.90-0899.26] 我们首先写出题目给令的
[0899.26-0904.45] Double型数组A中每个元素的长度也就是八字节,
[0904.45-0907.19] 如读所示,这是主存,
[0907.19-0911.78] 这是题目给令的主存中的某条变质寻止质量,
[0911.78-0916.54] 假设该位置就是题目给令的数组A的手地质,
[0916.54-0918.94] 16进质数2000,
[0918.94-0924.38] 由于我们之前已经得出了数组A的每个元素的长度为八字节,
[0924.38-0927.62] 因此,从该位置开始的八个字节,
[0927.66-0930.34] 存储的是数组A中的第一个元素,
[0930.34-0931.86] 借A0,
[0931.86-0935.14] 为了能够对数组A进行循环访问,
[0935.14-0938.18] 变质寻止指令中的形式地质自断的值,
[0938.18-0942.82] 就应该设置为数组A的手地质,
[0942.82-0945.30] 从该地质开始的八个字节,
[0945.30-0948.10] 存储的是数组A中的第二个元素,
[0948.10-0950.26] 借A1,
[0950.26-0953.32] 这是CPU内的通用计存器组,
[0953.32-0957.08] 通过变质寻止指令中计存器编号自断的值,
[0957.12-0960.58] 就可找到相应的变质计存器,
[0960.58-0961.66] 题目给定,
[0961.66-0964.98] 变质计存器用于保存数组的下标,
[0964.98-0966.80] 出值为0,
[0966.80-0967.88] 题目给定,
[0967.88-0970.60] 每次循环取一个数的元素,
[0970.60-0975.23] 且KED指为变质计存器的值乘以八字节,
[0975.23-0976.11] 例如,
[0976.11-0978.39] 对于数组A的第一个元素,
[0978.39-0979.87] 且KED指为,
[0979.87-0982.31] 变质计存器的出值0乘以八,
[0982.31-0983.85] 等于0,
[0983.85-0988.61] 将KED指0与变质寻止指令中形式地址自断的值,
[0988.61-0992.33] 也就是数组A的主存手地址相加,
[0992.33-0997.77] 这样就可以得出数组A的第一个元素A0的主存地址,
[0997.77-1001.26] 竟然可以取出该数组元素,
[1001.26-1002.34] 题目给定,
[1002.34-1004.58] 每取完一个数组元素,
[1004.58-1007.43] 变质计存器的内容自动加1,
[1007.43-1008.31] 此时,
[1008.31-1009.55] KED指为,
[1009.55-1011.75] 变质计存器的值1,
[1011.75-1012.75] 乘以八,
[1012.75-1014.14] 等于八,
[1014.14-1018.50] 将KED指8与变质寻止指令中形式地址自断的值,
[1018.50-1021.90] 也就是数组A的主存手地址相加,
[1021.90-1023.54] 这样就可以得出,
[1023.54-1026.86] 数组A的第二个元素A1的主存地址,
[1026.86-1029.80] 竟然可以取出该数组元素,
[1029.80-1030.96] 以此类推,
[1030.96-1033.16] 这是题目要求我们回答的,
[1033.16-1036.24] 当某次循环所取数组元素的地址为,
[1036.24-1038.80] 16进质数21010,
[1038.80-1040.72] 则进入该次循环时,
[1040.72-1043.38] 变质计存器的内容是多少,
[1043.38-1044.86] 我们假设此时,
[1044.86-1047.61] 变质计存器的内容为X,
[1047.61-1048.45] 此时,
[1048.45-1052.45] KED指为变质计存器的值X乘以八,
[1052.45-1054.39] 等于8X,
[1054.39-1059.67] 将KED指8X与变质寻止指令中形式地址自断的值,
[1059.67-1063.19] 也就是数组A的主存手地址相加,
[1063.19-1065.03] 这样就可以得到,
[1065.03-1066.67] 进入该次循环时,
[1066.67-1069.12] 所取数组元素的地址,
[1069.12-1069.92] 这样,
[1069.92-1072.84] 我们就得到了求解X的表达式,
[1072.84-1075.80] 解得X等于32,
[1075.80-1076.88] 也就是说,
[1076.88-1078.72] 进入该次循环时,
[1078.72-1082.24] 变质计存器的内容自动增加到了32,
[1082.24-1083.72] 由于题目给定,
[1083.72-1087.08] 变质计存器用于保存数组下标,
[1087.08-1088.00] 因此,
[1088.00-1091.95] 此次读取的是数组A的元素A32,
[1091.95-1093.11] 从上所述,
[1093.11-1095.88] 本题的答案是选项B,
[1095.88-1098.92] 再来挑战2019年的提示物,
[1098.92-1101.48] 请同学们暂停播放视频,
[1101.48-1103.08] 动手练习一下,
[1103.08-1105.04] 然后给出你的答案,
[1109.90-1112.18] 本题的答案是选项D,
[1112.18-1114.02] 大家都选对了吗?
[1114.02-1116.54] 我们来一起分析一下,
[1116.54-1119.82] 本题除了考查操作数寻找方式外,
[1119.82-1123.54] 还考查主存中数据的存放方式,
[1123.54-1126.58] 也就是大端和小端方式,
[1126.58-1127.62] 题目给定,
[1127.62-1130.30] 操作数采用机制寻找方式,
[1130.30-1131.50] 因此可知,
[1131.50-1134.06] 操作数的主存地址等于,
[1134.06-1137.66] 机制计存器的内容加形式地址,
[1137.66-1141.55] 将题目给定的相关椅子量带入干式,
[1141.55-1145.35] 即可得到操作数的主存地址,
[1145.35-1149.46] 这是题目给定的指令中操作数的机器术,
[1149.46-1150.90] 这是主存,
[1150.90-1151.94] 题目给定,
[1151.94-1154.46] 主存按字节编制,
[1154.46-1161.00] 假设该处就是存放指令中操作数的机器术的主存手地址,
[1161.00-1165.46] 由于题目给定的操作数的机器术为四个字节,
[1165.46-1166.30] 因此,
[1166.30-1167.98] 此后的三个字节,
[1167.98-1171.57] 也是用来存放该操作数的机器术,
[1171.57-1174.49] 这是相应的主存地址,
[1174.49-1175.53] 题目给定,
[1175.53-1178.31] 采用大端方式进行存储,
[1178.31-1183.23] 也就是将数据的高字节保存在主存的低地址中,
[1183.23-1188.02] 而数据的低字节保存在主存的高地址中,
[1188.02-1191.78] 这是操作数的机器数的最高有效字节,
[1191.78-1194.68] 这是题最低有效字节,
[1194.68-1196.72] 按照大端方式的规则,
[1196.72-1198.60] 最高有效字节,
[1198.60-1201.90] 因保存在主存的低地址,
[1201.90-1205.36] 以此类推,
[1205.36-1207.68] 相信同学们已经发现了,
[1207.68-1209.32] 根据得到的结果,
[1209.32-1211.68] 本题的答案是选项B,
[1211.68-1215.66] 这与标准答案给出的选项B是不同的,
[1215.66-1217.62] 请同学们思考一下,
[1217.62-1221.46] 高老师错在哪里了,
[1221.46-1222.94] 错误的原因在于,
[1222.94-1226.06] 机子计存器的内容是无符号数,
[1226.06-1229.54] 而形式地址是有符号数,可正可负,
[1229.54-1231.38] 用补马表示,
[1231.38-1233.06] 直接将二点相加,
[1233.06-1235.45] 得到的结果是错误的,
[1235.45-1237.77] 我们应当将形式地址的补马,
[1237.77-1240.27] 转换成相应的真值,
[1240.27-1243.22] 结果如下,
[1243.22-1245.62] 这样得出的操作数的主存地址,
[1245.62-1247.54] 才是正确的,
[1247.54-1250.42] 我们将右侧示意途中的相关地址,
[1250.42-1252.50] 更新为正确值,
[1252.50-1253.26] 这样,
[1253.26-1258.27] 本题的结果与标准答案给出的选项D就符合了,
[1258.27-1260.27] 将补马转换成真值,
[1260.27-1262.95] 应该是同学们在学习完第二章,
[1262.95-1264.95] 有关补马的那节课号,
[1264.95-1267.15] 就应该熟练掌握的基本功,
[1267.15-1269.54] 我们就不再赘述了,
[1269.54-1270.34] 另外,
[1270.34-1272.94] 在进行十六进制检法时,
[1272.94-1276.30] 可以模仿二进制检法中的记忆一当二,
[1276.30-1280.20] 对于十六进制检法时记忆一当十六,
[1280.20-1283.08] 再来挑战二零二零年的题十六,
[1283.08-1285.76] 请同学们暂停播放视频,
[1285.76-1287.36] 动手练习一下,
[1287.36-1294.20] 然后给出你的答案,
[1294.20-1296.32] 本题的答案是选项A,
[1296.32-1298.16] 大家都选对了吗?
[1298.16-1300.58] 我们来一起分析一下,
[1300.58-1303.62] 由于主存地址为无符号数,
[1303.62-1304.42] 因此,
[1304.42-1307.71] 选项C和D可以首先排除,
[1307.71-1310.59] 本题是对直接寻止方式的考察,
[1310.59-1313.30] 这是相应的指定格式,
[1313.30-1314.26] 题不给定,
[1314.26-1317.02] 指定字长为十六位,
[1317.02-1318.66] 为了方便描述,
[1318.66-1322.42] 我们假设指定中的操作码字段有X位,
[1322.42-1324.98] 寻止方式字段有Y位,
[1324.98-1327.79] 形式地址字段有Z位,
[1327.79-1328.87] 题不给定,
[1328.87-1331.51] 指定系统有48条指定,
[1331.51-1332.43] 因此,
[1332.43-1337.15] 操作码字段的位数X应满足下式,
[1337.15-1339.83] 解得X至少为6,
[1339.83-1342.19] 这样至少可有二的六次方,
[1342.19-1344.35] 等于64种组合,
[1344.35-1347.27] 每种组合用来表示一条指定,
[1347.27-1350.67] 满足题目给定的48条指定,
[1350.67-1351.75] 题目给定,
[1351.75-1354.95] 指定系统支持4种寻止方式,
[1354.95-1355.87] 因此,
[1355.87-1357.71] 寻止方式字段的位数外,
[1357.75-1360.31] 因满足下式,
[1360.31-1362.67] 解得外至少为2,
[1362.67-1364.87] 这样至少可有二的二次方,
[1364.87-1366.79] 等于4种组合,
[1366.79-1370.07] 每种组合用来表示一种寻止方式,
[1370.07-1374.13] 满足题目给定的支持4种寻止方式,
[1374.13-1378.79] 这次可以求出形式地址字段的位数,
[1378.79-1381.51] 我们知道在直接寻止方式下,
[1381.51-1383.79] 指定中形式地址字段的值,
[1383.79-1386.86] 直接给出了操作数的主存地址,
[1386.86-1389.10] 由于我们刚刚已经求出了,
[1389.10-1392.18] 本题中形式地址字段的位数为8,
[1392.18-1397.30] 因此可寻止范围为0-2的8次方-1,
[1397.30-1400.42] 借0-255,
[1400.42-1403.78] 好的,本节课到这里就结束了,
[1403.78-1405.90] 同学们,我们下节课见!
