[0004.02-0008.46] 同學們好 歡迎大家來到我的計算機組成原理威克堂
[0008.46-0013.06] 本節課 我們簡單介紹一下計算機系統的層次結構
[0013.06-0016.18] 也就是計算機系統的分層思想
[0196.16-0199.08] 提高計算機系統的使用效率
[0199.08-0201.62] 方便用戶使用計算機
[0201.62-0205.85] 從操作系統所要實現的功能不難看出
[0206.01-0207.89] 操作系統的設計人員
[0207.89-0212.69] 不僅要對操作系統的設計理論有比較深入的理解
[0212.69-0216.78] 還要對具體機器的技術細節非常熟悉
[0216.78-0217.62] 另外
[0217.62-0222.06] 還需要掌握具體機器的繪編語言和指令級
[0222.06-0225.78] 以及是於編寫操作系統軟件的高級語言
[0225.78-0228.17] 例如C語言
[0228.17-0231.09] 第五層是繪編語言層
[0231.09-0233.25] 該層的計算機相關人員
[0233.25-0236.41] 一般是繪編語言程序設計人員
[0236.41-0239.64] 他們使用繪編語言進行編程
[0239.64-0243.20] 由於繪編語言是面向機器的語言
[0243.20-0244.96] 它的每一條語句
[0244.96-0249.07] 都與機器語言的某一條語句一一對應
[0249.07-0249.99] 因此
[0249.99-0252.39] 使用繪編語言編寫程序時
[0252.39-0256.31] 仍要求程序員對實際機器的內部組成
[0256.31-0259.59] 和指令系統非常熟悉
[0259.59-0262.23] 第六層是高級語言層
[0262.23-0264.43] 該層的計算機相關人員
[0264.51-0267.55] 一般是高級語言程序設計人員
[0267.55-0271.43] 他們使用與機器無關的高級語言編程
[0271.43-0274.91] 不需要掌握機器的底層技術細節
[0274.91-0278.71] 只需要掌握某種高級語言的語法規則
[0278.71-0282.27] 以及算法和數據結構等方面的知識
[0282.27-0288.12] 就可以為上層的最終用戶編寫各種各樣的應用程序
[0288.12-0291.52] 上層的最終用戶使用這些應用程序
[0291.52-0294.89] 來解決各種應用問題
[0294.89-0297.33] 上述第一層到第六層
[0297.33-0300.18] 就構成了計算機系統
[0300.18-0304.98] 其中第一層到第三層屬於硬件層
[0304.98-0307.74] 第一層由硬件工程師設計
[0307.74-0313.16] 第二層和第三層由計算機硬件系統架構師設計
[0313.16-0316.96] 第四層到第六層屬於軟件層
[0316.96-0319.22] 由程序員設計
[0319.22-0322.18] 整個層次結構之上可看作是
[0322.18-0325.38] 面向最終用戶的各類應用
[0325.38-0328.62] 那麼本課程主要討論第一層
[0328.62-0332.66] 到第三層的相關原理和設計思想
[0332.66-0338.02] 而其他各層的內容均由相應的軟件特程講哨
[0338.02-0342.58] 接下來給同學們介紹一下軟件和硬件的
[0342.58-0345.67] 邏輯功能等價性的概念
[0345.67-0347.39] 在特定條件下
[0347.39-0349.75] 用軟件實現的邏輯功能
[0349.75-0353.11] 也可以通過硬件電路來實現
[0353.15-0354.95] 反之一然
[0354.95-0358.47] 對於一些特定的計算或控制任務
[0358.47-0362.63] 可以選擇將其使用軟件編程來實現
[0362.63-0366.86] 也可以選擇設計專用硬件電路來實現
[0366.86-0371.10] 而兩者的結果將在功能上等效
[0371.10-0373.90] 軟件和硬件的邏輯功能等價性
[0373.90-0376.98] 是計算機科協中的一個重要概念
[0376.98-0382.14] 也是計算機體系結構和工程中的基本原則之一
[0382.14-0386.79] 當選擇在軟件層面實現某些邏輯功能時
[0386.79-0390.03] 這通常意味著使用通用處理器
[0390.03-0393.50] 例如CPU來執行程序
[0393.50-0398.08] 而當選擇在硬件層面實現這些邏輯功能時
[0398.08-0402.08] 這通常意味著使用專用的硬件電路
[0402.08-0408.49] 例如現場可編成門陣列FPGA或專用集成電路
[0408.49-0411.53] 那麼同學們是否能取出一個軟件
[0411.53-0416.76] 和硬件的邏輯功能等價性的實力呢?
[0416.76-0420.86] 出於情懷吧?我也來舉一個親身體會
[0420.86-0423.42] 在上世紀90年代初
[0423.42-0425.74] VCD剛開始流行時
[0425.74-0429.02] 為了在我的第一台CPU為80386
[0429.02-0435.66] SN4-33也就是主頻為33兆Hz的計算機上播放VCD
[0435.66-0440.65] 需要為我的計算機專門添加一張VCD解碼卡才行
[0440.81-0447.40] 在之後我將計算機升級為主頻為80兆Hz的80486CPU時
[0447.40-0449.08] 使用新軟件
[0449.08-0451.96] 在不使用VCD解碼卡的情況下
[0451.96-0454.12] 已經可以播放VCD了
[0454.12-0457.78] 只是還達不到腳高的幀率
[0457.78-0459.74] 大概在1996年
[0459.74-0465.34] 英特爾推出帶有多媒體指令集MMX的奔騰CPU號
[0465.34-0469.03] 軟件解碼VCD已經不是問題了
[0469.19-0471.43] 隨著這款CPU的普及
[0471.43-0474.79] VCD解碼卡也逐漸推出市場
[0474.79-0480.18] 選擇軟件還是硬件來實現某個邏輯功能
[0480.18-0482.74] 通常取決於以下因素
[0482.74-0488.47] 硬件通常可以提供更高的性能和更快的響應時間
[0488.47-0491.35] 因為電路可以並行執行操作
[0491.35-0494.06] 但如果邏輯不太複雜
[0494.06-0495.98] 而且性能要求不高
[0495.98-0500.06] 使用軟件來實現可能更具有成本效益
[0500.68-0504.42] 軟件可以相對容易的進行修改和更新
[0504.42-0509.26] 而硬件的修改可能需要重新設計和製造
[0509.26-0511.34] 開發軟件相對便宜
[0511.34-0514.90] 而開發和製造硬件比較昂貴
[0514.90-0518.17] 有些任務更適合在軟件層面完成
[0518.17-0520.98] 例如操作系統的功能
[0520.98-0524.50] 而有些任務更適合在硬件層面完成
[0524.50-0526.66] 例如高頻交易系統
[0526.66-0528.58] 通常所說
[0528.58-0530.98] 當研製一臺計算基石
[0531.14-0534.50] 設計者必須明確分配每一級的任務
[0534.50-0537.78] 確定哪些功能需要使用硬件實現
[0537.78-0541.16] 哪些功能需要使用軟件實現
[0541.16-0547.51] 這是由設計目標、技術水平、性價比等綜合因素決定的
[0547.51-0548.47] 接下來
[0548.47-0551.43] 請同學們做幾個相關練習題
[0551.43-0555.62] 以鞏固本節課所學的相關知識點
[0555.62-0558.71] 首先來看習提一和習提二
[0558.71-0561.43] 請同學們暫停播放視頻
[0561.51-0562.71] 思考一下
[0562.71-0569.67] 然後給出你的答案
[0569.67-0571.43] 這是正確答案
[0571.43-0574.15] 相信同學們都能正確完成
[0574.15-0577.13] 我們就不再墜速了
[0577.13-0580.42] 再來看習提三和習提四
[0580.42-0582.98] 請同學們暫停播放視頻
[0582.98-0584.10] 思考一下
[0584.10-0592.04] 然後給出你的答案
[0592.04-0593.72] 這是正確答案
[0593.72-0596.28] 相信同學們都能正確完成
[0596.28-0598.95] 我們就不再墜速了
[0598.95-0599.75] 好的
[0599.75-0602.23] 本節課到這裡就結束了
[0602.23-0619.53] 請同學們快速回憶一下本節課的主要內容
[0619.53-0620.49] 同學們
[0620.49-0622.09] 我們下節課見
