[0005.33-0009.57] 同學們好,歡迎大家來到我的計算機組成原理威克堂
[0133.76-0136.48] 應包含22個微命領位
[0136.48-0140.00] 每一位對應一個微操作控制信號
[0140.00-0145.01] 而順序控制字段中的判別測試字段中的屁領位
[0145.01-0146.77] 當其質疑時
[0146.77-0148.77] 下一條微指令的地址
[0148.85-0154.05] 因為微程序入口查找組合邏輯輸出的微程序入口地址
[0154.05-0158.34] 也就是新指令的微程序的入口地址
[0158.34-0159.22] 因此
[0159.22-0163.10] 屁領位被稱為指令一碼測試位
[0163.10-0164.22] 這個知識點
[0164.22-0169.42] 實際上我們在上幾課就給同學們介紹過了
[0169.42-0170.22] 另外
[0170.22-0173.02] 對於判別測試字段中的其他位
[0173.02-0174.38] 當被質疑時
[0174.38-0179.18] 則需要檢測其相應外部狀態條件返回信號
[0179.26-0180.38] 條件滿足
[0180.38-0185.57] 則在當前指令的微程序內跳轉到相應微指令處
[0185.57-0186.77] 對於本地
[0186.77-0190.40] 只需要檢測一個外部狀態條件返回信號
[0190.40-0191.36] 因此
[0191.36-0192.72] 除屁領位
[0192.72-0194.00] 判別測試字段中
[0194.00-0195.84] 還應包含有一個
[0195.84-0196.56] 只是
[0196.56-0200.56] 是否檢測該外部狀態條件返回信號的判別測試位
[0200.56-0202.00] P1
[0202.00-0204.24] 當P1位為一時
[0204.24-0208.80] 表示要檢測相應的外部狀態條件返回信號
[0208.80-0210.00] 在本地中
[0210.00-0212.32] 這個外部狀態條件返回信號
[0212.32-0218.82] 就是程序狀態自基存器PSW的ZF標誌位輸出信號
[0218.82-0220.18] 該返回信號
[0220.18-0223.87] 用於BETU指令執行週期的最後一步
[0223.87-0226.03] 若該返回信號有效
[0226.03-0228.03] 暫存基存器T的內容
[0228.03-0232.99] 通過CPU內部單總線送到程序技術器PC
[0232.99-0236.43] 當判別測試字段的內容為全臨時
[0236.43-0238.35] 下一條微指令的地址
[0238.35-0241.55] 由當前微指令的下指指段給出
[0241.55-0243.84] 即順序執行
[0243.84-0245.92] 即同學們思考一下
[0245.92-0248.80] 按上圖給定的微指令格式
[0248.80-0256.59] 和尋指的微指令數量為多少呢?
[0256.59-0258.43] 從圖裝可以看出
[0258.43-0262.35] 微指令格式中的下指指段的長度為5位
[0262.35-0266.30] 因此共有二的五次方等於32組合
[0266.30-0269.79] 每個組合作為一條微指令的地址
[0269.95-0274.11] 因此和尋指的微指令數量為32條
[0274.11-0276.75] 相信同學們都能正確回答
[0276.75-0280.59] 因為比這難度還大一點的408考圓整體
[0280.59-0284.56] 同學們在上解課就已經挑戰過了
[0284.56-0286.64] 以上就是本理中
[0286.64-0291.22] 為下指指段法設計的微指令格式
[0291.22-0292.02] 接下來
[0292.02-0293.86] 我們直接給出本理中
[0293.86-0297.63] 為技術器法設計的微指令格式
[0297.63-0300.43] 與下指指段法的微指令格式相比
[0300.51-0304.19] 技術器法的微指令格式中的順序控制指段中
[0304.19-0306.19] 不再需要下指指段
[0306.19-0309.79] 而僅包含判別測試指段
[0309.79-0313.47] 為了使不同指令的微程序運行完畢後
[0313.47-0316.34] 都能返回取指微程序
[0316.34-0318.34] 需要在判別測試指段後面
[0318.34-0323.22] 添加一個微指令結束的判別測試位Pn
[0323.22-0325.62] 當判別測試位Pn的唯一
[0325.62-0329.14] 且沒有其他外部狀態測試條件滿足時
[0329.22-0330.26] 例如
[0330.26-0333.47] P1位對應的外部狀態測試條件
[0333.47-0336.69] 因返回到取指微程序
[0336.69-0339.09] 不知同學們是否發現了
[0339.09-0340.29] 上述內容
[0340.29-0341.09] 實際上
[0341.09-0345.33] 我們在上節有關下指指段法和技術器法
[0345.33-0348.61] 及其各自的地址轉移邏輯的那些課中
[0348.61-0351.44] 都已經給同學們介紹過了
[0351.44-0352.40] 本節課
[0352.40-0355.52] 我們是以CPU內部單總線的數據通路
[0355.52-0359.44] 和VIP32指令集中的5條典型指令為例
[0359.44-0363.28] 將重點放到了下指指段法和技術器法
[0363.28-0367.60] 各自相應的微指令格式的設計上
[0367.60-0368.48] 好的
[0368.48-0371.15] 本節課到這裡就結束了
[0371.15-0382.94] 請同學們快速回憶一下本節課的主要內容
[0382.94-0383.74] 同學們
[0383.74-0385.26] 我們下節課見
