[0003.22-0007.82] 同学们好,欢迎大家来到我的计算机组成员里,威克唐。
[0187.30-0191.88] 磁带存储器在20世纪50年代初,
[0191.88-0194.88] 开始应用于计算机领域。
[0194.88-0198.88] 在我国20世纪90年代流行的录音带,
[0198.88-0201.88] 也属于磁带存储器,
[0201.88-0205.88] 是80号,甚至90号的经典回忆。
[0205.88-0208.01] 磁带存储器的优点,
[0208.01-0210.01] 是相对脚低的成本,
[0210.01-0213.01] 和相对脚大的存储容量。
[0213.01-0215.10] 在计算机的早期年代,
[0215.10-0219.10] 由于硬盘和光盘的存储技术的高昂成本,
[0219.10-0224.10] 磁带存储成为了大量数据备份和归党的主要方式。
[0224.10-0228.30] 磁带存储器目前仍有其应用市场,
[0228.30-0231.30] 但极早见到家用产品,
[0231.30-0234.30] 有兴趣的同学可自行查阅原因。
[0234.30-0239.84] 光存储器利用戒指的光学特性读出数据,
[0239.84-0242.87] 例如下图所示的CD-ROM,
[0242.87-0247.87] DVD-ROM都以刻盆的形式将数据存储在盘面上,
[0247.87-0250.87] 用激光数照射盘面,
[0250.87-0254.87] 靠盘面的不同反射率来读出信息。
[0254.87-0257.16] 光盘存储器成本低廉,
[0257.16-0260.16] 适用于电子出版物的发行,
[0260.16-0262.19] 需要提一下的是,
[0262.19-0266.19] 在我国1990年到2010年这20年间,
[0266.19-0270.19] 盗版光盘从物到有,又游胜转衰,
[0270.19-0275.19] 成为了80,90号,两代,难以忘怀的时代记忆。
[0275.19-0280.19] 批发5元,零售10元,赶上损卖10块钱3张。
[0280.19-0285.48] 2004年,最高人民法院,最高人民检察院公布,
[0285.48-0288.48] 贩卖盗版盘超过5000张者,
[0288.48-0291.48] 将面临3-7年有期徒刑的惩罚。
[0291.48-0293.51] 然而盗版盘的消失,
[0293.51-0295.51] 除了法律的震慑外,
[0295.51-0298.51] 更重要的原因是被时代所淘汰。
[0298.51-0302.54] 在颁布打击盗版盘的相关法律的同一年,
[0302.54-0305.54] 王威创立了土豆网,
[0305.54-0308.54] 它是全球最早上线的视频网站之一,
[0308.54-0312.54] 标志者我国在线视频行业的开始,
[0312.54-0314.54] 到2010年前后,
[0314.54-0316.54] 盗版盘销声逆迹的同时,
[0316.54-0318.54] 爱奇艺,
[0318.54-0320.54] 同讯视频,和优酷,
[0320.54-0322.54] 陆续完成了成立,
[0322.54-0324.61] 收购并购,
[0324.61-0326.61] 盗版不再成为你所应当的事,
[0326.61-0328.61] 版权为王,成为新的规则,
[0328.61-0330.61] 越来越多的人,
[0330.61-0332.70] 培养起了版权意识。
[0332.70-0334.70] 正在观看本课者的同学们,
[0334.70-0336.70] 你的版权意识如何呢?
[0336.70-0338.90] 还在观看盗版吗?
[0338.90-0340.90] 好了,言归正传,
[0340.90-0342.90] 我们来看半导体存主器,
[0342.90-0346.90] 它是用半导体器件组成的存主器,
[0346.90-0349.90] 例如内存条,固态硬盘等,
[0349.90-0351.99] 半导体存主器的特点是,
[0351.99-0354.99] 存据速度快,体积小,性能可靠,
[0354.99-0357.99] 但单位容量成本相对较高,
[0357.99-0360.99] 相信同学们都有体会,
[0360.99-0363.31] 我们就不再赚数了,
[0363.31-0366.31] 按存取方式对存主器进行分类,
[0366.31-0369.31] 可分为顺序存取存主器,
[0369.31-0371.31] 随机存取存主器,
[0371.31-0373.31] 直接存取存主器,
[0373.31-0375.31] 为了简单起见,
[0375.31-0377.31] 可以省略存取二字,
[0377.31-0379.34] 所谓顺序存取存主器,
[0379.34-0381.34] 是指对存主器中,
[0381.34-0384.34] 各存储单元中的内容进行访问时,
[0384.34-0388.34] 只能按照各存储单元的地址顺序,
[0388.34-0391.34] 或者说物理位置顺序进行,
[0391.34-0396.50] 因此,访问速度与存储单元的物理位置有关,
[0396.50-0400.50] 磁带存主器就是典型的顺序存取存主器,
[0400.50-0404.57] 下面这段视频展示的就是使用磁带机,
[0404.57-0407.57] 对磁带存主器的内容进行存取,
[0407.57-0409.57] 磁带存主器中的磁带,
[0409.57-0413.57] 被磁带机中的旋转装置带动旋转,
[0413.57-0416.57] 磁带机中的磁头贴近磁带,
[0416.57-0418.57] 对其进行存取操作,
[0418.57-0423.57] 很显然,要读取磁带某段区域存主的内容时,
[0423.57-0425.57] 需要等到旋转装置,
[0425.57-0428.57] 带动磁带旋转到这段区域,
[0428.57-0431.66] 到达磁头位置才能进行,
[0431.66-0433.66] 而对于随即存取存主器,
[0433.66-0436.66] 可按给定的任何一个存储单元的地址,
[0436.66-0439.86] 对其内容进行存取,
[0439.86-0443.86] 因此存取速度与存储单元的位置无关,
[0443.86-0447.30] 下属所示的早期的磁芯存主器,
[0447.30-0450.30] 和当前广泛使用的半导体存主器,
[0450.30-0453.30] 都是随即存取存主器。
[0453.30-0455.46] 我们在第一章中,
[0455.46-0458.46] 有关计算机的基本工作原理的那些课中,
[0458.46-0460.46] 曾给同学们介绍过,
[0460.46-0464.46] 要访问内存中某个存储单元的内容,
[0464.46-0466.46] 只要将该存储单元的地址,
[0466.46-0470.46] 写入到存主器地址计存器MAR中,
[0470.46-0475.46] 这样就可以对该存储单元进行读取或写入操作,
[0475.46-0477.82] 而直接存取存主器,
[0477.82-0479.82] 不必经过顺序搜索,
[0479.82-0482.82] 就能在存主器中直接存取信息。
[0482.82-0487.82] 兼有随即存取存主器和顺序存取存主器的访问特性,
[0487.82-0491.14] 典型的如磁盘存主器,
[0491.14-0495.14] 由于磁盘存在机械寻到和旋转延迟,
[0495.14-0501.14] 因此,数据访问时间和磁头与目标扇曲的距离有关。
[0501.14-0505.14] 我们来看看机械硬盘的内部构成和运行原理。
[0505.14-0510.39] 底部为PCB印发电路,是机械硬盘的电控部分。
[0510.39-0512.42] 这是机械硬盘内部的电机,
[0512.42-0515.42] 用于带动盘片进行高速旋转,
[0515.42-0518.42] 例如每分钟7200转。
[0518.42-0521.46] 该硬盘内部就有两个盘片,
[0524.98-0529.04] 这是用于控制磁头摆动的泳磁铁部分,
[0529.04-0531.04] 这是磁头停泊区,
[0531.04-0533.62] 这是磁头,
[0533.62-0535.62] 它被固定在泳磁铁上方,
[0535.62-0538.78] 受气控制做相应摆动。
[0538.78-0542.78] 当电机带动盘片进行高速旋转时,
[0542.78-0544.78] 产生的内部气流,
[0544.78-0549.78] 会使得磁头悬浮在盘片上方不到0.3米触。
[0549.78-0551.78] 磁头在泳磁铁的控制下,
[0551.78-0554.78] 在盘片上方进行相应摆动,
[0554.78-0558.78] 以便对盘片上不同区域进行存取操作。
[0558.78-0562.78] 这样,属于直接存取存主器的机械硬盘,
[0562.78-0567.78] 就比属于顺序存取存主器的磁带多了一个访问维度,
[0567.78-0571.78] 也就是磁头是摆动的,而不是固定的。
[0571.78-0576.32] 按可改写性对存主器进行分类,
[0576.32-0578.32] 可分为独写存主器,
[0578.32-0580.38] 只读存主器。
[0580.38-0581.38] 顾名思义,
[0581.38-0583.38] 独写存主器是指,
[0583.38-0585.38] 既能向其写入信息,
[0585.38-0588.48] 也可以从其读出信息的存主器。
[0588.48-0592.48] 我们之前介绍的磁形存主器,磁盘存主器,
[0592.48-0595.48] 磁带存主器,内存和固态硬盘,
[0595.48-0598.54] 都属于独写存主器,
[0598.54-0599.54] 而只读存主器,
[0599.54-0602.54] 其存主的内容不允许被改变,
[0602.54-0605.54] 也就是只能读出,而不能改写。
[0605.54-0610.58] 常见的有CD-ROM,DVD-ROM等光盘存主器,
[0610.58-0613.58] 另外,还有一类半导体指读存主器,
[0613.58-0618.58] 其存主的信息只能读出,而不能随意写入,
[0618.58-0622.58] 也就是需要使用专用工具进行改写。
[0622.58-0625.80] 这类半导体指读存主器,
[0625.80-0629.80] 主要用来存放一些不需要修改的程序和成量,
[0629.80-0632.80] 例如BIOS程序,
[0632.80-0634.80] 下图所示的BIOS配置界面,
[0634.80-0639.80] 相信喜欢CPU超频和内存超频的同学并不陌生,
[0639.80-0642.80] 其程序代码和配置参数,
[0642.80-0647.99] 存处在主板上的一颗半导体指读存主器芯片中,
[0647.99-0650.99] 现在主流的计算机主板厂商都提供了
[0650.99-0654.99] 更新这种芯片存处信息的便捷方法,
[0654.99-0658.99] 但对于普通的计算机用户,一般很少用到。
[0658.99-0663.28] 学习过计算机网络这门课者的同学,应该知道,
[0663.28-0666.28] 以它网卡上固化有MARK地址,
[0666.28-0670.28] 例如这块网卡上使用了E1 P-ROM,
[0670.28-0675.28] 也就是代电可擦可编程指读存主器,
[0675.28-0677.28] 例如93C46芯片,
[0677.28-0682.41] 来存处MARK地址以及产品相关信息,
[0682.41-0687.27] 按可保存性对存主器进行分类,
[0687.27-0691.27] 可分为意识性存主器,非意识性存主器,
[0691.27-0697.46] 意识性存主器在锻电号所保存的信息就会丢失,
[0697.46-0703.46] 例如,计算机内存中存主的信息在计算机锻电号就会丢失,
[0703.46-0711.50] 当然了,CPU内部的计存机存主器和高速缓冲存主器中存主的信息也会丢失,
[0711.50-0717.66] 而非意识性存主器在锻电号所保存的信息不会丢失,
[0717.66-0722.75] 我们之前介绍过的磁盘存主器,磁带存主器,
[0722.75-0726.75] 固态硬盘以及代电可擦可编程指读存主器,
[0726.75-0731.75] E1 P-ROM中存主的信息在锻电号不会丢失,
[0731.75-0734.94] 需要注意的是,对于固态硬盘,
[0734.94-0737.94] 锻电号长期不通电,
[0737.94-0742.94] 例如两年以上有可能造成存主信息的丢失,
[0742.94-0750.98] 当然了,至于环境温度,产品是消费级还是企业级等多个因素有关,
[0750.98-0758.87] 按功能和存取速度对存主器进行分类,可以分为以下四类,
[0758.87-0764.87] 计存器存主器是指CPU内部的多个计存器构成的存主器,
[0764.87-0770.13] 高速缓冲存主器,也称为高速缓存或开始,
[0770.13-0772.13] 它也位于CPU内部,
[0772.13-0776.45] 主存主器简称为主存或内存,
[0776.45-0781.31] 辅助存主器简称为辅存或外存,
[0781.31-0786.11] 上述四种存主器的访问关系如同所示,
[0786.11-0789.72] 对于计存器存主器,
[0789.72-0793.72] 实际上我们在第一章就给同学们介绍过几个计存器,
[0793.72-0797.72] 例如存主器地址计存器MAR,
[0797.72-0800.72] 存主器数据计存器MDR,
[0800.72-0802.72] 累加器ACC,
[0802.72-0804.72] 乘商计存器MQ等,
[0804.72-0809.72] 进而我们知道,CPU内部的计存器用于存放地址,
[0809.72-0812.72] 数据以及运算的中间结果,
[0812.72-0815.72] 且存取速度极快,与CPU匹配,
[0815.72-0819.88] 但容量却极小,高速缓存,
[0819.88-0823.88] 对于CPU内部,它是CPU内部的计存器,
[0823.88-0828.88] 与CPU外部的主存之间的一个高速小容量存主器,
[0828.88-0832.88] 用于缓冲CPU与主存之间的性能差异,
[0832.88-0836.04] 提高存主系统的访问速度,
[0836.04-0842.04] 及存放的内容,一般是即将或经常要使用的指令和数据,
[0842.04-0845.42] 主存也称为内存,
[0845.42-0848.52] 用于存放指令和数据,
[0848.52-0852.52] CPU可以通过主存地址,随机的读写主存,
[0852.52-0856.74] 主存的存取速度低于高速缓存,
[0856.74-0858.94] 但一般高于辅存,
[0858.94-0861.94] 主存的容量远大于高速缓存,
[0861.94-0865.06] 但一般远小于辅存,
[0865.06-0867.06] 辅存也称为外存,
[0867.06-0871.06] 用于存放当前暂不参与运行的程序和数据,
[0871.06-0874.06] 以及一些需要长期保存的信息,
[0874.06-0876.22] 辅存的容量很大,
[0876.22-0879.35] 但存取速度相对较低。
[0879.35-0883.35] 我们将具体的实物对应到上述四种存储器,
[0883.35-0887.06] 同学们就更容易理解了。
[0887.06-0890.06] 至此,我们就从五个不同的角度,
[0890.06-0893.28] 对存储器进行分类。
[0893.28-0896.28] 接下来,请同学们趁热打铁,
[0896.28-0900.28] 填写以下这个有关存储器分类的表格。
[0900.28-0903.28] 请同学们暂停播放视频,
[0903.28-0908.64] 务必动手练习一下。
[0908.64-0911.64] 相信同学们都能正确完成,
[0911.64-0914.28] 我们就不再坠述了。
[0914.28-0917.28] 好的,本节课到这里就结束了。
[0917.28-0920.28] 同学们,我们下节课见!
