[0003.47-0007.79] 同学们好,欢迎大家来到我的计算机组成员里威克唐
[0479.26-0485.02] 采用偏移常数128表示的最小规格化数的倒数会发生一出
[0485.02-0491.57] 而采用偏移常数127表示的任何一个规格化数的倒数,则不会一出
[0491.57-0495.25] 这个原因不太容易理解,我们来举例说明
[0495.25-0501.25] 为了简单起见,我们仅从8位接码考虑,而不考虑23位伪数
[0501.25-0505.49] 采用偏移常数128表示的最小规格化数的接码
[0505.57-0512.43] 其真值,因为能取到的最小值-128,如族所示
[0512.43-0518.99] 我们知道,在伏链数的表示中,接码的真值-128是作为基数的指数
[0518.99-0521.55] 这里我们采用默认的基数2
[0521.55-0526.27] 伏链数最小规格化数的倒数,在不考虑伪数的情况下
[0526.27-0532.03] 就是对2的-128方取倒数,等于2的-128方
[0532.03-0535.79] 可以看到,此时,接码的真值为-128
[0535.87-0541.10] 这超越了8位标准一码所能表示的最大真值-127
[0541.10-0545.74] 而采用偏移常数-127表示的最小规格化数的接码
[0545.74-0550.14] 其真值,因为能取到的最小值-126
[0550.14-0554.62] 因为偏移常数为127的8位全1和8位全0
[0554.62-0557.18] 这两个接码作为特殊用途
[0557.18-0561.82] 不用来表示HRE754丹金度辅典数的规格化数
[0561.90-0568.38] 而用来表示HRE754丹金度辅典数中的特殊数和非规格化数
[0568.38-0572.94] 而这两个接码所对应的真值-128和-127
[0572.94-0578.38] 自然就不能用于表示HRE754丹金度辅典数的规格化数
[0578.38-0583.42] 因此,采用偏移常数-127表示的最小规格化数的接码
[0583.42-0587.26] 其真值,因为能取到的最小值-126
[0587.26-0589.74] 我们知道,在辅典数的表示中
[0589.82-0593.74] 接码的真值-126是作为基数的指数
[0593.74-0596.06] 这里我们采用默认的基数2
[0596.06-0600.22] 辅典数最小规格化数的倒数在不考虑伪数的情况下
[0600.22-0603.18] 就是对2-126方取倒数
[0603.18-0605.74] 等于2-126方
[0605.74-0609.42] 可以看到,此时接码的真值为-126
[0609.42-0615.90] 该真值位于取之范围-126-127内不会产生一出
[0615.98-0620.14] 以上就是HRE754丹金度辅典数的接码的移码表示
[0620.14-0623.18] 不采用标准移码的偏移常数-128
[0623.18-0625.73] 而采用-127的原因
[0625.73-0628.93] 理解不了上述原因的同学,不要灰心
[0628.93-0632.05] 现阶段仅将其作为特例记住即可
[0632.05-0634.05] 不要影响学习心情
[0634.05-0637.25] 随着后续内容的学习和大量练习
[0637.25-0639.09] 在入门本课程后
[0639.09-0642.53] 在回顾头来理解,就不是那么困难了
[0642.61-0647.73] 好的,至此,我们就介绍了HRE754丹金度辅典数格式中
[0647.73-0649.57] 接码的相关内容
[0649.57-0651.49] 我们将接码的相关规则
[0651.49-0655.36] 标注在HRE754丹金度辅典数格式中
[0655.36-0659.52] 接下来,我们介绍HRE754丹金度辅典数格式中
[0659.52-0661.55] 尾数的相关内容
[0661.55-0663.47] 我们之前已经介绍过了
[0663.47-0666.11] HRE754丹金度辅典数格式中
[0666.11-0669.95] 尾数为定点小数,采用圆码表示
[0669.95-0674.03] 因此,我们来快速复习一下定点小数的格式
[0674.03-0676.27] 由于圆码表示比较简单
[0676.27-0679.30] 我们就不再复习圆码表示规则了
[0679.30-0681.38] 假设机器自成为8位
[0681.38-0684.02] 则最高位B7作为符号位
[0684.02-0685.86] 表示数值的正负
[0685.86-0688.66] B6到B0位作为数值位
[0688.66-0689.78] 而小数点
[0689.78-0692.58] 隐含固定在符号位与数值位之间
[0692.58-0694.42] 不用表示和存储
[0694.42-0698.50] 然而,HRE754丹金度辅典数格式中的尾数
[0698.58-0700.26] 虽然为定点小数
[0700.26-0701.38] 但其格式
[0701.38-0705.30] 与我们之前复习的定点小数格式稍有不同
[0705.30-0708.26] 小数点隐含固定在尾数前面
[0708.26-0711.62] 而将原本小数点相邻左侧的符号位
[0711.62-0713.38] 前移到最左侧
[0713.38-0716.66] 也就是HRE754丹金度辅典数格式中的
[0716.66-0718.42] 最高位作为符号位
[0718.42-0720.58] 如都所示
[0720.58-0724.34] 而在小数点的相邻左侧隐藏一个1
[0724.34-0727.62] 但用来表示数值,而不表示符号
[0727.62-0730.42] 因此,尾数实际有24位
[0730.42-0732.58] 但不保存隐藏的那个1
[0732.58-0734.26] 只保存23位
[0734.26-0737.78] 节省的比特位可以用于提高尾数的精度
[0737.78-0739.78] 为了方便后续描述
[0739.78-0742.82] 我们用大写字母s表示符号位
[0742.82-0745.14] 用大写字母e表示接码
[0745.14-0747.62] 用大写字母m表示尾数
[0747.62-0752.02] 这样,完整的尾数形式应该表示为1.m
[0752.02-0753.94] 我们将尾数的相关规则
[0753.94-0757.46] 标注在HRE754丹金度辅典数格式中
[0757.46-0759.14] 而将符号位的规则
[0759.14-0763.28] 也标注在HRE754丹金度辅典数的格式中
[0763.28-0767.52] 至此,我们就将HRE754丹金度辅典数的格式
[0767.52-0771.52] 和其接码和尾数的编码规则介绍完了
[0771.52-0775.36] 接下来,我们根据其格式和相关编码规则
[0775.36-0778.48] 给出HRE754丹金度辅典数标准
[0778.48-0780.59] 可表示的各种数
[0780.59-0782.99] 当接码一为8位全0
[0782.99-0785.47] 将其看作8位5符号数
[0785.47-0787.55] 其实进制值为0
[0787.55-0789.55] 且尾数m为0时
[0789.55-0793.07] 这是接码一为全0的一种特殊表示
[0793.07-0794.99] 用来表示真值0
[0794.99-0796.83] 当符号为s取0时
[0796.83-0798.99] 表示真值正0
[0798.99-0800.91] 我们之前刚刚介绍过
[0800.91-0803.87] 8位全1和8位全0这两个一码
[0803.87-0806.75] 在HRE754丹金度辅典数的表示中
[0806.75-0808.27] 有特殊用途
[0808.27-0811.79] 至此,我们的讲解可以前后呼应了
[0811.79-0814.91] 基于HRE754丹金度辅典数标准中
[0814.91-0816.91] 真值正0的表示规则
[0816.91-0820.30] 我们不能得出真值-0的表示规则
[0820.30-0821.74] 需要说明的是
[0821.74-0824.62] 在HRE754丹金度辅典数标准中
[0824.62-0828.72] 正0和-0一般情况下是等效的
[0828.72-0831.04] 当接码一为8位全1
[0831.04-0833.60] 将其看作8位5符号数
[0833.60-0836.08] 其实进制值为255
[0836.08-0838.08] 且尾数m为0时
[0838.08-0841.28] 这是接码一为全1的一种特殊表示
[0841.28-0843.60] 用来表示真值无穷
[0843.68-0845.92] 当符号位s取0时
[0845.92-0848.27] 表示真值正无穷
[0848.27-0851.23] 基于HRE754丹金度辅典数标准中的
[0851.23-0853.39] 真值正无穷的表示规则
[0853.39-0857.70] 我们不能得出真值-负无穷的表示规则
[0857.70-0859.22] 需要说明的是
[0859.22-0860.74] 引入无穷大数
[0860.74-0863.38] 可使计算过程出现异常的情况下
[0863.38-0865.22] 程序能继续执行
[0865.22-0868.18] 并且可为程序提供错误检测功能
[0868.18-0869.78] 例如非0辅典数
[0869.78-0872.50] 除0运算的结果就是无穷大
[0872.50-0874.66] 因此非0辅典数除0
[0874.66-0878.85] 不会像整形数除0一样产生严重错误
[0878.85-0881.09] 当接码一为8位全1
[0881.09-0883.41] 且尾数m不为0时
[0883.41-0887.17] 这是接码一为全1的另一种特殊表示
[0887.17-0889.65] 不管符号位s取0或1
[0889.65-0893.68] 都用来表示无定义数或成非数
[0893.68-0895.92] 非数用于表示0除0
[0895.92-0897.36] 无穷除无穷
[0897.36-0898.72] 0乘以无穷
[0898.72-0900.77] 复数的平方根等
[0900.77-0902.53] 部分非数运算结果
[0902.53-0904.58] 可能会产生异常
[0904.58-0906.42] 由于我们本章学习的是
[0906.42-0908.66] 计算机内部的数据表示问题
[0908.66-0910.42] 而不是运算问题
[0910.42-0913.12] 因此大致了解即可
[0913.12-0914.48] 在阿扎伟一期五次
[0914.48-0916.16] 丹丁读服脸书标准中
[0916.16-0918.40] 除了上述这些特殊数外
[0918.40-0921.04] 规格化数是其重要组成部分
[0921.04-0924.32] 我们来看规格化数的具体表示规则
[0924.32-0926.08] 将接码一的一码表示
[0926.08-0927.76] 看作无符号数
[0927.76-0930.24] 则其取之范围是大于等于1
[0930.24-0932.56] 且小于等于254
[0932.64-0934.48] 也就是八维一码表示
[0934.48-0938.86] 不会出现全一和全零这两种特殊一码
[0938.86-0942.53] 而违数m所能取到的任意值
[0942.53-0944.85] 当符号为s取零时
[0944.85-0948.99] 这是规格化正数的真值表达式
[0948.99-0951.15] 当符号为s取一时
[0951.15-0956.00] 这是规格化复数的真值表达式
[0956.00-0958.56] 可以看到对于规格化数
[0958.56-0961.36] 违数m的完整形式为1.m
[0961.36-0963.68] 也就是包含了那个作为数值位
[0963.68-0965.12] 而不是符号位
[0965.12-0968.16] 并隐藏固定在小数点前面的那个1
[0968.16-0968.96] 另外
[0968.96-0970.96] 从真值表达式可以看出
[0970.96-0972.96] 所采用的基数为2
[0972.96-0976.24] 而基数2的指数为e-127
[0976.24-0978.16] 这是接码的真值
[0978.16-0979.12] 我们知道
[0979.12-0981.36] 接码是使用一码来表示的
[0981.36-0985.79] 我们来看看这个真值e-127是怎么来的
[0985.79-0988.03] 假设x为接码的真值
[0988.03-0989.79] 而e就是接码
[0989.79-0991.95] 我们知道它用一码来表示
[0992.03-0992.67] 因此
[0992.67-0995.79] 可记为e等于真值x的e码
[0995.79-0998.03] 根据e码的定义式可知
[0998.03-0999.71] 真值x的e码等于
[0999.71-1003.47] 真值x加上偏一长数127
[1003.47-1006.43] 我们将真值x的e码用e来表示
[1006.43-1008.43] 就可以推出真值x等于
[1008.43-1011.26] 接码e-127
[1011.26-1012.78] 请同学们注意
[1012.78-1016.30] 接码e的e码表示被看作无符号数
[1016.30-1017.10] 因此
[1017.10-1019.18] 除去8位全1和8位全0
[1019.18-1020.78] 这两个特殊e码
[1020.78-1024.62] 其他8位e码被看作无符号数时的数值范围
[1024.62-1026.06] 是大于等于1
[1026.06-1028.83] 且小于等于254
[1028.83-1031.07] 如果有的同学对上述讲解
[1031.07-1032.35] 还不是太明白
[1032.35-1033.39] 不要灰心
[1033.39-1035.63] 稍后我们会安排相应的立题
[1035.63-1038.70] 帮助同学们加深理解和记忆
[1038.70-1040.50] 再来看e-1754
[1040.50-1042.22] 当精度浮电数标准中
[1042.22-1045.36] 非规格化数的具体表示规则
[1045.36-1047.60] 当接码e为8位全0
[1047.60-1050.16] 将其看作8位无符号数
[1050.24-1052.00] 其实际值为0
[1052.00-1056.08] 且位数m取不为0的可取到的任何值时
[1056.08-1058.72] 用来表示非规格化数
[1058.72-1060.80] 当符号为s取0时
[1060.80-1065.35] 这是非规格化正数的真值表达式
[1065.35-1067.35] 当符号为s取1时
[1067.35-1071.50] 这是非规格化复数的真值表达式
[1071.50-1072.46] 可以看到
[1072.46-1074.14] 对于非规格化数
[1074.14-1077.10] 位数m的完整形式为0.m
[1077.10-1079.62] 也就是不包含那个作为数值位
[1079.62-1080.98] 而不是符号位的
[1080.98-1083.78] 隐藏固定在小数点前面的那个1
[1083.78-1087.28] 而g数2的指数规定为-126
[1087.28-1088.76] 需要说明的是
[1088.76-1092.20] 非规格化数可以用于处理接码下义
[1092.20-1095.48] 使得出现比最小规格化数还小的数十
[1095.48-1098.04] 程序也能继续进行下去
[1098.04-1100.40] 有关下义和上义的概念
[1100.40-1103.24] 我们在之前的浮电数的表示形式
[1103.24-1105.24] 和表示范围那节课中
[1105.24-1107.28] 已经给同学们介绍过了
[1107.28-1110.26] 忘记的同学可以快速复习一下
[1110.30-1112.58] 我们将上述HB1754
[1112.58-1116.53] 单经度浮电数的分类重新整理一下
[1116.53-1117.53] 可以看到
[1117.53-1119.81] 这是接码义的八位乙马表示
[1119.81-1121.82] 为全0的情况
[1121.82-1124.01] 可以表示机器0
[1124.01-1126.82] 以及非规格化数
[1126.82-1128.90] 这是接码义的八位乙马表示
[1128.90-1130.81] 为全1的情况
[1130.81-1132.85] 可以表示无穷大
[1132.85-1135.14] 以及非数
[1135.14-1137.26] 这是接码义的八位乙马表示
[1137.26-1140.02] 为非全0和全1的情况
[1140.02-1142.81] 用来表示规格化数
[1142.81-1145.53] 这是HB1754单经度浮电数中
[1145.53-1148.21] 关于上述除规格化数外的
[1148.21-1150.13] 四种特殊数的说明
[1150.13-1151.89] 之前我们已经介绍过了
[1151.89-1154.08] 就不再赚数了
[1154.08-1157.00] 这是HB1754浮电数标准中
[1157.00-1158.76] 32位单经度浮电数
[1158.76-1160.80] 与64位双经度浮电数
[1160.80-1163.20] 各自可表示的各类数
[1163.20-1165.52] 其中32位单经度浮电数
[1165.52-1166.92] 可表示的各类数
[1166.92-1169.60] 我们之前刚刚详细介绍过
[1169.60-1171.52] 而64位双经度浮电数
[1171.52-1172.92] 可表示的各类数
[1172.92-1175.60] 同学们可参照32位单经度浮电数
[1175.60-1176.96] 进行推导
[1176.96-1180.00] 因为相比于32位单经度浮电数
[1180.00-1181.80] 64位双经度浮电数
[1181.80-1185.28] 仅将接码由八位扩展为了11位
[1185.28-1188.68] 尾数由23位扩展为了52位
[1188.68-1190.98] 而其他规则不变
[1190.98-1193.38] 接下来我们通过两个立题
[1193.38-1196.02] 以及几个408历年考研真题
[1196.02-1199.90] 向同学们介绍HB1754单经度浮电数
[1199.90-1202.74] 与其对应帧值之间的转换
[1202.74-1206.18] 这相当于帮助同学们对我们刚刚所学的
[1206.18-1210.18] HB1754单经度浮电数的格式和编码规则
[1210.18-1212.46] 以及不同数的帧值表达式
[1212.46-1214.58] 加深理解和记忆
[1214.58-1216.54] 首先来看立题
[1216.54-1220.38] 将实境制数408.6875转换成
[1220.38-1225.10] HB1754单经度浮电数的16进制机器码
[1225.10-1226.86] 我们来一起解题
[1226.86-1228.82] 这是我们本节课所介绍的
[1228.82-1232.86] HB1754单经度浮电数的格式和编码规则
[1233.02-1234.78] 如果同学们还没有记住
[1234.78-1235.78] 没有关系
[1235.78-1237.62] 将其拍照放在一边
[1237.62-1239.46] 你被随时查看
[1239.46-1241.86] 这是题不给定的实境制数
[1241.86-1244.58] 我们将其转换为二进制形式
[1244.58-1247.62] 对于整数部分才用出积取与法
[1247.62-1250.82] 对于小数部分才用成积取整法
[1250.82-1251.66] 当然了
[1251.66-1255.42] 如果同学们还记得常用二进制各位的位权值
[1255.42-1259.26] 例如整数部分的地领位到第七位这八位
[1259.26-1262.34] 小数部分的第一位到第四位这四位
[1262.34-1265.42] 并且会自行推导出更多位的位权值
[1265.42-1270.02] 则不管整数部分还是小数部分都可采用凑执法
[1270.02-1272.46] 这个二进制数就是我们准备用来
[1272.46-1276.54] 作为HB1754单经度浮电数格式中的伪数M
[1276.54-1280.58] 只不过我们需要将其转换为1.M格式
[1280.58-1283.98] 也就是将他的小数点向左移动八位
[1283.98-1287.38] 这样就得到了伪数M的1.M形式
[1287.38-1289.38] 为了保持数值不变
[1289.38-1292.30] 我们需要给其乘上2.8次方
[1292.30-1293.18] 接下来
[1293.18-1296.62] 我们就可以通过刚刚得到的这个帧值表达式
[1296.62-1300.58] 来获得HB1754单经度浮电数格式中的
[1300.58-1304.10] 符号位JM以及伪数的内容
[1304.10-1307.02] 首先来看最简单的符号位S
[1307.02-1309.62] 由于题目给定的是一个正数
[1309.62-1312.34] 因此符号位S的内容为0
[1312.34-1314.10] 再来看JM
[1314.10-1317.22] 我们知道JM用移码表示
[1317.22-1320.22] 而我们之前所得出的真值的表达式中
[1320.22-1323.74] 基数二的指数8就是JM的真值
[1323.74-1326.26] 因此根据移码的定义是
[1326.26-1329.62] 将真值8加上偏一长数127
[1329.62-1331.58] 就可得到真值8的移码
[1331.58-1336.67] 也就是JM将其转换成八位二净值数计课
[1336.67-1338.51] 再来看伪数M
[1338.51-1342.23] 我们之前已经得到了伪数M的1.M形式
[1342.23-1345.87] 因此可以非常容易得到伪数M的内容
[1345.87-1349.31] 接下来就是将所得到的符号位S的内容
[1349.31-1352.27] JM1的内容以及伪数M的内容
[1352.27-1356.55] HP1754丹丁度辅典数格式合并在一起
[1356.55-1359.15] 这是一位符号位的内容
[1359.15-1361.68] 这是八位JM的内容
[1361.68-1364.42] 这是二十三位伪数的内容
[1364.42-1366.54] 如果伪数不足二十三位
[1366.54-1369.02] 则在旗号补充相应数量的比特林
[1369.02-1371.14] 凑购二十三位
[1371.14-1373.78] 这里给同学们提一个小问题
[1373.78-1376.42] 那就是为什么在现有伪数的后面
[1376.46-1378.46] 补充相应数量的比特林
[1378.46-1384.80] 而不是在其前面进行补充呢
[1384.80-1387.64] 这是因为伪数是定连小数
[1387.64-1389.92] 在定连小数的后面添加0
[1389.92-1392.90] 不会改变定连小数的数值
[1392.90-1395.22] 另外本题要求我们给出
[1395.22-1399.62] HP1754丹丁度辅典数的十六净值机器码
[1399.62-1402.26] 因此我们需要将之前得到的
[1402.26-1406.34] 这个HP1754丹丁度辅典数的32位
[1406.34-1408.14] 每四位划分为一组
[1408.14-1410.42] 然后写出每组四位二净值数
[1410.42-1412.66] 所对应的十六净值数
[1412.66-1415.10] 这是我们之前就已经介绍过
[1415.10-1418.14] 并要求同学们熟练掌握的基本功
[1418.14-1420.03] 就不在这数了
[1420.03-1421.67] 再来看立体二
[1421.67-1424.11] 本题与之前的立体一相比
[1424.11-1426.67] 正好是立体一的逆过程
[1426.67-1428.93] 我们来一起解题
[1428.93-1430.09] 这是题目给定的
[1430.09-1433.01] 某个HP1754丹丁度辅典数的
[1433.01-1435.10] 十六净值机器码
[1435.10-1440.61] 我们将其转换成32比特的二净值形式
[1440.61-1444.21] 根据HP1754丹丁度辅典数的格式
[1444.21-1446.21] 我们在这32个比特中
[1446.21-1447.93] 找出符号为S
[1447.93-1448.85] 接满1
[1448.85-1451.53] 为数M各自的内容
[1451.53-1454.26] 最高位为符号为S
[1454.26-1456.90] 接下来的8位为接满1
[1456.90-1460.26] 而剩余的23位为为数M
[1460.26-1461.62] 由于接满1的内容
[1461.62-1463.82] 不是8位全1和8位全0
[1463.82-1465.62] 这两个特殊的一码
[1465.62-1466.46] 因此
[1466.46-1470.46] 这个HP1754丹丁度辅典数为规格化数
[1470.46-1474.62] 和由我们之前总结过的HP1754丹丁度辅典数
[1474.62-1476.66] 规格化数的真值表达式
[1476.66-1479.22] 来求出其相应的十净值值
[1479.22-1480.70] 在该表达式中
[1480.70-1483.38] 符号为S和为数M的内容
[1483.38-1485.50] 我们之前已经获得了
[1485.50-1487.38] 而基础二的指数X
[1487.38-1489.30] 也就是接满1的真值
[1489.30-1492.26] 我们需要根据接满1的内容来求出
[1492.26-1493.14] 我们知道
[1493.14-1495.50] 接满1是使用一码表示的
[1495.50-1497.94] 因此根据以码的定义式
[1497.94-1501.10] 可通过接码1来求出真值X
[1501.10-1502.98] 也就是将接码1的内容
[1502.98-1504.58] 几8位以码
[1504.58-1506.98] 减去偏一层数127
[1506.98-1509.10] 就可得到真值X
[1509.10-1510.54] 把接码1的内容
[1510.54-1512.90] 当做8位无符号二净之数
[1512.90-1514.74] 转换成十净之数
[1514.74-1517.27] 最后得出真值X为4
[1517.27-1518.75] 根据为数M
[1518.75-1521.43] 可写出其1.M的形式
[1521.43-1523.95] 将之前得到的符号为S的内容
[1523.95-1525.71] 接码1的真值X
[1525.71-1528.23] 为数M的1.M形式的内容
[1528.23-1529.99] 带入HP1754
[1529.99-1531.03] 单经度辅典数
[1531.03-1533.31] 规格化数的真值表达式
[1533.31-1535.51] 得到相应的二净之数
[1535.51-1539.06] 然后再转换成十净之数即可
[1539.06-1539.94] 接下来
[1539.94-1541.94] 请同学们趁热打铁
[1541.94-1545.66] 挑战几个相关的408历年整体
[1545.66-1548.70] 首先来做2011年的提示三
[1548.70-1551.14] 请同学们暂停播放视频
[1551.14-1552.66] 动手练习一下
[1552.66-1558.94] 然后给出你的答案
[1558.94-1560.98] 本题的答案是选项A
[1560.98-1562.90] 大家都选对了吗
[1562.90-1566.33] 本题的解答过程如下所示
[1566.33-1568.21] 这与我们之前刚刚介绍过的
[1568.21-1571.33] 立题一的解题过程是完全一样的
[1571.33-1573.90] 因此就不再赘述了
[1573.90-1576.74] 再来做2013年的提示三
[1576.74-1579.14] 请同学们暂停播放视频
[1579.14-1580.66] 动手练习一下
[1580.66-1586.74] 然后给出你的答案
[1586.74-1588.82] 本题的答案是选项A
[1588.82-1590.81] 大家都选对了吗
[1590.81-1594.57] 我们来一起分析一下
[1594.57-1597.37] 本题可参照立题二的解题过程
[1597.37-1599.57] 分别求出辨量F4和外中
[1599.57-1601.73] 和分别求出辨量F4和外中
[1601.73-1604.79] 我们的解题过程是
[1604.79-1605.99] 选项A
[1605.99-1606.87] 选项A
[1606.87-1607.75] 选项A
[1607.75-1608.99] 选项A
[1608.99-1610.15] 选项A
[1610.15-1611.15] 选项A
[1611.15-1617.15] 选项A
[1617.15-1618.31] 选项A
[1618.31-1619.27] 选项A
[1619.27-1620.39] 选项A
[1620.39-1621.75] 选项A
