[0003.47-0007.91] 同學們好 歡迎大家來到我的計算機組成原理威克堂
[0007.91-0013.19] 本節課我們介紹無符號數懲罰運算的硬件邏輯實現
[0281.13-0286.74] 我們會將這個位積比之前得到的位積向前錯開一位
[0286.74-0289.34] 之後用成數的這一位
[0289.34-0291.82] 乘以背成數1101
[0291.82-0295.50] 得到成數相應位的位積000
[0295.50-0301.01] 我們會將這個位積比之前得到的位積向前錯開一位
[0301.01-0305.97] 之後用成數的這一位乘以背成數1101
[0305.97-0309.45] 得到成數相應位的位積1101
[0309.45-0315.24] 我們會將這個位積比之前得到的位積向前錯開一位
[0315.24-0319.72] 之後將之前得到的四個位積進行加法運算
[0319.72-0321.87] 得到整數結果
[0321.87-0325.07] 最後我們要考慮小數點的位置
[0325.07-0329.03] 在本例中背成數的小數點後面有四位
[0329.03-0331.91] 成數的小數點後面也有四位
[0331.91-0335.79] 因此成績的小數點後面應該有八位
[0335.79-0339.51] 而我們之前得到的整數結果正好為八位
[0339.51-0344.33] 因此只需要在左側添加零和小數點即可
[0344.33-0348.17] 這是二進之成法比算數是背後的原理分析
[0348.17-0352.81] 它與我們之前介紹的十進之成法比算數是背後的原理
[0352.81-0354.33] 是相同的
[0354.33-0356.49] 相信同學們都能看懂
[0356.49-0358.71] 我們就不再墜速了
[0358.71-0360.71] 仔細觀察不難發現
[0360.71-0366.15] 二進之成法的比算過程比十進之成法的比算過程更簡單
[0366.15-0372.58] 因為各行的位積只可能是背成數的整數形式和零兩種情況
[0372.58-0376.82] 接下來我們就要模仿二進之成法的比算方法
[0376.86-0379.26] 考慮機器實現方法
[0379.26-0382.37] 從本例中的這個表達式入手
[0382.37-0386.85] 背成數的整數形式和零乘以二的不同密次
[0386.85-0389.86] 可以使用一位運算來實現
[0389.86-0392.98] 之後將各個一位運算的結果
[0392.98-0396.26] 也就是位積進行加法運算
[0396.26-0399.23] 就可得到成法預算的成績
[0399.23-0401.43] 換句話說成法運算
[0401.43-0405.70] 可由一位運算配合加法運算來實現
[0405.70-0409.46] 然而如果讓機器完全模仿上述
[0409.46-0413.66] 由一位運算配合加法運算實現的成法運算
[0413.66-0416.23] 還面臨以下問題
[0416.23-0420.15] 一個是運算過程中產生的多個位積
[0420.15-0423.79] 需要使用多個計存器進行暫存
[0423.79-0426.84] 以便最後進行一次性相加
[0426.84-0430.88] 另一個是成績的數據寬度增長了一倍
[0430.88-0435.40] 這將造成硬件資源浪費和運算時間的增加
[0435.40-0437.52] 例如左側這個例子
[0437.52-0441.36] 備成數和成數的整數形式都是四位的
[0441.36-0444.50] 而成績的整數形式為八位
[0444.50-0446.18] 針對上述問題
[0446.18-0448.82] 我們對比算成法進行改進
[0448.82-0451.70] 以便用機器實現成法運算
[0451.70-0453.76] 來看這個例子
[0453.76-0456.04] 要計算X乘以外
[0456.04-0458.88] 我們將備成數X保持不變
[0458.88-0462.52] 而用成數外的具體值替換外
[0462.52-0465.32] 為了方便同學們看得更清楚
[0465.36-0470.10] 我們將成數外的各個數位用不同顏色來表示
[0470.10-0475.34] 將成數外的值寫成安全展開相加的形式
[0475.34-0479.76] 將X乘進去並去掉擴號
[0479.76-0483.69] 整體提出二的負一次方
[0483.69-0489.05] 從這部分提出二的負一次方
[0489.05-0494.02] 從這部分提出二的負一次方
[0494.02-0498.52] 從這部分提出二的負一次方
[0498.52-0500.76] 我們對最終得到的這種形式
[0500.76-0502.78] 我們將來進行分析
[0502.78-0504.02] 步驟一
[0504.02-0507.71] 備成數X加0得到結果
[0507.71-0508.71] 步驟二
[0508.71-0510.51] 將步驟一得到的結果
[0510.51-0512.95] 右移移位得到結果
[0512.95-0516.07] 由於該結果是最終成績的一部分
[0516.07-0519.26] 因此也成為部分機
[0519.26-0520.62] 步驟三
[0520.62-0524.06] 備成數X加步驟二得到的部分機
[0524.06-0526.18] 得到結果
[0526.18-0527.30] 步驟四
[0527.30-0529.10] 將步驟三得到的結果
[0529.10-0532.89] 右移移位得到新的部分機
[0533.49-0537.37] 相當於備成數0加步驟四得到的部分機
[0537.37-0539.30] 得到結果
[0539.30-0540.30] 步驟六
[0540.30-0542.06] 將步驟五得到的結果
[0542.06-0545.84] 右移移位得到新的部分機
[0545.84-0547.04] 步驟七
[0547.04-0550.44] 備成數X加步驟六得到的部分機
[0550.44-0552.30] 得到結果
[0552.30-0553.30] 步驟八
[0553.30-0554.94] 將步驟七得到的結果
[0554.94-0558.32] 右移移位得到最終成績
[0558.32-0560.32] 從上述過程可知
[0560.32-0563.76] 本力一共進行了四個輪次的先加法
[0563.80-0565.69] 後移位的運算
[0565.69-0567.77] 這是因為在本力中
[0567.77-0571.26] 成數外的整數形式有四位
[0571.26-0573.70] 通過上述過程不難看出
[0573.70-0574.78] 對於本力
[0574.78-0577.74] 我們需要一個位寬為四位的記存器
[0577.74-0579.90] 存放備成數X
[0579.90-0583.22] 還需要兩個位寬為四位的記存器
[0583.22-0588.16] 分別存放部分機和最終成績的高位和低位
[0588.16-0591.20] 初始階段高位記存器被清零
[0591.20-0594.15] 低位記存器存放成數外
[0594.15-0597.71] 再配上加法器及其他相應電路
[0597.71-0600.10] 即可實現懲罰運算
[0600.10-0600.98] 接下來呢
[0600.98-0605.30] 我們就介紹無符號數懲罰運算的硬件邏輯實現
[0605.30-0607.54] 不知同學們是否還記得
[0607.54-0610.94] 我們在第一章中曾給同學們介紹過
[0610.94-0614.26] 運算器中的算數邏輯單元ALU
[0614.26-0615.98] 累加器ACC
[0615.98-0618.10] 乘商記存器MQ
[0618.10-0620.10] 操作數記存器X
[0620.10-0622.02] 它們各自的作用
[0622.02-0624.26] 若要ALU做懲罰
[0624.26-0628.78] 首先需要將備成數送到操作數記存器X中
[0628.78-0633.02] 而將成數送到乘商記存器MQ中
[0633.02-0635.38] ALU執行懲罰運算號
[0635.38-0638.02] 運算結果也就是成績
[0638.02-0641.82] 其高位會保存在累加器ACC中
[0641.82-0646.46] 而低位會保存在乘商記存器MQ中
[0646.46-0648.50] 若要ALU做加法
[0648.50-0652.74] 首先需要將備加數送到累加器ACC中
[0652.74-0657.02] 而將加數送到操作數記存器X中
[0657.02-0659.30] ALU執行加法運算號
[0659.30-0661.74] 運算結果也就是和
[0661.74-0665.12] 會保存在累加器ACC中
[0665.12-0667.76] 在複習了上述背景知識號
[0667.76-0672.66] 我們給出無符號數乘法運算的硬件邏輯框圖
[0672.66-0674.06] 在該圖中
[0674.06-0677.78] 除了我們剛才複習的算數邏輯單元ALU
[0677.78-0679.34] 累加器ACC
[0679.34-0681.30] 乘商記存器MQ
[0681.30-0683.42] 操作數記存器XY
[0683.42-0684.98] 還包含有
[0684.98-0689.50] 用於保存加法器健位信號的觸發器COUT
[0689.50-0693.94] 用於控制加法和右翼操作的控制邏輯
[0693.94-0698.42] 它根據乘商記存器MQ的最低位MQ0的取職
[0698.42-0700.59] 進行相應控制
[0700.59-0702.83] 當MQ0等於一時
[0702.83-0705.55] 執行加法和右翼操作
[0705.55-0707.75] 當MQ0等於零時
[0707.75-0710.34] 僅執行右翼操作
[0710.38-0716.26] 技術器CN用於控制執行加法和右翼操作的次數
[0716.26-0719.58] 對於上面這個例子為次次
[0719.58-0721.10] 需要注意的是
[0721.10-0725.78] 控制邏輯需要在始終節拍下進行相應控制
[0725.78-0727.78] 為了後續描述方便
[0727.78-0731.55] 我們就不再每次都強調這一點了
[0731.55-0732.47] 接下來呢
[0732.47-0736.83] 我們就將上面這個通過比算方法改進而來的
[0736.83-0741.03] 適用於機器實現的無符號數乘法運算的例子
[0741.03-0743.75] 帶入到我們的印架邏輯框圖中
[0743.75-0744.99] 執行一遍
[0744.99-0750.83] 一遍加深同學們對無符號數乘法運算的機器實現的理解
[0750.83-0752.39] 在執行過程中
[0752.39-0755.35] 我們同時填寫出這樣一個表格
[0755.35-0757.55] 一遍記錄每執行一部
[0757.55-0760.14] 各相關記存器的內容
[0760.14-0763.30] 由於本立為無符號純小數乘法
[0763.30-0767.54] 我們可認為小數點隱含固定在數值的左側
[0767.54-0769.02] 在初始階段
[0769.02-0773.74] 被乘數X會被送入到操作數計存器X中
[0773.74-0778.22] 乘數Y會被送入到乘商計存器MQ中
[0778.22-0780.02] 而磊加器ACC
[0780.02-0784.90] 以及用於保存加法器漸為線號的觸發器COUT的內容
[0784.90-0787.31] 被初始化為0
[0787.31-0791.19] 我們將初始狀態記錄到右側的表格中
[0791.19-0792.03] 另外
[0792.03-0797.75] 用於控制執行加法和右移操作的次數的技術器CN的取職
[0797.79-0799.63] 被初始化為4
[0799.63-0803.26] 因為乘數Y的整數形式為4位
[0803.26-0808.85] 由於此時乘商計存器MQ的最低位MQ0等於1
[0808.85-0812.01] 於需要控制邏輯會控制ALU
[0812.01-0814.61] 將操作數計存器X中的內容
[0814.61-0818.77] 與磊加器ACC中的內容進行加法運算
[0818.77-0821.73] 並且在寫使能信號EN的控制下
[0821.73-0825.32] 將運算結果寫入到ACC中
[0825.32-0827.48] 我們將上述操作的結果
[0827.48-0830.06] 記錄到右側的表格中
[0830.06-0830.90] 至此
[0830.90-0834.98] 上面這個表達式中的這部分就已經完成了
[0834.98-0835.78] 之後
[0835.78-0839.22] 控制邏輯會通過右移控制信號
[0839.22-0842.86] 圖中用C元中的右移操作符來表示
[0842.86-0844.34] 控制COUT
[0844.34-0845.38] ACC
[0845.38-0850.02] MQ中的內容同時向右移動一位
[0850.02-0853.06] MQ中最低位的內容被移出
[0853.06-0854.56] 丟棄即可
[0854.56-0856.60] 我們將上述操作的結果
[0856.60-0859.70] 記錄到右側的表格中
[0859.70-0860.54] 這次
[0860.54-0864.42] 上面這個表達式中的這部分就已經完成了
[0864.42-0869.18] 也就是第一輪次的加法和一位操作執行完畢
[0869.18-0872.34] 技術器CNN內容被更新為3
[0872.34-0876.66] 表明還剩餘三次加法和一位操作
[0876.66-0877.58] 由於此時
[0877.58-0881.82] 乘商技能器MQ的最低位MQ0等於1
[0881.82-0885.10] 於是控制邏輯會控制ALU
[0885.10-0887.82] 將操作數計存器X中的內容
[0887.82-0892.12] 與磊家器ACC中的內容進行加法運算
[0892.12-0895.77] 此次加法運算會產生進位信號
[0895.77-0898.21] 在寫使能信號依然的控制下
[0898.21-0904.26] 運算結果和進位信號被分別寫入到ACC和COUT中
[0904.26-0908.50] 我們將上述操作的結果記錄到右側的表格中
[0908.50-0909.34] 這次
[0909.34-0913.13] 上面這個表達式中的這部分就已經完成了
[0913.13-0916.41] 之後控制邏輯會控制COUT
[0916.41-0922.02] ACCMQ中的內容同時向右移動一位
[0922.02-0924.70] MQ中最低位的內容被移出
[0924.70-0926.10] 丟棄即可
[0926.10-0931.10] 而COUT中的1被移入到ACC中的左側第一位
[0931.10-0933.18] COUT中補零即可
[0933.18-0938.10] 因為我們針對的是無符號數的右移屬於邏輯右移
[0938.10-0942.84] 我們將上述操作的結果記錄到右側的表格中
[0942.84-0947.40] 這次上面這個表達式中的這部分就已經完成了
[0947.40-0951.92] 也就是第二輪次的加法和一位操作執行完畢
[0951.92-0954.96] 技術器CNN的內容被更新為二
[0954.96-0959.54] 表明還剩餘兩次加法和一位操作
[0959.54-0964.66] 由於此時成商基存器MQ的最低位MQ零等於零
[0964.66-0968.79] 因此本輪次僅執行右移操作
[0968.79-0973.59] 控制邏輯會控制COUT ACCMQ中的內容
[0973.59-0977.10] 同時向右移動一位
[0977.10-0979.70] MQ中最低位的內容被移出
[0979.70-0981.21] 丟棄即可
[0981.21-0986.35] 我們將上述操作的結果記錄到右側的表格中
[0986.35-0991.02] 這次上面這個表達式中的這部分就已經完成了
[0991.02-0995.46] 也就是第三輪次的加法和一位操作執行完畢
[0995.46-0998.70] 技術器CNN內容被更新為一
[0998.70-1003.00] 表明還剩餘一次加法和一位操作
[1003.00-1008.22] 由於此時成商基存器MQ的最低位MQ零等於一
[1008.22-1011.46] 於是控制邏輯會控制ALU
[1011.46-1014.10] 將操作數基存器X中的內容
[1014.10-1018.54] 與磊家器ACC中的內容進行加法運算
[1018.54-1021.86] 此次加法運算會產生健位信號
[1021.86-1024.58] 在寫取能信號1N的控制下
[1024.62-1030.74] 運算結果和健位信號被分別寫入到ACC和COUT中
[1030.74-1036.10] 我們將上述操作的結果記錄到右側的表格中
[1036.10-1041.14] 至此上面這個表達式中的這部分就已經完成了
[1041.14-1044.38] 之後控制邏輯會控制COUT
[1044.38-1049.87] ACC MQ中的內容同時向右移動一位
[1049.87-1052.55] MQ中最低位的內容被移出
[1052.55-1053.83] 丟棄即可
[1053.87-1058.95] 而COUT中的1被移入到ACC中的左側第一位
[1058.95-1061.39] COUT中不零即可
[1061.39-1066.32] 我們將上述操作的結果記錄到右側的表格中
[1066.32-1070.90] 這次上面這個表達式就全部計算完成了
[1070.90-1075.82] 也就是第四輪次的加法和一位操作執行完畢
[1075.82-1081.06] 技術器CN的內容被更新為零表明運算結束
[1081.06-1087.90] 而此時累加器ACC中保存的就是成績的整數形式的高四位
[1087.90-1094.90] 而乘上技術器MQ中保存的就是成績的整數形式的第四位
[1094.90-1105.90] 最後請同學們參照上面這個例子完成該練習
[1105.90-1109.14] 好的本節課到這裡就結束了
[1109.14-1111.26] 同學們我們下節課見
