[0003.79-0007.63] 同學們好,歡迎大家來到我的計算機組成員裡威克堂
[0213.90-0218.38] 典型的總線事務類型有,存主機讀,存主機寫
[0218.38-0223.34] IO讀,IO寫,中斷響應,DMA響應
[0223.34-0228.00] 有關IO設備,中斷響應,DMA響應的相關知識
[0228.08-0231.92] 我們會在第八章輸入輸出系統給同學們介紹
[0231.92-0235.07] 請同學們注意,一般情況下
[0235.07-0239.07] 總線事務包含一個尋指階段和一個傳輸階段
[0239.07-0242.27] 也稱為數據階段,如讀所示
[0242.27-0246.91] 這是我們剛剛介紹過的,總線傳輸過程包含的四個階段
[0246.91-0250.51] 而總線事務包含其中的這兩個階段
[0250.51-0255.39] 我們知道,一般情況下,一個總線傳輸週期
[0255.39-0257.95] 只能傳輸一個總線寬度的數據
[0258.11-0260.67] 因此,總線傳輸效率較低
[0260.67-0265.50] 除DDR、QDR、ODRY,採用突發傳輸模式
[0265.50-0268.38] 也可以有效提高總線傳輸效率
[0268.38-0273.98] 這樣,總線事務就由一個尋指階段和多個傳輸階段組成
[0273.98-0278.94] 在尋指階段,主設備發送一段連續數據單元的手地址
[0278.94-0284.18] 在多個數據傳輸階段,傳輸一段連續數據單元中的數據
[0284.85-0290.29] 下圖對普通模式總線傳輸與突發模式總線傳輸進行了對比
[0290.29-0295.89] 可以看到,對於普通模式,每次數據傳輸都需要單獨尋指
[0295.89-0299.25] 地址總線依次發送數據單元的地址
[0299.25-0303.49] 而數據總線依次對應傳送各數據單元中的數據
[0303.49-0309.92] 而對於突發模式只需一次尋指,也就是多個連續數據單元的手地址
[0309.92-0313.68] 即可連續傳輸多個連續數據單元中的數據
[0313.84-0318.80] 對於本例,一次尋指和連續傳輸四個數據單元中的數據
[0318.80-0324.53] 通過本例不能看出,突發模式通過減少地址總線操作次數
[0324.53-0327.89] 顯著提高了連續數據塊的傳輸效率
[0327.89-0332.50] 在本例中,在普通模式傳輸四個數據單元的時間內
[0332.50-0336.02] 突發模式可完成八個數據單元的傳輸
[0336.02-0340.00] 好的,本節課的內容就介紹到這裡
[0340.16-0346.40] 接下來,請同學們挑戰幾道與本節課內容相關的408考研例年真題
[0346.40-0349.98] 首先來挑戰2014年的題20
[0349.98-0355.50] 請同學們暫停播放視頻,思考一下,然後給出你的答案
[0355.50-0365.04] 本題的答案是選項C,相信同學們都能正確回答
[0365.04-0370.56] 因為本題描述的總線事務方式,就是我們剛剛介紹過的突發傳輸
[0371.01-0375.01] 選項A中的並行傳輸和選項B中的串形傳輸
[0375.01-0380.13] 我們在之前,本章有關總線分類的那節課中已給同學們介紹過了
[0380.13-0386.48] 同樣,選項D中的同步傳輸,也在總線分類的那節課中給同學們介紹過了
[0386.48-0388.00] 就不再贅述了
[0388.00-0391.12] 再來挑戰2012年的題19
[0391.12-0397.04] 請同學們暫停播放視頻,動手練習一下,然後給出你的答案
[0397.04-0405.66] 本題的答案是選項C,大家都選對了嗎?
[0405.66-0407.66] 我們來一起分析一下
[0407.66-0412.94] 根據提議,我們可畫出題目給定的一次主存寫總線事務
[0412.94-0417.34] 該總線事務由一個時長為一個時鐘週期的巡止階段
[0417.34-0421.10] 和4個時長為一個時鐘週期的數據決斷組成
[0421.10-0425.82] 因此,該總線事務的時間至少為5個時鐘週期
[0425.82-0430.13] 我們知道,時鐘週期與時鐘頻率互為倒數
[0430.13-0433.81] 題目給定,總線的時鐘頻率為100兆赫茲
[0433.89-0437.25] 因此,可得出時鐘週期為10納秒
[0437.25-0441.25] 總上所述,該總線事務至少為50納秒
[0441.25-0444.70] 再來挑戰2018年的題21
[0444.70-0454.50] 請同學們暫停播放視頻,思考一下,然後給出你的答案
[0454.50-0458.18] 本題的答案是選項B,大家都選對了嗎?
[0458.18-0460.18] 我們來一起分析一下
[0460.18-0463.04] 通過之前幾次課的學習,我們知道
[0463.04-0465.52] 總線寬度,也稱為未寬
[0465.68-0468.80] 該性能指標決定了單次傳輸的數據量
[0468.80-0472.16] 未寬越大,每次傳輸的字節數越多
[0472.16-0475.36] 如32位總線,一次傳4字節
[0475.36-0477.68] 64位則傳8字節
[0477.68-0479.84] 在總線工作頻率不變時
[0479.84-0484.16] 總線寬度增加,將直接提高同步總線數據傳輸率
[0484.16-0486.88] 因此,選項1的措施有效
[0486.88-0489.58] 總線工作頻率這個性能指標
[0489.58-0492.30] 決定了單位時間內的傳輸次數
[0492.30-0494.94] 頻率越高,單位時間內完成的
[0494.94-0496.54] 傳輸週期數越多
[0496.54-0500.22] 如頻率從100兆赫茲提高到200兆赫茲
[0500.22-0501.95] 週期數翻倍
[0501.95-0504.03] 在總線寬度不變時
[0504.03-0505.87] 總線工作頻率提升
[0505.87-0508.83] 將直接提高同步總線數據傳輸率
[0508.83-0511.86] 因此,選項2的措施有效
[0511.86-0513.38] 突發傳輸模式
[0513.38-0517.06] 是一種一次群職,多次傳輸的總線事務
[0517.06-0520.58] 該模式減少了地址傳輸的額外開銷
[0520.58-0523.14] 提升了總線的時間利用率
[0523.30-0525.94] 間接提高同步總線數據傳輸率
[0525.94-0528.90] 因此,選項3的措施有效
[0528.90-0531.98] 而地址數據線附用是指
[0531.98-0533.58] 同一組無理線路
[0533.58-0536.54] 在不同時刻傳輸地址或數據
[0536.54-0538.30] 而非同時傳輸
[0538.30-0542.22] 其目的是減少總線所包含的信號線數量
[0542.22-0544.78] 也就是硬件設計層面的優化
[0544.78-0547.74] 而不是提高同步總線數據傳輸率
[0547.74-0550.70] 因此,選項4的措施無效
[0551.07-0554.35] 終上所述,本題的答案是選項b
[0554.35-0558.27] 好的,本節課到這裡就結束了
[0558.27-0562.35] 請同學們快速回憶一下本節課的主要內容
[0562.35-0578.98] 同學們,我們下節課見
