[0003.41-0007.51] 同学们好,欢迎大家来到我的计算机组成员里威克唐
[0220.26-0221.56] 中断请求包括
[0221.56-0224.96] 开中断时才能收到的外部可屏蔽中断请求
[0224.96-0227.76] 和不受开中断影响的内部异常
[0227.76-0229.96] 和外部不可屏蔽中断请求
[0229.96-0234.17] 中断周期中的这部分是中断响应阶段
[0234.17-0235.77] 在中断响应阶段
[0235.77-0237.77] CPU需要完成关中断
[0237.77-0238.77] 保存断点
[0238.77-0240.87] 中断识别这三个任务
[0240.87-0244.17] 可能需要0到N个时中周期才能完成
[0244.17-0246.17] 由于在中断响应阶段
[0246.17-0248.47] CPU无法执行其他任务
[0248.47-0250.27] 因此,中断响应阶段
[0250.27-0254.07] 可视为CPU通过执行中断影指令来完成
[0254.07-0256.17] 需要占用CPU时间
[0256.17-0257.84] 请同学们注意
[0257.84-0260.94] 中断影指令并非真实存在的指令
[0260.94-0263.44] 仅是对硬件在中断响应阶段
[0263.44-0266.44] 自动执行一系列操作的虚拟概括
[0266.44-0270.34] 其中,关中断用于临时禁止中断请求
[0270.34-0271.44] 目的在于
[0271.44-0275.34] 防止后续保存断点和保护现场的操作被打断
[0275.34-0277.84] 既然确保中断程序完成后
[0277.84-0280.54] 能够正确返回断点继续执行
[0280.54-0282.04] 请同学们注意
[0282.04-0285.54] 关中断可以按软件设计需要通过指令实现
[0285.54-0288.74] 但是对于中断响应阶段的关中断操作
[0288.74-0291.33] 是通过硬件自动完成的
[0291.33-0294.23] 保存断点是将程序进入器PC
[0294.23-0297.73] 和处理器的程序状态计存器PSW的内容
[0297.73-0300.73] 压榨或放入特定的单元保存
[0300.73-0302.43] 对于X86处理器
[0302.43-0304.73] 是将代码断计存器CS
[0304.73-0307.13] 相应模式的指令指针计存器
[0307.23-0309.93] 以及标志计存器压榨保存
[0309.93-0311.53] 对于MIPS处理器
[0311.53-0313.03] 将程序计存器PC
[0313.03-0316.03] 保存到异常程序计存器EPC
[0316.03-0319.53] 并备份和修改状态计存器Staters
[0319.53-0320.93] 请同学们注意
[0320.93-0324.33] 内部异常和外部中断的断点是不同的
[0324.33-0328.03] 对于由指令位置型成功造成的内部异常
[0328.03-0331.33] 在异常处理后要重新执行该指令
[0331.33-0334.36] 因此其断点是当前指令的地质
[0334.36-0335.76] 对于外部中断
[0335.76-0338.56] 其断点是下一条指令的地质
[0338.56-0340.16] 如果指令顺序执行
[0340.16-0342.46] 则其断点是顺序指令地质
[0342.46-0345.02] 否则是分支目标地质
[0345.02-0346.02] 中断识别
[0346.02-0348.12] 主要包含以下操作
[0348.12-0352.02] 一通过硬件或软件方法查找中断员
[0352.02-0353.12] 我们在上节课
[0353.12-0354.02] 给同学们介绍
[0354.02-0357.14] 练试请求方式时已经介绍过了
[0357.14-0360.04] 二清除当前中断请求
[0360.04-0363.74] 三将中断员相应的中断幅程序入口地质
[0363.74-0367.04] 送入程序计入器PC
[0367.04-0371.64] 那么如何获取某个中断员相应的中断幅程序的入口地质
[0371.64-0376.24] 竟然可以进入中断幅程序执行呢
[0376.24-0378.14] 不知同学们是否还记得
[0378.14-0381.74] 我们在本章有关中断的基本概念的第二次课中
[0381.74-0386.44] 给同学们介绍过向两中断和非向两中断的相关概念
[0386.44-0388.04] 对于非向两中断
[0388.04-0391.24] 多个设备可能共享同一中断请求线
[0391.24-0393.94] 硬件而仅能识别有中断发生
[0393.94-0396.51] 无法直接定位具体设备
[0396.51-0397.91] CPU向中断后
[0397.91-0401.11] 需要通过软件逐个查询设备状态计存器
[0401.11-0403.11] 确定出发中断设备
[0403.11-0404.61] 根据查询结果
[0404.61-0406.21] 通过条件分支指令
[0406.21-0409.44] 跳转到对应设备的中断幅程序
[0409.44-0410.24] 因此
[0410.24-0413.14] 非向两中断的识别流程相对繁琐
[0413.14-0414.84] 相应速度缴慢
[0414.84-0416.34] 对于向两中断
[0416.34-0419.54] 每种中断员预先分配唯一的相量地址
[0419.54-0422.94] 存储在中断相量表或硬件而计存器中
[0422.94-0424.54] 设备出发中断后
[0424.54-0428.44] 硬件自动根据中断员识别对应的相量地址
[0428.44-0432.54] CPU直接加载相量地址指向的中断幅程序
[0432.54-0434.14] 无需额外查询步骤
[0434.14-0436.31] 相应速度快
[0436.31-0437.11] 接下来
[0437.11-0440.41] 我们对向两中断的识别做进一步说明
[0440.41-0443.00] 首先来看什么是中断号
[0443.00-0444.40] 在向两中断中
[0444.40-0447.20] 每个中断员都有一个唯一的中断编号
[0447.20-0448.90] 称为中断号
[0448.90-0451.20] CPU将中断号作为所引
[0451.20-0452.50] 在中断相量表中
[0452.50-0455.10] 查找中断幅程序的入口地址
[0455.10-0457.63] 以便实现程序的转移
[0457.63-0460.23] 中断号由计算机系统统一分配
[0460.23-0462.13] 一般是固定不便的
[0462.13-0463.93] 不能人为修改
[0463.93-0465.93] 例如下表所示的是
[0465.93-0470.68] 属于X86架构的8086处理器的中断号分辈情况
[0470.68-0472.08] 需要说明的是
[0472.08-0473.48] X86架构处理器
[0473.48-0475.28] 包含0到255
[0475.28-0477.58] 共256个中断号
[0477.58-0480.08] 不同X86处理器的中断号分辈方案
[0480.08-0481.78] 会有一定的差异
[0481.78-0484.58] 例如本层谱肉处理器的可屏蔽中断号
[0484.58-0487.18] 范围是20到FF
[0487.18-0488.18] 这与上秒钟
[0488.18-0490.88] 8086处理器的可屏蔽中断号范围
[0490.88-0493.92] 并不完全相同
[0493.92-0495.22] 请同学们注意
[0495.22-0496.82] 不同类型的中断元
[0496.82-0499.12] 获取其中断号的方法不同
[0499.12-0501.22] 对于可屏蔽外部中断
[0501.22-0503.42] 中断号是在中断显示周期内
[0503.42-0505.82] 从中断控制器处获取的
[0505.82-0507.02] 对于系统调用的
[0507.02-0509.32] 自限指令产生的内部异常
[0509.32-0512.55] 中断号是由中断指令直接给出的
[0512.55-0513.95] 对于不可屏蔽中断
[0513.95-0515.35] 以及非系统调用的
[0515.35-0517.55] 自限指令产生的内部异常
[0517.55-0520.68] 中断号是由系统预先设置好的
[0520.68-0523.18] 在同学们了解了中断号的概念后
[0523.18-0525.38] 我们进一步解释中断向量
[0525.38-0526.38] 中断向量表
[0526.38-0528.81] 以及向量地址之间的关系
[0528.81-0529.91] 一般情况下
[0529.91-0531.71] 将中断服务程序的入口地址
[0531.71-0534.51] PC和程序状态字PSW
[0534.51-0536.61] 合成为中断向量
[0536.61-0537.91] 需要说明的是
[0537.91-0540.01] 某些计算机的中断服务程序
[0540.01-0542.91] 需要在入程序状态字才能运行
[0542.91-0545.01] 对于不需要在入程序状态字
[0545.01-0547.41] 即可运行中断服务程序的计算机
[0547.41-0548.31] 中断向量
[0548.31-0551.67] 就是中断服务程序的入口地址PC
[0551.67-0552.77] 中断向量表
[0552.77-0554.67] 由若干中断向量构成
[0554.67-0555.57] 也就是说
[0555.57-0558.37] 中断向量表是中断向量的集合
[0558.37-0561.17] 中断向量表通常存放在主存中
[0561.17-0563.77] 在操作系统引导过程中出手化
[0563.77-0566.97] 利用中断号对其进行索因访问
[0566.97-0569.07] 中断向量表中各表向的地址
[0569.07-0570.37] 就是向量地址
[0570.37-0572.27] 也称为中断指针
[0572.37-0574.57] 接下来我们给出中断向量
[0574.57-0575.47] 中断向量表
[0575.47-0578.57] 以及向量地址之间的关系是一图
[0578.57-0579.67] 如同所示
[0579.67-0581.47] 这是操作系统引导过程中
[0581.47-0582.47] 被出使化
[0582.47-0585.59] 并存放在主存中的中断向量表
[0585.59-0587.68] 这是中断向量0
[0587.68-0589.84] 这是中断向量1
[0589.84-0590.74] 依此类推
[0590.74-0593.00] 这是中断向量N
[0593.00-0596.16] 这是各主存单元的地址
[0596.16-0597.46] 该主存单元的地址
[0597.46-0600.61] 就是中断向量0的向量地址
[0600.61-0602.11] 该主存单元的地址
[0602.11-0605.09] 就是中断向量1的向量地址
[0605.09-0606.09] 依此类推
[0606.09-0607.49] 该主存单元的地址
[0607.49-0609.92] 就是中断向量N的地址
[0609.92-0611.92] 在同学们了解了中断向量
[0611.92-0612.82] 中断向量表
[0612.82-0615.02] 以及向量地址之间的关系后
[0615.02-0618.12] 我们给出8086处理器的中断向量表
[0618.12-0619.92] 以便同学们对中断向量
[0619.92-0620.82] 中断向量表
[0620.82-0622.62] 以及向量地址之间的关系
[0622.62-0624.84] 有进一步的理解
[0624.84-0626.64] 对于8086处理器
[0626.64-0628.74] 其中断向量表存储在主存
[0628.74-0633.34] 0000到03FF共1K字节的存主空间中
[0633.34-0635.44] 每个中断向量占用四字节
[0635.44-0639.55] 如族所示
[0639.55-0641.05] 256个中断号
[0641.05-0643.72] 对应256个中断向量
[0643.72-0644.32] 这样
[0644.32-0646.52] 只要将中断号N作为锁印
[0646.52-0650.35] 就可以对中断向量表中的中断向量进行访问
[0650.35-0654.15] 中断向量在中断向量表中的位置为N乘以4
[0654.15-0654.85] 例如
[0654.85-0656.75] 这是中断号为1的中断
[0656.75-0661.19] 其中断向量在中断向量表中的位置为1乘以4
[0661.19-0662.49] 需要说明的是
[0662.49-0664.19] 对于8086处理器
[0664.19-0666.89] 每个中断向量地址的高两个字节的内容
[0666.89-0670.19] 用于更新到弹码段计存器CIS
[0670.19-0672.59] 中断向量地址的低两个字节的内容
[0672.59-0675.79] 用于更新到指令指针计存器IP
[0675.79-0676.49] 例如
[0676.49-0678.79] 当CPU响应0号中断时
[0678.79-0681.39] 0号中断向量地址的高两个字节的内容
[0681.39-0684.19] 会更新到弹码段计存器CIS
[0684.19-0687.19] 而0号中断向量地址的低两个字节的内容
[0687.19-0690.78] 会更新到指令指针计存器IP
[0690.78-0692.48] 在8086处理器中
[0692.48-0696.48] 弹码段计存器CIS和指令指针计存器IP
[0696.48-0699.78] 共同决定了CPU将要执行的下一条指令
[0699.78-0702.41] 在主存中的物理位置
[0702.41-0704.11] 弹码段计存器CIS
[0704.11-0706.91] 用于存放当前弹码段的起始地址
[0706.91-0711.00] CPU在计算物理地址时会将其左移四位
[0711.00-0712.80] 指令指针计存器IP
[0712.80-0716.90] 用于存放相对于当前弹码起始地址的偏异地址
[0716.90-0720.40] 这样就可以得到CPU将要执行的下一条指令
[0720.40-0723.12] 在主存中的物理地址
[0723.12-0725.92] 也就是获取到某个中断源相应的
[0725.92-0727.82] 中断幅程序入口地址
[0727.82-0731.08] 竟然可以进入中断幅程序执行
[0731.08-0732.78] 进入中断幅程序号
[0732.78-0734.78] 首先要做的是保护现场
[0734.78-0736.68] 也就是将中断幅程序中
[0736.68-0739.58] 会被改写的计存器的内容进行压占
[0739.58-0742.34] 这属于中断幅的预处理部分
[0742.34-0743.74] 需要说明的是
[0743.74-0746.74] 某些计存器可能会被隐藏的修改
[0746.74-0750.34] 例如MIPS中的异常指令计存器IPC
[0750.34-0754.24] 这些计存器可能也需要作为现场进行保护
[0754.24-0757.24] 另外如果会被改写的计存器角度
[0757.24-0760.54] 进行软件压占处理的时间开销会比较大
[0760.54-0762.64] 有些CPU会利用硬价技术
[0762.64-0765.64] 批量保存现场以提升性能
[0765.64-0768.34] 之后就可以进行中断服务了
[0768.34-0771.14] 也就是对中断事件的实际处理
[0771.14-0772.74] 对于单级中断
[0772.74-0777.04] 由于整个中断服务都是在关中断状态下进行的
[0777.04-0780.24] 所以中断服务程序执行时间不能太长
[0780.24-0782.64] 否则其他外部设备的中断请求
[0782.64-0786.44] 可能因为长时间得不到响应而丢失数据
[0786.44-0788.44] 为了解决上述问题
[0788.44-0789.84] Linux操作系统中
[0789.84-0792.04] 通常将中断服务任务分为
[0792.04-0795.04] 顶半和底半两部分操作
[0795.04-0798.44] 顶半操作在关中断状态中进行
[0798.44-0800.64] 进执行必要的硬价状态查询
[0800.64-0802.04] 与任务分发
[0802.04-0803.74] 不处理耗时任务
[0803.74-0806.93] 而将耗时任务甩给底半操作
[0806.93-0810.23] 底半操作在开中断状态中进行
[0810.23-0811.73] 执行耗时任务
[0811.73-0813.43] 不组组系统响应
[0813.43-0816.89] 以便可以被其他外部设备的中断请求打断
[0816.89-0818.69] 在完成中断服务后
[0818.69-0820.29] 需要恢复现场
[0820.29-0821.39] 恢复现场的任务
[0821.39-0823.39] 与保护现场的任务相反
[0823.39-0827.39] 也就是将之前相应的压榨内容进行初战处理
[0827.39-0828.49] 简单来说
[0828.49-0830.39] 保护现场进行压榨处理
[0830.39-0832.89] 而恢复现场进行初战处理
[0832.89-0836.99] 而战是一种后进先出的线性数据结构
[0836.99-0839.59] 恢复现场后就可以开中断了
[0839.59-0843.39] 通过指令将中断使能位之一进行开中断
[0843.39-0847.48] 以便使CPU又可以接收新的中断请求
[0847.48-0849.38] 在中断服务程序的最后
[0849.38-0853.02] 通过一条中断返回指令实现中断返回
[0853.02-0854.92] 中断返回指令的功能是
[0854.92-0858.52] 将之前保存的钻点恢复到程序技术器PC
[0858.52-0862.12] 可能还包括程序状态基准器PSW
[0862.12-0865.11] 进而恢复被中断程序的执行
[0865.11-0866.21] 从上所说
[0866.21-0868.31] 中断服务程序中的保护现场
[0868.41-0870.21] 是中断服务的预处理
[0870.21-0872.21] 而恢复现场开中断
[0872.21-0875.73] 中断返回是中断服务的后处理
[0875.73-0877.73] 至此我们就给同学们介绍了
[0877.73-0879.93] 单级中断的处理流程
[0879.93-0882.33] 接下来请同学们挑战几道
[0882.33-0886.43] 与本节课内容相关的408考研例年真题
[0886.43-0889.73] 首先来挑战2010年的题21
[0889.73-0891.83] 请同学们暂停播放视频
[0891.83-0899.61] 思考一下然后给出你的答案
[0899.61-0901.51] 本题的答案是选项A
[0901.51-0902.91] 大家都选对了吗
[0903.01-0904.81] 我们来一起分析一下
[0904.81-0905.91] 如族所示
[0905.91-0906.71] 这是本节课
[0906.71-0909.81] 我们给同学们介绍的单级中断的处理流程
[0909.81-0912.21] 我们将题目给定的执行顺序编号
[0912.21-0916.01] 标记在该图中的中断服务程序的相应操作旁
[0916.01-0919.71] 就可轻松得出本题的答案是选项A
[0919.71-0921.41] 而本题中3号操作
[0921.41-0924.41] 关中断和4号操作保存单点
[0924.41-0926.71] 并不在中断服务程序中进行
[0926.71-0929.11] 而是在进入中断服务程序之前
[0929.11-0931.46] 由硬件自动完成
[0931.46-0934.86] 好的 再来挑战2012年的题22
[0934.86-0937.06] 请同学们暂停播放视频
[0937.06-0937.96] 思考一下
[0937.96-0944.80] 然后给出你的答案
[0944.80-0946.60] 本题的答案是选项B
[0946.60-0948.10] 大家都选对了吗
[0948.10-0950.00] 我们来一起分析一下
[0950.00-0951.00] 如族所示
[0951.00-0951.90] 这是本节课
[0951.90-0955.40] 我们给同学们介绍的单级中断的处理流程
[0955.40-0958.60] 其中在中断响应阶段进行的关中断
[0958.60-0961.30] 保存断脸以及中断识别的操作
[0961.30-0963.00] 不需要执行任何指令
[0963.00-0965.10] 而是由硬件自动完成的
[0965.20-0968.40] 也可看作是执行中断引指令来实现的
[0968.40-0969.50] 所谓引指令
[0969.50-0972.20] 就是指并非真实存在的指令
[0972.20-0975.70] 中断引指令完成的第一个操作是关中断
[0975.70-0979.00] 在本题中该操作的选项号为1
[0979.00-0982.80] 中断引指令完成的第二个操作是保存断点
[0982.80-0985.10] 也就是将程序技术器pc
[0985.10-0988.80] 和处理器的程序状态字计存器psw的内容
[0988.80-0991.90] 压榨或放入特定的单元保存
[0991.90-0994.20] 中断引指令完成的第三个操作
[0994.20-0998.70] 是中断识别在本题中该操作的选项号为3
[0998.70-1002.30] 综上所述本题的答案是选项b
[1002.30-1005.90] 请同学们注意本题中选项号为2的操作
[1005.90-1007.90] 保存通用技存器的内容
[1007.90-1011.20] 是在中断服务程序中进行保护现场时的操作
[1011.20-1013.00] 而不是在中断响应阶段
[1013.00-1016.22] 通过中断引指令来执行的操作
[1016.22-1019.62] 好的再来挑战2018年的题22
[1019.62-1021.82] 请同学们暂停播放视频
[1021.92-1022.92] 思考一下
[1022.92-1030.24] 然后给出你的答案
[1030.24-1032.24] 本题的答案是选项c
[1032.24-1033.64] 大家都选对了吗
[1033.64-1035.64] 我们来一起分析一下
[1035.64-1036.84] 如族所示
[1036.84-1039.84] 这是我们在本章有关中断请求的那次课中
[1039.84-1043.04] 给同学们介绍中断控制机方式的中断请求时
[1043.04-1044.84] 引入的示意图
[1044.84-1046.74] 通过该图就可以看出
[1046.74-1047.74] 中断优先级
[1047.74-1050.64] 由中断屏蔽技存器rmr的内容
[1050.64-1053.24] 也就是中断屏蔽字来决定
[1053.24-1056.34] 而不是由中断请求的先后次序来决定
[1056.34-1059.20] 因此选项A的叙述错误
[1059.20-1060.80] 选项B的叙述错误
[1060.80-1063.80] 我们在刚刚完成的2012年的题22中
[1063.80-1064.90] 已经分析过了
[1064.90-1067.11] 就不再坠述了
[1067.11-1069.01] 选项D的叙述错误
[1069.01-1071.81] 这是因为若处于关中断状态
[1071.81-1074.41] 则CPU不响应外保IO中断
[1074.41-1076.31] 若处于开中断状态
[1076.31-1079.31] 但新的外保IO中断请求的优先级脚低
[1079.31-1082.84] 则CPU也不响应新的外保IO中断请求
[1082.84-1085.34] 另外对于外不可屏蔽中断
[1085.44-1087.24] 进行中断响应的时机
[1087.24-1089.94] 是在每条指定执行完毕后进行的
[1089.94-1092.64] 而不是在指定执行过程中进行的
[1092.64-1093.84] 从这一点来看
[1093.84-1096.47] 选项D的叙述也是错误的
[1096.47-1098.67] 这次通过排除法可知
[1098.67-1100.83] 选项C的叙述正确
[1100.83-1103.93] 从中断控制器方式的中断请求的示意图
[1103.93-1105.23] 也可看出
[1105.23-1108.03] CPU只有在处于中断隐取状态时
[1108.03-1110.83] 才能响应外部设备的中断请求
[1110.83-1113.33] 另外请同学们不要忘记了
[1113.33-1116.23] 内部异常和外部不可屏蔽中断
[1116.23-1119.76] 不受中断是否使能限制
[1119.76-1120.46] 好的
[1120.46-1122.56] 本节课到这里就结束了
[1122.56-1139.08] 请同学们快速回忆一下本节课的主要内容
[1139.08-1139.78] 同学们
[1139.78-1140.88] 我们下节课见
