[0003.22-0007.46] 同学们好,欢迎大家来到我的计算机组成员里维克堂。
[0457.87-0459.87] 加深同学们对全相连硬设的
[0459.87-0461.87] 硬件逻辑实现的理解,
[0461.87-0464.87] 看看同学们能否总结出
[0464.87-0466.87] 全相连硬设方式的特点,
[0466.87-0468.87] 包括优点和缺点。
[0468.87-0473.22] 假设这是第一个代访的信息的主存地址。
[0473.22-0475.22] 为了便于后续总结,
[0475.22-0477.22] 全相连硬设方式的特点,
[0477.22-0480.22] 我们会记录每次访问的结果,
[0480.22-0483.54] 将该主存地址写成二进之形式,
[0483.54-0487.70] 第两位为块内偏移部分,
[0487.70-0489.70] 由于本利给定主存地址中的
[0489.70-0492.70] 主存数据块地址部分占六位,
[0492.70-0495.70] 因此,该主存地址的高六位
[0495.70-0497.70] 为主存数据块地址部分,
[0497.70-0501.09] 假设看似的初始状态为空,
[0501.09-0503.09] 因此,各看常的
[0503.09-0506.09] 有效位valid的取直为零,
[0506.09-0511.40] 表示各看常中的信息无下如读所示,
[0511.40-0514.40] 各看常中有效位的直与一,
[0514.40-0516.40] 标记太个的直与
[0516.40-0518.40] 主存地址中数据块地址的直,
[0518.40-0520.40] 通过并发比较器,
[0520.40-0522.40] 同时进行比较,
[0522.40-0524.46] 结果为未命中,
[0524.46-0526.46] 这是因为此时各看常中的
[0526.46-0528.46] 有效位的直为零,
[0528.46-0531.62] 并发比较器输出比较结果,
[0531.62-0533.62] 低电瓶表示未命中,
[0533.62-0536.62] 我们用零来表示低电瓶,
[0536.62-0538.72] 该信号传送到自选择器的
[0538.72-0540.72] 输出使能O1端,
[0540.72-0543.72] 自选择器被禁止输出,
[0543.72-0545.98] 并发比较器的各看常
[0545.98-0547.98] 选通信号输出端,
[0547.98-0549.98] 都输出无效电瓶,
[0549.98-0551.98] 也就是低电瓶,
[0551.98-0554.98] 这样不会有开市行被选通。
[0554.98-0557.23] 通上所说,
[0557.23-0560.23] 对该主存地址中的信息进行访问时,
[0560.23-0562.23] 开始未命中,
[0562.23-0564.30] 也就是出现数据缺失,
[0564.30-0567.30] 需要再入该主存地址所在的
[0567.30-0570.62] 主存数据块到开市中,
[0570.62-0572.62] 对于全相连硬射方式,
[0572.62-0574.62] 可将主存数据块
[0574.62-0577.90] 再入到开市中的任何一个空行,
[0577.90-0579.90] 假设该主存数据块
[0579.90-0581.90] 再入到了开市行零中的
[0581.90-0584.10] 数据块复本缓冲区中,
[0584.10-0586.10] 则该开市行中,
[0586.10-0588.10] 标记太克的职,
[0588.10-0590.10] 需要更新为,
[0590.10-0592.93] 主存地址中数据块地址部分的职,
[0592.93-0594.93] 另外,还需要将
[0594.93-0596.93] 该开市行中的有效位置一,
[0596.93-0600.63] 表示该开市行中的信息有效,
[0600.63-0602.63] 假设这是第2个
[0602.63-0604.79] 在访问信息的主存地址,
[0604.79-0607.79] 将该主存地址写成二净之形式,
[0607.79-0611.14] 各开市行中有效位的职与一,
[0611.14-0613.14] 标记太克的职
[0613.14-0615.14] 与主存地址中数据块地址的职,
[0615.14-0617.14] 通过并发比较切,
[0617.14-0619.14] 同时进行比较,
[0619.14-0621.21] 结果为未命中,
[0621.21-0623.21] 这是因为,
[0623.21-0625.21] 尽管第零行
[0625.21-0627.21] 开始中的有效位的职为一,
[0627.21-0629.21] 但该开市行中的标记太克的职,
[0629.21-0632.21] 与主存地址中数据块地址的职不相同,
[0632.21-0635.24] 而其他开市行中的有效位的职为零,
[0635.24-0637.78] 并发比较切,
[0637.78-0639.78] 输出比较结果,
[0639.78-0641.78] 低电平表示未命中,
[0641.78-0643.91] 争零来表示低电平,
[0643.91-0646.91] 该信号传送到自选得器的输出使能,
[0646.91-0649.91] 欧一端,自选得器被禁止输出,
[0649.91-0653.14] 并发比较器的各开市行选通信号,
[0653.14-0656.14] 输出端,都输出无效电平,
[0656.14-0658.14] 也就是低电平,
[0658.14-0661.14] 这样不会有开市行被选通。
[0661.14-0663.30] 综上所说,
[0663.30-0666.30] 对该主存地址中的信息进行访问时,
[0666.30-0670.39] 开始未命中,也就是出现数据缺失,
[0670.39-0673.39] 需要再入该主存地址所在的主存数据块,
[0673.39-0675.39] 到开始中,
[0675.39-0677.55] 对于全相连应设方式,
[0677.55-0679.55] 可将主存数据块,
[0679.55-0682.71] 再入到开始中的任何一个空行,
[0682.71-0684.71] 假设该主存数据块,
[0684.71-0688.81] 再入到了开始行一中的数据块负本缓中区中,
[0688.81-0691.81] 则该开始行中,标记菜客的职,
[0691.81-0693.81] 需要更新为,
[0693.81-0695.81] 主存地址中数据块地址部分的职,
[0695.81-0697.90] 另外,
[0697.90-0700.90] 还要将该开始行中的有效位置一,
[0700.90-0703.90] 表示该开始行中的信息有效。
[0703.90-0705.12] 接下来,
[0705.12-0708.12] 请同学们参照上述分析方法,
[0708.12-0710.12] 自行分析,
[0710.12-0713.12] 对第三个待访问信息的访问过程,
[0713.12-0715.12] 并给出结果,
[0715.12-0717.12] 这是该信息的主存地址,
[0717.12-0720.28] 请同学们暂停播放视频,
[0720.28-0727.91] 认真分析一下,
[0727.91-0729.91] 相信同学们都能证据完成,
[0729.91-0731.91] 我们就不在这数了,
[0731.91-0734.01] 我们再来一起分析,
[0734.01-0737.01] 对第四个待访问信息的访问过程,
[0737.01-0740.39] 这是该信息的主存地址,
[0740.39-0743.39] 将该主存地址写成二进之形式,
[0743.39-0747.52] 各开始行中有效位的职与一,
[0747.52-0748.52] 标记菜客的职,
[0748.52-0751.52] 与主存地址中数据块地址的职,
[0751.52-0752.52] 通过并发比较器,
[0752.52-0754.52] 同时进行比较,
[0754.52-0756.52] 结果为命中,
[0756.52-0757.52] 这是因为,
[0757.52-0760.52] 第二行开始中的有效位的职为一,
[0760.52-0763.52] 并且该开始行中标记菜客的职,
[0763.52-0767.52] 与主存地址中数据块地址的职相同,
[0767.52-0770.65] 并发比较器输出比较结果,
[0770.65-0772.71] 高电瓶表示命中,
[0772.71-0775.87] 我们用一来表示高电瓶,
[0775.87-0779.87] 该信号传送到自选择器的输出使能欧一端,
[0779.87-0783.22] 自选择器被使能输出,
[0783.22-0785.22] 这是并发比较器输出的,
[0785.22-0787.29] 开始行选通信号,
[0787.29-0789.29] 高电瓶为有效信号,
[0789.29-0790.29] 因此,
[0790.29-0793.45] 只有第二行开始被选通,
[0793.45-0796.45] 该开始行的三太门被控制打开,
[0796.45-0799.54] 这样该开始行中,
[0799.54-0802.54] 数据块数本缓冲区中的四个字,
[0802.54-0807.54] 会通过三太门传送到自选择器相应的数据输入端,
[0807.54-0809.90] 主存地址中,
[0809.90-0811.90] 块内偏一部分的职,
[0811.90-0816.09] 作为自选择器的选择输出控制端的控制信号,
[0816.09-0821.22] 腰腰表示选择该数据输入端的信号进行输出,
[0821.22-0826.22] 这相当于输出数据块复本缓冲区中的存储字W3,
[0826.22-0828.76] 综上所说,
[0828.76-0833.02] 本次访问数据命状进行数据输出,
[0833.02-0834.02] 接下来,
[0834.02-0837.02] 请同学们参照上述分析方法,
[0837.02-0841.02] 自行分析对第五个待访问信息的访问过程,
[0841.02-0843.02] 并给出结果,
[0843.02-0845.02] 这是待信息的主存地址,
[0845.02-0848.11] 请同学们暂停播放视频,
[0848.11-0855.49] 认真分析一下,
[0855.49-0858.49] 相信同学们都能争选完成,
[0858.49-0860.74] 我们就不再追数了,
[0860.74-0862.74] 需要说明的是,
[0862.74-0865.74] 本例中所采用的五个主存地址,
[0865.74-0868.74] 与我们之前在直接映射方式那节课中,
[0868.74-0872.84] 举例所采用的主存地址完全相同,
[0872.84-0875.84] 对于同样的这个主存地址,
[0875.84-0877.84] 在直接映射方式中,
[0877.84-0881.84] 会出现替换开始行中原数据块的情况,
[0881.84-0883.84] 尽管还有空的开始行,
[0883.84-0887.10] 也就是出现了冲突的情况,
[0887.10-0889.10] 而在全相连映射方式中,
[0889.10-0891.10] 只要还有空的开始行,
[0891.10-0894.19] 就不会出现冲突的情况。
[0894.19-0897.19] 另外,还需要说明的是,
[0897.19-0900.19] 由于采用全相连映射方式的开始,
[0900.19-0902.19] 在进行仿存时,
[0902.19-0904.19] 会依据菜单的内容,
[0904.19-0906.19] 也就是数据块地址,
[0906.19-0909.19] 来查找开始行中的主存数据块,
[0909.19-0912.19] 因而其查找主存数据块的过程,
[0912.19-0915.19] 是一种按内容访问的存取方式,
[0915.19-0919.22] 可理解为,并不对地址进行异漫,
[0919.22-0923.22] 而直接将地址当做代比较的内容,
[0923.22-0926.64] 因此,它属于相连存储器。
[0926.64-0927.64] 接下来,
[0927.64-0931.70] 我们来一起总结一下全相连映射的特点,
[0931.70-0933.70] 每个主存数据块都可映射到
[0933.70-0936.70] 开始中的任何一个开始行,
[0936.70-0939.77] 因此,开始利用率高,
[0940.77-0941.77] 这是因为,
[0941.77-0943.77] 只要开始中还有空行,
[0943.77-0946.99] 就不会发生数据块计划,
[0946.99-0947.99] 然而,
[0947.99-0949.99] 采用全相连映射方式,
[0949.99-0951.99] 在进行快速查找时,
[0951.99-0953.99] 需要并发比较所有
[0953.99-0957.06] 开始行中的主存数据块地址,
[0957.06-0958.06] 每个开始行,
[0958.06-0960.06] 对应一个比较电路,
[0960.06-0961.06] 印价成本高,
[0961.06-0963.06] 时间开销脚大,
[0963.06-0964.06] 因此,
[0964.06-0966.06] 全相连映射方式,
[0966.06-0969.18] 只适合于小容量开始使用,
[0969.18-0971.18] 当开始满后,
[0971.18-0973.18] 再在入新主存数据块时,
[0973.18-0976.18] 需要利用替换算法进行替换,
[0976.18-0979.18] 替换策略和算法较为复杂,
[0979.18-0981.44] 为了加深同学们对
[0981.44-0984.44] 全相连映射方式的理解和记忆,
[0984.44-0986.44] 在本节课的最后,
[0986.44-0989.44] 我们给同学们讲解一个相关的立体,
[0989.44-0990.47] 之后,
[0990.47-0992.47] 还会请同学们挑战一道
[0992.47-0995.54] 408考研难度的习题,
[0995.54-0997.54] 首先来看这道立体,
[0997.54-1000.54] 请同学们暂停播放视频,
[1000.54-1001.54] 认真审题,
[1001.54-1002.54] 之后,
[1002.54-1008.12] 我们来一起分析,
[1008.12-1009.12] 好的,
[1009.12-1011.12] 我们来一起分析,
[1011.12-1012.12] 如同所示,
[1012.12-1013.12] 这是将主存
[1013.12-1014.12] 划分成了
[1014.12-1016.12] 落干个等长的数据块,
[1016.12-1017.12] 题目给定,
[1017.12-1020.12] 主存空间的大小为一兆字节,
[1020.12-1021.12] 可写成
[1021.12-1024.34] 二到二十字方字节,
[1024.34-1025.34] 由于题目给定,
[1025.34-1027.34] 主存按字节编制,
[1027.34-1029.34] 因此可知,
[1029.34-1032.44] 主存地址的位宽为二十,
[1032.44-1034.44] 因为二十个二进之位,
[1034.44-1037.50] 可以有二到二十字方个组合,
[1037.50-1039.50] 这样就可以给主存空间中,
[1039.50-1042.50] 二到二十字方个字节中的每一个,
[1042.50-1045.50] 都分配一个唯一的编号,
[1045.50-1047.63] 也就是地址,
[1047.63-1048.63] 题目给定,
[1048.63-1051.70] 每个主存数据块的大小为十六字节,
[1051.70-1052.70] 因此,
[1052.70-1053.70] 可以计算出,
[1053.70-1056.82] 主存中包含数据块的数量,
[1056.82-1058.82] 用主存容量一兆字节,
[1058.82-1061.82] 除以一个主存数据块的大小,
[1061.82-1062.82] 十六字节,
[1062.82-1065.82] 结果为二到十六字方个,
[1065.82-1067.02] 这样,
[1067.02-1068.02] 我们就得到了,
[1068.02-1071.02] 主存地址中的主存数据块地址部分,
[1071.02-1073.02] 所占的位数为十六,
[1073.02-1074.21] 因为,
[1074.21-1076.21] 十六个二进之位,
[1076.21-1078.21] 可有二到十六字方个组合,
[1078.21-1081.21] 每个组合作为一个主存数据块的地址,
[1081.21-1082.53] 进而,
[1082.53-1084.53] 我们可以计算出,
[1084.53-1086.53] 主存地址中的块内偏一部分,
[1086.53-1088.59] 所占的位数,
[1088.59-1090.59] 用主存地址的位宽二十,
[1090.59-1091.59] 减去,
[1091.59-1092.59] 主存地址中的,
[1092.59-1093.59] 主存数据块地址部分,
[1093.59-1095.59] 所占的位数十六,
[1095.59-1096.59] 结果为四,
[1096.59-1098.85] 实际上,
[1098.85-1099.85] 仅从题目给定的,
[1099.85-1102.85] 每个主存数据块大小为十六字节,
[1102.85-1104.85] 主存按字节编址,
[1104.85-1106.85] 这两个条件,
[1106.85-1107.85] 我们也可以算出,
[1107.85-1108.85] 主存地址中的,
[1108.85-1110.85] 块内偏一部分,
[1110.85-1111.85] 所占的位数,
[1111.85-1112.88] 因为,
[1112.88-1114.88] 主存数据块大小十六字节,
[1114.88-1115.88] 可写成,
[1115.88-1117.88] 二的四字方个字节,
[1117.88-1121.03] 我们将计算得出的,
[1121.03-1122.03] 主存地址中的,
[1122.03-1123.03] 块内偏一部分,
[1123.03-1125.03] 所占的位数四,
[1125.03-1127.42] 标记在上组中,
[1127.42-1128.42] 如同所示,
[1128.42-1129.42] 这是包含有,
[1129.42-1130.42] 若干个,
[1130.42-1131.42] 开长的开始,
[1131.42-1132.48] 题目给定,
[1132.48-1134.48] 开始数据区的大小为,
[1134.48-1136.48] 十六K字节,
[1136.48-1137.54] 我们知道,
[1137.54-1138.54] 各开长中的,
[1138.54-1140.54] 数据块复本的大小,
[1140.54-1141.54] 与,
[1141.54-1142.54] 主存数据块的大小,
[1142.54-1143.54] 是相同的,
[1143.54-1144.61] 因此,
[1144.61-1145.61] 我们可以计算出,
[1145.61-1147.61] 本题中的开始,
[1147.61-1148.61] 所包含的,
[1148.61-1149.61] 开长的数量,
[1149.61-1151.74] 用开始数据区的大小,
[1151.74-1153.74] 十六K字节,
[1153.74-1154.74] 除以,
[1154.74-1155.74] 一个,
[1155.74-1156.74] 主存数据块的大小,
[1156.74-1157.74] 十六字节,
[1157.74-1158.74] 结果为,
[1158.74-1159.74] 二的十字方,
[1159.74-1160.93] 因此,
[1160.93-1162.93] 本题中的开始,
[1162.93-1163.93] 包含有,
[1163.93-1164.93] 二的十字方个,
[1164.93-1165.93] 开始行,
[1165.93-1166.93] 开始行的编号,
[1166.93-1167.93] 从零,
[1167.93-1168.93] 到二的十字方,
[1168.93-1170.34] 简易,
[1170.34-1171.34] 我们知道,
[1171.34-1172.34] 在不考虑,
[1172.34-1174.34] 写出策略的情况下,
[1174.34-1175.34] 在全相连,
[1175.34-1176.34] 印设方式中,
[1176.34-1177.34] 每个开始行,
[1177.34-1178.34] 包含,
[1178.34-1179.34] 有效位,
[1179.34-1181.34] 主存数据块地址,
[1181.34-1182.34] 数据块数本,
[1182.34-1184.54] 共三个部分,
[1184.54-1185.54] 其中,
[1185.54-1187.57] 有效位为一位,
[1187.57-1188.57] 对于本例,
[1188.57-1190.57] 主存数据块地址的长度,
[1190.57-1192.57] 是我们刚刚计算出的,
[1192.57-1193.98] 十六位,
[1193.98-1195.98] 而数据块数本的大小,
[1195.98-1197.98] 就是题目给定的,
[1197.98-1198.98] 主存数据块的大小,
[1198.98-1199.98] 十六字节,
[1199.98-1201.75] 这样,
[1201.75-1202.75] 我们就可以,
[1202.75-1203.75] 计算出,
[1203.75-1205.75] 一个开始行的容量为,
[1205.75-1206.75] 一米克,
[1206.75-1207.75] 加十六米克,
[1207.75-1208.75] 加十六字节,
[1208.75-1210.14] 我们之前,
[1210.14-1211.14] 已经计算出了,
[1211.14-1213.14] 本例中的开始,
[1213.14-1214.14] 包含有,
[1214.14-1215.14] 二的十字方的,
[1215.14-1216.30] 开始行,
[1216.30-1217.30] 因此,
[1217.30-1218.30] 本例中开始的,
[1218.30-1219.30] 总容量,
[1219.30-1220.30] 计算如下,
[1220.30-1223.45] 请同学们注意,
[1223.45-1224.45] 计算结果,
[1224.45-1225.45] 我们以,
[1225.45-1226.45] 比特为单位,
[1226.45-1227.48] 因此,
[1227.48-1228.48] 不要忘记,
[1228.48-1229.48] 将库号中的,
[1229.48-1230.48] 十六字节的,
[1230.48-1231.48] 数值十六,
[1231.48-1232.48] 乘以八,
[1232.48-1233.48] 并将,
[1233.48-1234.48] 字节单位,
[1234.48-1235.48] 改为,
[1235.48-1237.34] 比特单位,
[1237.34-1238.34] 至此,
[1238.34-1239.34] 我们就完成了,
[1239.34-1241.66] 该立体的解析,
[1241.66-1242.66] 接下来,
[1242.66-1243.66] 请同学们,
[1243.66-1244.66] 趁热打铁,
[1244.66-1245.66] 挑战着的,
[1245.66-1246.66] 四零八难度的,
[1246.66-1247.92] 习题,
[1247.92-1248.92] 该习题,
[1248.92-1249.92] 改编自,
[1249.92-1250.92] 二零二一年的,
[1250.92-1252.11] 提实料,
[1252.11-1253.11] 所有以致量,
[1253.11-1254.11] 都不变,
[1254.11-1255.11] 仅将,
[1255.11-1256.11] 直接映射方式,
[1256.11-1257.11] 更改为了,
[1257.11-1258.11] 全相连,
[1258.11-1259.37] 映射方式,
[1259.37-1260.37] 而,
[1260.37-1261.37] 二零二一年的,
[1261.37-1262.37] 这道真题,
[1262.37-1263.37] 同学们,
[1263.37-1264.37] 在上节课,
[1264.37-1265.37] 有关,
[1265.37-1266.37] 直接映射方式的,
[1266.37-1267.37] 习题课中,
[1267.37-1268.46] 已经挑战过了,
[1268.46-1269.46] 当时,
[1269.46-1270.46] 采了空的同学,
[1270.46-1272.46] 在解答本题时,
[1272.46-1273.46] 一定要注意,
[1273.46-1274.78] 好的,
[1274.78-1276.78] 请同学们暂停,
[1276.78-1277.78] 播放视频,
[1277.78-1279.78] 动手练习一下,
[1279.78-1280.78] 然后,
[1280.78-1281.78] 给出你的答案,
[1281.78-1287.90] 这个答案是,
[1287.90-1288.90] 选项A,
[1288.90-1289.90] 相信同学们,
[1289.90-1290.90] 都能,
[1290.90-1291.90] 正确完成,
[1291.90-1292.90] 我们就,
[1292.90-1294.00] 不再坠述了,
[1294.00-1295.00] 好的,
[1295.00-1296.00] 本节课,
[1296.00-1297.00] 到这里就结束了,
[1297.00-1298.00] 我们将,
[1298.00-1299.00] 本节课的,
[1299.00-1300.00] 主要内容,
[1300.00-1304.42] 小节如下,
[1304.42-1305.42] 同学们,
[1305.42-1306.42] 下期课见!
