[0003.79-0007.59] 同學們好,歡迎大家來到我的計算機組成員里威克堂
[0247.94-0254.84] 學習過計算機網路這門課程的同學,應該能夠想到,傳統以太網採用的曼澤斯的編碼
[0254.84-0259.74] 就是一種將實中信號編碼到數據流本身中的自同步編碼
[0259.74-0264.78] 目前,高速串行通信一般都採用自同步方式
[0264.78-0274.58] 當傳送多個連續一,例如長時間高電頻或多個連續零,例如長時間低電頻,會產生直流平衡問題
[0274.58-0284.88] 也就是由於比特一和比特零分布不均,導致信號機線飄移,以及接收方實中同步丟失,從而引發數據解調錯誤的現象
[0284.88-0291.78] 在高速串行通信中,自同步編碼的合計目標是,有足夠的跳變來確保實中恢復
[0291.78-0296.78] 所傳輸的一和零的數量,基本保持一致,以維持直流平衡
[0296.78-0302.88] 在確保以上兩點的情況下,傳輸開銷不能太大,也就是編碼效率要高
[0302.88-0310.08] 下表給出了目前常見的三種自同步編碼,請同學們暫停播放視頻,快速瀏覽一遍
[0310.08-0316.08] 重點理解這兩個對比相,還可以看看這三種自同步編碼的典型應用
[0321.38-0326.88] 下表給出了一些典型的串行總線,分為自同步和同步兩大類
[0326.88-0330.68] 請同學們暫停播放視頻,快速瀏覽一遍
[0330.68-0343.34] 在同學們學習了同步串行通信的相關知識號,我們再來學習一步串行通信
[0343.34-0350.94] 一步串行通信的要點有,實中獨立,也就是發送方和接收方擁有各自獨立的實中員
[0350.94-0353.64] 不需要額外的實中線進行同步
[0353.64-0362.36] 約定速率,也就是發送方和接收方必須提前約定一致的傳輸速率,以確保數據採樣的準確性
[0362.36-0370.28] 按自服傳輸,也就是數據以真為單位進行傳輸,一真通常包含一個自服
[0370.28-0378.42] 真同步極致,利用每一真內部的起始位和停止位,來表示數據段的開始與結束
[0378.42-0381.66] 接下來,我們舉例說明一步串行通信
[0381.96-0386.26] 本例展示的是,在一步串行總線上傳輸兩個真
[0386.26-0392.39] 首先來看真的結構,每個真包含一位起始位,用低電頻表示
[0392.39-0397.69] 每個真包含5到8位數據位,這是實際要傳輸的數據
[0397.69-0405.67] 每個真可包含一位接有教驗位,用於接收方判斷真在傳輸過程中是否產生了錯誤
[0405.67-0409.67] 每個真包含一位停止位,用高電頻表示
[0409.67-0416.04] 再來看接收方如何識別總線上的真,以及對真中數據的採樣
[0416.04-0420.17] 數據線空前時維持高電頻,如讀所示
[0420.17-0432.60] 接收方檢測到下降岩時,進行定時,以便在每個位的中間時刻採樣
[0432.60-0441.00] 如讀所示,這是數據線由空前時的高電頻,變化為表示真起始位的低電頻時產生的下降岩
[0441.00-0451.73] 由於每個真的長度相同,在結合上述方法,接收方就能夠對數據線上傳送來的一個個真進行區分和正確接收
[0451.73-0457.52] 請同學們注意,對於一步穿行同性,也可以理解成真堅一步
[0457.52-0465.82] 那就是,真的起始時刻是隨機的,沒有全局始終控制,僅由起始位造成的下降岩來表示
[0466.02-0475.32] 而真內同步,也就是,在一個真內部,各位的邊界,由接收方在檢測到起始延後建立的本地始終決定
[0475.32-0481.06] 各位的時長相同,通常所說,由於每個真都獨立重新同步
[0481.06-0486.06] 因此,收發雙方的定時誤差,不會在真與真之間累積
[0486.06-0490.29] 由於當個真的長度很短,通常為10到12位
[0490.49-0496.49] 在合理的時鐘誤差範圍內,真內採樣點的偏移累積,不會造成接收錯誤
[0496.49-0502.84] 常見的RS232和RS485串行總線均採用一步串行通信
[0502.84-0507.94] 在同學們進一步學習了病情傳送和串行傳送的相關知識號
[0507.94-0510.04] 我們來看病串行傳送
[0510.04-0516.64] 病串行傳送是對傳輸速率與傳輸線數量進行折中的一種傳送方式
[0516.64-0523.44] 將代傳送信息分成若干組,組內採用病情傳送,組間採用串行傳送
[0523.44-0528.94] 例如,英特爾8088CPU,其內部採用16位病情總線
[0528.94-0532.17] 但系統總線為8位病情總線
[0532.17-0537.67] 因此,CPU與主存或外設的通信只能採用病串行傳送
[0537.67-0544.17] 也就是將內部16位數據分成兩組連續的8位數據進行傳送,如讀所示
[0550.20-0555.50] 可以看到,組內仍為病情傳送,而組間是串行傳送
[0555.50-0562.43] 需要說明的是,現在計算機通過將多條極高速度的串行鏈路捆綁病情工作
[0562.43-0567.23] 完美解決了信號同步難題,並實現了驚人的傳輸貸款
[0567.23-0572.03] 這正是病串行思想在當今最成功、最核心的應用
[0572.03-0576.55] 在本節課的最後,我們來看分屍傳送的相關概念
[0576.55-0579.08] 分屍傳送包含兩種含義
[0579.18-0583.68] 一種是總線附用,另一種是多部件共享總線
[0583.68-0588.92] 總線附用是指地址線、數據線附用,以減少信號線數量
[0588.92-0592.82] 但代價是需要分屍傳送地址和數據
[0592.82-0598.22] 我們在第四章存主系統中曾給同學們介紹過,就不再追溯了
[0598.22-0602.58] 多部件共享總線是指,掛在在總線上的所有設備
[0602.58-0606.28] 通過總線仲裁來獲取總線控制權
[0606.38-0611.58] 集中式仲裁中的技術器定式查詢方式是最典型的分屍傳送
[0611.58-0615.48] 好的,本節課到這裡就結束了
[0615.48-0619.68] 請同學們快速回憶一下本節課的主要內容
[0619.68-0648.22] 同學們,我們下節課見
