[0003.89-0008.41] 同學們好 歡迎大家來到我的計算機組成原理威克堂
[0008.41-0012.05] 從本節課開始 我們要分幾次課的時間
[0012.05-0014.85] 分別介紹定點數的四種編碼
[0373.59-0375.03] 表示負號
[0375.03-0377.11] 我們來舉例說明
[0377.11-0380.87] 例如X等於正的0.1101
[0380.87-0382.23] 則其原碼表示
[0382.23-0387.14] 可按該式寫出
[0387.14-0391.27] 又例如X等於負的0.1101
[0391.27-0392.71] 則其原碼表示
[0392.71-0398.42] 可按該式寫出
[0398.42-0400.26] 拖去絕對值符號
[0400.26-0402.82] 最後可得X的原碼表示為
[0402.82-0404.58] 1.1101
[0404.58-0407.70] 其中小數點左側為符號位
[0407.70-0410.02] 取之為1表示負號
[0410.02-0412.18] 小數點右側為數值位
[0412.18-0414.98] 取之為X的絕對值
[0414.98-0415.86] 接下來
[0415.86-0419.06] 請同學們按定點小數的原碼定義
[0419.06-0426.52] 完成以下練習
[0426.52-0428.76] 相信大家都能正確完成
[0428.76-0431.21] 我們就不再追數了
[0431.21-0432.09] 接下來
[0432.09-0435.29] 再請同學們按定點小數的原碼定義
[0435.29-0437.21] 完成以下練習
[0437.21-0445.30] 看看會出現什麼有趣的現象
[0445.30-0446.18] 沒錯
[0446.18-0448.98] 可以發現真之鱗在原碼中
[0448.98-0451.67] 有兩種不同的表示
[0451.67-0453.27] 需要說明的是
[0453.27-0455.99] 如果按照定點整數的原碼定義
[0455.99-0458.87] 可以得到與上述相同的結果
[0458.87-0461.67] 有興趣的同學可以自己試一試
[0461.67-0464.07] 我們就不再正數了
[0464.07-0464.95] 接下來
[0464.95-0468.25] 我們來總結一下原碼的優缺點
[0468.25-0469.77] 原碼的優點是
[0469.77-0472.09] 表示方法簡單直觀
[0472.09-0474.49] 這一點在同學們之後學習
[0474.49-0478.52] 無碼 反碼 以碼時會更有體會
[0478.52-0480.44] 原碼的其中一個缺點
[0480.44-0482.68] 我們之前剛剛介紹過
[0482.68-0484.44] 那就是對於真之鱗
[0484.44-0486.76] 有兩種不同的表示
[0486.76-0489.85] 這會給數據運算帶來麻煩
[0489.85-0491.85] 而原碼的另一個缺點
[0491.85-0495.00] 我們通過舉例來引出
[0495.00-0498.36] 假設有政務和復三兩個真值
[0498.36-0501.27] 我們要將他們進行加法運算
[0501.27-0502.95] 這非常簡單
[0502.95-0506.55] 相信小學生都能通過新算或手算
[0506.55-0508.50] 來正確完成
[0508.50-0509.22] 然而
[0509.22-0511.78] 我們知道在計算機內部
[0511.78-0515.30] 真值政務和復三無法直接表示
[0515.30-0517.64] 可以用其原碼來表示
[0517.64-0520.82] 這是政務的原碼表示
[0520.82-0523.86] 這是復三的原碼表示
[0523.86-0525.54] 我們來看看這兩個原碼
[0525.54-0527.93] 進行加法的情況
[0527.93-0530.81] 從第一位開始二進之加法
[0530.81-0532.81] 一加一得一零
[0532.81-0536.01] 寫零並向高位進一
[0536.01-0538.65] 零加一加一得一零
[0538.65-0541.98] 寫零並向高位進一
[0541.98-0544.54] 一加零加一得一零
[0544.54-0547.59] 寫零並向高位進一
[0547.59-0550.63] 零加零加一得一
[0550.63-0553.40] 零加零得零
[0553.40-0555.88] 零加零得零
[0555.88-0558.20] 零加零得零
[0558.20-0560.94] 零加一得一
[0560.94-0562.94] 通過計算結果的符號位
[0562.94-0565.02] 為比特一可知
[0565.02-0567.18] 計算結果為復數
[0567.26-0570.50] 這與真值的計算結果矛盾
[0570.50-0574.50] 這樣我們就得出了原碼的另一個缺點
[0574.50-0578.71] 那就是符號位不能直接參與運算
[0578.71-0581.67] 介於原碼的以上兩個缺點
[0581.67-0583.27] 原碼在計算機中
[0583.27-0585.11] 目前僅僅用於表示
[0585.11-0588.09] 伏電數的維碼或稱為數
[0588.09-0590.33] 伏電數的表示比較複雜
[0590.33-0592.57] 我們將在介紹完定點數的
[0592.57-0596.39] 四種編碼之後進行詳細介紹
[0596.39-0597.27] 下節課
[0597.27-0599.59] 我們為同學們介紹補碼
[0599.59-0603.54] 補碼解決了原碼的上數兩個缺點
[0603.54-0604.42] 好的
[0604.42-0606.82] 本節課到這裡就結束了
[0606.82-0612.47] 我們將本節課的內容小節如下
[0612.47-0614.07] 需要說明的是
[0614.07-0616.79] 根據定點數的原碼定義是
[0616.79-0619.35] 我們可以寫出真值的原碼
[0619.35-0620.71] 這在本節課中
[0620.71-0623.90] 我們已經進行了多次練習
[0623.90-0627.02] 從定點數的原碼定義是不難看出
[0627.02-0628.46] 利用定義是
[0628.46-0630.06] 我們也可以反過來
[0630.14-0633.00] 那就是寫出原碼的真值
[0633.00-0636.94] 這一點請同學們自行練習即可
[0636.94-0637.82] 同學們
[0637.82-0639.26] 我們下節課見
