[0003.31-0007.41] 同学们好,欢迎大家来到我的计算机组成员历维克堂。
[0156.73-0160.93] 其中任何一项功能都需要相关硬件来实现。
[0160.93-0165.42] 实际上,我们在第一章有关计算机硬件的那节课中,
[0165.42-0168.92] 就曾给同学们简单介绍过CPU的组成。
[0169.12-0173.12] 由于本章是对CPU的进一步深入学习,
[0173.12-0177.71] 因此,接下来我们对CPU的组成进一步细化。
[0177.71-0179.51] CPU的基本组成,
[0179.51-0184.36] 可化分为控制器和运算器两大部分。
[0184.36-0186.36] 控制器的主要功能包括,
[0186.36-0190.29] 取指令,计算下一条指令的地址,
[0190.29-0193.04] 对取到的指令进行异码,
[0193.04-0197.16] 生成指令对应的微操作控制信号序列,
[0197.16-0201.80] 控制指令的执行步骤和数据流动方向。
[0201.80-0206.00] 控制器的上述功能需要由相关硬件来实现。
[0206.00-0209.00] 通过之前的学习和习提链习,
[0209.00-0211.70] 我想同学们对程序技术器PC,
[0211.70-0214.20] 存主器地址计存器MAR,
[0214.20-0216.80] 存主器数据计存器MDR,
[0216.80-0219.86] 指令计存器IR并不陌生。
[0219.86-0221.56] 而其他三个相关部件,
[0221.56-0224.69] 我们稍后会进行简单介绍。
[0224.69-0229.79] 我们知道构成程序的指令和数据位于主存中。
[0229.79-0233.09] CPU内的存主器地址计存器MAR,
[0233.09-0237.29] 通常用来存放CPU要访问的主存单元的地址。
[0237.29-0240.99] 不管CPU是读取指令还是存取数据,
[0240.99-0246.09] 都需要先将要访问的主存单元的地址送入MAR。
[0246.09-0249.69] 进而通过主存地址总线告知主存,
[0249.69-0251.79] 直到访存操作结束。
[0251.79-0257.12] 因此,MAR的位宽与主存地址总线的位宽是相同的。
[0257.12-0260.62] 需要说明的是,MAR并不是必须的,
[0260.62-0266.91] 某些计算机可以直接将主存地址送到地址总线上来实现访存。
[0266.91-0270.21] CPU内的存主器数据计存器MDR,
[0270.21-0273.51] 通常用来存放,再写入主存的数据,
[0273.51-0276.41] 或者从主存中读出的数据,
[0276.41-0279.54] 其位宽通常与机器自长相同。
[0279.54-0284.60] MDR与主存之间,通过主存数据总线传输数据,
[0284.60-0288.00] 需要说明的是,MDR也不是必须的,
[0288.00-0290.96] 这取决于具体的CPU结构,
[0290.96-0294.06] 加上从主存读取的数据为指令,
[0294.06-0297.96] 则还会将指令存放在指令计存器AR中。
[0297.96-0302.02] 因此,AR的位宽与指令自长相同。
[0302.02-0306.02] 指令中的地址码会送入地址生成逻辑部价,
[0306.02-0310.02] 通过该部价对操作数寻止方式进行异码,
[0310.02-0312.72] 竟然生成操作数的相关地址,
[0312.72-0314.62] 根据寻止方式的不同,
[0314.62-0318.52] 操作数的相关地址会被送入程序技术器PC,
[0318.52-0321.52] 或存主器地址计存器MDR。
[0321.52-0324.12] 当然了,对于立即寻止方式,
[0324.12-0326.82] 该部价生成的就是操作数本身,
[0326.82-0329.14] 会送入运算部价,
[0329.14-0332.24] 需要说明的是,有些架构的计算机,
[0332.24-0334.44] 需要将操作码和地址码,
[0334.44-0336.94] 一起送入地址生成逻辑部价,
[0336.94-0339.31] 才能确定地址码的作用。
[0339.31-0341.31] 指令中的操作码和地址码,
[0341.31-0343.91] 还会被一起送入指令一码器,
[0343.91-0347.24] 一码成若干个指令一码信号。
[0347.24-0348.74] 请同学们注意,
[0348.74-0349.84] 同一时刻,
[0349.84-0352.34] 只有一个指令一码信号有效,
[0352.34-0354.94] 用来唯一表示一条指令。
[0354.94-0355.74] 这一点,
[0355.74-0360.34] 与我们在第四章有关用于地址一码的一码结构那些课中,
[0360.34-0362.04] 曾给同学们介绍过的,
[0362.04-0364.44] 地址一码器的一码输出信号的特点,
[0364.44-0366.48] 是一致的。
[0366.48-0367.68] 操作控制器,
[0367.68-0370.68] 接收来自指令一码器的一码信号,
[0370.68-0372.18] 根据测试条件,
[0372.18-0373.48] 状态信息等,
[0373.48-0375.18] 通过实际发生器,
[0375.18-0379.78] 产生各种具有严格时间先后顺序的操作控制信号,
[0379.78-0382.51] 成为微操作控制信号序列。
[0382.51-0384.31] 微操作控制信号序列,
[0384.31-0388.21] 会被传送到计算机各功能部件的控制端。
[0388.21-0389.01] 例如,
[0389.01-0391.31] 运算器中的相关功能部件,
[0391.31-0393.71] 我们暂时还没有给出。
[0393.71-0397.11] 用于控制各功能部件按指令要求,
[0397.11-0398.91] 依序进行动作。
[0398.91-0402.10] 竟然实现指令所要完成的功能。
[0402.10-0403.30] 通过之前的学习,
[0403.30-0404.40] 我们知道,
[0404.40-0406.10] CPU取指令时,
[0406.10-0408.60] 会使用程序技术器PC的值,
[0408.60-0410.60] 作为访问主存的地址,
[0410.60-0413.50] 送入主存地址基团器MAR中,
[0413.50-0416.20] 以便从主存中读取指令。
[0416.20-0417.00] 当然了,
[0417.00-0418.90] 有些没有MAR的CPU,
[0418.90-0420.90] 会将PC中的主存地址,
[0420.90-0423.30] 直接送到地址总线上。
[0423.30-0424.20] 因此,
[0424.20-0425.20] PC的位宽,
[0425.20-0429.12] 与主存地址总线的位宽是相同的。
[0429.12-0430.22] 取指完成后,
[0430.22-0432.42] 还需要修改PC的值,
[0432.42-0435.38] 以形成下一条指令的地址。
[0435.38-0437.48] 当程序顺序执行时,
[0437.48-0439.58] PC的值会被加一。
[0439.58-0440.98] 请同学们注意,
[0440.98-0442.18] 这里的加一,
[0442.18-0444.88] 本质上是加上指令字长,
[0444.88-0448.57] 也就是指令所包含的字节的数量。
[0448.57-0450.87] 在做习题或考试时,
[0450.87-0453.07] 我们要根据题目的叙述,
[0453.07-0454.07] 例如,
[0454.07-0455.77] 主存按字节编织,
[0455.77-0457.97] 还是按存储字编织。
[0457.97-0459.67] 指令字长是多少,
[0459.67-0461.57] 指令按编界对齐的。
[0461.57-0462.87] 来最终确定,
[0462.87-0465.33] 加一到底是加多少。
[0465.33-0466.13] 另外,
[0466.13-0468.33] 对于便常指令系统中的指令,
[0468.33-0470.23] 需要进行指令一满后,
[0470.23-0473.82] 才能确定PC的值应该增加多少。
[0473.82-0477.32] 当程序顺序执行到分支跳转处时,
[0477.32-0478.42] PC的值,
[0478.42-0480.22] 需要基于分支指令,
[0480.22-0482.92] 所提供的分支地址进行修改。
[0482.92-0486.22] 形成跳转后的新指令地址。
[0486.22-0487.02] 这次,
[0487.02-0488.82] 我们就给同学们介绍了,
[0488.82-0492.02] CPU中构成控制器的主要部件,
[0492.02-0493.12] 各自的功能,
[0493.12-0495.28] 以及他们之间的关系。
[0495.28-0496.08] 接下来,
[0496.08-0499.01] 我们来看CPU中的运算器。
[0499.01-0500.61] 在控制器的控制下,
[0500.61-0503.53] 运算器主要完成以下任务。
[0503.53-0505.32] 算数运算。
[0505.32-0507.70] 逻辑运算或测试。
[0507.70-0509.62] 数据加工。
[0509.62-0511.22] 运算器的上述任务,
[0511.22-0513.82] 需要有相关硬价来完成。
[0513.82-0515.12] 通过之前的学习,
[0515.12-0516.22] 我们知道,
[0516.22-0517.92] 算数逻辑单元ALU,
[0517.92-0519.82] 是运算器的核心。
[0519.82-0521.52] 参与运算的操作数,
[0521.52-0524.12] 经过多录选择器Max的挑选,
[0524.12-0526.02] 进入ALU。
[0526.02-0527.32] 我们在第五章,
[0527.32-0528.62] 曾学习过,
[0528.62-0531.02] 指令中操作数的寻止方式。
[0531.02-0531.42] 因此,
[0531.42-0532.42] 我们知道,
[0532.42-0534.22] 操作数可能来自于,
[0534.22-0536.92] 存储器数据据存器MBR,
[0536.92-0539.02] 也就是来自于主存。
[0539.02-0540.42] 也有可能来自于,
[0540.42-0543.61] 通用据存器组终的通用据存器。
[0543.61-0545.21] 多录选择器Max,
[0545.21-0548.51] 在控制器发出的相关控制信号的控制下,
[0548.51-0550.31] 选择相应操作数,
[0550.31-0552.91] 送入算数逻辑单元ALU。
[0552.91-0556.81] ALU在控制器发出的相关控制信号的控制下,
[0556.81-0558.81] 执行相应运算。
[0558.81-0559.81] 运算结果,
[0559.81-0561.41] 会根据寻止方式,
[0561.41-0564.61] 送入通用据存器组终的通用据存器,
[0564.61-0567.61] 或存储器数据据存器MBR,
[0567.61-0569.81] 进而送入主存。
[0569.81-0570.71] 当然了,
[0570.71-0573.51] 通用据存器组终的通用据存器的内容,
[0573.51-0576.54] 也可通过MBR送入主存。
[0576.54-0577.94] 通过我们之前的学习,
[0577.94-0579.24] 不能发现,
[0579.24-0581.64] 通用据存器具有多种用途,
[0581.64-0582.54] 例如,
[0582.54-0584.34] 可作为变质据存器,
[0584.34-0585.54] 机质据存器,
[0585.54-0586.64] 地质指针,
[0586.64-0588.04] ALU的累加器,
[0588.04-0589.54] 数据缓中器等,
[0589.54-0591.94] 用于存放各种地质信息,
[0591.94-0592.84] 操作数,
[0592.84-0594.82] 中间结果等。
[0594.82-0596.32] 除运算结果外,
[0596.32-0599.12] ALU还会产生算数运算指令,
[0599.12-0600.42] 逻辑运算指令,
[0600.42-0601.52] 测试指令,
[0601.52-0604.62] 执行号所建立的各种条件标志,
[0604.62-0605.22] 例如,
[0605.22-0606.02] 易出标志,
[0606.02-0607.12] OF,
[0607.12-0608.02] 净位界位标志,
[0608.02-0609.22] CF,
[0609.22-0610.82] 运算结果为复数标志,
[0610.82-0612.02] SF,
[0612.02-0613.02] 结果为零标志,
[0613.02-0614.48] ZF等。
[0614.48-0615.48] 这些标志位,
[0615.48-0619.08] 我们在第五章有关指令的操作类型的那些课中,
[0619.08-0620.78] 已经练写了多次,
[0620.78-0623.22] 相信同学们并不陌生。
[0623.22-0624.92] 上述这些条件标志,
[0624.92-0626.52] 会被送入程序状态字,
[0626.52-0627.12] 机存器,
[0627.12-0628.52] PSW。
[0628.52-0629.82] 一般情况下,
[0629.82-0630.72] 条件分支指令,
[0630.82-0633.62] 会根据PSW的值来决定,
[0633.62-0634.92] 是顺序执行,
[0634.92-0636.95] 还是转移执行。
[0636.95-0639.05] PSW还可用于保存,
[0639.05-0642.05] 中断和系统工作的状态信息,
[0642.05-0645.25] 这些信息被送入操作控制器,
[0645.25-0646.05] 另外,
[0646.05-0649.15] IO状态也会被送入操作控制器,
[0649.15-0651.35] 以便CPU能及时了解,
[0651.35-0653.05] 计算机的运行状态,
[0653.05-0655.31] 并进行相应控制。
[0655.31-0656.01] 至此,
[0656.01-0658.01] 我们就给同学们介绍了一种,
[0658.11-0661.31] 非常简单的CPU的基本组成,
[0661.31-0662.71] 需要说明的是,
[0662.71-0664.11] 除上述部件外,
[0664.11-0665.11] 现在CPU,
[0665.11-0668.21] 还包含有高速缓冲存储器开始,
[0668.21-0670.51] 存储器管理单元、MMU,
[0670.51-0672.71] 伏点遇端器等部件。
[0672.71-0673.41] 另外,
[0673.41-0675.61] CPU内包含哪些机存器,
[0675.61-0677.71] 与具体的处理器架构,
[0677.71-0681.64] 指令及实现方法等有较大的关系。
[0681.64-0683.14] 请同学们注意,
[0683.14-0686.64] 控制器中的存储器地址机存器MAR,
[0686.64-0688.04] 存储器数据机存器
[0688.04-0690.74] MDR,指令机存器AR,
[0690.74-0692.74] 是用户不可见的。
[0692.74-0694.74] 有控制器内部使用,
[0694.74-0696.94] 用于控制指令的执行。
[0696.94-0698.74] 而程序技术器PC,
[0698.74-0700.64] 是用户可见的。
[0700.64-0704.04] 运行器中的程序状态字机存器TSW,
[0704.04-0705.64] 和通用机存器组,
[0705.64-0707.67] 也是用户可见的。
[0707.67-0709.27] 这里的用户,
[0709.27-0711.77] 一般是指汇联语员程序员,
[0711.77-0713.87] 而用户可见的机存器,
[0713.87-0716.47] 在进行汇联语员程序设计时,
[0716.47-0718.23] 可以直接使用。
[0718.23-0719.03] 至此,
[0719.03-0722.50] 我们就对中央处理器CPU进行了概述,
[0722.50-0725.30] 而本节课所涉及的主要内容,
[0725.30-0729.02] 将在本章进行较深入的讨论。
[0729.02-0729.92] 接下来,
[0729.92-0734.25] 请同学们挑战两道相关的408考研真题。
[0734.25-0737.15] 首先挑战2010年的题18,
[0737.15-0739.55] 请同学们暂停播放视频,
[0739.55-0740.55] 思考一下,
[0740.55-0742.45] 然后给出你的答案。
[0742.45-0749.89] 你的答案是选项B,
[0749.99-0751.89] 大家都选对了吗?
[0751.89-0753.89] 我们来一起分析一下。
[0753.89-0755.99] 根据题目给定的,
[0755.99-0758.99] 指令按字边界对其存放。
[0758.99-0759.99] 我们可以知道,
[0759.99-0762.49] 题目给定的字长为32位,
[0762.49-0769.95] 实际上指的是存处字长。
[0769.95-0771.45] 我们可以知道,
[0771.45-0774.45] 题目给定的字长为32位,
[0774.45-0776.95] 实际上指的是存处字长。
[0776.95-0778.45] 我们可以知道,
[0778.45-0780.95] 题目给定的字长为32位,
[0780.95-0783.95] 实际上指的是存处字长。
[0784.95-0786.95] 我们画出主存的示意图,
[0786.95-0790.08] 每一行为一个存处字,
[0790.08-0792.08] 存处字长为32位,
[0792.08-0794.24] 也就是四字节。
[0794.24-0795.24] 题目给定,
[0795.24-0797.24] 主存空间为四季字节,
[0797.24-0799.24] 按字节编制。
[0799.24-0801.24] 我们把主存空间标记在图中,
[0801.24-0804.36] 和写成二的32字方个字节,
[0804.36-0807.36] 因此需要采用32个二定制位,
[0807.36-0810.36] 给主存的每个字节单元编地址,
[0810.36-0811.36] 例如,
[0811.36-0813.36] 这是该字节单元的地址,
[0813.36-0815.36] 我们用十六定制表示,
[0815.36-0817.40] 这是下一个字节单元的地址,
[0817.40-0819.40] 以此类推。
[0819.40-0822.80] 为了简单起见,
[0822.80-0824.80] 我们一般只需要标出,
[0824.80-0825.80] 每个存处字的
[0825.80-0827.80] 第一个字节单元的地址即可,
[0827.80-0830.95] 如都所示。
[0830.95-0831.95] 题目给定,
[0831.95-0832.95] 采用32位,
[0832.95-0834.95] 也就是四字节,
[0834.95-0836.95] 字长,指令字格式,
[0836.95-0838.95] 并且按字边界对齐存放。
[0838.95-0840.95] 请同学们思考一下,
[0840.95-0842.95] 如果某条指令,
[0842.95-0844.95] 在主存中这样存放,
[0844.95-0846.95] 它按字边界对齐了吗?
[0846.95-0849.43] 相信同学们都能正确回答,
[0849.43-0852.43] 该指令为按字边界对齐,
[0852.43-0855.43] 这会导致需要进行两次仿存,
[0855.43-0857.43] 才能完整取出该指令。
[0857.43-0859.52] 如果是这样存放,
[0859.52-0862.52] 该指令就按字边界对齐了,
[0862.52-0864.52] 只需要进行一次仿存,
[0864.52-0866.52] 就可以取出该指令。
[0866.52-0867.72] 接下来,
[0867.72-0869.72] 请同学们思考一下,
[0869.72-0871.72] 假设我们给主存中的
[0871.72-0872.72] 每个存处字,
[0872.72-0874.72] 都编上地址,
[0874.72-0876.72] 这是该存处字的地址,
[0876.72-0879.72] 这是下一个存处字的地址,
[0879.72-0880.72] 那么,
[0880.72-0882.72] 最后这个存处字的地址,
[0882.72-0883.72] 是多少呢?
[0883.72-0887.51] 我们来一起分析,
[0887.51-0890.51] 如果我们能够知道存处字的数量,
[0890.51-0892.51] 我们就可以计算出,
[0892.51-0894.51] 需要使用多少个二定之位,
[0894.51-0896.51] 给存处字进行编织,
[0896.51-0897.51] 进而可以找出,
[0897.51-0899.51] 最后这个存处字的地址,
[0899.51-0901.54] 从示意图不难看出,
[0901.54-0903.54] 用主存空间的大小,
[0903.54-0905.54] 除以一个存处字长,
[0905.54-0906.54] 就可以得出,
[0906.54-0909.54] 主存所包含存处字的数量,
[0909.54-0910.67] 题目给定,
[0910.67-0912.67] 主存空间大小为四级字节,
[0912.67-0914.67] 存处字长为32位,
[0914.67-0916.67] 也就是四字节,
[0916.67-0917.67] 这样,
[0917.67-0918.67] 我们就可以计算出,
[0918.67-0922.67] 主存所包含存处字的数量为1G,
[0922.67-0924.67] 可卸成2.34方,
[0924.67-0926.21] 因此可知,
[0926.21-0929.21] 需要使用30个二定之位,
[0929.21-0931.24] 给存处字编织,
[0931.24-0933.24] 对于最后这个存处字,
[0933.24-0935.24] 其地址因为最大值,
[0935.24-0938.24] 也就是30位为权一的地址,
[0938.24-0940.24] 这是其十六定之形式,
[0940.24-0941.28] 这次,
[0941.28-0942.28] 我们就可以得出,
[0942.28-0944.28] 程序记住器PC的位数,
[0944.28-0946.28] 至少为30位,
[0946.28-0948.28] 当PC的30位为权林时,
[0948.28-0951.28] PC指向首个存处字,
[0951.28-0953.28] 对该存处字中存放的指令,
[0953.28-0955.28] 取之完成号,
[0955.28-0957.28] PC的值自动加一,
[0957.28-0959.28] 进而指向下一个存处字,
[0959.28-0961.28] 以便后续从该存处字,
[0961.28-0963.28] 取出下一条指令,
[0964.28-0966.28] 由于指令字长为32位,
[0966.28-0967.28] 因此,
[0967.28-0969.28] 指令计存器R的长度,
[0969.28-0971.28] 至少为32位,
[0971.28-0973.28] 从上所说,
[0973.28-0974.28] 本题的答案是,
[0974.28-0975.28] 选项弊,
[0975.28-0976.37] 可能有的同学,
[0976.37-0978.37] 会产生这样的疑问,
[0978.37-0979.37] 那就是,
[0979.37-0982.37] 题目给定的是按字节编织,
[0982.37-0984.37] 怎么被高老师改为,
[0984.37-0986.37] 按存处字进行编织,
[0986.37-0988.37] 然后又用来解题了呢?
[0988.37-0992.20] 仔细想想看,
[0992.20-0993.20] 实际上高老师,
[0993.20-0994.20] 并没有改变,
[0994.20-0996.20] 题目给定的按字节编织的条件,
[0996.20-0998.20] 只是换了一个角度,
[0998.20-1000.20] 来求出题目所问的,
[1000.20-1002.20] PC至少需要多少位,
[1002.20-1003.20] 可以认为,
[1003.20-1005.20] 仍然是按字节编织,
[1005.20-1007.20] PC每次加一,
[1007.20-1008.20] 这个一,
[1008.20-1010.39] 是以字节为单位的,
[1010.39-1011.39] 如果有的同学,
[1011.39-1012.39] 还是想不通,
[1012.39-1015.39] 我们回到按字节编织的情况,
[1015.39-1016.39] 将每个存处字的,
[1016.39-1018.39] 首个字节单元的地址的,
[1018.39-1020.39] 最低一位16进之数,
[1020.39-1022.39] 显成4位2进之数,
[1022.39-1023.39] 不难发现,
[1023.39-1025.39] 最低两位一直为0,
[1025.39-1026.39] 因此,
[1026.39-1029.39] PC的位数实际上不用32位,
[1029.39-1031.39] 最少30位就可以了。
[1031.39-1033.03] 好的,
[1033.03-1035.03] 本节课到这里就结束了,
[1035.03-1038.03] 请同学们快速回忆一下,
[1038.03-1040.03] 本节课的主要内容,
[1040.03-1049.36] 我们下节课见!
