[0003.54-0007.44] 同學們好,歡迎大家來到我的集團集組成原理微課堂
[0206.58-0209.38] 通過給各設備配置中段頻密字
[0209.38-0212.18] 可以動態改變處理優先級的次序
[0212.18-0213.78] 請同學們注意
[0213.78-0218.78] 中段頻密僅對CPU運行中段服務程序時的處理優先級起作用
[0218.78-0223.78] 而不會影響CPU運行主程序時的中段響應優先級
[0223.78-0226.68] 若在CPU運行中段服務程序時
[0226.68-0229.88] 同時到達多個未頻密中段請求
[0230.08-0233.68] 處理優先級只能按響應優先級進行處理
[0233.68-0235.97] 中段頻密計存器的值
[0235.97-0239.37] 僅在執行中段服務程序時才能被更新
[0239.37-0242.06] 為了使同學們更好的理解
[0242.06-0243.46] 中段響應優先級
[0243.46-0245.06] 中段處理優先級
[0245.06-0246.66] 中段頻密計數
[0246.66-0248.86] 接下來我們進行舉例
[0248.86-0250.46] 首先來看第一
[0250.46-0253.26] 假設CPU在執行主程序時
[0253.26-0256.46] 設備ABC同時產生中段請求
[0256.46-0258.66] 對於中段響應優先級
[0258.66-0260.26] A大於B大於C
[0260.66-0264.06] 這是設備ABC各自的中段頻密字
[0264.06-0266.86] 我們來畫出CPU的運行軌跡
[0266.86-0268.46] 水平方向為時間
[0268.46-0270.26] 垂直方向為主程序
[0270.26-0273.95] 以及設備ABC各自的中段服務程序
[0273.95-0276.95] 本立給定在主程序執行過程中
[0276.95-0280.45] 設備ABC同時產生中段請求
[0280.45-0281.85] 由於本立給定
[0281.85-0284.45] 設備A的中段響應優先級最高
[0284.45-0287.25] 因此CPU暫停執行主程序
[0287.25-0290.05] 轉去執行設備A的中段服務程序
[0290.31-0292.91] 在執行設備A的中段服務程序時
[0292.91-0295.31] 會清除設備A的中段請求
[0295.31-0297.91] 並且將它的中段頻密字111
[0297.91-0301.11] 更新到中段頻密基存器RMR中
[0301.11-0302.71] 以頻B自身
[0302.71-0305.11] 以及設備B和C的中段請求
[0305.11-0309.11] 因此設備A的中段服務程序會執行完畢
[0309.11-0312.31] 之後返回主程序斷點繼續執行
[0312.31-0314.74] 主程序執行完一條指令
[0314.74-0317.94] 由於設備B和C的中段請求仍未處理
[0318.14-0320.74] 因此會按照中段響應優先級
[0320.74-0323.97] 首先執行設備B的中段服務程序
[0323.97-0326.57] 在執行設備B的中段服務程序時
[0326.57-0328.97] 會清除設備B的中段請求
[0328.97-0331.57] 並且將它的中段頻密字111
[0331.57-0334.57] 更新到中段頻密基存器RMR中
[0334.57-0338.20] 以頻B自身和設備C的中段請求
[0338.20-0342.00] 因此設備B的中段服務程序會執行完畢
[0342.00-0345.46] 之後返回主程序的斷點繼續執行
[0345.46-0347.66] 主程序執行完一條指令
[0347.66-0350.66] 由於設備C的中段請求仍未處理
[0350.66-0353.46] 因此會按照中段響應優先級
[0353.46-0356.06] 執行設備C的中段服務程序
[0356.06-0358.66] 在執行設備C的中段服務程序時
[0358.66-0361.46] 會清除設備C的中段請求
[0361.46-0364.06] 並且將它的中段頻密字001
[0364.06-0367.26] 更新到中段頻密基存器RMR中
[0367.26-0369.66] 以頻B自身的中段請求
[0369.66-0373.46] 因此設備C的中段服務程序會執行完畢
[0373.46-0378.18] 之後返回主程序斷點繼續執行
[0378.18-0379.38] 再來看RMR
[0379.38-0381.58] 可以看到在RMR中
[0381.58-0385.94] 設備ABC各自的中段頻密字與利益均目相同
[0385.94-0388.94] RMR給定在主程序執行過程中
[0388.94-0391.94] 設備ABC同時產生中段請求
[0391.94-0395.54] 由於本地給定設備A的中段響應優先級最高
[0395.54-0398.34] 因此CPU暫停執行主程序
[0398.34-0401.34] 轉去執行設備A的中段服務程序
[0401.34-0403.94] 在執行設備A的中段服務程序時
[0403.94-0406.34] 會清除設備A的中段請求
[0406.34-0409.14] 並且將它的中段頻密字100
[0409.14-0412.14] 更新到中段頻密基存器RMR中
[0412.14-0414.74] 以頻B其自身的中段請求
[0414.74-0418.34] 而設備B和C的中段請求都未被頻密
[0418.34-0423.34] 因此此時還有設備B和C各自的中段請求未處理
[0423.34-0425.94] 由於設備B的中段響應優先級
[0425.94-0428.34] 比設備C的中段響應優先級高
[0428.34-0432.94] 因此CPU執行設備A的中段服務程序的過程會被打斷
[0432.94-0435.94] 轉去執行設備B的中段服務程序
[0436.23-0438.83] 在執行設備B的中段服務程序時
[0438.83-0441.23] 會清除設備B的中段請求
[0441.23-0444.03] 並且將它的中段頻密字110
[0444.03-0447.03] 更新到中段頻密基存器RMR中
[0447.03-0449.63] 以頻B其自身的中段請求
[0449.63-0451.63] 以及設備A的中段請求
[0451.63-0455.53] 這樣此時還有設備C的中段請求未處理
[0455.53-0459.93] 於是CPU執行設備B的中段服務程序的過程被打斷
[0459.93-0463.13] 轉去執行設備C的中段服務程序
[0463.13-0465.99] 在執行設備C的中段服務程序時
[0465.99-0468.59] 會清除設備C的中段請求
[0468.59-0471.19] 並且將它的中段頻密字111
[0471.19-0474.39] 更新到中段頻密基存器RMR中
[0474.39-0478.79] 以頻B其自身以及設備A和B的中段請求
[0478.79-0483.52] 這次設備A、B、C各自的中段請求都已被響應
[0483.52-0486.12] 設備C的中段服務程序執行完畢後
[0486.12-0489.52] 返回到設備B的中段服務程序繼續執行
[0489.52-0492.12] 設備B的中段服務程序執行完畢後
[0492.12-0495.52] 返回到設備A的中段服務程序繼續執行
[0495.72-0498.32] 設備A的中段服務程序執行完畢後
[0498.32-0500.92] 返回到主程序繼續執行
[0500.92-0504.21] 通過對比以上兩個舉例可以發現
[0504.21-0506.61] 在各設備的中段頻密字中
[0506.61-0508.61] 誰包含比特一的數量多
[0508.61-0510.61] 誰的處理優先級就高
[0510.61-0511.81] 對於利益
[0511.81-0515.21] 其處理優先級與響應優先級一致
[0515.21-0516.47] 對於利益
[0516.47-0519.67] 其處理優先級與響應優先級相反
[0519.67-0522.14] 請同學們暫停播放視頻
[0522.14-0523.74] 再好好體會一下
[0523.74-0525.54] 在多重中段系統中
[0525.74-0527.14] 中段響應優先級
[0527.14-0529.74] 與中段頻密字共同作用下的
[0529.74-0536.38] 中段嵌套助理過程
[0536.38-0537.08] 好的
[0537.08-0539.28] 接下來請同學們挑戰這道
[0539.28-0540.98] 與本節課內容相關的
[0540.98-0543.28] 408考研一年整題
[0543.28-0545.38] 請同學們暫停播放視頻
[0545.38-0546.78] 動手練習一下
[0546.78-0554.13] 然後給出你的答案
[0554.13-0556.03] 本題的答案是選項第
[0556.03-0557.43] 大家都選對了嗎
[0557.43-0559.43] 我們來一起分析一下
[0559.43-0560.53] 如族所示
[0560.53-0561.53] 這是本節課
[0561.53-0563.63] 我們給同學們介紹的內容
[0563.63-0566.23] 在不使用中斷頻密技術的情況下
[0566.23-0570.03] 中斷的處理優先級與響應優先級相同
[0570.03-0572.43] 但是可以利用中斷頻密技術
[0572.43-0575.73] 動態調整多重中斷的實際優先級
[0575.73-0577.33] 是低優先級的中斷
[0577.33-0580.73] 也可以打斷高優先級的中斷幅度程序
[0580.73-0583.23] 進而更加靈活的處理中斷
[0583.23-0583.93] 例如
[0583.93-0585.33] 我們剛剛舉過的例二
[0585.33-0589.26] 就是這種情況
[0589.26-0590.36] 而本題呢
[0590.36-0592.96] 也是考察如何利用中斷頻密技術
[0592.96-0596.39] 動態調整多重中斷的實際優先級
[0596.39-0597.69] 這是題目給定的
[0597.69-0600.89] 實際優先級從高到低的順序
[0600.89-0602.49] 題目要求我們回答
[0602.49-0604.39] L1的中斷處理程序中
[0604.39-0607.59] 因設置的中斷頻密字的值是多少
[0607.59-0612.09] 由於L1 L0 L2的優先級都大於L1
[0612.09-0612.89] 因此
[0612.89-0615.89] 他們各自相應的中斷頻密位設置為0
[0615.89-0617.79] 也就是不進行頻密
[0617.79-0621.19] 允許他們打斷L1的中斷幅度程序
[0621.19-0623.99] 而將L1自身相應的中斷頻密位
[0623.99-0627.79] 以及比L1優先級低的L3相應的中斷頻密位
[0627.79-0629.49] 都設置為1
[0629.49-0630.39] 目的是
[0630.39-0634.09] 頻幣優先級等於或低於L1的中斷
[0634.09-0636.09] 以防止被打斷
[0636.09-0637.59] 這次粗心的同學
[0637.59-0640.39] 可能會將答案錯選為選項C
[0640.39-0642.69] 請這部分同學再想想看
[0642.69-0648.71] 自己錯在哪裡了
[0648.71-0649.51] 好的
[0649.51-0652.21] 選項D才是本題的正確答案
[0652.21-0654.81] 相信將答案錯選為選項C的同學
[0654.81-0659.06] 這次就應該可以意識到自己錯在哪裡了
[0659.06-0659.76] 好的
[0659.76-0661.96] 本節課到這裡就結束了
[0661.96-0682.26] 請同學們快速回憶一下本節課的主要內容
[0682.26-0682.96] 同學們
[0682.96-0684.06] 我們下節課見
