[0003.82-0007.82] 同學們好 歡迎大家來到我的計算機組成原理威克堂
[0007.82-0010.62] 在上期課中 我們給同學們介紹了
[0010.62-0017.52] 指令流水線中由於結構相關和控制相關所導致的流水線衝突及其相應的解決方案
[0409.26-0410.66] 獲成轉發機制
[0410.66-0413.26] 不會引起指令流水線的阻塞
[0413.26-0416.86] 實際上數據旁路是解決數據相關的技術
[0416.86-0420.96] 將執行結果超近到送到其他指令所需的地方
[0420.96-0423.56] 進而使指令流水線不發生停頓
[0423.56-0426.56] 因此不會引起指令流水線阻塞
[0426.56-0430.66] 我們會在下下此刻專門介紹數據旁路技術
[0430.66-0431.36] 好的
[0431.36-0434.16] 再來挑戰2016年的提19
[0434.16-0437.66] 請同學們暫停播放視頻認真分析一下
[0437.66-0444.84] 然後給出你的答案
[0444.84-0446.74] 本題的答案是選項B
[0446.74-0448.24] 大家都選對了嗎
[0448.24-0450.14] 我們來一起分析一下
[0450.14-0451.04] 題目給定
[0451.04-0452.24] 無轉發機制
[0452.24-0456.54] 同學們剛剛挑戰過的2010年的提19的選項A的內容
[0456.54-0458.04] 就是數據旁路
[0458.04-0459.84] 也稱為轉發機制
[0459.84-0460.94] 我們在解析時
[0460.94-0463.98] 已經給同學們進行了簡單介紹
[0463.98-0466.28] 由於題目給定無轉發機制
[0466.28-0467.98] 這表明指令流水線中
[0467.98-0470.58] 沒有採用解決數據相關的技術
[0470.58-0474.28] 可能出現由數據相關引起的數據衝突
[0474.28-0475.68] 根據題目給定的
[0475.68-0478.58] 每條指令的操作描述可以分析出
[0478.58-0482.08] 指令3的原操作數是指令2的目的操作數
[0482.08-0484.58] 這屬於RAW相關
[0484.58-0487.08] 在題目給定的五段基本流水線中
[0487.08-0489.28] 會產生RAW衝突
[0489.28-0490.68] 具體來說就是
[0490.68-0492.48] 指令2會在寫回公動段
[0492.48-0495.18] 對基存器R5進行寫操作
[0495.18-0496.68] 而其後的指令3
[0496.68-0499.58] 在指令2還沒有流入到寫回公動段時
[0499.58-0501.58] 就已經流入到一碼公動段
[0501.58-0503.38] 對R5進行讀取了
[0503.38-0505.58] 這就違反了RAW的規則
[0505.58-0507.48] 產生RAW衝突
[0507.48-0508.48] 也就是說
[0508.48-0510.18] 指令3流入到一碼公動段
[0510.18-0511.98] 對R5進行讀取時
[0511.98-0514.38] 指令2才流入到運算公動段
[0514.38-0516.18] 而運算結果需要等到
[0516.18-0518.48] 指令2流入到寫回公動段時
[0518.48-0520.08] 才能寫入R5
[0520.08-0520.98] 這相當於
[0520.98-0523.68] 指令3沒等運算結果寫入R5時
[0523.68-0525.78] 就從R5讀取運算結果
[0525.78-0528.23] 產生RAW衝突
[0528.23-0530.23] 沒有正確完成本題的同學
[0530.23-0532.33] 請再次結合該表格的內容
[0532.33-0535.48] 好好體會一下
[0535.48-0536.18] 好的
[0536.18-0538.78] 再來挑戰2019年的題18
[0538.78-0540.98] 請同學們暫停播放視頻
[0540.98-0542.28] 認真分析一下
[0542.28-0550.88] 然後給出你的答案
[0550.88-0552.58] 本題的答案是選項C
[0552.58-0554.08] 大家都選對了嗎
[0554.08-0556.08] 我們來一起分析一下
[0556.08-0557.48] 根據題目給定的
[0557.48-0558.98] 每條指令的操作描述
[0558.98-0560.18] 可以分析出
[0560.18-0562.38] 選項A中的指令1和指令3
[0562.38-0563.98] 存在數據衝突
[0563.98-0566.18] 這是因為指令3的原操作數
[0566.18-0568.28] 是指令1的目的操作數
[0568.28-0570.28] 這屬於RAW相關
[0570.28-0572.38] 在題目給定的五段流水線中
[0572.38-0574.57] 存在RAW衝突
[0574.57-0576.97] 選項B中的指令2和指令3
[0576.97-0578.67] 存在數據衝突
[0578.77-0580.87] 這是因為指令3的原操作數
[0580.87-0582.77] 是指令2的目的操作數
[0582.77-0584.57] 這屬於RAW相關
[0584.57-0586.77] 在題目給定的五段流水線中
[0586.77-0589.10] 存在RAW衝突
[0589.10-0591.70] 選項D中的指令3和指令4
[0591.70-0593.30] 存在數據衝突
[0593.30-0595.40] 這是因為指令4的原操作數
[0595.40-0597.50] 是指令3的目的操作數
[0597.50-0599.60] 這屬於RAW相關
[0599.60-0601.70] 在題目給定的五段流水線中
[0601.70-0603.80] 存在RAW衝突
[0603.80-0604.90] 總上所述
[0604.90-0606.50] 利用排除法可知
[0606.50-0608.80] 本題的答案是選項C
[0608.80-0610.70] 同學們也可自行分析一下
[0610.70-0613.40] 選項C中的指令2和指令4
[0613.40-0615.30] 他們是否存在數據相關
[0615.30-0618.57] 是否會產生數據衝突
[0618.57-0619.27] 好的
[0619.27-0621.37] 本節課到這裡就結束了
[0621.37-0623.47] 請同學們快速回憶一下
[0623.47-0637.89] 本節課的主要內容
[0637.89-0638.59] 同學們
[0638.59-0640.09] 我們下節課見
