[0003.98-0008.08] 同學們好,歡迎大家來到我的計算機組成原理威克堂
[0311.78-0316.08] 好的,接下來我們介紹控制衝突及其解決方案
[0316.08-0321.72] 控制衝突是指,遇到分支指令或其他會改變PC值的指令時
[0321.72-0325.12] 在分支指令之後,再入流水線的後續指令
[0325.12-0328.92] 可能因為分支翹轉而不能進入執行功能段
[0328.92-0332.32] 因此,控制衝突也稱為分支衝突
[0332.32-0336.62] 解決控制衝突的方法是,在執行程序分支翹轉時
[0336.62-0341.02] 清除流水線中分支指令後續的若干條誤取指令
[0341.02-0344.42] 我們來舉例說明,假設一段時間內
[0344.42-0347.62] 有5條指令再入到了指令流水線中
[0347.62-0350.42] 指令流水線處於滿載狀態
[0350.42-0354.72] 當前時刻,BQ指令在執行功能段進行處理
[0354.72-0357.72] 我們首先來回憶一下BQ指令的功能
[0357.72-0363.12] 那就是,比較給令編號的RS計存器和RT計存器中的數值
[0363.12-0366.62] 如果相等,則跳轉到分支目標地址處
[0366.62-0372.40] 好的,我們回到指令流水線架構中進行分析
[0372.40-0378.70] 這三個控制信號是BQ指令在執行功能段中進行處理所需的控制信號
[0378.70-0383.80] 它們是BQ指令在一碼功能段進行處理時,由控制器產生的
[0383.80-0386.20] 並且在下一個時鐘節拍到來時
[0386.20-0391.30] 被所存到一碼功能段與執行功能段之間的流水計存器中
[0391.30-0395.50] 以便BQ指令在執行功能段進行處理時使用
[0395.50-0398.50] 同時被所存到該流水計存器中的
[0398.60-0402.70] 以便BQ指令在執行功能段進行處理時使用的還有
[0402.70-0406.20] RS計存器和RT計存器中的數值
[0406.20-0411.40] 其中,RS計存器中的數值被直接送到ALU的輸入端A
[0411.40-0416.70] RT計存器中的數值被送到多路選擇器的其中一個輸入端
[0416.70-0419.50] 在多路選擇器的選擇控制下的控制下
[0419.50-0424.00] 該輸入端的數值被選擇輸出到ALU的輸入端B
[0424.00-0428.27] 假設分支成立,也就是RS計存器中的數值
[0428.27-0430.97] 與RT計存器中的數值相等
[0430.97-0436.27] 因此,經過ALU的運算後,ALU的依口標誌位輸出為一
[0436.27-0440.47] 與BQ指令之前在一碼功能段進行處理時得到的
[0440.47-0444.37] 並傳遞到執行功能段使用的控制信號BRUNCH
[0444.37-0449.17] 進行邏輯語後得到分支跳轉控制信號BRUNCH TAKEN
[0449.17-0454.17] 該控制信號被送入取指功能段中的多路選擇器的控制端
[0454.17-0458.17] 用於選擇分支目標地址送入程序技術器PC
[0458.60-0461.40] 被所存到該流水計存器中的還有
[0461.40-0465.50] BQ指令之前在一碼功能段進行處理時得到的
[0465.50-0467.40] 並傳遞到執行功能段
[0467.40-0471.00] 用於計算分支目標地址的32位立即數
[0471.00-0476.20] 該立即數被左移兩位號送入加法部件的其中一個輸入端
[0476.20-0479.00] 被所存到該流水計存器中的還有
[0479.00-0485.20] BQ指令之前在取指功能段進行處理時得到的順序地址PC-4
[0485.30-0488.50] 它是經過這兩個流水計存器的逐級所存
[0488.50-0492.93] 被傳遞到執行功能段中加法部件的另一個輸入端
[0492.93-0495.73] 這樣就得到了分支目標地址
[0495.73-0500.73] 該地址被送入取指功能段中的多路選擇器的其中一個輸入端
[0500.73-0504.33] 在分支跳轉控制信號BRUNCH TAKEN的控制下
[0504.33-0508.03] 該輸入端被選擇輸出到PC的輸入端
[0508.03-0510.23] 當下一個始終節拍到來時
[0510.23-0513.53] 就可以通過PC輸出分支目標地址
[0513.53-0519.16] 從指令存儲器取出分支目標地址出的指令完成分支跳轉
[0519.16-0524.06] 然而由於BQ指令在執行功能段執行了分支跳轉
[0524.06-0526.96] 因此程序不再順序執行
[0526.96-0531.86] 那麼之前已進入指令流水線的ADD指令和ADDI指令
[0531.86-0534.86] 相當於誤取進入流水線的指令
[0534.86-0536.86] 不應該在流水線中執行
[0536.86-0539.16] 需要從流水線中清除
[0539.16-0541.06] 為了實現指令清除
[0541.06-0546.06] 將分支跳轉控制信號BRUNCH TAKEN作為流水線清空信號FLASH
[0546.06-0551.26] 直接連接到這兩個流水基存器各自的同步清零控制端
[0551.26-0553.26] 在下一個始終到來時
[0553.26-0556.66] BQ指令進入仿存功能段進行處理
[0556.66-0560.56] 而旗幟功能段取出分支目標地址中的新指令
[0560.56-0566.86] 並且之前所存在這兩個流水基存器中的數據和控制信號全部清明
[0566.86-0570.05] 如同所示
[0570.05-0576.45] 可以看到此時在執行功能段和一碼功能段中處理的指令都變成了NOP
[0576.45-0578.05] 我們來解釋一下
[0578.05-0580.05] 在密布斯32指令集中
[0580.05-0584.45] 這條指令的功能是將0號基存器的值左移0位
[0584.45-0587.05] 結果嘗試寫回0號基存器
[0587.05-0589.65] 但該寫入被硬件忽略
[0589.65-0594.45] 這是因為密布斯的0號基存器的值橫為0且止足
[0594.45-0598.65] 因此這條指令等同於空操作指令NOP
[0598.85-0600.65] 不改變CPU狀態
[0600.65-0603.25] 其二定制編碼為32位全鄰
[0603.25-0605.65] 故常被稱為全鄰指令
[0605.65-0606.75] 總上所述
[0606.75-0611.15] 在執行功能段和一碼功能段中處理的指令變成了NOP
[0611.15-0616.31] 誤取入流水線的ADD指令和ADDI指令被成功清除
[0616.31-0620.51] 為了加深同學們對由分支跳轉引起的控制衝突
[0620.51-0622.31] 及其解決方案的理解
[0622.31-0625.21] 接下來我們一起來做一個練習
[0625.21-0627.91] 這是某段程序中的若干條指令
[0628.01-0630.41] 為了將重點放在指令流水線中
[0630.41-0634.71] 由分支跳轉引起的控制衝突及其解決方案的理解上
[0634.71-0637.31] 我們不去分析每條指令的功能
[0637.31-0639.11] 而是直接告訴同學們
[0639.11-0642.11] 指令一執行後會跳轉到指令四
[0642.11-0645.71] 而指令四的執行後會跳轉到指令七
[0645.71-0647.61] 接下來我們一起來話
[0647.61-0652.51] 在密布斯的標準五段流水線上執行這段程序時的時空圖
[0652.51-0654.11] 水平方向為空間
[0654.11-0657.71] 也就是密布斯的標準五段流水線的各個功能段
[0657.71-0659.31] 垂直方向為時間
[0659.31-0662.31] 也就是周期性出現的時空周期
[0662.31-0663.51] 需要說明的是
[0663.51-0667.31] 該時空圖與我們在有關指令流水線的第一次課中
[0667.31-0670.81] 給同學們介紹過的時空圖的畫法稍有不同
[0670.81-0673.31] 也就是水平方向和垂直方向
[0673.31-0676.21] 各自所表示的內容進行了互換
[0676.21-0680.21] 但在本質原理上兩種時空圖是相同的
[0680.21-0680.91] 好的
[0680.91-0683.38] 我們一起來話這幅時空圖
[0683.38-0684.88] 第一個時鐘到來時
[0684.88-0687.88] BQ指令在取指功能段被取出
[0687.88-0689.38] 第二個時鐘到來時
[0689.38-0692.28] BQ指令進入到一碼功能段處理
[0692.28-0695.38] ADD指令在取指功能段被取出
[0695.38-0696.88] 第三個時鐘到來時
[0696.88-0699.58] BQ指令進入到執行功能段處理
[0699.58-0702.38] ADD指令進入到一碼功能段處理
[0702.38-0705.74] ADDI指令在取指功能段被取出
[0705.74-0707.44] 第四個時鐘到來時
[0707.44-0710.24] BQ指令進入到坊存功能段處理
[0710.24-0714.34] 而其後的ADD和ADDI這兩條指令被清空
[0714.34-0716.14] 稱為空操作指令
[0716.14-0718.74] 可比喻為插入了兩個氣泡
[0718.74-0722.14] 而BNE指令在取指功能段被取出
[0722.14-0723.84] 第五個時鐘到來時
[0723.84-0726.74] BQ指令進入到寫回功能段處理
[0726.74-0730.14] 兩條空操作指令分別進入到坊存功能段
[0730.14-0732.14] 和執行功能段處理
[0732.14-0734.84] BNE指令進入到一碼功能段處理
[0734.84-0738.24] ADD指令在取指功能段被取出
[0738.24-0739.94] 第六個時鐘到來時
[0739.94-0742.64] BQ指令從指令流水線中流出
[0742.64-0744.44] 也就是執行完畢
[0744.44-0745.94] 兩條空操作指令
[0745.94-0749.84] 分別進入到寫回功能段和坊存功能段處理
[0749.84-0752.84] BNE指令進入到執行功能段處理
[0752.84-0755.94] ADDI指令進入到一碼功能段處理
[0755.94-0759.50] ADDI指令在取指功能段被取出
[0759.50-0761.50] 在第七個時鐘到來時
[0761.50-0763.80] 之前插入的第一個空操作指令
[0763.80-0765.60] 從指令流水線中流出
[0765.60-0767.40] 也就是執行完畢
[0767.40-0770.90] 第二個空操作指令進入到寫回功能段
[0770.90-0773.60] BNE指令進入到坊存功能段處理
[0773.60-0777.70] 而其後的LW和SW這兩條指令被清空
[0777.70-0779.60] 成為空操作指令
[0779.60-0783.32] 而第七條指令在取指功能段被取出
[0783.32-0784.02] 好的
[0784.02-0785.72] 我們就畫到這裡
[0785.72-0787.52] 通過本立可以看出
[0787.52-0790.32] 分支指令在執行功能段執行
[0790.32-0791.02] 因此
[0791.02-0793.72] 已經進入到指令流水線的一碼功能段
[0793.72-0795.82] 和取指功能段的兩條指令
[0795.82-0797.02] 必須被清空
[0797.02-0798.72] 成為兩條空指令
[0798.72-0801.42] 這會浪費兩個時鐘週期
[0801.42-0802.92] 從本立整體看
[0802.92-0805.92] 分支指令BQ和分支指令BNE
[0805.92-0808.32] 各浪費兩個時鐘週期
[0808.32-0809.12] 因此
[0809.12-0813.02] 如果能夠將分支指令提前到一碼功能段中執行
[0813.02-0815.42] 則只浪費一個時鐘週期
[0815.42-0816.92] 從本立整體看
[0816.92-0818.92] BQ指令和BNE指令
[0818.92-0821.42] 各浪費一個時鐘週期
[0821.42-0822.52] 如同所示
[0822.52-0823.62] 這是本立中
[0823.62-0828.82] 將分支指令提前到一碼功能段中執行的情況
[0828.82-0829.42] 對比一下
[0829.42-0836.17] 可以發現整體減少了兩個時鐘週期
[0836.17-0837.17] 如同所示
[0837.17-0839.57] 這是本捷克給同學們介紹過的
[0839.57-0841.87] 分支指令在執行功能段執行
[0841.87-0844.27] 出現控制衝突時的處理方案
[0844.27-0845.07] 那就是
[0845.07-0847.77] 將分支跳轉控制信號不斷Stayton
[0847.77-0850.37] 作為流水線清空信號Flash
[0850.37-0853.07] 直接連接到這兩個流水基存器
[0853.07-0855.47] 各自的同步清零控制端
[0855.47-0857.87] 進而在下一個時鐘節拍到來時
[0857.87-0860.27] 將分支指令後面的兩條指令
[0860.27-0863.06] 清空為空操作指令NOP
[0863.06-0866.96] 為了將分支指令的執行提前到一碼功能段
[0866.96-0869.56] 進而少插入一個空操作指令
[0869.56-0871.96] 以減少時鐘週期的浪費
[0871.96-0874.76] 需要在上足的基礎上進行修改
[0874.76-0879.36] 也就是在一碼功能段增加比較器和地址加法器
[0879.36-0880.86] 現在密布斯助理器
[0880.86-0883.86] 一般都在一碼功能段執行分支指令
[0883.86-0886.36] 並配合分支延遲槽技術
[0886.36-0889.46] 減少分支指令帶來的流水線損失
[0889.56-0890.96] 有關這方面的內容
[0890.96-0893.36] 已經超過本課程的教學大綱
[0893.36-0897.32] 有興趣的同學可自行查閱相關知識
[0897.32-0900.12] 好的本節課到這裡就結束了
[0900.12-0931.55] 請同學們快速回憶一下本節課的主要內容
[0931.55-0933.55] 同學們我們下節課見
