[0003.95-0007.79] 同學們好,歡迎大家來到我的計算機組成原理威克堂
[0202.29-0207.01] 在第二個時間段T中,指令一在一碼功能部件中處理
[0207.01-0212.06] 在第三個時間段T中,指令一在執行功能部件中處理
[0212.06-0217.07] 在第四個時間段T中,指令一在仿存功能部件中處理
[0217.23-0222.03] 在第五個時間段T中,指令一在寫回功能部件中處理
[0222.03-0226.61] 在第五個時間段T結束時,指令一執行完畢
[0226.61-0232.07] 之後,指令2才能依次進入上述5個功能段進行處理
[0232.07-0236.47] 在第十個時間段替結束時,指令2執行完畢
[0236.47-0243.97] 從該圖可以看出,每條指令依次進入取指,一碼執行放存寫回這5個功能段
[0243.97-0245.87] 指令週期為5T
[0245.87-0251.09] 這個5T實際上就是單週期密子CPU的時鐘週期
[0251.09-0256.69] 當一條指令執行完畢後,下一條指令才能進入取指功能段取指令
[0256.69-0262.29] 同一時刻,只有一個功能部件工作,各功能部件無法並行工作
[0262.29-0268.49] 為了提高指令的吞吐率,可想辦法使各功能部件可以並行工作
[0268.49-0271.79] 實現如圖所示的指令流水線效果
[0271.79-0282.02] 可以看到,在第五個時間段替中,各功能部件中都有一條指令在處理
[0282.02-0288.12] 也就是各功能部件在並行工作,流水線被充滿,也稱為滿載
[0288.32-0292.22] 第五個時間段替結束後,指令一執行完畢
[0292.22-0298.22] 之後,每經過一個時間段替,流水線將完成一條指令的執行
[0298.22-0301.32] 那麼,為了實現這樣的指令流水線
[0301.32-0309.10] 應該將上途所示的單週期密子CPU邏輯架構進行怎樣的修改呢?
[0309.10-0314.90] 如圖所示,在每個功能段的後面,都增加一個流水計存器
[0315.00-0320.70] 各流水計存器用於所存相應功能段處理完成的數據或結果
[0320.70-0323.60] 以確保前一個功能段的執行結果
[0323.60-0327.80] 能夠在下一個時程週期提供給後一個功能段使用
[0327.80-0333.96] 程序技術企業PC和流水計存器都採用同一個時鐘進行同步
[0333.96-0338.16] 每來一個時鐘和功能段部架處理完成的數據
[0338.16-0341.26] 都會被所存到相應的流水計存器中
[0341.26-0343.96] 作為後一個功能段部架的輸入
[0344.16-0346.96] 與此同時,當前功能段部架
[0346.96-0349.66] 也會接收到前一個功能段部架
[0349.66-0354.16] 通過流水計存器傳送來的新指令或數據
[0354.16-0357.26] 請同學們注意,通過以上修改
[0357.26-0361.26] 指令流水線使用空途的橫坐標中的各時間段T
[0361.26-0364.16] 現在就變成了CPU時鐘週期
[0364.16-0369.86] 而不像之前展示的單週期非流水線密子CPU邏輯架構
[0369.86-0373.46] CPU時鐘週期有五個時間段T構成
[0373.66-0375.59] 我們來進一步分析
[0375.59-0379.59] 在初始時刻,指令一進入取指功能段
[0379.59-0382.22] 也就是指令一進入流水線
[0382.22-0386.42] 經過一個時鐘週期T,指令一進入一碼功能段
[0386.42-0389.12] 而指令二進入取指功能段
[0389.12-0391.95] 也就是指令二進入流水線
[0391.95-0397.45] 依此類推,經過四個時鐘週期T,指令五進入取指功能段
[0397.45-0400.05] 此時,五段流水線充滿
[0400.15-0403.95] 也就是每個功能段中都有一條指令在處理
[0403.95-0406.55] 之後,每經過一個時鐘週期
[0406.55-0409.85] 流水線將完成一條指令的執行
[0409.85-0411.75] 之前為了簡單起見
[0411.75-0415.45] 我們假設各功能段的時間延遲是相同的
[0415.45-0417.45] 都繼為時間段T
[0417.45-0421.75] 但實際上,各功能段的時間延遲並不相同
[0421.75-0426.25] 我們將各功能段中的最大關鍵延遲繼為Tmax
[0426.25-0429.75] 並將其作為指令流水線的時鐘週期
[0429.75-0434.95] 可以看到,執行一條指令所需的時間為五個時鐘週期
[0434.95-0439.25] 執行兩條指令所需的時間為六個時鐘週期
[0439.25-0443.28] 執行三條指令所需的時間為七個時鐘週期
[0443.28-0449.14] 依此類推,執行N條指令所需的時間為N加四個時鐘週期
[0449.14-0453.64] 請同胸注意,這是針對五級流水線的情況
[0453.64-0456.24] 接下來,我們將其一般化
[0456.24-0458.74] 也就是一條M段指令流水線
[0458.74-0464.04] 執行N條指令所需的時鐘週期數為M加上N-1
[0464.04-0468.04] 前提條件是,連續向流水線輸入指令
[0468.04-0471.04] 且執行過程為發生任何阻塞
[0471.04-0473.44] 可以這樣理解這個公式
[0473.44-0478.14] 第一條指令需要經過M個時鐘週期,才能執行完成
[0478.14-0481.54] 這從上面的五段流水線就可以看出
[0481.54-0485.90] 之後,每一個時鐘週期完成一條指令的執行
[0486.10-0490.80] 公式中的M,就是第一條指令所耗費的時鐘週期數量
[0490.80-0496.50] 而N-1,就是之後N-1條指令所耗費的時鐘週期數量
[0496.50-0502.00] 因此,對於五級流水線,將五帶入這個公式就可得出
[0502.00-0506.40] 執行N條指令所需的時間,就是N加四個時鐘週期
[0506.40-0511.20] 因此,平均每條指令消耗的時鐘週期數,也就是CPI
[0511.30-0516.30] 是N加四除以N,當N角大時,CPI約等於1
[0516.30-0521.50] 我們將MPS32的指令流水線與單週期非流水線進行對比
[0521.50-0525.10] 可以看到,對於單週期非指令流水線
[0525.10-0528.90] 執行一條指令需要的時間為5倍的Tmax
[0528.90-0534.90] 而對於指令流水線,執行一條指令需要的時間為1個Tmax
[0534.90-0538.99] 因此,可得指令流水線性能加速比為5
[0539.09-0544.69] 請同學們注意,指令流水線並不能縮短單條指令的執行時間
[0544.69-0550.09] 當指令流水線充滿時,可顯著提升程序的執行效率
[0550.09-0556.39] 為了充分發揮指令流水線的性能,應該向流水線連續輸入大量指令
[0556.39-0562.99] 是的,流水線的輸出端不斷有指令輸出,也就是不斷有指令執行完成
[0563.22-0569.22] 需要說明的是,實際的指令流水線會存在很多的衝突或冒險
[0569.22-0572.22] 這會使流水線暫停或阻塞
[0572.22-0575.82] 因此,還需要通過其他機制進行處理
[0575.82-0578.72] 這是我們後續幾節課的重點內容
[0578.72-0583.32] 另外,學習過計算機網絡課程的同學可以回憶一下
[0583.32-0587.62] 是否在計算機網絡課程中也學習過流水線的思想呢?
[0587.62-0591.64] 沒錯,是學習過的
[0591.74-0596.54] 例如,在分組交換網中,分組交換機,也就是路由器
[0596.54-0601.34] 在轉發先前收到的分組的同時,還在接收下一個分組
[0601.34-0604.54] 進而形成了流水線式的分組傳輸
[0604.54-0607.78] 又例如,相較於停滯等待協議
[0607.78-0614.18] 後退NN協議GBN和選擇重轉協議SR都採用流水線傳輸方式
[0614.18-0616.78] 進而顯著提高信道利用率
[0616.78-0620.37] 好的,本節課的內容就介紹到這裡
[0620.47-0623.07] 接下來,請同學們挑戰幾道
[0623.07-0627.47] 與本節課所寫內容相關的408考研歷年針題
[0627.47-0630.87] 首先來挑戰2009年的題十八
[0630.87-0636.47] 請同學們暫停播放視頻,思考一下,然後給出你的答案
[0636.47-0645.96] 本題的答案是選項A,大家都選對了嗎?
[0645.96-0647.96] 我們來一起分析一下
[0647.96-0651.86] 如讀所示,各功能段中的最大關鍵延遲
[0651.96-0654.26] 作為指令流水線的始終週期
[0654.26-0656.66] 也就是CPU的始終週期
[0656.66-0660.46] 否則,耗時長的功能段將不能正確執行
[0660.46-0664.56] 這是本節課我們介紹過的其中一個重要知識點
[0664.56-0668.56] 本題給出了指令流侵各功能段的具體時間
[0668.56-0672.66] 並且還給定忽略各功能段之間的緩存時間
[0672.66-0677.09] 也就是忽略各流水計存器帶來的時間開銷
[0677.09-0679.89] 因此,題目給定的90納秒
[0679.89-0683.09] 就是各功能段中的最大關鍵延遲
[0683.09-0685.81] 作為CPU的始終週期
[0685.81-0689.41] 好的,再來挑戰2013年的題十八
[0689.41-0695.01] 請同學們暫停播放視頻,思考一下,然後給出你的答案
[0695.01-0702.90] 本題的答案是選項C,大家都選對了嗎?
[0702.90-0704.90] 我們來一起分析一下
[0704.90-0708.82] 這是本節課我們介紹過的其中一個重要知識點
[0708.82-0712.22] 那就是,在連續向流水線輸入指令
[0712.22-0715.42] 且執行過程為發生任何阻塞的情況下
[0715.42-0722.02] 一條M段流水線執行N條指令所需的始終週期數為M加上N-1
[0722.02-0726.42] 因此,可以計算出本題給定的四級指令流水線
[0726.42-0731.02] 執行100條指令所需的始終週期數量為103
[0731.02-0734.52] 對上面這個公式還沒有完全理解的同學
[0734.52-0737.12] 也可參考下圖進行理解
[0737.12-0743.01] 題目給定了CPU主頻
[0743.01-0745.71] 其倒數就是CPU的始終週期
[0745.91-0751.51] 因此,可以得出四級指令流水線執行100條指令所需的時間
[0751.51-0754.71] 進而可以計算出流水線的吞吐量
[0754.71-0758.43] 即單位時間內可完成的指令數量
[0758.43-0762.23] 好的,再來挑戰2018年的題20
[0762.23-0767.63] 請同學們暫停播放視頻,思考一下,然後給出你的答案
[0767.63-0776.10] 本題的答案是選項D,大家都選對了嗎?
[0776.10-0778.10] 我們來一起分析一下
[0778.30-0783.10] 本題與我們之前挑戰過的2009年的題18類似
[0783.10-0788.10] 區別僅在於是否忽略流水計算器帶來的時間開銷
[0788.10-0790.80] 我們就不再追數了
[0790.80-0793.80] 好的,本節課到這裡就結束了
[0793.80-0822.03] 請同學們快速回憶一下本節課的主要內容
[0822.03-0825.03] 同學們,我們下節課見
