[0003.50-0007.42] 同學們好,歡迎大家來到我的階段級組成原理微課堂
[0716.67-0717.39] 對CPU的
[0717.39-0718.91] 中斷響應的應達
[0718.91-0720.67] 以及管理中斷結束等
[0720.67-0722.70] 具體操作流程
[0722.70-0723.50] 中斷控制器
[0723.50-0724.54] 8259A芯片
[0724.54-0727.10] 內部的數據總線緩衝器
[0727.10-0728.14] 作為該芯片
[0728.14-0729.18] 與CPU系統
[0729.18-0731.50] 數據總線的雙向接口
[0731.50-0732.62] CPU通過它
[0732.62-0735.02] 向該芯片寫出命令字
[0735.02-0736.78] 例如初始化命令字
[0736.78-0737.98] SCW
[0737.98-0740.43] 操作命令字 OCW
[0740.43-0741.15] 也通過它
[0741.15-0743.15] 讀取該芯片的狀態
[0743.15-0743.79] 例如
[0743.79-0745.47] 中斷請求記存器
[0745.47-0746.75] 代幅記存器
[0746.75-0749.07] 中斷屏蔽記存器的值
[0749.07-0751.31] 中斷控制器8259A芯片內部的
[0751.31-0752.51] 讀寫邏輯
[0752.51-0753.79] 接收來自CPU的
[0753.79-0755.23] 讀寫控制信號
[0755.23-0756.03] 從而決定
[0756.03-0757.31] 當前操作是
[0757.31-0757.95] 讀狀態
[0757.95-0759.86] 還是寫命令
[0759.86-0760.58] 好的
[0760.58-0762.90] 請同學們將該示意圖拍照
[0762.90-0763.86] 以便我們稍後
[0763.86-0765.14] 介紹中斷控制器的
[0765.14-0766.34] 工作流程時
[0766.34-0772.24] 可隨時查閱這幅圖
[0772.24-0772.88] 好的
[0772.88-0773.36] 接下來
[0773.36-0775.36] 我們就基於這幅示意圖
[0775.36-0776.56] 來看中斷控制器的
[0776.56-0777.76] 工作流程
[0777.76-0779.60] 這會涉及到CPU
[0779.60-0780.64] 中斷控制器
[0780.64-0782.59] 以及外部設備
[0782.59-0784.27] CPU取出一條指令號
[0784.27-0785.55] 執行該指令
[0785.55-0787.63] 之後判斷以下條件
[0787.63-0788.43] 那就是
[0788.43-0790.11] 中斷控制器是否發來了
[0790.11-0792.19] 中斷請求RMTR
[0792.19-0794.43] 並且CPU的中斷使能標誌為
[0794.43-0796.75] IEIF是否唯一
[0796.75-0799.36] 也就是CPU允許中斷
[0799.36-0800.80] 如果條件不成立
[0800.80-0802.80] 則CPU繼續反覆執行
[0802.80-0803.52] 取指令
[0803.52-0804.32] 執行指令
[0804.32-0806.83] 以及判斷中斷請求的操作
[0806.83-0808.35] 假設在此過程中
[0808.35-0809.39] 某個外部設備
[0809.47-0811.63] 通過其相應的中斷請求線
[0811.63-0812.75] 給中斷控制器
[0812.75-0815.06] 發送了中斷請求信號
[0815.06-0816.02] 中斷控制器
[0816.02-0818.50] 會對該中斷請求進行鎖存
[0818.50-0819.86] 也就是將中斷請求
[0819.86-0821.46] 寄存器RR的
[0821.46-0823.14] 相應位之一
[0823.14-0825.33] 之後判斷以下條件
[0825.33-0826.93] 如果中斷屏蔽寄存器
[0826.93-0829.17] RMR中的相應位為零
[0829.17-0829.89] 則表明
[0829.89-0832.29] 當前中斷請求不被屏蔽
[0832.29-0833.01] 並且
[0833.01-0834.85] 當前中斷請求的優先級
[0834.85-0836.45] 大於在服務寄存器
[0836.45-0838.21] RSR中保存的
[0838.21-0839.97] CPU當前正在服務的
[0839.97-0841.73] 中斷的優先級
[0841.73-0843.25] 則當前中斷請求
[0843.25-0845.57] 在優先級排隊中勝出
[0845.57-0846.45] 中斷控制器
[0846.45-0848.61] 內部的中斷優先級排隊邏輯
[0848.61-0850.53] 會產生中斷請求信號
[0850.53-0851.33] RNTR
[0851.33-0852.86] 送入CPU
[0852.86-0854.46] CPU收到中斷控制器的
[0854.46-0856.30] 中斷請求RNTR
[0856.30-0858.38] 並且CPU允許中斷
[0858.38-0859.34] 如果沒有其他
[0859.34-0860.54] 更高優先級的異常
[0860.54-0861.74] 需要處理時
[0861.74-0863.34] 就進行關中斷
[0863.34-0865.18] 保存斷點的操作
[0865.18-0865.82] 之後
[0865.82-0867.90] 進行中斷識別過程
[0867.98-0869.18] CPU發送第一個
[0869.18-0870.62] 中斷應拿脈衝信號
[0870.62-0871.50] RNTA
[0871.50-0873.02] 給中斷控制器
[0873.02-0874.70] 以告知中斷控制器
[0874.70-0876.06] CPU已經接收到
[0876.06-0877.55] 中斷請求
[0877.55-0878.35] 中斷控制器
[0878.35-0880.51] 收到該應拿脈衝信號後
[0880.51-0882.11] 會清除該中斷員的
[0882.11-0883.47] 中斷請求信號
[0883.47-0885.39] 並將該中斷員出發器的
[0885.39-0886.75] 使能位清零
[0886.75-0887.39] 不再接收
[0887.39-0889.39] 該類型的中斷請求
[0889.39-0890.11] 同時
[0890.11-0891.15] 還需要將
[0891.15-0892.19] 在服務寄存器
[0892.19-0894.59] RSR中的相應位之一
[0894.59-0895.55] 表明正在為
[0895.55-0897.78] 該中斷員進行服務
[0897.78-0898.98] CPU發送第二個
[0898.98-0900.42] 中斷應拿脈衝信號
[0900.42-0902.10] 給中斷控制器
[0902.10-0903.54] 要求中斷控制器
[0903.54-0904.74] 告知CPU
[0904.74-0905.94] 產生中斷請求的
[0905.94-0908.00] 中斷員的中斷號
[0908.00-0908.88] 中斷控制器
[0908.88-0911.20] 收到該應拿脈衝信號後
[0911.20-0912.08] 將中斷號
[0912.08-0913.28] 通過數據總線
[0913.28-0914.88] 發送給CPU
[0914.88-0915.52] 至此
[0915.52-0916.40] 就完成了
[0916.40-0918.24] 中斷識別過程
[0918.24-0918.96] 之後
[0918.96-0920.08] CPU開始執行
[0920.08-0922.38] 相應的中斷服務程序
[0922.38-0923.26] 中斷服務程序
[0923.26-0924.54] 執行完畢號
[0924.54-0926.14] CPU會給中斷控制器
[0926.14-0927.66] 發送中斷結束命令
[0928.62-0929.18] 之後
[0929.18-0931.12] 進行中斷返回
[0931.12-0931.92] 中斷控制器
[0931.92-0933.68] 收到中斷結束命令後
[0933.68-0935.12] 會將在服基存器
[0935.12-0937.76] RSR中的相應位清明
[0937.76-0938.24] 表示
[0938.24-0940.24] 當前中斷處理完畢
[0940.24-0940.88] 同時
[0940.88-0941.68] 還會恢復
[0941.68-0943.20] 該中斷員出發器的
[0943.20-0944.56] 使用信號
[0944.56-0945.20] 表示
[0945.20-0946.16] 又可以接收
[0946.16-0947.04] 該中斷員
[0947.04-0949.60] 新的中斷請求了
[0949.60-0950.64] 該流程圖中的
[0950.64-0951.52] 這部分
[0951.52-0953.68] 屬於中斷顯營階段
[0953.68-0954.64] 而這部分
[0954.64-0956.80] 屬於中斷服務階段
[0956.80-0957.52] 至此
[0957.60-0959.04] 我們就給同學們介紹了
[0959.04-0959.84] 中斷請求的
[0959.84-0961.04] 中斷控制器方式的
[0961.04-0961.76] 工作流程
[0962.48-0963.84] 需要說明的是
[0963.84-0965.92] 中斷控制器829A芯片
[0965.92-0967.52] 在現代個人計算機
[0967.52-0968.64] 和服務器中
[0968.64-0970.00] 已經基本不再使用
[0970.72-0971.44] 現在主流的
[0971.44-0973.12] 中斷控制器架構是
[0973.12-0974.88] 位於主板芯片組中
[0974.88-0975.68] 負責接收
[0975.68-0977.36] 外部設備中斷請求的
[0977.36-0978.08] 輸入輸出
[0978.08-0978.88] 高級可變成
[0978.88-0979.92] 中斷控制器
[0979.92-0980.88] IOAPSC
[0981.81-0983.89] 集成在每個CPU核心內部
[0983.89-0985.57] 負責處理中斷的
[0985.57-0986.77] 本地高級可變成
[0986.77-0988.85] 中斷控制器LAPSA
[0990.00-0990.64] 好的
[0990.64-0992.96] 本節課到這裡就結束了
[0992.96-0995.04] 請同學們快速回憶一下
[0995.04-0996.48] 本節課的主要內容
[1023.63-1024.35] 同學們
[1024.35-1025.47] 我們下節課見
