[0003.25-0007.67] 同学们好,欢迎大家来到我的计算机组成员里维克堂
[0146.81-0149.65] 若将途中每两个小句型框
[0149.65-0151.93] 看作是一个存储单元
[0151.93-0154.45] 则存储自常为两字节
[0154.45-0158.52] 也就是16位也称为半字
[0158.52-0161.12] 若将途中每四个小句型框
[0161.12-0163.36] 看作是一个存储单元
[0163.36-0165.84] 则存储自常为四字节
[0165.84-0169.46] 也就是32位也称为字
[0169.46-0172.50] 以机器自常为32位的计算机为例
[0172.50-0176.10] 对主存的访问既可以按字节访问
[0176.10-0178.70] 也可以按16位半字访问
[0178.70-0181.69] 还可以按32位自访问
[0181.69-0185.76] 因此可将主存地址分为字节地址
[0185.76-0187.41] 半字地址
[0187.41-0189.12] 字地址
[0189.12-0191.60] 若对主存按字节访问
[0191.60-0193.44] 则所使用的字节地址
[0193.44-0197.11] 就是主存按字节编址的字节地址
[0197.11-0200.07] 若对主存按16位半字访问
[0200.07-0202.59] 则所使用的是半字地址
[0202.59-0211.02] 本例中的半字地址如读所示
[0211.02-0213.94] 若对主存按32位自访问
[0213.94-0216.60] 则所使用的是字地址
[0216.60-0223.91] 本例中的字地址如读所示
[0223.91-0226.15] 通过本例还可以发现
[0226.15-0229.07] 将字节地址逻辑右移移位
[0229.07-0231.03] 即可得到半字地址
[0231.03-0234.68] 逻辑右移两位即可得到字地址
[0234.68-0237.44] 例如本例中的这个字节地址
[0237.44-0239.04] 逻辑右移移位
[0239.04-0241.40] 即可得到这个半字地址
[0241.40-0244.20] 而将这个半字地址逻辑右移移位
[0244.20-0246.24] 即可得到这个字地址
[0246.28-0249.84] 这也相当于将字节地址逻辑右移两位
[0249.84-0251.82] 得到字地址
[0251.82-0253.58] 接下来我们给出一个
[0253.58-0256.14] 使用InterX86会边语言
[0256.14-0258.62] 访问左侧所示的主存庄
[0258.62-0260.58] 不同存储单元的例子
[0260.58-0263.50] 以加深同学们对按字节访问
[0263.50-0265.22] 按16位半字访问
[0265.22-0267.66] 按32位自访问的理解
[0267.66-0269.26] 为了简单起见
[0269.26-0273.04] 我们假设数据段计存器DS的值为0
[0273.04-0276.16] 没有学习过InterX86会边语言的同学
[0276.16-0277.64] 也不用担心
[0277.64-0280.20] 我们会对本地中的每条语句的功能
[0280.20-0281.98] 做出解释
[0281.98-0283.90] 这是第一条语句
[0283.90-0285.14] 它的作用是
[0285.14-0287.18] 将地址零X4开始的
[0287.18-0289.10] 一字节存储单元的内容
[0289.10-0291.92] 送入8位计存器Al
[0291.92-0294.40] 地址零X4中的零X
[0294.40-0296.08] 实际上是零X4
[0296.08-0298.44] 只是读起来方便
[0298.44-0300.92] 在InterX86会边语言中
[0300.92-0303.62] 表示这是16进之数
[0303.62-0306.50] 因此其相应的二进之形式为
[0306.50-0308.37] 0100
[0308.37-0311.45] 这是该地址对应的存储单元
[0311.45-0314.20] 其存储的信息为00
[0314.20-0316.80] 因此这条语记执行号
[0316.80-0319.90] 计存器Al的内容为00
[0319.90-0321.82] 这是第二条语句
[0321.82-0323.02] 它的作用是
[0323.02-0324.94] 将地址零X4开始的
[0324.94-0327.06] 两字节存储单元的内容
[0327.06-0330.47] 送入16位计存器AX
[0330.47-0334.15] 地址零X4的二进之形式为00
[0334.15-0337.44] 这是该地址所定的字节单元
[0337.48-0339.60] 由于这条语句访问的是
[0339.60-0342.36] 有两字节构成的存储单元
[0342.36-0344.48] 因此该字节单元后的
[0344.48-0347.34] 这个字节单元也被访问
[0347.34-0348.62] 从上所说
[0348.62-0350.30] 这条语句执行号
[0350.30-0354.05] 计存器AX的内容为EF00
[0354.05-0356.05] 这是第三条语句
[0356.05-0357.25] 它的作用是
[0357.25-0358.97] 将地址零X4开始的
[0358.97-0361.09] 四字节存储单元的内容
[0361.09-0364.48] 送入32位计存器EAX
[0364.48-0368.10] 地址零X4的二进之形式为00
[0368.10-0371.45] 这是该地址所对应的字节单元
[0371.45-0373.21] 由于这条语句访问的是
[0373.21-0375.93] 有四字节构成的存储单元
[0375.93-0378.05] 因此该字节单元后的
[0378.05-0381.36] 这三个字节单元也被访问
[0381.36-0382.64] 从上所说
[0382.64-0384.28] 这条语句执行号
[0384.28-0389.02] 计存器EAX的内容为ABCDEF00
[0389.02-0391.10] 从上述程序可以看出
[0391.10-0392.58] 对于字节访问
[0392.58-0393.58] 半字访问
[0393.58-0394.46] 字访问
[0394.46-0397.14] 这三种不同的地址访问模式
[0397.18-0399.02] 所使用的主存地址
[0399.02-0401.70] 实际上都是字节地址
[0401.70-0402.50] 会边指令
[0402.50-0406.10] 对会边程序会边程相应的机器指令
[0406.10-0408.90] CPU在执行机器指令时
[0408.90-0410.14] 可将字节地址的
[0410.14-0413.16] 第两位用于访问控制
[0413.16-0415.72] 假设存储制成为32位
[0415.72-0419.08] 也就是存储单元由四字节构成
[0419.08-0423.16] 当机器指令只是采用字节访问模式时
[0423.16-0424.20] 则字节地址的
[0424.20-0427.04] 第两位用于选择存储单元中的
[0427.04-0428.84] 哪一个字节
[0428.84-0432.64] 当机器指令只是采用半字访问模式时
[0432.64-0434.92] 则字节地址的倒数第二位
[0434.92-0438.32] 用于选择存储单元中的哪个半字
[0438.32-0442.72] 例如对于这个由四字节构成的存储单元
[0442.72-0444.96] 若采用字节访问模式
[0444.96-0446.88] 则字节地址的第两位
[0446.88-0450.59] 用于选择该存储单元中的某一个字节
[0450.59-0452.87] 若采用半字访问模式
[0452.87-0455.11] 则字节地址的倒数第二位
[0455.11-0459.03] 用于选择存储单元中的某一个半字
[0459.03-0460.27] 对于本地
[0460.27-0463.55] 可能有的同学还会产生这样的疑问
[0463.55-0467.39] 例如这是第三条语句的执行结果
[0467.39-0472.69] 它为什么不是另外这种形式呢
[0472.69-0476.92] 这样我们就引出了大端和小端方式
[0476.92-0481.84] 我们将左侧由下至上的主存内容和相应的字节地址
[0481.84-0487.08] 化成水平方式如足所示
[0487.08-0490.76] 这是主存地址的增长方向
[0490.76-0494.45] 这是第三条语句的执行结果
[0494.45-0499.97] 可以发现数据的低字节保存在主存的低地址中
[0499.97-0504.52] 而数据的高字节保存在主存的高地址中
[0504.52-0507.47] 这就是所谓的小端方式
[0507.47-0509.59] 若换成这种形式
[0509.59-0514.08] 则数据的低字节保存在主存的高地址中
[0514.08-0518.48] 而数据的高字节保存在主存的低地址中
[0518.48-0521.36] 这就是所谓的大端方式
[0521.36-0525.16] 由于本力采用的是英特尔X86处理器架构
[0525.16-0528.88] 其采用小端方式进行数据存放
[0528.88-0533.43] 因此不会得到大端方式进行数据存放的结果
[0533.43-0537.72] 接下来我们对比一下小端和大端方式
[0537.72-0540.88] 上面这种情况就是小端方式
[0540.88-0545.76] 也就是将数据的低字节保存在主存的低地址中
[0545.76-0550.24] 而数据的高字节保存在主存的高地址中
[0550.24-0556.78] 这样可以将主存地址的高低与数据的未全有效的结合起来
[0556.78-0560.02] 高地址存储的数据部分的全值高
[0560.02-0563.26] 低地址存储的数据部分的全值低
[0563.26-0565.01] 符合逻辑
[0565.01-0568.09] 下面这种情况就是大端方式
[0568.09-0572.93] 也就是将数据的高字节保存在主存的低地址中
[0572.93-0577.29] 而数据的低字节保存在主存的高地址中
[0577.29-0580.61] 这样符合人类的正常思维
[0580.61-0582.97] 请同学们注意
[0582.97-0586.93] 上述两种方式并没有绝对的优劣之分
[0586.93-0593.72] 他们在不同的处理器架构和应用场景中都有各自的适用性和优势
[0593.72-0601.56] 例如英特尔X86,I-64,Risk 5等处理器采用的就是小端方式
[0601.56-0605.16] 而PowerPC处理器采用大端方式
[0605.16-0611.32] AM、NiPS等处理器同时支持大端方式和小端方式
[0611.32-0612.72] 除处理器外
[0612.72-0616.04] 大小端方式还设计外部设备设计
[0616.04-0617.44] 网络数据传输
[0617.44-0619.78] 音视频文件保存等
[0619.78-0621.98] 小端与大端方式的区别
[0621.98-0625.90] 不仅存在于处理器的计存器存主器中
[0625.90-0632.22] 在指令级,系统总线等各个层次中也可能存在差别
[0632.22-0636.42] 接下来,给同学们介绍本节课的最后一部分内容
[0636.42-0639.10] 也就是数据的边界对齐
[0639.10-0643.56] 我们知道,主存空间一般按字节进行编织
[0643.56-0649.25] 高级研中不同数据类型的辨量所包含的字节数量可能不同
[0649.25-0652.93] 编译器在为这些辨量分配主存空间时
[0652.93-0657.87] 理论上可以从主存空间的任何一个字节地址开始
[0657.87-0665.67] 然而,当一个多字节辨量被编译器分布在不同的32位字存储单元中时
[0665.67-0669.43] 方论该辨量就需要多个存取周期
[0669.43-0672.51] 因此,为了提高数据访问效率
[0672.51-0678.35] 应该考虑数据辨量、数据结构在主存空间中的边界对齐问题
[0678.35-0680.07] 我们来举例说明
[0680.07-0682.99] 假设存储自长为32位
[0682.99-0687.15] 给C原不同数据类型的辨量分配主存空间
[0687.23-0691.91] 这是C原中各种数据类型所对应的存储大项
[0691.91-0693.55] 单位为字节
[0693.55-0698.95] 我们在第二章的C原中的数据类型及转换那些课中
[0698.95-0700.55] 曾给同学们介绍过
[0700.55-0703.29] 希望同学们能熟练掌握
[0703.29-0705.89] 我们划出本利的主存空间
[0705.89-0708.61] 每个小的巨型框为一字节
[0708.61-0714.04] 一行由四个小的巨型框构成了四字节的存储单元
[0714.12-0718.24] 这是因为本利给定存储自长为32位
[0718.24-0720.56] 也就是四字节
[0720.56-0726.48] 这里我们采用实净制数给主存空间的每个字节进行编织
[0726.48-0729.00] 目的是为了方便同学们理解
[0729.00-0733.06] 但实践中往往采用16净制形式
[0733.06-0738.45] 另外一般只给出每个存储单元的第一个字节的地址即可
[0738.45-0741.23] 首先来看这种分配方案
[0741.27-0745.91] 将字节地址00-03共四个连续的字节
[0745.91-0748.68] 分配给硬的形变量A
[0748.68-0753.60] 将字节地址04-05共两个连续的字节
[0753.60-0756.39] 分配给12的形变量B
[0756.39-0761.39] 将字节地址06-13共8个连续的字节
[0761.39-0764.16] 分配给w形变量C
[0764.16-0767.64] 将字节地址为14的这一个字节
[0767.64-0770.30] 分配给x形变量D
[0770.34-0775.14] 将字节地址15-16共两个连续的字节
[0775.14-0777.85] 分配给12的形变量E
[0777.85-0780.45] 再来看另外一种分配方案
[0780.45-0784.65] 将字节地址00-03共四个连续的字节
[0784.65-0787.16] 分配给硬的形变量A
[0787.16-0791.80] 将字节地址04-05共两个连续的字节
[0791.80-0794.42] 分配给12的形变量D
[0794.42-0799.26] 将字节地址08-15共8个连续的字节
[0799.26-0801.96] 分配给w形变量C
[0801.96-0805.12] 将字节地址为16的这一个字节
[0805.12-0807.76] 分配给x形变量D
[0807.76-0812.52] 将字节地址18-19共两个连续的字节
[0812.52-0815.36] 分配给12的形变量E
[0815.36-0817.52] 对于上面这种分配方案
[0817.52-0821.03] 就是数据的边界为对齐的情况
[0821.03-0822.23] 不难发现
[0822.23-0826.23] 这种分配方案对存储空间的利用率最高
[0826.23-0829.45] 但是存在访问性的问题
[0829.45-0832.21] 例如变量C的8个字节
[0832.21-0835.49] 分布在三个存储单元中
[0835.49-0840.41] 因此访问该变量的就需要三个存取周期
[0840.41-0841.93] 变量E的两个字节
[0841.93-0844.73] 分布在两个存储单元中
[0844.73-0849.40] 因此访问该变量需要两个存取周期
[0849.40-0854.41] 而下面这种方案就是数据的边界对齐的情况
[0854.41-0858.32] 这种分配方案有效提升了访问性能
[0858.32-0861.08] 例如变量C的8个字节
[0861.08-0863.92] 分布在两个存储单元中
[0863.92-0868.37] 因此访问该变量需要两个存取周期
[0868.37-0869.81] 变量E的两个字节
[0869.81-0872.53] 分布在一个存储单元中
[0872.53-0877.40] 因此访问该变量需要一个存取周期
[0877.40-0879.40] 但我们也不能发现
[0879.40-0883.36] 这种分配方案会造成存储空间的浪费
[0883.36-0885.38] 需要折中考虑
[0885.38-0887.34] 目前主流的编译器
[0887.38-0889.90] 会采用边界对齐的方案
[0889.90-0892.94] 不仅对数据变量进行边界对齐
[0892.94-0897.29] 还会对复杂的数据结构进行边界对齐
[0897.29-0898.45] 通过本例
[0898.45-0901.67] 我们可以给出边界对齐的规则
[0901.67-0903.31] 对于字节数据
[0903.31-0905.87] 其不存在边界对齐的问题
[0905.87-0909.79] 因为主存空间一般都是按字节编指的
[0909.79-0913.15] 例如本例中的一字节差行变量D
[0913.15-0916.28] 可以存储在任意字节单元
[0916.28-0917.68] 对于半字
[0917.68-0920.04] 也就是两个字节的数据
[0920.04-0923.44] 其齐使字节地址的最低意外为0
[0923.44-0926.48] 也就是地址是二的整数倍
[0926.48-0930.00] 例如本例中的两字节差行变量B
[0930.00-0932.40] 其齐使字节地址04
[0932.40-0934.60] 转换成二进字可以看出
[0934.60-0936.99] 其最低意外为0
[0936.99-0940.71] 又例如本例中的两字节差行变量E
[0940.71-0943.15] 其齐使字节地址18
[0943.15-0945.59] 转换成二进字可以看出
[0945.67-0948.32] 其最低意外为0
[0948.32-0949.48] 对于单字
[0949.48-0951.48] 也就是四字节数据
[0951.48-0954.92] 其齐使字节地址的最低两位为0
[0954.92-0957.68] 也就是地址是四的整数倍
[0957.68-0961.36] 例如本例中的四字节硬的行变量A
[0961.36-0963.68] 其齐使字节地址00
[0963.68-0965.80] 转换成二进字可以看出
[0965.80-0968.58] 其最低两位为0
[0968.58-0969.78] 对于双字
[0969.78-0971.90] 也就是八字节数据
[0971.90-0975.90] 其齐使字节地址的最低三位为0
[0975.90-0978.98] 也就是地址是八的整数倍
[0978.98-0982.70] 例如本例中的八字节W型变量C
[0982.70-0985.14] 其齐使字节地址08
[0985.14-0987.58] 转换成二进字可以看出
[0987.58-0991.41] 其最低三位为00
[0991.41-0995.45] 好的本节课的知识点就全部介绍完了
[0995.45-0998.41] 接下来请同学们趁热打铁
[0998.41-1002.41] 挑战几个相关的408历年真题
[1002.41-1005.77] 首先来看2012年的题15
[1005.81-1008.65] 请同学们暂停播放视频
[1008.65-1010.33] 动手练习一下
[1010.33-1017.55] 然后给出你的答案
[1017.55-1019.91] 本题的答案是选项D
[1019.91-1021.67] 大家都选对了吗
[1021.67-1024.36] 我们来一起分析一下
[1024.36-1026.60] 本题是对小端方式
[1026.60-1028.04] 数据边界对齐
[1028.04-1030.76] 以及C源中各种数据类型的
[1030.76-1034.53] 变量的长度等知识点的综合考察
[1034.53-1036.69] 由于题目所给四个选项
[1036.69-1039.37] 都采用16进字表示形式
[1039.41-1040.25] 因此
[1040.25-1042.57] 我们将题目给定的结构底变量
[1042.57-1045.29] recorder的成员变量A的十进字值
[1045.29-1046.77] 273
[1046.77-1049.58] 转换成16进字形式
[1049.58-1052.30] 这是同学们在学习完第二章中
[1052.30-1054.90] 进位技术制及其数据之间的
[1054.90-1056.78] 相互转换那节课后
[1056.78-1059.10] 就应该熟练掌握的基本功
[1059.10-1061.45] 我们就不再坠述了
[1061.45-1063.37] 我们画出本题相关的
[1063.37-1065.39] 主存空间部分
[1065.39-1067.35] 每一行由四个字节
[1067.35-1069.61] 构成一个存储单元
[1069.65-1070.73] 题目给定
[1070.73-1072.69] recorder的变量的手地址为
[1072.69-1074.69] 零差1008
[1074.69-1078.85] 我们假设该字节的地址就为零差1008
[1078.85-1079.89] 这是因为
[1079.89-1081.97] 地址零差1008
[1081.97-1084.85] 一定是某个四字节存储单元的
[1084.85-1086.92] 第一个字节的地址
[1086.92-1087.88] 相应的
[1087.88-1089.68] 第二行这个存储单元的
[1089.68-1091.16] 第一个字节的地址为
[1091.16-1093.28] 零差100C
[1093.28-1095.16] 为了方便同学们理解
[1095.16-1097.08] 并得出本题的答案
[1097.12-1098.84] 我们写出主存中
[1098.84-1100.20] 各字节的地址
[1100.20-1107.06] 如读所示
[1107.06-1108.50] 这是结构体变量
[1108.50-1112.07] recorder的第一个成员变量A
[1112.07-1114.83] 其类型为四字节的硬子型
[1114.83-1118.00] 题目还给出了该成员变量的出职
[1118.00-1121.12] 题目要求数据按边界对齐
[1121.12-1124.52] 根据之前介绍过的边界对齐规则
[1124.52-1127.44] 可为变量A分配这四个字节单元
[1127.44-1130.02] 构成的存储单元
[1130.02-1133.70] 题目要求按小端方式存放数据
[1133.70-1136.10] 因此数据的第一字节
[1136.10-1138.82] 保存在主存的第一地址中
[1138.82-1140.54] 而数据的高字节
[1140.54-1143.50] 保存在主存的高地址中
[1143.50-1147.64] 这是变量A的存放情况
[1147.64-1150.36] 这是结构体变量recorder的
[1150.36-1152.48] 第二个成员变量B
[1152.48-1155.44] 其类型为一字节的刹形
[1155.44-1159.40] 因此变量B不存在边界对齐的问题
[1159.40-1161.40] 将其分配在这个字节单元
[1162.71-1165.27] 这是结构体变量recorder的
[1165.27-1167.64] 第三个成员变量C
[1167.64-1170.40] 其类型为两字节的刹形
[1170.40-1172.56] 根据边界对齐的规则
[1172.56-1173.80] 可为变量C
[1173.80-1176.79] 分配这两个字节单元
[1176.79-1179.39] 我们给出边界对齐的规则
[1179.39-1182.47] 这些规则我们之前刚刚介绍过了
[1182.47-1184.60] 就不再坠述了
[1184.60-1185.76] 通常所说
[1185.76-1188.92] 本题的答案是选项D
[1188.92-1192.08] 再来看2016年的题14
[1192.28-1195.04] 请同学们暂停播放视频
[1195.04-1196.72] 动手练习一下
[1196.72-1203.71] 然后给出你的答案
[1203.71-1206.30] 本题的答案是选项A
[1206.30-1210.34] 本题仅考察了小端方式这一个知识点
[1210.34-1212.02] 属于送分题
[1212.02-1214.54] 相信同学们都能正确完成
[1214.54-1217.16] 我们就不再坠述了
[1217.16-1220.20] 再来看2018年的题15
[1220.20-1222.84] 请同学们暂停播放视频
[1222.84-1224.52] 动手练习一下
[1224.52-1230.72] 然后给出你的答案
[1230.72-1232.96] 本题的答案是选项A
[1232.96-1234.84] 大家都选对了吗
[1234.84-1237.51] 我们来一起分析一下
[1237.51-1240.59] 给四字节硬质型变量i负值0
[1240.59-1242.83] 根据其对应指令代码中
[1242.83-1244.79] 后四个字节为全0
[1244.79-1248.95] 可以推断出指令代码的前三个字节为指令
[1248.95-1251.36] 后四个字节为数据
[1251.36-1252.84] 题目要求写出
[1252.84-1256.44] 给四字节硬质型变量i负值负64的
[1256.44-1258.21] 积极指令代码
[1258.21-1259.81] 我们首先需要写出
[1259.81-1262.57] 数值负64的机器吗
[1262.57-1265.49] 我们知道计算机庄数值数据
[1265.49-1267.45] 才用补码表示
[1267.45-1269.37] 因此我们需要写出
[1269.37-1271.17] 负64的补码
[1271.17-1274.37] 然后将其转换成16净值形式
[1274.37-1276.85] 这是同学们在学习完第二章后
[1276.85-1278.93] 就应该熟练掌握的内容
[1278.93-1281.30] 我们就不再坠述了
[1281.30-1284.22] 题目给定才用小端方式存放
[1284.22-1286.82] 也就是数据的低字节
[1286.86-1289.50] 保存在主存的低地值中
[1289.50-1291.30] 而数据的高字节
[1291.30-1294.39] 保存在主存的高地值中
[1294.39-1295.71] 综上所述
[1295.71-1298.84] 本题的答案是选项A
[1298.84-1301.86] 再来看2020年的题14
[1301.86-1304.66] 请同学们暂停播放视频
[1304.66-1306.42] 动手练习一下
[1306.42-1314.28] 然后给出你的答案
[1314.28-1317.15] 本题的答案是选项D
[1317.15-1321.47] 本题与我们之前练习过的2012年的题十五
[1321.47-1322.95] 非常类似
[1322.99-1325.51] 相信大家都能正确完成
[1325.51-1328.02] 我们就不再坠述了
[1328.02-1328.94] 好的
[1328.94-1331.58] 本节课到这里就结束了
[1331.58-1334.02] 请同学们快速回忆一下
[1334.02-1354.28] 本节课的主要内容
[1354.28-1355.12] 同学们
[1355.12-1356.32] 我们下节课见
